id,,Totals,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,Albion College,447.6566739,7,10,0,2.8,7,10,7,0,10,10,10,0.702247191,7,10,10,2,5.727272727,7,0.4241984979,5,20,15,0,14.6,7,7,0,50,0,7,7,0,0,9.99,0,0,10,0,0,10,10,7,0,0,0,0,0,0,12.30769231,12.10526316,10,20,30,0,10,10,0,0,0,0,7,40,0
1,Allegheny College,691.0058803,0,10,7,7,7,10,7,10,10,3.552206674,2.099031216,10,7,10,0,0.8064516129,5.6,7,0,6.085106383,20,20,0,14,7,7,7,50,24.4247331,7,7,0,4.873225,9.99,0,0,0.2777777778,19,3,10,10,7,0,0,7,0,0,25,15.36532951,19.93201903,10,20,30,27,10,30,15,25,0,20,7,30,52
2,American University,689.2737453,7,10,7,7,7,10,7,10,10,1.475721993,3.189463662,10,7,10,0,2.901234568,7,7,0,8,20,20,0,11.26,7,7,7,18.65975113,33.17353217,7,7,7,7,9.99,7.890068381,0,2.85915493,18.074,11.026,10,10,7,7,7,7,7,7,0,14.21481843,20,10,20,30,30,10,30,15,25,15,0,7,40,27.56
3,Appalachian State University,696.4268281,7,10,7,7,7,10,7,10,10,3.346052245,10,10,7,10,0,1.507936508,7,7,0,5.837396352,20,25,0,12.72,7,7,7,50,15.01855837,7,7,7,7,9.99,8.25,0,0.08771929825,16,3.54,10,0,7,7,7,7,0,7,0,13.2357833,19.36198202,10,20,30,30,10,30,15,25,15,0,7,40,40.5314
4,Aquinas College,617.3364316,7,10,7,7,7,10,7,10,10,2.150537634,9.086021505,3.737373737,7,10,0,4.545454545,7,1.75,0,3.653543307,20,20,0,12.4,7,7,7,50,15.01483597,0,0,0,7,9.99,8.25,0,0,4.7,2.64,10,10,7,7,0,7,0,0,5.192001234,17.18980501,19.43685864,10,20,30,24,10,30,15,25,0,0,7,40,28.6
5,Arizona State University,743.585404,7,10,7,7,7,10,7,10,10,1.132901752,2.73229246,3.523899301,7,10,10,4.461538462,7,7,0,6.9110222,20,25,15,12.85,7,7,7,16.6,17.25997622,7,7,7,6.968106345,9.99,11.69997323,7,8.769633508,12.6,5.8,10,10,7,7,7,7,7,7,25,13.00170655,18.75952631,10,20,27.92482767,30,10,30,15,25,15,20,7,40,28.6
6,Austin College,321.5697299,0,0,0,0,7,10,7,0,0,0,0,2.631578947,7,0,0,4.166666667,7,5.25,0,8,20,25,0,11.4,7,7,0,0,27.1658452,0,0,0,0,0,0,0,9,16,2.8,0,10,0,7,0,0,7,7,,12.2556391,0,0,20,,0,0,10,0,25,0,0,0,10,29.9
7,Babson College,608.7521519,7,10,7,6.3,7,10,7,10,0,6.803797468,5.379746835,10,7,10,10,2.608695652,7,7,0,0,20,15,0,11.66,7,7,7,46.5705427,15.53101843,7,7,0,7,9.99,13.36253593,7,2.465753425,14.4,1.6,0,10,7,7,7,7,0,7,25,12.35326145,0,10,20,0,24,10,30,0,25,0,0,7,40,30.7268
8,Ball State University,549.0046212,7,10,7,7,7,0,7,10,10,0.735053904,4.606337798,10,7,10,0,4,7,7,0,5.296755649,20,10,0,12,7,0,7,50,15.00000018,7,7,0,6.588539128,3.33,2.706837723,0,1.036585366,0,0,10,10,7,7,7,7,0,0,0,16.41004784,15.29446363,10,20,0,30,10,30,15,25,0,0,7,40,13
9,Baylor University,407.8160376,7,7.5,7,7,7,10,7,10,0,4.269513009,3.135423616,0,7,10,0,2.298850575,5.409090909,7,0.3945181834,0.2294549419,20,0,0,12.38,7,0,0,16.6,15.23715082,7,7,0,0,3.33,5.822662999,0,0.790960452,10.4,3.9,0,0,7,0,0,0,0,7,0,11.6564755,18.46193665,5,20,0,0,10,30,15,25,0,0,7,40,0
10,Belmont University,463.5160261,7,10,7,7,7,10,7,10,10,0.185528757,3.756957328,10,0,10,0,1.606217617,7,5.25,0,3.125582448,20,0,0,11.6,7,0,0,16.6,0,7,7,7,0,3.33,0,0,3.47826087,10.4,3.8,0,10,7,0,0,0,0,7,25,12.40747912,18,10,20,0,21,10,10,0,25,0,0,7,40,27.976
11,Beloit College,524.1930449,7,7.5,7,4.9,7,10,0,10,0,2.099236641,4.007633588,1.935483871,7,10,10,2.555555556,7,7,1.059566664,0,20,5,0,14.46,7,0,0,43.42718812,0,7,7,0,6.888757527,0,8.25,0,0,19.9,7.2,10,10,0,7,0,0,0,7,2.075776778,11.83384615,0,5,20,30,13.5,10,30,15,25,0,0,7,40,28.6
12,Bentley University,558.0256549,7,10,7,7,7,0,7,10,10,0.5462724936,0.8354755784,10,7,10,0,1.376811594,7,7,0,0,20,25,0,,7,7,7,16.6,30.90488147,7,7,7,0,3.33,5.883961053,0,6.818181818,9.2,1.4,0,10,7,7,0,7,0,7,25,15.00469989,18.93537096,10,20,0,0,10,30,15,25,0,0,7,40,34.19
13,Berea College,605.6878328,7,10,7,5.6,7,10,7,0,10,1.101141925,1.794453507,10,7,10,0,1.857142857,4.375,0,0,0.5711131503,20,30,15,13.686,7,7,7,0,15.00062827,0,0,7,7,9.99,10.0247191,0,12.28571429,17,5.6,10,10,7,0,0,7,0,7,0,17.28359346,18.97032629,10,20,30,24,10,20,15,25,15,0,7,40,28.548
14,Binghamton University,603.9102178,7,10,7,7,7,10,7,10,0,0.5766621438,2.951153324,7.623626374,7,10,0,1.560891938,7,7,0,7.734903488,20,20,0,21.4,0,7,7,16.6,15.36135348,7,7,0,0,3.33,1.5,7,7.368421053,9.6,1.2,10,10,7,0,0,7,7,7,3.467620815,12.8692995,16.51428571,10,20,30,24,10,30,15,25,0,0,7,40,44.252
15,Boston University,561.5747087,0,10,7,7,7,10,7,10,10,0.8566275924,1.172227232,9.315448659,7,10,10,1.60887656,5.219298246,7,0,3.051206666,20,0,0,14.4,7,7,7,18.18631164,0,7,7,0,0,9.99,4.441083551,0,0.375,19.2,10.4,10,10,7,0,0,7,7,7,15.35867873,13.91994984,0,10,20,30,24,10,30,0,25,15,0,7,30,28.08
16,Bowdoin College,564.8014466,7,10,7,7,7,10,7,10,0,0.9420289855,2.536231884,0,7,10,0,0.8994708995,6.78125,5.25,0,2.532981813,20,20,0,17,7,7,7,22.52396247,15.5047482,7,7,0,0,9.99,13.61376147,0,1.55,18.4,4.6,10,10,7,0,0,7,0,7,0,15.68236446,17.99464644,10,20,30,24,10,30,15,25,0,0,7,40,0
17,Brown University,551.907089,7,10,7,5.6,7,10,7,10,0,0.3533568905,4.416961131,0.8058017728,0,0,0,1.298701299,4.858208955,7,0.8905170887,0.8910454635,20,0,0,18.12,7,7,7,35.76648938,15.16068468,7,7,0,0,9.99,1.5,7,0.5555555556,15,12,10,10,7,7,7,0,7,7,25,12.32476676,19.375,10,20,30,24,10,30,0,0,15,0,7,40,0
18,Bryant University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
19,Bucknell University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
20,California College of the Arts,262.6475497,0,0,0,0,7,10,7,0,0,0,0,10,0,0,0,0.8416833667,6.5625,5.25,0,0,20,0,0,,0,7,7,0,0,0,0,0,7,3.33,0,0,0,17,17,0,10,7,0,0,0,0,7,,13.66336634,0,0,20,,0,0,30,15,25,0,0,0,10,0
21,"California State University, Channel Islands",563.4970867,7,10,7,7,7,10,7,10,10,3.412698413,9.920634921,10,7,10,10,3.225806452,7,7,0,0,20,5,0,16,7,7,0,16.6,0,7,7,7,7,9.99,4.627124835,7,14.17218543,6.4,5.4,0,10,7,7,7,7,7,7,0,15.76604845,19.98258824,10,20,0,24,10,30,0,25,0,20,7,40,0
22,"California State University, Fullerton",556.7968851,0,10,7,6.3,7,10,7,0,10,0.0298596596,2.627650045,0,7,0,0,1.51026393,6.517241379,7,0,9.578295009,20,15,0,21,7,7,7,16.6,15.42161795,7,7,0,6.325114402,6.66,5.366374723,7,7.666666667,3,3.778,10,10,7,0,0,7,7,7,25,15.14913463,16.66666667,5,20,0,27,10,30,15,25,0,0,7,30,28.6
23,"California State University, Northridge",683.1779657,7,10,7,7,7,10,7,10,10,1.976685251,10,10,7,10,10,0.6884875847,7,7,0,8,20,15,0,12.6,7,7,7,50,15.29505505,7,7,7,0,9.99,5.518543982,7,11.72961373,8.2,4.2,0,10,7,7,7,7,7,7,0,13.81154251,19.90203762,10,20,30,30,10,30,15,25,0,0,7,40,32.266
24,"California State University, Sacramento",612.6785674,7,7.5,7,7,7,10,7,10,0,1.923076923,7.673076923,10,7,10,0,3.833333333,7,7,0,8,20,0,0,13.4,0,7,7,29.71982316,16.18730726,7,7,7,0,9.99,7.233035876,7,10.82608696,11.46,4.8,0,10,7,0,7,7,7,7,0,15.4839532,16.96927374,10,20,30,30,10,30,15,25,0,0,7,40,27.6796
