Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Total number of institutional divisions (e.g. schools, colleges, departments) that produce research",Number of divisions covered by a policy assuring open access to research,"A brief description of the open access policy, including the date adopted and repository(ies) used",A copy of the open access policy,The open access policy,The website URL where the open access repository is available,A brief description of how the institution’s library(ies) support open access to research,The website URL where information about open access to the institution's research is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:51,mfrever@albion.edu,2.0,Pursuing,22.0,--,"We currently are develoing an open access policy, but it is not yet in place.",,,--,,--,--
Allegheny College,2016-03-29,2016-03-29 08:53:15,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:21:47,meganzl@american.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Appalachian State University,2016-02-01,2016-02-01 13:37:26,balllf@appstate.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Aquinas College,2016-03-21,2016-03-21 14:45:22,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:37,corey.hawkey@asu.edu,2.0,Pursuing,26.0,1.0,The ASU Graduate College requires documenting and archiving all theses and/or dissertations as a requirement for graduation.(Adopted Nov. 2009),,"Degree Completion: The final culminating experiences for graduate degrees vary by program. In many master’s degree programs a thesis is required, in other programs the culminating experience is an applied or professional project. In all PhD programs, as well as in most professional doctoral programs, dissertations are required. Theses and dissertations are officially documented and archived. Theses and dissertations are submitted to UMI/ProQuest, which makes their content available to the public. Information on the dissertation later appears in Dissertation Abstracts International.",http://graduate.asu.edu/sites/default/files/ASU_Graduate_Policies_and_Procedures.pdf,"The Arizona State University Digital Repository was created to hold creative and scholarly output from current and emeritus faculty, research partners, graduate students, and ASU staff members. Undergraduate contributions may be accepted with the approval of a faculty member or by request of the Barrett Honors College. Original research products and papers of the faculty and administrators and the unique resources of the libraries will be permanently preserved and made accessible with tools developed to facilitate and encourage their continued use. On October 20, 2010, the Librarians Assembly of ASU Libraries passed an Open Access Resolution declaring their commitment to Open Access.

The ASU Digital Repository is an open-access repository and our content is available to ASU researchers, students and staff and researchers world-wide; with the goal to provide access to scholarly information available online, free, and unrestricted.  Most of our collections, with very few items, are openly available and can be discovered via commercial search engines like Google Search.  ASU Libraries have worked with the ASU Graduate College for many years to make ASU Dissertations and Theses available in our physical ASU Libraries collections, and since 2011, ASU Graduate College and the libraries have been adding the electronic copies of ASU dissertations & Theses to the ASU Digital Repository.  The ASU Electronic Dissertations and Theses collection repository content is freely available to researchers worldwide and can be discovered easily via Google search, through ASU Libraries Online Catalog, through ASU Libraries One Search, and through ASU Digital Repository search.  Most content in the ASU Electronic Dissertations and Theses collection is available upon deposit to the repository, with the exception of ASU students who chose to embargo their content for up to an including 2 years (after 2 years the content become freely available).

The URL for the ASU Digital Repository policies is http://repository.asu.edu/about/policies/",http://repository.asu.edu/,"At this time, Arizona State University (ASU) has an open access repository with appropriate policies managed by the ASU Libraries and the ASU Graduate College has a policy for all Masters and PhD candidates for their theses and dissertations for degree completion. 

However, ASU does not a formal open access policy adopted by and integrated into the institution’s organizational structure. This type of policy is currently being researched and developed. "
Austin College,2016-02-29,2016-02-29 18:24:59,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:01,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--
Ball State University,2016-02-29,2016-02-29 08:26:21,rkoester@bsu.edu,2.0,Pursuing,48.0,48.0,"Ball State University maintains a web-based platform for open access to the research products of its faculty and students. The platform is called Cardinal Scholar and makes available some 30,000 documents ranging from theses, to dissertations, to research publications --  all of which are searchable by subject, date, and author.",http://stars.aashe.org/media/uploads/test_cases/BSU_Open_Access.pdf,"Cardinal Scholar is a project of the Ball State University libraries, which announced its most recent platform upgrade on October 21, 2014. At that time, the system was made more accessible for searches, authentication processes, record counts, the breadcrumb trailing of web searches, as well as a streamlined process for document posting/deposit  – among other new features.  Ball State University also provides internal funding to offset publication costs via the Aspire Faculty Reprint Support program. 

Beyond these adopted practices, the university follows all federal policies for assuring  public access as required with all federal funding such as the NIH Open Access Policy and the (forthcoming) NFS Open Access Policy.
",http://cardinalscholar.bsu.edu,"Ball State's Beneficence Press provides an online forum for faculty, staff and students to share their research in an open access format.",http://cms.bsu.edu/academics/libraries/beneficencepress,--
Baylor University,2016-02-26,2016-02-26 17:48:23,Smith_Getterman@baylor.edu,2.0,Pursuing,8.0,8.0,"Currently, Baylor's Graduate School requires all masters and doctoral students to submit their theses and dissertations to Baylor's institutional repository, BEARdocs",,"Doctoral students are required to submit their disseratations online to BEARdocs and to UMI/ProQuest.  Master's students are required to submit their thesis online to BEARdocs; submission to UMI/ProQuest is optional.  More information about this process can be found here. 

For BEARdocs, students are allowed to request that the full-text of their work not be made available to the public (also called an embargo) for two years (generally in anticipation of journal article publication) or for five years (generally in anticipation of a patent or a book).  Students must indicate that they want this hold using this form.  After the initial embargo period, the hold can be extended.  If you wish to extend the embargo, you must contact librarywebmaster@baylor.edu.

For UMI/ProQuest, you must fill out a separate Author Authorization form during the submission process.  UMI/ProQuest explains their embargo process here.  In addition to deciding about whether to embargo your full-text content, you need to decide whether to allow third-party retailers to access your content through UMI/ProQuest and publish/sell your work.  Read this page for more information about third-party discovery and access. In general, you probably want to promote discovery but limit the sale of your work via this UMI/ProQuest third-party retailer option.

You retain the copyright to your work with your submission to BEARdocs and UMI/ProQuest.  Under current US copyright law, the copyright for your work is automatically assigned to you, the creator.  You can choose to file formally for copyright by filing with the Copyright Office.  You can do this yourself or pay UMI/ProQuest or another party to file for you.  The 2 main advantages of filing for the copyright come into play if you are infringed and go to court.  In that case,  filing copryght:

Provides the highest level of legal (prima facie) evidence that you own the copyright; and
Gives you the right to collect financial damages.",https://beardocs.baylor.edu/xmlui/,,--,--
