Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution offer at least one sustainability-focused major, degree program, or the ...","The name of the sustainability-focused, graduate-level degree program (1st program)",A brief description of the graduate degree program (1st program),The website URL for the graduate degree program (1st program) ,"The name of the sustainability-focused, graduate-level degree program (2nd program)",A brief description of the graduate degree program (2nd program),The website URL for the graduate degree program (2nd program),"The name of the sustainability-focused, graduate-level degree program (3rd program)",A brief description of the graduate degree program (3rd program),The website URL for the graduate degree program (3rd program),"The name and website URLs of all other sustainability-focused, graduate-level degree program(s)","Does the institution offer one or more graduate-level sustainability-focused minors, concentrations ...","The name of the graduate-level sustainability-focused minor, concentration or certificate (1st ...","A brief description of the graduate minor, concentration or certificate (1st program)","The website URL for the graduate minor, concentration or certificate (1st program)","The name of the graduate-level sustainability-focused minor, concentration or certificate (2nd ...","A brief description of the graduate minor, concentration or certificate (2nd program)","The website URL for the graduate minor, concentration or certificate (2nd program)","The name of the graduate-level sustainability-focused minor, concentration or certificate (3rd ...","A brief description of the graduate minor, concentration or certificate (3rd program)","The website URL for the graduate minor, concentration or certificate (3rd program)","The name and website URLs of all other graduate-level, sustainability-focused minors, ...",Public Notes
Albion College,2016-02-25,2016-02-25 15:19:05,mfrever@albion.edu,2.0,Pursuing,--, , ,--,--,,--,--,,--,,--, , ,--,--,,--,--,,--,,Albion College is an undergraduate-only institution.
Allegheny College,2016-03-29,2016-03-29 08:53:43,kelly.boulton@allegheny.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:22:08,meganzl@american.edu,2.0,Pursuing,True,Environmental Science (MS),"Offered by the Department of Environmental Science, College of Arts and Sciences. 

The environmental science master's degree program prepares students to develop innovative solutions to pressing environmental issues. Grounded in rigorous scientific research and analysis with a multidisciplinary examination of the natural sciences, the MS in environmental science also delves into the politics, policies, and economics of environmental concerns.
Students are encouraged to gain practical field experience through an internship at one or more of the many public and private environmental organizations in the Washington, DC, area. Students have opportunities to conduct research with faculty in the department, associated and affiliated faculty at AU, or at one of the many renowned research institutions in the area.
Graduates will be prepared to engage in high-level, environmental problem solving. Typical positions our graduates hold are with the Environmental Protection Agency, National Oceanic and Atmospheric Administration, and National Science Foundation, although some move on to PhD programs in environmental science.",http://www.american.edu/cas/environmental/MS-ENSC.cfm,MS Sustainability Management ,"The Master's in Sustainability Management degree program (MSSM) from the Kogod School of Business is designed to integrate business education with environmental science and public policy. It prepares students who want to be part of the first generation of professionally-trained sustainability experts and managers.

The MSSM is the only interdisciplinary business-based degree of its kind in the country, and is offered by one of the greenest universities in the U.S. 

Graduates of the program will be well poised to successfully lead in developing and implementing multi-faceted solutions to environmental, societal, and other cross-sector problems in business organizations, not-for-profits, or the government.",http://www.american.edu/kogod/graduate/MS-SMGT.cfm,Global Environmental Policy (MA),"In the Global Environmental Policy MA program students explore the causes of
environmental degradation and the social, cultural, economic and political
mechanisms that advance environmental protection. This interdisciplinary program
builds a foundation in global environmental policy by integrating the study of
environmental politics with natural science and economics.",http://www.american.edu/sis/degrees/MA-GENP.cfm,"MA in Natural Resources and Sustainable Development: http://www.american.edu/sis/sisabroad/graddual/UPeace.

MS in Professional Science: Environmental Assessment: http://www.american.edu/cas/psm/ms-environmental-science-assessment.cfm

",True,"Graduate Certificate, Environmental Assessment","Offered by the Department of Environmental Science, College of Arts and Sciences. 

Courses include Environmental Science, GIS, and Environmental Risk Assessment.",http://www.american.edu/cas/environmental/CERT-GEAS.cfm,--,,--,--,,--,,--
Appalachian State University,2016-02-01,2016-02-01 13:37:30,balllf@appstate.edu,2.0,Pursuing,True,MS of Technology Appropriate Technology Concentration,"Focuses on sustainable or ""green"" technologies, with an emphasis on renewable energy and energy efficiency. The program is widely recognized for the contributions made by faculty and students in the arena of energy studies and sustainable applications of technology.",http://graduate.tec.appstate.edu/degrees,MS of Technology Building Science Concentration,"This concentration is recognized for its emphasis on energy efficient building design, construction, and testing, as well as use of alternative building materials. Focuses on efficient building systems and the relationship between buildings and occupant comfort and health, as well as on developing students' project management capabilities.",http://graduate.tec.appstate.edu/degrees,"Appalachian Studies, Sustainability in Appalachia Concentration","The concentration is based on applied research and interdisciplinary course work spanning the social and natural sciences as well as the humanities. It provides a foundation for those students who seek to develop the means for meeting the legitimate needs of present generations without compromising the ability of future generations to meet their needs. For students interested in Appalachian and other highland and rural peoples, as well as other peoples threatened by the results of unsustainable practices and patterns, this course of study provides the background in the search for sustainable solutions.",http://www.graduate.appstate.edu/gradstudies/bulletin13/programs/appstudies.html,"""Green - Environmentally Focused Graduate Programs at Appalachian"" can be found at http://www.graduate.appstate.edu/admissions/programs/green.html


",True,MS of Technology Sustainable Building Design and Construction Concentration,"This concentration of the M.S. Technology program is designed for individuals with backgrounds in architecture, engineering, construction science/management, interior design, or related fields who are interested in the integrative design process. The program includes a strong technical emphasis on design and construction of buildings and systems that are net-zero energy",http://graduate.tec.appstate.edu/degrees,MS of Technology Renewable Energy Engineering Concentration ,"This concentration of the M.S. Technology program is designed for individuals with undergraduate degrees in engineering or the physical sciences who are interested in a program with a strong technical emphasis on renewable energy system design, monitoring, and analysis.",http://graduate.tec.appstate.edu/degrees,MBA Sustainable Business Concentration,"This concentration of the MBA program exposes students to sustainable business practices used in the global economy, advances their knowledge of accounting practices for sustainable businesses, and develops their ability to use Cost-Benefit analysis and environmental economics in business. ",http://mba.appstate.edu/node/4431,"""Green - Environmentally Focused Graduate Programs at Appalachian"" can be found at http://www.graduate.appstate.edu/admissions/programs/green.html",--
Aquinas College,2016-03-21,2016-03-21 14:45:26,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:40,corey.hawkey@asu.edu,2.0,Pursuing,True,Master of Arts (M.A.) in Sustainability - School of Sustainability,"The MA in sustainability is a research oriented degree that culminates with research writing (either a thesis or a publishable, scientific paper). Although the graduate programs emphasize the integration of a broad range of expertise in student training, this master’s program is best suited to students inclined toward social sciences, humanities, planning or related fields and interested in a career in research or academia. Students learn how different disciplines view and approach the challenges of sustainability in theory, research and practice. They develop the academic and technical skills as well as the ethical insights that will help them understand, research and provide solutions to complex sustainability challenges at the local, regional, national and global levels. Students can also apply to participate in the Master's International Peace Corps Program, which works in conjunction with this program.",https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/SUSUSTMA/graduate/false,Master of Science (M.S.) in Sustainability - School of Sustainability,"The MS in sustainability is a research oriented degree that culminates with research writing (either a thesis or a publishable, scientific paper). Although the graduate-degree programs emphasize the integration of a broad range of expertise in student training, the MS program is best suited to students inclined toward natural sciences, economics, engineering, or related fields and interested in a career in research or academia. Students learn how different disciplines view and approach the challenges of sustainability in theory, research and practice. They develop the academic and technical skills as well as the ethical insights that will help them understand, research and provide solutions to complex sustainability challenges at the local, regional, national and global levels. Students can also apply to participate in the Master's International Peace Corps Program, which works in conjunction with this program.",https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/SUSUSTMS/graduate/false,Doctor of Philosophy (Ph.D.) in Sustainability - School of Sustainability,"The PhD in sustainability is offered for students who have completed a bachelor's or master's. The doctoral program prepares students to become scientists and leaders in research, to investigate the urgent sustainability challenges of the 21st century. Graduates will possess an advanced understanding of the dynamics of coupled socioecological systems and be able to lead others in research providing adaptive solutions to specific sustainability challenges. The flexible, interdisciplinary nature of the program allows students to focus on problems of interest to them, drawing upon relevant knowledge from a variety of disciplines.",https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/SUSUSTPHD/graduate/false,"Masters in Sustainable Solutions (MSUS) - School of Sustainability
https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/SUSUSOMSUS/graduate/false

Executive Masters for Sustainability Leadership (EMSL) - School of Sustainability
https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/SUEMSLEMSL/graduate/false

MS in Civil, Environmental and Sustainable Engineering - Ira A. Fulton Schools of Engineering 
https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/ESCIVILMS/graduate/false

MSE in Civil, Environmental and Sustainable Engineering - Ira A. Fulton Schools of Engineering 
https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/ESCIVILMSE/graduate/false 

PhD in Civil, Environmental and Sustainable Engineering - Ira A. Fulton Schools of Engineering 
https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/ESCIVILPHD/graduate/false

PhD in Environmental Social Sciences - College of Liberal Arts and Sciences
https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/LAESSPHD/graduate/false

MAS in Sustainable Tourism (MAS) - College of Public Programs
https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/PPSUSTMAS/graduate/false

MS Tech in Environmental Technology Management - College of Technology and Innovation
https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/TSMGMSTECH/graduate/false

Masters in Urban and Environmental Planning (MUEP) - College of Liberal Arts and Sciences
https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/ARURBMUEP/graduate/false",True,Concentration in Complex Adaptive Systems Science - School of Sustainability,"The complex adaptive systems science concentration under the PhD in sustainability trains the next generation of scientists in advanced concepts and methods needed for approaching diverse phenomena in the social and life sciences. The program is tightly integrated with diverse, ongoing, university-wide research on complex adaptive systems science at Arizona State University and emphasizes the value of a complex adaptive systems science perspective, to give better insight and a more active role in seeking solutions to a broad array of critical issues facing our society today. Students will be fluent in the common language of complexity while also receiving a solid foundation in the domain knowledge of existing academic disciplines.",https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/SUSUSTCPHD/graduate/false,Certificate in Complex Adaptive Systems Science - School of Sustainability,"The complex adaptive systems science graduate certificate trains the next generation of scientists in advanced concepts and methods needed for approaching diverse phenomena in the social and life sciences. The program is tightly integrated with diverse, ongoing, university-wide research on complex adaptive system science at Arizona State University and emphasizes the value of a complex adaptive systems perspective to give science better insight and a more active role in seeking solutions to a broad array of critical issues facing our society today. Students will be fluent in the common language of complexity while also receiving a solid foundation in the domain knowledge of existing academic disciplines.",https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/SUCASGRCT/graduate/false,Certificate in Sustainable Technology & Management - Ira A. Fulton Schools of Engineering,"The certificate in sustainable technology and management is an interdisciplinary program that helps managers, engineers and organizations meet the business and engineering imperatives of sustainable development in a globalizing and increasingly competitive economy.

Students will be presented with metrics and skill sets that will enhance the development of sustainable technologies, entrepreneurship and organizational strategy. The net benefit will be reduced risks and costs and increased competitive advantages through strategic alliances, scenario planning and resource management.",https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/SUSUTECHCE/graduate/false,"Certificate in Sustainable Tourism - College of Public Programs
https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/PPSTGRCT/graduate/false",--
Austin College,2016-02-29,2016-02-29 18:25:03,pschulze@austincollege.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:05,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Babson only offers three programs: MBA, MSM, and MSA"
Ball State University,2016-02-29,2016-02-29 08:26:26,rkoester@bsu.edu,2.0,Pursuing,True,Master of Architecture 1 (Professional Degree),"The master of architecture (MArch) professional degree is the second component of architectural education at Ball State University. It is for students who seek licensure in the profession and is accredited by the National Architecture Accrediting Board (NAAB).

Our college is listed among ""America's World-Class Schools of Architecture"" by Design Intelligence, ranked in the top 10 nationally for our work in digital design and fabrication and our commitment to social justice by Architect magazine, and nationally known for our leadership in sustainability.

With two options, our graduate degree is for those committed to developing—with faculty and fellow students—the attitudes, skill, and methods needed to work as an architect in support of the sustainability of a built environment of the highest quality.

We see the built field—and architecture as part of it—as an embodiment of culture in all its diversity and complexity. It is in constant flux while adhering to an underlying coherence. The built field consists of both ordinary and special buildings. Spaces found in built fields span time and space from dense urban agglomerations to the most rural settlements.

The evolution of the built field—depending on both convention and invention for its sustenance—is guided by professionals from a wide range of disciplines, including architects, engineers, planners, as well as public officials, corporate leaders, product manufacturers, and everyday users.

In light of these realities, and because we expect our graduates to engage in diverse forms of local and global practice during their careers, we challenge students with knowledge both new and old. We stress how to learn and how to design, incorporating the methods that constitute the profession’s shared body of knowledge.

Because we respect the lessons practice offers, we emphasize the idea of the reflective and global practitioner as a conceptual framework linking our teaching in classrooms and studios, and a variety of immersive learning experiences away from the campus.

Given this viewpoint, a distinct part of our program is a required academic internship experience of at least 14 weeks following the framework articulated by National Council of Architectural Registration Board’s Intern Development Program (IDP) for architectural licensing. Students who have already fulfilled the academic internship requirement prior to enrollment in the program,  may pursue more internship experience or utilize study away experiences including the following options:

•	Foreign travel and study in one of Ball State's foreign study centers or with cooperating institutes and universities in the United States and around the world
•	On-campus immersive and experiential learning experiences such as the Virginia Ball seminar
•	Another distinct component of our program is the opportunity to embark on one of several certificate programs offered within the College of Architecture and Planning and in the university at large.

We welcome students from around the world—of all ages, races, and backgrounds—who wish to work with us on the vital issues and opportunities that face the profession as it seeks to contribute to improving our manmade environment.
",http://cms.bsu.edu/Academics/CollegesandDepartments/CAP/Programs/Architecture/Programs/Masters/MArch.aspx,Master of Science in Historic Preservation,,--,--,,--,,--,--,,--,--,,--,--,,--,,--
Baylor University,2016-02-26,2016-02-26 17:48:27,Smith_Getterman@baylor.edu,2.0,Pursuing,True,Environmental Studies,"Candidates must complete thirty semester hours of graduate courses including six semester hours of research and thesis. At least twelve semester hours will be 5000-level courses.Candidates will present a proposal to their thesis committee that defines the area of environmental interest including the identification of a major problem in the area.
When the course work is completed and the thesis is accepted, the candidates must pass a comprehensive oral examination over the work of the program.",http://www.baylor.edu/environmentalscience/index.php?id=57975,Environmental Biology,"The M.S. degree in Environmental Biology is for those interested in applied environmental
biology. Course work and research emphasize the solution of current environmental
problems. Degree requirements include at least eighteen semester hours of approved
Biology courses, of which twelve semester hours must be at the 5000 level, and six semester hours from approved graduate courses in the Department of Environmental Sciences. The concept areas in this track include terrestrial and aquatic ecology, invasion and conservation ecology, environmental pollution, environmental management, and environmental ethics. Students also must demonstrate familiarity with the scientific literature, and expertise in experimental design collection and analysis of data, and in interpretation of results in subject areas pertinent to student’s thesis research.",http://www.baylor.edu/biology/index.php?id=68395,Environmental Science,"The Department of Environmental Science at Baylor University offers interdisciplinary Ph.D. degrees emphasizing Environmental Science through the Institute of Ecological, Earth and Environmental Sciences and Environmental Health through the Institute of Biomedical Studies.",http://www.baylor.edu/environmentalscience/index.php?id=55219,,--,--,,--,--,,--,--,,--,,--
