Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an ongoing incentives program or programs that meet the criteria for this ...,"A brief description of the program(s), including positive outcomes during the previous three years",A brief description of the incentives that faculty members who participate in the program(s) receive,The website URL where information about the incentive program(s) is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:10,mfrever@albion.edu,2.0,Pursuing,--,,,--,--
Allegheny College,2016-03-29,2016-03-29 08:54:22,kelly.boulton@allegheny.edu,2.0,Pursuing,--,,,--,--
American University,2016-03-23,2016-03-23 14:22:38,meganzl@american.edu,2.0,Pursuing,True,"The Ann Ferran Conference, an annual conference open to all faculty and staff includes workshops on integrating campus sustainability into the curriculum and creates incentive for new sustainability courses. Relevant workshops:

307: More Than a Scenic Backdrop: The AU Campus as a Teaching and Learning Resource: The AU campus is a natural treasure. It is an accredited arboretum and recognized as one of the most beautiful and well-tended college campuses in the country. This landscape is more than a scenic backdrop: It can be an exceptional resource for experiential learning. This panel brings together faculty and staff in an imaginative and interactive discussion about how AU’s Arboretum and Gardens can be, and have been, integrated creatively and effectively into classes. The campus environment lends itself well to exploring such topics as biodiversity, water management, sustainable development, and urban agriculture. Memorable moments in the University’s history also can be revisited in the arboretum: for example, President Kennedy’s 1963 commencement speech. Following the presentations, panelists and the audience brainstorm about opportunities and connections that can serve to enhance faculty and student familiarity with the campus and enrich the classroom experience.  

407: Teaching Environment and Sustainability across the Curriculum: This session seeks to engage and collaborate with faculty who want to learn about incorporating issues relating to conservation, climate change, and/or sustainability into their courses. These are key challenges of our times and teaching these issues enhances students’ knowledge and capacity to make a difference. Attendees learn strategies for including environmental examples, topics, speakers, projects, assignments, current events, and site visits in any course. Participants who have never taught these topics before but who are interested in interdisciplinary teaching are encouraged to attend. The session focuses upon sharing ideas and discussion of opportunities for including environmental topics across the curriculum.

Due to the workshops at this annual conference, interest has been increasing among faculty, and there has been growth in participation in this program. Discussions about how to expand the offering are underway.","Faculty receive professional development training, free of charge, in this subject area. The Office of Sustainability staff is available to all faculty to provide sustainability tours, data, and other benefits as requested. ",http://www.american.edu/ctrl/conference.cfm,--
Appalachian State University,2016-02-01,2016-02-01 13:37:35,balllf@appstate.edu,2.0,Pursuing,True,"The department of faculty and academic development runs the Learning Communities Leadership Institute, a faculty training program that is held every semester. The workshop aims to help develop learning communities on campus through faculty involvement. Learning communities are trans-disciplinary groups of persons who share a common interest and through a process of collaborative inquiry, learn, develop, and share ideas relevant to accomplishing a specified goal.  An important characteristic of a learning community is that it exists, in large part, to maximize and promote the individual and collective learning of its members. As such, an effective learning community not only illuminates and advances a topic of interest, it also enhances the professional capacity of its members as teachers, scholars, and leaders. It is democratic, inclusive, and collaborative, and genuinely dedicated to fostering learning and community.  

One of the four learning communities at Appalachian State is Sustainability. Through faculty education of the sustainability learning community more classes have incorporated sustainability topics and issues into their lessons. Faculty are made more aware of sustainability programs and how to connect them into their department. Faculty are made more aware of sustainability goals and how to obtain them. Faculty are more equipped to carry out the Strategic Plan which has focuses on increased sustainability throughout campus.",Faculty that are selected receive a $300 stipend upon completion of the five day workshop and all lunches are provided. ,http://fad.appstate.edu/events/2014-learning-communities-leadership-institute,--
Aquinas College,2016-03-21,2016-03-21 14:45:31,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:45,corey.hawkey@asu.edu,2.0,Pursuing,True,"Arizona State University’s School of Sustainability launched its solution-oriented program in academic year 2008-2009.  The goal of this program is to engage students, faculty and community members (e.g., representatives from businesses, municipalities, and nonprofit organizations) in collaborative research on pressing sustainability issues in order to identify joint problems and explore solution approaches to them.  The program incentivizes faculty to develop new sustainability courses or to develop hands-on projects in existing sustainability courses.

Since the creation of the solutions-learning program, the program has grown quickly and has developed both at the undergraduate and graduate level.  In total, there have been 82 solutions-learning courses that have involved 46 distinct faculty members and 2,746 students.  The program and its relevant outcomes have been describe and published as a peer-reviewed article (Wiek, A., Xiong, A., Brundiers, K. & van der Leeuw, S. (2013).  Integrating problem-and project-based learning into sustainability programs—A case study on the School of Sustainability at Arizona State University.  International Journal of Sustainability in Higher Education).

Positive outcomes of these collaborations include for instance, the creation of a pilot program for food waste composting on the ASU Tempe campus (SOS 494/594: Urban Composting Systems – Applied Case Studies for ASU, Spring 2011); or the creation of form-based codes for transit-oriented development for the City of Phoenix (SOS 594: Sustainable Solution Options for Phoenix, Spring 2012, Fall 2012, Spring 2013); or the implementation of a playground design fostering children’s physical movement and cognitive learning for Mountain Park Health Center, providing affordable health care in underserved, low-income communities.
","Through the solutions-learning program, faculty have the support of a “Community-University Liaison”.  This half-time staff position was created to assist faculty in working with local community organizations relevant to their research and teaching areas (in government, for profit, and nonprofit domains), and in designing and implementing real-world projects in sustainability (e.g., project design, coaching students, co-instruction of classes).  To respond to requests for training from faculty, the Community-University Liaison also organizes annual half-day training workshops as well as a lecture series to facilitate faculty exchange about best practices in teaching solutions learning in collaboration with community partners.

Additionally, the School of Sustainability has also funded a half-time research assistantship position to assist faculty with the development of solutions-oriented projects.  For example, this position is assisting with a global classroom experience on urban sustainability that brings together students from ASU and Leuphana University in Germany.  Using videoconferencing and face-to-face exchanges, students from both countries engage in collaborative learning to develop solutions to sustainability challenges in cities in Germany and the U.S.  Given the logistical challenges, the assistantship position has been critical for this program to be successful.

The incentives above are offered to School of Sustainability faculty, but often result in collaborations with faculty in other colleges/schools and courses are cross-listed so that a wide-range of students have access to the courses.

The President of Arizona State University also rewards innovative and socially embedded teaching techniques fostering sustainability competencies with the “President’s Award for Sustainability”.  In the past, this award has been given to faculty for their development of sustainability courses that have had a positive impact on not only students in the course, but the community.
",https://cfo.asu.edu/hr-sustainabilityaward,"Information about the solutions-oriented program is not available online, but a link is provided to the President's Award for Sustainability."
Austin College,2016-02-29,2016-02-29 18:25:07,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:10,dscott@babson.edu,2.0,In Progress,--,--,--,--,--
Ball State University,2016-02-29,2016-02-29 08:26:31,rkoester@bsu.edu,2.0,Pursuing,True,"Provost’s Initiative – Immersive Learning

_____Immersive Learning Project Guidelines

• Preference will be given to projects that meet all or most of the characteristics of immersive learning.  See: http://cms.bsu.edu/Academics/UndergraduateStudy/BeyondtheClassroom/ImmersiveLearning.aspx
• While preference will be given to new proposals and activities, successful projects previously funded by the Provost’s initiative may apply for funds where need exists and unduplicated students will be served.  New proposals are not necessarily new courses.  Faculty members are encouraged to consider how their existing courses may be made more immersive.

• We will not fund “immersive coordinators” nor new faculty lines. We will not fund overloads.  We will fund buyouts for release time.

• Preference will be given to projects that can become self-sustaining. This is only temporary money. If the project is requesting equipment, please address why new equipment is needed and how it will be maintained. Equipment purchased specifically for immersive learning projects will be turned back to the Provost’s Office if the project is not sustained.
 
• Interdisciplinary proposals involving multiple departments and colleges are encouraged. Proposals should address how students will be recruited and how credit will be assigned.

• Preference will be given to projects that work with one or more community partners.  Letters of support from said partners should be attached to the proposal. Projects involving international travel should provide a signature of support from Dr. Kenneth Holland, Dean Rinker Center for International Programs.

• Projects should involve primarily undergraduate students.  Funds for graduate student support may be available, but the learning outcomes and project activities are to be for undergraduate students.

• All full-time faculty (tenured, tenure-track, and contract) are eligible to apply.  Professional Personnel in collaboration with faculty are also eligible.

• Proposals must be signed by appropriate chairs and deans.  

• Proposals must be accompanied by a brief statement of support from the Department Chair(s) or Center Director(s) that addresses if and how the proposed project a) contributes to the department’s curriculum, b) if the department can meet its curriculum obligations if the faculty member(s) is funded for the project, and c) if the proposed project will be perceived as an appropriate scholarly or creative endeavor for the faculty member(s).

• Proposals will be evaluated by the Immersive Learning Advisory Committee with recommendation to the Provost.  Committee members are available for consultation.  Contact J. Trimmer for information. 

• The proposal is limited to 6 pages, not including the cover memo, letters of community support, or letter of chair support.  Please be succinct and direct.

• Faculty receiving funds are expected to provide a mid-grant report and provide a public presentation of the project upon its completion.

• Faculty will be asked to provide assessment data at the conclusion of the project.  Faculty members who are funded will be asked to use an experimental evaluation form for assessment purposes.


_____The format for the proposal:  
The following items are required.  

1) Title of project

2) Person(s) responsible for implementation along with a statement of credentials as they relate to the specific project proposed.  An abbreviated vita may be attached as a supplement to the proposal.

3) Abstract of proposed program

4) Narrative: explain how the project meets the seven characteristics of immersive learning

5) Student information:	

     a)Projected number of students that will participate
     b)Statement of how students will be recruited
     c)Statement of how much credit will be awarded and how it will be awarded
     d)Disciplinary fields and skill sets of those students who will be recruited to complete the project

6) Budget, including as needed:
     a)Personnel
     b)Travel
     c)Supplies
     d)Equipment
     e)Administrative costs

7) Assessment Plan: How will student learning outcomes be assessed. (May also be part of the narrative.)

8) Sustainability plan

9) Plan for dissemination of pedagogy, research, process, assessment, etc.

10) Letter(s) from community partners

11) Additional Considerations that may need to be addressed 

     a)Will the project need IRB approval?  Where is the faculty member in the process?
     b)Has or will the faculty member apply for special leave or other assignment that might delay this project if funded?
     c)Has the faculty member(s) reviewed the university’s Intellectual Property Policy?
     d)If a new course is being proposed, where is it in the approval process?
","Budget, including as needed:
     a)Personnel
     b)Travel
     c)Supplies
     d)Equipment
     e)Administrative costs
",http://www.bsu.edu/provost/,--
Baylor University,2016-02-26,2016-02-26 17:48:32,Smith_Getterman@baylor.edu,2.0,Not Pursuing,--,--,--,--,--
Belmont University,2016-03-14,2016-03-14 08:38:31,mary.lucus@belmont.edu,2.0,Pursuing,True,"Belmont's Vision 2020 adopted in 2014 focuses in 2 of the 7 goals on sustainability.
WE WILL ensure long-term organizational strength by the efficient and responsible use of our resources, including:committing to environmentally sustainable practices as we pursue reducing our per-student carbon footprint;finding ways to educate our students regarding the importance of caring
for the natural environment;striving to hold the cost of attendance increases to less than 5 percent
per year
WE WILL continue our commitment to be “Nashville’s University,” aligning Belmont’s vision and resources with the ever-changing needs of the people
in our community by:
■ being known for the active service-learning components of our curriculum;
■ leveraging our academic expertise to meet the needs for continuing education in Nashville;
■ committing to give of ourselves as faculty, staff, administrators and students to community service organizations and to offer ourselves for leadership positions when appropriate;
■ continuing to support the Bridges to Belmont initiative as a re-investment
in our community;
■ supporting community initiatives that align with our educational mission—such as the Middle Tennessee STEM Innovation Hub, Nashville Arts and Business Council and the Tennessee Arts Academy—within the boundaries
of fiscal responsibility; and
■ being a gathering place for the community for important events such as executive education, nonprofit fundraisers, fair and balanced political
debates and discussions, and responding to community-wide disasters
and emergencies.",All members of the Belmont community have been given the task of pursuing these goals.,http://www.belmontvision2020.com/wp-content/uploads/2014/11/Vision-2020-Final.pdf,--
