Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution offer continuing education courses that address sustainability?,Number of continuing education courses offered that address sustainability,Total number of continuing education courses offered,A copy of the list and brief descriptions of the continuing education courses that address ...,A list and brief descriptions of the continuing education courses that address sustainability,Does the institution have at least one sustainability-themed certificate program through its ...,A brief description of the certificate program,Year the certificate program was created,The website URL where information about sustainability in continuing education courses is available ,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:04,mfrever@albion.edu,2.0,Pursuing,True,3.0,3.0,,"Albion Bee School
This school started in 2000 and is a one day event held in February/March and introduces faculty, staff, students and the surrounding communities to honeybee keeping.   Beginner and Intermediate classes are offered.

AALL
 The Albion Area Lifelong Learners (AALL) was established by a group of retired persons after a suggestion by the Action Team of the Albion Alliance 2000. Sponsorship and a grant by Albion College enabled classes to begin during the spring of 2000. The membership has now grown to over 160 and includes members from a wide area around Albion.  The mission of AALL is to provide opportunities for lifelong learning through discussion, intellectual and social interaction, and access to cultural events. Classes provide an opportunity to be part of a learning process that includes stimulating discussion, humor, disagreement, insight and challenges to preconceived ideas.  The classes are simply for the enjoyment of learning.
About 18 classes are offered each year in the Winter, Spring and Fall seasons.

Grandparents College
A summer camp program for children ages 8-12 and any adults who want to learn with them. Participants select from a variety of classes to attend over a three day period.  

You'll choose four kid-friendly ""courses"" spanning science, music, business, and more, like ""What's all the buzz about - honeybees,"" ""Down on the Farm,"" ""Lemonade Stand,"" ""Michigan's Reptiles and Amphibians,"" and ""Albion and Beyond!"" ",True,"Project Wild is a nationally-known environmental and conservation program for K-12 educators and their students.   Through its nature-based curriculum and training workshops, educators address the need for human beings to develop as responsible citizens of our planet.

Director of the Whitehouse Nature Center offers this workshop once a year to educators in the college's Education Department as well as others from the community who work with youth.   Participants receive a certicate of completion recognized by the Project Wild's State and National Offices.
 

",1983.0,--,--
Allegheny College,2016-03-29,2016-03-29 08:53:40,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:21:53,meganzl@american.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Appalachian State University,2016-02-01,2016-02-01 13:37:30,balllf@appstate.edu,2.0,Pursuing,True,9.0,18.0,,"1-1/2 Day Photovoltaic System Fundamentals - workshop will introduce participants to the basic concepts, tools, materials and construction and engineering techniques needed to design and construct systems that convert solar resources into electricity with photovoltaic (PV) technologies. 

1-1/2 Day Solar Thermal Water Heating Fundamentals -  workshop will cover all aspects of residential solar water heating, including system design, sizing, component selection, installation, and performance verification

Regulatory Financial Updates for Renewable Energy in North Carolina - workshop will provide attorneys, accountants, project developers, and other interested stakeholders with an introduction to these regulatory and legal precedents including a review of recent decisions at the federal and state level affecting renewable energy projects, a basic understanding of the nuances regarding financial and tax incentives, an overview of pending and developing issues (e.g., environmental policy, REC markets, energy markets, etc.), and insight into how these emerging trends may affect project value and risk into the future

Green Guidelines & Certifications for Homes - workshop will explore the various green building certification programs and standards

Solar Thermal Water Heating - workshop will cover all aspects of residential solar water heating, including system design, sizing, component selection, installation, and performance verification

Microhydro System Design and Installation -  workshop will cover the basics of small scale hydro power with a field trip to local microhydro installation

Introduction to Photovoltaic System Design & Construction (NABCEP) - workshop will introduce participants to the basic concepts, tools, techniques and materials needed to design and construct both battery-based and grid-direct photovoltaic systems

Best Practice Code-Compliant PV System Design - class will clearly explain and summarize the intent and application of the National Electrical Code relevant to photovoltaic (PV) solar electric systems and cover significant changes in the 2014 National Electric Code that pertain to PV systems

KidWind Workshop -  This workshop will share ideas and lesson plans - giving educators the tools, confidence, and resources needed to successfully implement wind energy science in their classrooms


",--,,--,http://energy.appstate.edu/programs/workshops/continuing-education,http://www.wind.appstate.edu/workshops/workshops.php
Aquinas College,2016-03-21,2016-03-21 14:45:25,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:37,corey.hawkey@asu.edu,2.0,Pursuing,True,71.0,535.0,http://stars.aashe.org/media/secure/21/6/574/3583/ASU%20Continuing%20Education%20Classes%20in%20sustainability.xlsx,"2013 and Beyond: Where Do We Go From Here? — a conversation with President Michael M. Crow
8th Annual Building Healthy Lifestyles Conference
Accompaniment: From Managing Differences to Unleashing Diversity
American History A to Z: From the Atomic Bomb to Emilio Zapata (and a lot in between) 1900-2013
Ancient Science and Technology
Angels, Monsters and the Moral Limits of Science
Brazil: More Than You Can Imagine
Building a Legacy for Public Service
Change is in the Air: Climate Change in Arizona
Chemistry in the Real World
Clean Air Act Regulatory Compliance
Climate Change - the Science and the Spin
Climate Change: The Science and the Spin
Climate Change: The Science and the Spin
Discover America- The Geology of Western National Parks
Discovering Resilience for the Second Half of Life
Energy & the Environment for High School Teachers
Energy & the Environment for High School Teachers
Energy Modeling for LEED Projects
Energy Transitions: America's Journey
Fostering Citizen Participation Beyond the Public Meeting
GreenHouse Gas, Renewable Energy, and Sustainability Seminar
Hazardous Materials Transportation - Initial
Hazardous Materials Transportation - Initial
Hazardous Materials Transportation - Initial
HAzWOpER 40-hr
HAzWOpER 40-hr
HAzWOpER 40-hr
HAzWOpER 40-hr
HAzWOpER 40-hr
HazWOpER Manager/Supervisor
HazWOpER Manager/Supervisor
HazWOpER Refresher
HazWOpER Refresher
HazWOpER Refresher
HazWOpER Refresher
HazWOpER Refresher
HazWOpER Refresher
HazWOpER Refresher
HazWOpER Refresher
HazWOpER Refresher
HazWOpER Refresher
HazWOpER Refresher
HazWOpER Refresher
Health Lifestyles Seminar Series
Healthy Minds, Healthy Bodies: You and Yours after 50
International Air Transportation of Dangerous Goods (IATA)
International Air Transportation of Dangerous Goods (IATA)
LEED for Specialty Contractors
Life at Frank Lloyd Wright’s Taliesin West: From Generation to Generation
Material Strategies that Work for LEED
Natural History of the Sonoran Desert
Operations and Supply Chain Management
Phoenix - Where We Were, Where We Are and Where We Are Going
Professional Certificate in Supply Chain Management
Professional Certificate in Supply Chain Management
Regulation of Chemical Substances
Renewable Energy at Arizona State University
Resource Conservation and Recovery Act - Advanced
Resource Conservation and Recovery Act - Advanced
Resource Conservation and Recovery Act - Advanced
Resource Conservation and Recovery Act - Basic
Resource Conservation and Recovery Act - Basic
Strategic Procurement
Supplier Management and Negotiation
Supply Chain Design and Cost Management
Tourism and Community Well-Being: The Case of the Maasai in Tanzania
Value Based Project Delivery: Becoming a Better Buyer and Seller
Value Based Project Delivery: The Best Value Business Model (Toronto)
Value Based Project Delivery: The Best Value Business Model (Vancouver)
Water Quality Laws and Requirements
",--,,--,http://ce.asu.edu/,--
Austin College,2016-02-29,2016-02-29 18:24:59,pschulze@austincollege.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:04,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,The Lewis Institute is in the process of developing a course for the Executive Education Center focused on Social Innovation.
Ball State University,2016-02-29,2016-02-29 08:26:24,rkoester@bsu.edu,2.0,Pursuing,True,25.0,381.0,,"A sample of the courses is as follows:
Indiana Economic Development Course 2014, Open Enrollment
""Week-long ED course accredited by the International ED Council (IEDC).  The program was designed according to the guidelines established by IEDC. Topics include: business retention and expansion, strategic planning, marketing/business attraction, economic development finance, small business and entrepreneurship development, community/neighborhood development, real estate development and reuse, workforce development, building development organizations, development and the environment, understanding the global economy, international trade, community development theory, data gathering and analysis, and existing industry development.""
Geothermal Conference II
On 4/10/2014, GeoCon II participants exchanged technical information, developed understandings, and shared experiences with design, drilling, and equipment issues related to geothermal ground source heat pump technology.  To showcase the nation’s largest geothermal heating and cooling system, guided bus tours included the borehole drilling site, the HVAC interface, and the District Energy Station North building all located on Ball State's campus.

Further examples can be obtained from the university.",--,,--,--,"The institution offers a variety of noncredit, seminars, workshops and customized training programs."
Baylor University,2016-02-26,2016-02-26 17:48:26,Smith_Getterman@baylor.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
