Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of students engaged in community service,Total number of students ,Does the institution wish to pursue Part 2 of this credit (community service hours)?,Total number of student community service hours contributed during a one-year period,Does the institution include community service achievements on student transcripts?,"A brief description of the practice of including community service on transcripts, if applicable",Does the institution provide incentives for employees to participate in community service (on- or ...,A brief description of the institution’s employee community service initiatives,The website URL where information about the institution’s community service initiatives is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:08,mfrever@albion.edu,2.0,Pursuing,580.0,1350.0,True,1184.0,--,"The college has a Student Volunteer Bureau with over 200 members.   The fraternity and soroities, clubs and individuals take part in numerous volunteer initiatives in the community each year.   Examples....Kalamazoo River Clean-ups; packaging over 6,000 meals for Albion residents for Thanksgiving; hat, scarf and glove drives.",--,"Faculty and staff of the college participate in community volunteer activities such as, adopting families for Christmas, helping with food drives and packaging for Thanksgiving meals; raised bed and gardening programs in Albion for youth and adults.


http://www.albion.edu/student-life/chaplain/service-log  
http://campus.albion.edu/svb/
http://gobrits.com/information/SAAC/SAAC",--,--
Allegheny College,2016-03-29,2016-03-29 08:54:15,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:22:23,meganzl@american.edu,2.0,Pursuing,3476.0,12110.0,True,353050.0,True,Community Based Learning courses are marked on transcripts as CB.,--,,http://www.american.edu/ocl/volunteer/index.cfm,--
Appalachian State University,2016-02-01,2016-02-01 13:37:33,balllf@appstate.edu,2.0,Pursuing,6885.0,14923.0,True,206894.0,True,"Involvement in ACT can be recorded on the Co-Curricular Transcript (SDR). The program is a comprehensive attempt to provide data and information regarding student involvement in co-curricular and related non-classroom activities. The SDR program is under the direction of the Lee H. McCaskey Center for Student Involvement and Leadership (CSIL). The SDR was developed to provide statistical information regarding student involvement, provide useful services to student organizations, and provide students with a chronology of their involvement.",True,"The University recognizes the support roles of volunteers in the community and with non-profit organizations, Appalachian State fully supports the State policy on Community Service leave as outlined in the state personnel manual. All employees are granted 24 hours of leave to be used during a calendar year.",http://act.appstate.edu/,--
Aquinas College,2016-03-21,2016-03-21 14:45:29,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:42,corey.hawkey@asu.edu,2.0,Pursuing,14280.0,73378.0,True,406100.0,--,,True,"Arizona State University alumni from around the nation participated in volunteer projects as part of the ASU Cares: Day of Service. The ASU Alumni Association, sponsor of the annual event, partners with its alumni chapters from across the United States to help Sun Devils work together to provide service to their local communities.
Every year, all ASU students, faculty, staff, and alumni are invited to participate. The association’s intent is to produce a day of national day of civic involvement, according to Christine K. Wilkinson, president of the ASU Alumni Association. https://alumni.asu.edu/news/story/asu-cares-day-spreads-message-community-service-coast-coast
",--,"Community Service Websites

Volunteer @ ASU Webpage
http://volunteer.asu.edu/

College of Liberal Arts Community Service Webpage
https://clas.asu.edu/current-students/community-service-and-internships

Barrett Honors College Community Service
http://barretthonors.asu.edu/student-life/service-and-community-impact/

ASU Cares: Day of Service
https://alumni.asu.edu/news/story/asu-cares-day-spreads-message-community-service-coast-coast


"
Austin College,2016-02-29,2016-02-29 18:25:04,pschulze@austincollege.edu,2.0,Pursuing,1100.0,1294.0,True,16000.0,--,,--,,http://www.austincollege.edu/campus-life/service-station/,--
Babson College,2016-02-24,2016-02-24 08:38:08,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,The number of students and hours are only based on the undergraduate school and select information from the graduate school. We do not track graduate service hours in a single place. 
Ball State University,2016-02-29,2016-02-29 08:26:29,rkoester@bsu.edu,2.0,Pursuing,6734.0,18255.0,True,82507.0,True,"Community service hours are reflected on an academic transcript through our office when there is official enrollment in an academic course.  

In addition, Student Life will provide documentation for a student if a student requests a record of community service through that office  (this would be for service not related to earned university credit)",True,The university allows employees to spend up to a total of 416 compensable hours in a fiscal year in performing outside service activities for a governmental entity or one or more 501(s)(3) not-for-profit organizations as determined in the sole discretion of and with the prior approval of the employees supervisor.,http://cms.bsu.edu/CampusLife/SVS.aspx,--
Baylor University,2016-02-26,2016-02-26 17:48:30,Smith_Getterman@baylor.edu,2.0,Pursuing,8948.0,16787.0,True,103944.0,--,,--,,--,--
Belmont University,2016-03-14,2016-03-14 08:38:30,mary.lucus@belmont.edu,2.0,Pursuing,3295.0,6713.0,True,40315.0,True,Co-curricular transcripts are available for self-reported community service through the BruinLink system and for verified community service hours through the Get Connected system the University fully implemented for the 2015-16 school year.,True,"Belmont University employees are encouraged to participate in the community throughout the year. Nearly 200 employees participated last year in our annual It's Bruin Time in the Community potato sort at Second Harvest Food Bank, and this year 182 Belmont employees contributed over 400 hours of service during our week of 125 Hours of Continuous Service in celebration of Belmont's 125th Anniversary.  In addition, Belmont gives their employees up to 5 paid days to go on University sponsored mission trips and granted employees up to 3 paid days off to assist with Flood Recovery after the 2010 floods in Nashville.",http://www.belmont.edu/community/index.html,--
Beloit College,2016-03-23,2016-03-23 13:47:27,chapmanlr@beloit.edu,2.0,Pursuing,947.0,1313.0,True,59180.0,--,,--,,--,--
Bentley University,2016-03-25,2016-03-25 16:00:45,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
