Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution coordinate one or more ongoing student, peer-to-peer sustainability outreach ...",Number of degree-seeking students enrolled at the institution,Name of the student educators program (1st program),Number of students served (i.e. directly targeted) by the program (1st program),"A brief description of the program, including examples of peer-to-peer outreach activities (1st ...",A brief description of how the student educators are selected (1st program),A brief description of the formal training that the student educators receive (1st program),A brief description of the financial or other support  the institution provides to the program (1st ...,Name of the student educators program (2nd program),Number of students served (i.e. directly targeted) by the program (2nd program),"A brief description of the program, including examples of peer-to-peer outreach activities (2nd ...",A brief description of how the student educators are selected (2nd program),A brief description of the formal training that the student educators receive (2nd program),A brief description of the financial or other support the institution provides to the program (2nd ...,Name of the student educators program (3rd program),Number of students served (i.e. directly targeted) by the program (3rd program),"A brief description of the program, including examples of peer-to-peer outreach activities (3rd ...",A brief description of how the student educators are selected (3rd program),A brief description of the formal training that the student educators receive (3rd program),A brief description of the financial or other support the institution provides to the program (3rd ...,Name(s) of the student educator program(s) (all other programs),Number of students served (i.e. directly targeted) by all other student educator programs,"A brief description of the program(s), including examples of peer-to-peer outreach activities (all ...",A brief description of how the student educators are selected (all other programs),A brief description of the formal training that the student educators receive (all other programs),A brief description of the financial or other support the institution provides to the program (all ...,Total number of hours student educators are engaged in peer-to-peer sustainability outreach and ...,The website URL for the peer-to-peer student outreach and education program(s),Public Notes
Albion College,2016-02-25,2016-02-25 15:18:41,mfrever@albion.edu,2.0,Pursuing,True,1284.0,Green Day Sustainability fair,1284.0,"Each semester students host a sustainability fair for the entire campus community. Students staff a series of tables at which they explain or advocate for some element of sustainability.  Examples include conducting individual carbon audits tailored to life on our campus, bottled vs tap water taste tests, offering organic and locally grown food, information on sustainability-related clubs (bee keepers, student farm), posters on current issues (Keystone, mountain top removal) and providing live music.","A volunteer  member of our Center for Sustainability and the Environment is recruited as a volunteer to coordinate the program.  Other members of the center and residents of our E-House volunteer exhibits and activities.  Others are provided by members of several classes, where participation is either a mandatory class project or extra credit opportunity.","We try to have student coordinators selected from students who have been helpful in past programs, using and apprentice model.  Student presenters from classes work with the faculty; E-House members work with the faculty adviser; others receive no formal training. ","Space is provided in the student center or the nature center interpretive center, depending on where the event is help. Some semesters, the office of the Provost has provided some funding for refreshments, other semesters this has come from the Center for Sustainability and the Environment.",--,--,,,,,--,--,,,,,--,--,,,,,120.0,--,"The fair is open to all students, and many classes award extra credit for attendance.  Formal attendance is not tallied, but we estimate 200-300 students visit the fair each term.

Each fair lasts three hours.  The number of student presenters varies, but typically is 20.  The number above is the number of student hours is what we report above (20 students x 3 hours x 2 fairs per year)"
Allegheny College,2016-03-29,2016-03-29 08:51:56,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:19:54,meganzl@american.edu,2.0,Pursuing,True,12371.0,Student Sustainability Educators,12371.0,"At the beginning of the school year, sustainability educators and the Office of Sustainability staff decide on goals for events, communication, and initiatives that align with the short and long term sustainability goals of the university. Examples include helping students reduce water and energy consumption with behavior education,  promoting recycling and composting through demonstration, contributing to social media, and coordinating events such as a Zero Waste Basketball Game and ""Day of the Girl,"" a summit focused on the intersection of sustainability and women's education. Students are also available to partner with any interested student organizations or campus offices on additional programming. ","All students are invited to apply to become sustainability educators, and are interviewed and hired by the Sustainability Manager and Director of the Office of Sustainability. The Office of Sustainability hires about 6 students annually who work collaboratively on peer outreach in residence halls, classes, and other events/venues throughout the main campus and Washington College of Law. Students work as peer sustainability educators for the duration of the academic year.","All selected students attend a one day orientation training session at the start of the school year where they learn about university sustainability goals, meet staff who work across campus, and learn about past projects while brainstorming for the upcoming year. Sustainability educators meet for one to two hours each week with Office of Sustainability staff to update progress on goals, discuss next steps on projects, and explore new topics of sustainability related to campus and the world. Office of Sustainability staff offer best practices on behavior change methods, guidance in project management and outreach, and facilitate discussions on various topics of sustainability during these meetings.","The Sustainability Manager directly oversees the peer educators, who are paid for about 6 hours of work per week from the sustainability budget. ",--,--,,,,,--,--,,,,,--,--,,,,,1152.0,http://www.american.edu/finance/sustainability/Green-Eagles-EcoRep.cfm,"The number of degree seeking students corresponds to data for Fall 2015, found in the 2015 Academic Data Reference Book (http://www.american.edu/provost/oira/upload/ADRB-Fall-2015.pdf). Non-degree seeking students were subtracted from the total enrollment."
Appalachian State University,2016-02-01,2016-02-01 13:37:17,balllf@appstate.edu,2.0,Pursuing,True,17385.0,Zero Waste Stadium,17385.0,"A “zero waste” commitment has begun at Appalachian State University with the goal of diverting 90 percent of all waste from landfill disposal by 2022. In keeping with the zero waste commitment of Appalachian, Athletics is partnering with the Physical Plant and Office of Sustainability to develop a zero waste stadium plan, being implemented in the 2014 football season. The stadium game day waste collection will consist of 15 zero waste zones for the collection of compost and recycling throughout the concourse areas. These zones will have ample signage and zero waste attendants at each location to ensure attendees are educated and aware of which container to use when discarding their waste. The attendants are students who are educated about the program and on community outreach. The goal is for students to be the driving force behind guiding their peers towards the zero waste goal.","Because they are paid positions, the students go though a interview process with the OOS and are choosen based on their communication skills,  knowledge  of compost/recycling/solid waste management and overall motivation. ","3 hour hands on training prior to beginning on season. Training involved actual sorting of items that would be encountered on game day, discussion of overall zero waste commitment, history of waste reduction recycling and composting at App State. ",OOS funded the students PPlant funded containers Athletics funded signage and outreach materials.,Appalachian State University Renewable Energy Initiative (ASUREI),17385.0,"The Appalachian State University Renewable Energy Initiative is a student-led, -created and -managed renewable energy fee program. Every student pays $5/semester to this fund. The students on the committee implement renewable energy on campus to offset the university's use of fossil fuels and serve as an educational tool.  The ASUREI tables in the student union, holds informational sessions and forums and all their meetings are open to students to attend. The ASUREI updates the Appalachian Ambassadors regularly. The Ambassadors give tours to all incoming freshman and potential students. ","The students that serve on the ASUREI are selected by an application and interview process once per semester based on the number of vacancies on the committee.  The students are selected based on their knowledge of renewable energy, knowledge of the REI, the reason for wanting to be on the committee, and leadership and project manager ability.",The students on the ASUREI are trained and mentored by existing student committee members and faculty/staff committee members.  Presentations are created each semester for the purpose of educating new members and the student body at-large.,The ASUREI is self supported through a student fee that every degree-seeking student pays.  The committee is also supported by 3 faculty and 3 staff members.,Appalachian & the Community Together (ACT) impACT Team,3525.0,This student team works to coordinate programs throughout the year enabling participation in sustainability-based activities.  Mostly this group's focus is on equity related programing such as community service. An example of peer-to-peer outreach are the Alternative Spring and Fall Break trips where students lead groups of other students on service related trips during fall and spring break.,"Students are selected via a competitive application process.  Students submit an application in April and then are interviewed. impact Team members are selected based on leadership, event planning experience, and knowledge of ACT and its programs.","Formal training includes a full staff retreat (3 days) and weekly meetings that involve some training in it. We train them on how to present and how to present certain educational games, and how to put together a presentation.",The impACT Team is staff and financially supported through Student Programs.,--,--,,,,,--,http://act.appstate.edu/index.php?module=pagesmith&uop=view_page&id=10,--
Aquinas College,2016-03-21,2016-03-21 14:45:13,eimerjes@aquinas.edu,2.0,Pursuing,True,1933.0,Sustainability Initiative Interns,1933.0,"Our office has 3 student interns during the fall and spring semesters. The interns focus on education and marketing, metrics, improving and measuring our carbon footprint, updating the website and social media, and compiling information for external sustainability reports. Education, training, and coordinating competitions for the zero waste initiative are also important tasks. Not only do the students receive real world experience implementing sustainability at Aquinas, but they also are the main ""face"" of sustainability within the student population.",There is an application and interview process with college's Director of Sustainability. ,Interns receive one-on-one training with the Director of Sustainability. ,The interns are paid minimum wage for their time.,--,--,,,,,--,--,,,,,--,--,,,,,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:18,corey.hawkey@asu.edu,2.0,Pursuing,True,81779.0,University Sustainability Practices Program Assistants,81779.0,"USP’s Program Assistants are responsible for creating, researching, and implementing sustainability projects on Arizona State University campuses in support of ASU’s sustainability goals: Climate Neutrality, Zero Waste (solid/water waste), Principled Practice, and Active Engagement. Program Assistants go through an orientation process and are trained throughout their experience by the USP staff and are occasionally mentored and supported by ASU faculty. Funding support is provided by the USP budget as well as the Sustainability Initiatives Revolving Fund. Students lead education and outreach efforts that target the entire ASU student population.

The Program Assistants hold a variety of events and activities in a variety of locations on all ASU campuses to ensure access. These events include:

Caught Green Handed: Students ride green sustainability bikes around campus and reward students that they catch doing sustainability actions.

Walk the Green Carpet: Students ask fellow students to “walk the green carpet” and share their commitment to sustainability publicly.

Community Gardening: Students educate fellow students about gardening. ASU has several gardens on a couple campuses.

Students in Residence Halls are targeted directly when the Program Assistants set up their events and activities in the residence hall communities. The Assistants also support Aramark’s Weigh the Waste program that targeted all students that dine in the ASU dining halls on all campuses. Students educate each other about the amount of food that goes to waste.

The Assistants also organize and implement Campus Sustainability Week.","Potential University Sustainability Practices Program Assistants are asked to submit resumes and then undergo a thorough interview process. Candidates are selected based on skills, matched interest levels, compatibility and needs of the department.",All University Sustainability Practices Program Assistants go through Arizona State University's orientation and take all pertinent safety classes such as “driving on the mall” for vehicle use as needed. The Program Assistants also undergo a mentoring process with the Director of University Sustainability Practices and other staff members of the department. They meet weekly to set goals and track progress with their manager.,University Sustainability Practices staff provide oversight to the Program Assistants as needed. Each assistant is paid an hourly wage. Program and event marketing and supply needs are funded through department funds and Sustainability Initiatives Revolving Fund grants.,School of Sustainability Student Ambassador Program,1000.0,"The School of Sustainability Student Ambassador Program acts as the face of the School of Sustainability by providing mentoring and support to their peers within SOS.  Their job is to assist the School of Sustainability Student Services Center with student engagement and community development programs and events.  They also provide one-on-one mentorship and interaction with current and incoming SOS students by helping to guide their peers by sharing their ASU experiences and sustainability knowledge.  Being an Ambassador provides our student leaders with the opportunity to develop more personal relationships with staff, faculty, employers and their peers within SOS as they help grow student engagement within SOS and develop close relationships with those also interested in sustainability and helping and mentoring others.  

Some past programs include:  Networking Mocktail, LinkedIn:  What you need to know, ASU Green Game, Sustainability Broomball (students were invited to participate in broomball and then talk to the rink re: making the place more energy efficient), Arizona Recycles: Volunteer at Goodwill, 2013 Camp SOS, Fall Welcome, Family Weekend, Phoenix Career Conference, ASU Day at the Capitol, More to Explore Student Panel, New Student Orientation, New Transfer Orientation, Night of the Open Door and SOS Open House. Ambassadors also participate in numerous recruiting events in which area high school students visit ASU in order to learn about SOS.","Undergraduates currently in the School of Sustainability may apply for these positions.  They must have at least a sophomore standing during appointment.  They must have a strong desire to help and mentor others and possess strong written and oral communication skills.  They must have a desire to help their peers navigate ASU and succeed in their major.  Ambassadors must also have a willingness to learn and understand advising, counseling, and outreach functions for the School of Sustainability.  

If interested students must apply by submitting a cover letter with their name, academic level, GPA and why they would like to be an Ambassador and what they think they can contribute to the program; current sustainability involvement within and outside of SOS along with any professional or networking experience of which they would like us to be aware.  

Prospective Ambassadors are chosen through a group interview process.",All Ambassadors are required to attend formal training one week prior to classes beginning in the fall semester.  It is during this time that we discuss expectations and begin developing programs for the upcoming year.  The Director of Student Services also provides them with training regarding academic programs and office roles and responsibilities.  Our Student Recruitment/Retention Specialist also presents and discusses strategies for recruitment events.  This year we also had a presentation/learning opportunity regarding the zero waste program at ASU.  The student ambassadors are also required to attend weekly leadership classes in which they are given assignments to help them tap into their leadership potential in order to cultivate a more student-centric community within the School of Sustainability.  ,This program is financed through the School of Sustainability.,Walk-only Zones Ambassadors,50246.0,"In an effort to enhance pedestrian safety and to ease vehicle congestion in heavy foot-traffic areas on the Tempe campus, ASU created Walk-Only Zones. The students are hired by Transportation and Parking and go through an orientation and training process. The students are tasked with educating the entire Tempe student population about the Walk-Only Zones and the benefits and guidelines for the procedure. Students participated in a three-year study prior to the implementation of the program that analyzed campus foot traffic.","Students are asked to submit resumes and then undergo a thorough interview process. The best candidates are chosen based on matched interest levels, compatibility and needs of the department.","Walk-Only Zones Ambassadors must complete 9 hours or (three, 3 hour days) of training prior to working in the zone.  The training consist of:
1st day:  MANDITORY TRAINING CLASSES
                        
•	Fire Safety & Prevention*                                                                                                      
•	Information Security*              
•	Workplace Behavior Training                 
•	Title IX – Duty to Report          
•	Sun Devil Service Training

Student employees will also view the ASU, PTS Policy Manual.  A few students have/will take Driving on the Mall course if approved or authorized to use a university vehicle.
2nd day:  Watch Training Videos (8 videos, produced by department, specific to job duties and rehearse scenarios) 
3rd day:  The 3rd day is used for a ‘shadow shift’.  Each WOZ Student Employee will shadow a current Ambassador before they are scheduled to work alone.  Additional shift(s) may be used if needed.",The campus Bicycle Manager supervises the Ambassadors and pays the students an hourly wage. ,Zero Waste Student Ambassadors,35000.0,"Zero Waste Ambassadors carry out the following campus engagement activities related to sustainability practices to reduce solid waste on the ASU campus: 
1. Recruiting members to be trained about ASU’s Zero Waste initiative;
2. Developing interesting, compelling means to deliver the Zero Waste message to ASU stakeholders; 
3. Assuring that Zero Waste Ambassadors are knowledgeable about recycling and composting facts;
4. Participating at tailgating events, football games, basketball games, the Homecoming Block Party and other ASU events;
5. Documenting work done and invoices for work that was carried out;
6. Working on other projects related to ASU campus sustainability efforts, as mutually agreed.",The Zero Waste Ambassadors are recruited by the Zero Waste Department. ,Zero Waste Ambassadors receive guidance and training from the Zero Waste Department.,The Zero Waste Ambassadors receive stipends for their affiliated student group for their participation.,20926.0,https://schoolofsustainability.asu.edu/people/student-ambassadors/,"http://sustainability.asu.edu/operations

http://walk.asu.edu/"
Austin College,2016-02-29,2016-02-29 18:24:42,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:37:52,dscott@babson.edu,2.0,Pursuing,True,3049.0,Eco-Reps,2017.0,"Eco-Reps are student representatives that are trained through team meetings to become environmental change agents. These students educate other residents in their community about environmental issues and encourage them to live in a more ecofriendly way. Goals of the program include enhancing students’ knowledge and skills to successfully communicate sustainability to their peers, increasing overall student awareness of environmental actions and ways to effect individual and group change on campus, and institutionalizing environmental stewardship within the student body.
Examples of the peer-to-peer outreach include:
 - Zero Waste Challenge - Eco Reps get members of their community to sign up to take the challenge of carrying all their was around in a Ziplock bag for an entire week.
 - Babson Unplugged - Eco Reps help spread the word on how to properly unplug and power down before winter break.
 - Trivia Night - Eco Reps host a game of trivia that focuses entirely on topics of sustainability.","Students interested in an Eco Rep position are asked to send cover letters and resumes to the program coordinator of the Sustainability Office. These students are then asked in for 20 minute interviews. 4 Eco Reps and 2 Eco Reps Coordinators are chosen from the pool of applicants and are e-mailed their acceptance letters.

Some criteria used to select students include: time management skills, teamwork experience, ability to learn, and an approachable attitude.","The students selected for the Eco-Reps program at Babson are trained through an Environmental Action workshop designed by GreenerU®. In this workshop students examine current sustainability concerns on campus and across the world through the lens of psychology, social marketing and critical thinking. The students gain knowledge on environmental issues and behavioral science tools. This newly acquired knowledge and set of tools will enable students to examine their personal behaviors and those of their peers and assess how to foster pro-environmental behavior change. 
The workshop is conducted in three different sessions. Each session will focus on three aspects – Environmental Knowledge/Literacy, Skills required to move towards action and Action planning.  Upon completion of these sessions, during the academic year, students will continue to gather bi-weekly for 75 minute peer review meetings. The bi-weekly meetings will help students engage in activities that include critical thinking exercises, personal behavior challenges, and campus social marketing group campaigns. These activities will help students build critical skills in communication, implementing social marketing campaigns and planning green events. By the end of the year, students will be empowered to become leaders of environmental action and should have a new perspective of themselves, the society in which they live, and the environment.
","The Sustainability Coordinator is responsible for coordinating all of the sustainability efforts on campus. The hiring and training of Eco-Reps are also managed by this staff member. At Babson, Eco-Reps is a paid position. Each Eco-Rep is expected to work six hours per week and each Eco-Rep Coordinator is expected to work eight hours per week. ",--,--,,,,,--,--,,,,,--,--,,,,,--,http://www.babson.edu/about-babson/sustainability/collaboration/pages/student-groups.aspx,--
Ball State University,2016-02-29,2016-02-29 08:26:12,rkoester@bsu.edu,2.0,Pursuing,True,18255.0,The Ball State Energy Action Team,6752.0,"The Residence Hall Energy Challenge is what we're best known for. The Challenge is a four week competition among residence halls to save as much energy as they can. Before the competition, Facilities Planning and Management measures how much energy each residence hall uses on average. That energy use is called its baseline. From the baseline, the energy used during the Challenge is compared for each residence hall. The residence hall that saves the most energy in four weeks is the overall winner! BEAT throws a celebration party for the winning residence hall and its residents receive a lamp trophy to keep for the time they are the winners. 

",The Ball State Energy Action Team (BEAT) consists of student workers who are employed by the Facilities Planning and Management department and are supervised by the university’s Sustainability Specialist.  Every academic year five student employee positions are posted through the university’s Career Center and applicants are interviewed prior to being hired.  BEAT is considered a student-led group. BEAT students help implement an energy-use awareness program through marketing efforts. BEAT also helps track academic and student life programs that impact energy use and BEAT students help identify best practices. BEAT students frequently participate in academic educational initiatives concerning energy use and awareness.,"Training is provided by Facilities Planning and Management at the start of the academic year. This training includes giving BEAT students a campus tour of the heat plant, chilled water facilities, HVAC operations, LEED-designed buildings, and other energy related “hot spots” on campus.  Excellent communications skills and ability to use various modern media -- especially social media -- are expected of BEAT students. Student training includes introducing BEAT students to key marketing and advertising staff at the university and attending the Lugar Energy Summit (Indianapolis, Indiana) each August and as part of their annual training.","Funding for BEAT is provided by Facilities Planning and Management.  Specific programs (e.g., residence hall energy challenge) are supported by campus-wide sponsorship from such diverse partners as Housing and Residence Life, Dining Services, Council on the Environment (COTE), Recreational Services, Student Government, the University Program Board and various student-led organizations.",n/a,--,n/a,n/a,n/a,n/a,n/a,--,,n/a,n/a,n/a,n/a,--,,n/a,n/a,n/a,--,--,--
Baylor University,2016-02-26,2016-02-26 17:48:14,Smith_Getterman@baylor.edu,2.0,Pursuing,True,16787.0,Sustainability Student Advisory Board,16787.0,"The Sustainability Student Advisory Board (SSAB) acts as the conduit between the University, the University Sustainability Committee, and the Assistant Director of Sustainability and Special Projects and the student body. Members of the SSAB are responsible for putting together the Creation Week celebration, act as the sounding board for many university operations offices, and help shape campus wide sustainability efforts that directly effect their peers. The SSAB is also responsible for engaging with the student body to help garner support for and excitement about the sustainability program.","Students apply for the limited number of positions available on the board and must meet GPA requirements. Each classification of student is represented on the board, from Freshmen to PhD students. Applicants go through a two step process before being selected to the board: Application review and in person interview with the Assistant Director of Sustainability and Special Projects.",Members of the Student Advisory Board are given a two hour orientation at the beginning of the Fall semester which trains them and educates them on all university sustainability initiatives. The board meets monthly to review goals and provide feedback.,The Assistant Director of Sustainability and Special Projects acts as the advisor for the board and attends all meetings. A member of the student advisory board sits on the University Sustainability Committee. ,--,--,,,,,--,--,,,,,--,--,,,,,--,--,--
