Institution,Date Submitted,Last Updated,Liason Email,Version,Status,The percentage of entering students that are provided an opportunity to participate in orientation ...,A brief description of how sustainability is included prominently in new student orientation,The website URL where information about sustainability in student orientation is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:49,mfrever@albion.edu,2.0,Pursuing,--,,--,--
Allegheny College,2016-03-29,2016-03-29 08:53:08,kelly.boulton@allegheny.edu,2.0,Pursuing,100.0,"Each freshman receives a free stainless steel water bottle with information about refill stations around campus as well as other materials focusing on the culture of sustainability on campus and how they can get involved and support. Signage promotes recycling of packing materials during Move-in.
In past years sustainability has also been included in new student orientation materials and activities in a number of ways.  Students are informed of sustainability efforts and how they can live sustainably in the dorms in the Residence Life Guide given to all freshmen.  Sustainability content is also included in the Orientation blog, tweets, and Facebook page.  Green tours of campus are offered several times during orientation week.  Peer leaders (upperclassmen assistants in each freshmen seminar) and RA's also receive sustainability training which they're encouraged to pass on to their students/residents. ",http://sites.allegheny.edu/orientation/2011/08/17/gators-are-green/,--
American University,2016-03-23,2016-03-23 14:20:52,meganzl@american.edu,2.0,Pursuing,100.0,"American University begins educating students about sustainability as soon as they arrive on campus. The Office of Sustainability trains student orientation leaders on campus sustainability during the summer. The Office of New Student Programs (NSP) reviews AU's sustainability practices during new student orientation and suggests practical ways students can be more sustainable both on and off campus. NSP distributes a USB drive containing orientation materials that were previously provided as printed fliers and brochures. They also reuse orientation name badge holders. NSP partners with Whole Foods Market to provide incoming students with reusable grocery bags. In addition to NSP's efforts, the Office of Sustainability staffs a table during orientation to provide incoming students with information and opportunities about how to participate in sustainability activities at AU. ",http://www.american.edu/finance/sustainability/orientation.cfm,"Green Practices for orientation can be found online: http://www.american.edu/finance/sustainability/orientation.cfm

"
Appalachian State University,2016-02-01,2016-02-01 13:37:25,balllf@appstate.edu,2.0,Pursuing,100.0,"Over a six week period during summer, Appalachian holds New Student Orientation.  The two-day freshman program and one-day transfer program include presentations on campus resources, discussions with student, faculty and staff leaders and intensive academic planning. New Student Orientation is held during the months of June and July.

As part of the programming for New Student Orientation, a presentation by the Office of Sustainability is given. This presentation includes information about sustainability on campus, outreach programs provided by the office, and highlights other events involving sustainability that students are encouraged to participate in. The staff member giving the presentation is equipped with materials and publications, including a on campus 'Green Living Guide', detailing many of the programs run by the Office of Sustainability and distributes this information to interested students.
",http://www.orientation.appstate.edu/freshman,--
Aquinas College,2016-03-21,2016-03-21 14:45:20,eimerjes@aquinas.edu,2.0,Pursuing,100.0,"The Director of Sustainability worked with orientation leaders to be sure sustainability was prominently included in new student orientation. The President of the college included sustainability in his welcome address. The Director had an entire evening with the new students. A zero waste, local dinner was hosted with lots of educational information on sustainable food systems. The student orientation leaders were all given sustainability discussion questions to use while they ate dinner in small groups. A “waste relay” was then held on our soccer field, where all students competed in an educational, sorting activity (recycling, composting, trash) in a relay style.  ",--,--
Arizona State University,2016-02-29,2016-02-29 15:08:29,corey.hawkey@asu.edu,2.0,Pursuing,90.0,"New Student Orientation includes the ‘Sun Devil Way’ presentation. The presentation covers the three pillars of the ASU community: Achievement, Engagement and Responsibility, with emphasis added to the student’s responsibility regarding sustainability. Printed handouts are kept to a minimum; instead electronic publishing is utilized for some materials and information.

Orientation provides students and guest with reusable grocery-type bags to encourage limiting waste. Recycling is prominent and available for plates, cups and eating utensils at lunch. Students and guests are also provided with re-useable lanyards (name tag holders) that students and guests can reuse. Often times however, the students and guests return the lanyard to a staff member at the conclusion of the orientation program to be used again.

Incoming School of Sustainability students and their families participate in Fall Welcome. The students can explore what it means to be a School of Sustainability major and learn about their major and other ways to be sustainably involved on campus. This sustainable event is made possible with reusable goodie bags provided by Whole Foods and a sustainable lunch provided by Chipotle highlighting community partnerships.

Family Weekend is held during the fall semester. Each year, Family Weekend in partnership and collaboration with the Green Team, host a zero-waste event. Extensive efforts are undertaken with recycling, composting and assessment to achieve this result.


",https://eoss.asu.edu/orientation,--
Austin College,2016-02-29,2016-02-29 18:24:51,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:37:59,dscott@babson.edu,2.0,Pursuing,100.0,"From the first day students arrive on campus, they are exposed to sustainability in a variety of ways. When students receive their room keys and other crucial information packs, the Sustainability Office hosts a table to introduce initiatives. Students and parents hear about the latest projects on campus, ask questions about our programs, and receive sustainable products such as reusable water bottles. Sustainability is also integrating into the move-in process as members of the staff, facilities, and volunteers collect recyclable packaging materials from the first-year residence halls and organize them for easy removal.

Two events early in the fall (From Day One Fest and Sustainable Kitchen Dinner) show students the ways that sustainability and social impact can be integrated into life.  From Day One Fest is a street-fair style event that highlights sustainable businesses, local food options, and action taken by the campus to reach carbon neutrality goals. The Sustainable Kitchen Dinner is a zero-waste event that showcases sustainably-sourced foods for all to enjoy.",http://www.babson.edu/academics/centers/the-lewis-institute/programs/pages/from-day-one.aspx,--
Ball State University,2016-02-29,2016-02-29 08:26:20,rkoester@bsu.edu,2.0,Pursuing,100.0,"Housing and Residence Life and Ball State Dining address the importance of sustainability initiatives by both areas in their joint presentation to families and students who attend Orientation. 
In Housing and Residence Life, the traditional move-in packet has been replaced with a one page mailer which includes “green move-in” information on a web page here: http://cms.bsu.edu/campuslife/housing/policies/moving. This new initiative is held into an envelope until midnight before move in and also saves paper and printing. It includes the parking hangtag, a small map to the building, move in check list, etc., along with the Questions and Answers that we’ve included in the past.
Social Sustainability(Diversity) 
I. Bridging the Gap—Making Your Transition Through Summer Programs Presented by the Office of Student Life
Ball State University offers seven different summer programs with the goal of introducing students to college life, meeting other new freshmen, and discovering ways to stay involved; from thrilling outdoor adventures to valuable academic experiences and opportunities for leadership, involvement, and service.
ii. Multicultural Center 325 North McKinley Avenue, 765-285-1344, bsu.edu/multiculturalcenter
The Multicultural Center supports and advances the university’s commitment to cultural diversity by serving as a resource for the recruitment, retention and enrichment of students of color, promoting multicultural understanding through opportunities for cross-cultural connections, and sustaining an inclusive environment for a diverse student population. The programs and services address the co-curricular needs of all students and celebrate the historical contributions of diverse groups.
The center coordinates the EXCEL mentor program for incoming first-year students. Look for additional information through the Summer Bridge programs presentation and webpage.

iii. Partnering for a Safe Campus Presented by the Division of Student Affairs 
The health, safety, and well-being of students are top priorities at Ball State. In this session, students and parents will learn about the numerous resources provided with the aim of ensuring student safety and success.  Particular attention is focused on the Think About It program, Good Neighbor Policy, Police Services, Sexual Assault Prevention and Response, Victim Advocate services, and electronic communication features that are a must-have for our students.

iv. Student Life Presentation—students only
1. Introduces all incoming freshmen to the Student Life Office and all 400+ organizations. At this session they learn about the Big 4 (Black Student Association, Latino Student Union, Asian American Student Association, and Spectrum). 
Economic Sustainability 
v. Straight Talk about Money: Handling Your Finances at Ball State Presented by the Office of Scholarships and Financial Aid and the Office of Bursar and Loan Administration
1. In this session, participants learn about college costs, billing procedures, payment options, and financial aid.
To receive maximum consideration for financial aid, students submit the Free Application for Federal Student Aid (FAFSA) no later than March 10 each year. Students can view their financial aid awards using their Ball State username and password by going to: my.bsu.edu and selecting My Financial Aid from the Tuition and Student Services tab on the right hand side of the page. Students who wish to borrow from the Federal Direct Stafford loan program must accept their loans online at: my.bsu.edu.  They must also complete an entrance counseling session and sign an electronic master promissory note (MPN). This can be done online at: www.studentloans.gov. Students receiving a scholarship from an outside source are asked to contact the donor as soon as possible and have the funds sent to the Office of Scholarships and Financial Aid, Ball State University, Muncie, IN 47306.
",http://www.bsu.edu/orientation,On the website a video of each presentation done on Day 1 of the orientation of students/families is posted for referenced throughout the summer and school year.
Baylor University,2016-02-26,2016-02-26 17:48:21,Smith_Getterman@baylor.edu,2.0,Pursuing,100.0,"Sustainability hosts a booth at the New Student Orientation fair where we pass out information about our program, answer questions, and inform students how they can do their part to help make Baylor go green. 

Sustainability initiatives are also mentioned in several presentations by various departments (such as Dining, Transportation, etc.) to new students and their parents, highlighting many of our efforts to create a more sustainable Baylor. 

The Office of Sustainability also hosts its own half hour presentation every day for new students and parents.

All students moving into residence halls and university run apartment complexes receive a recycling box for their individual rooms to use throughout the year.",--,--
