Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution produce the following outreach materials and/or publications that foster ...,Does the institution have a central sustainability website that consolidates information about the ...,A brief description of the central sustainability website,The website URL for the central sustainability website,Does the institution have a sustainability newsletter?,A brief description of the sustainability newsletter,The website URL for the sustainability newsletter,"Does the institution have social media platforms (e.g. Facebook, Twitter, interactive blogs) that ...",A brief description of the social media platforms that focus specifically on campus sustainability,The website URL of the primary social media platform that focuses on sustainability,Does the institution have a vehicle to publish and disseminate student research on sustainability?,A brief description of the vehicle to publish and disseminate student research on sustainability,The website URL for the vehicle to publish and disseminate student research on sustainability,Does the institution have building signage that highlights green building features?,A brief description of building signage that highlights green building features ,The website URL for building signage that highlights green building features ,Does the institution have food service area signage and/or brochures that include information about ...,A brief description of food service area signage and/or brochures that include information about ...,The website URL for food service area signage and/or brochures that include information about ...,Does the institution have signage on the grounds about sustainable grounds-keeping and/or ...,A brief description of signage on the grounds about sustainable groundskeeping and/or landscaping ...,The website URL for signage on the grounds about sustainable groundskeeping and/or landscaping ...,Does the institution have a sustainability walking map or tour?,A brief description of the sustainability walking map or tour,The website URL of the sustainability walking map or tour,Does the institution have a guide for commuters about how to use alternative methods of ...,A brief description of the guide for commuters about how to use alternative methods of ...,The website URL for the guide for commuters about how to use alternative methods of transportation,Does the institution produce navigation and educational tools for bicyclists and pedestrians? ,A brief description of the navigation and educational tools for bicyclists and pedestrians,The website URL for navigation and educational tools for bicyclists and pedestrians,Does the institution have a guide for green living and incorporating sustainability into the ...,A brief description of the guide for green living and incorporating sustainability into the ...,The website URL for the guide for green living and incorporating sustainability into the ...,Does the institution have regular coverage of sustainability in the main student newspaper (either ...,"A brief description of regular coverage of sustainability in the main student newspaper, either ...","The website URL for regular coverage of sustainability in the main student newspaper, either ...",Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of another sustainability publication or outreach material not covered above ...,The website URL for this material (1st material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (2nd material),The website URL for this material (2nd material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (3rd material),The website URL for this material (3rd material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (4th material),The website URL for this material (4th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (5th material),The website URL for this material (5th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (6th material),The website URL for this material (6th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (7th material),The website URL for this material (7th material),Does the institution produce another sustainability publication or outreach material not covered ...,A brief description of this material (8th material),The website URL for this material (8th material),Public Notes
Albion College,2016-02-25,2016-02-25 15:19:08,mfrever@albion.edu,2.0,Pursuing,**,True,"It’s about the food we eat.
The water we drink. 
The shelter we live in. 
The energy we use. 
The footprint we leave. 
And the future we build.",http://www.albion.edu/about-albion/sustainability,True,The news can be found in a blog form on the college website. ,http://www.albion.edu/about-albion/sustainability/sustainability-news,--,Facebook pages for the Center for Sustainability and the Environment; the Student Farm; the Whitehouse Nature Center.,--,--,,--,True,The Science Complex has brochures at the entrances to explain the LEED systems in the building. ,http://www.albion.edu/about-albion/sustainability/departmental-initiatives/science-complex,True,"The cafe, run by Bon Apetite has fresh signage at tables and thoughout the cafe. ",http://www.albion.edu/student-life/dining-services,--,,--,--,,--,--,,--,True,"Maps are available to suggest areas of interest and bike trails. Signs are posted at the Kellogg Center, Downtown and at Wesley Hall.",http://www.albion.edu/about-albion/sustainability/student-initiatives,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Allegheny College,2016-03-29,2016-03-29 08:54:14,kelly.boulton@allegheny.edu,2.0,Pursuing,**,True,"The Sustainability Initiatives webpages address our campus commitments, accomplishments, community partnerships, academic opportunities, a student blog of sustainability efforts/events and a Daily Sustainability for Green Gators page focused on what faculty, staff and students can specifically do on a day to day basis to support and further sustainability efforts through their own actions.",http://sites.allegheny.edu/green/,--,,--,True,"Allegheny sustainability is active on Facebook, Instagram and Twitter. Besides posting about events and campus activities, we have an ongoing ""sustainability conversations"" series which highlights different campus members' pics and thoughts each week.
In addition to general sustainability pages, there are also specific Facebook pages for the Allegheny College BikeShare, Students for Environmental Action and Food Rescue.",https://www.facebook.com/pages/The-Green-Gator-at-Allegheny-College/252077571513781,True,"We use our social media pages to highlight interesting projects, including student research.  The Environmental Science department also compiles an online database of senior comprehensive projects, many of which focus on sustainability issues. We also have a monthly email that highlights student and faculty research.",http://sites.allegheny.edu/envsci/student-research/,True,Carr Hall in particular features extensive signage throughout to highlight green features ranging from building materials to daylighting to aquaponics.,--,True,"Our dining service provider, Parkhurst, offers signage, brochures and a website highlighting their efforts to support sustainable food systems through the FarmSource program and their Green Standards.  Additional signage explains our reusable takeout program, trayless dining program, comprehensive composting program and use of campus grown produce in board meals.",http://www.diningallegheny.com/index.php?id=172,True,"Several signs illuminate our on-campus gardens, comprehensive composting program and organic turf management efforts.",http://alleghenysustain.weebly.com/landscaping.html,True,"Allegheny offers a green tour of campus which includes guided tours by the sustainability coordinator and trained students, a self-guided tour brochure, and an online ""tour"" of campus sustainability stops.  Admissions offers this tour regularly to prospective students and various classes, reunion gatherings, and community groups request a green tour throughout each year.",http://alleghenysustain.weebly.com/index.html,True,"All students can ride all local transportation routes, including a student specific loop, for free with their ID cards.  Information on routes and the text feature is provided by the student government.",http://asg.allegheny.edu/home/student-li/the-loop,--,,--,True,"A full page highlights sustainability info in the Guide to Residence Life.  Content briefly highlights college commitments, energy consumption, and waste minimization, particularly recycling and composting.",https://allegheny.edu/admissions/incoming/GuidetoResLife0910.pdf,True,"There is always regular sustainability content and, depending on the year, sometimes a particular student is also assigned to the ""sustainability beat"".  Additional reporters also write about sustainability issues and efforts.",http://alleghenycampus.com/,True,"Gator Green blog: students can submit posts about sustainability initiatives, efforts, events.",http://sites.allegheny.edu/greengator/,True,Green Gator Twitter,https://twitter.com/#!/alleghenygreen,True,Green Gator Instagram,http://instagram.com/alleghenysustainability,True,"The Admissions department highlights campus sustainability efforts on their pages for prospective students and families, mentions sustainability efforts on their tours, and gives a sustainability fact sheet to every prospective student. ",http://sites.allegheny.edu/admissions/allegheny-distinctions/thinking-green-being-green/,--,,--,--,,--,--,,--,--,,--,--
American University,2016-03-23,2016-03-23 14:22:22,meganzl@american.edu,2.0,Pursuing,**,True,"The sustainability website includes information about campus greening related to the categories of: buildings, dining, energy & climate, grounds, purchasing, recycling, composting and waste, transportation, and water. The website also covers community greening, commitments & policies, education & research, how to get involved, and information about the office and staff.



",http://www.american.edu/sustainability,True,The sustainability newsletter is a publication of the Office of Sustainability containing timely updates about projects and initiatives carried out on campus as well as links to news stories online. ,http://www.american.edu/finance/sustainability/Newsletter.cfm,True,"The Office of Sustainability and Zero Waste initiatives both utilize twitter, facebook, and instagram to educate the community, share best practices, and communicate events and initiatives related to sustainability on and off campus. Additionally, the Student Sustainability Educators maintain a blog on Tumblr dedicated to GreenAU updates, events, and general sustainability topics. ",https://www.facebook.com/GreenAU/,--,n/a,--,True,"Info-monitors display sustainability stats in most buildings, including utility consumption as well as key campus sustainability features. Stickers on light switches across campus remind users to turn out the lights. Signs on paper towel dispensers remind users to conserve because paper comes from trees. Stickers on restroom waste bins instruct users that paper towels are composted so users should be careful not contaminate the bins. Plaques in building lobbies inform about green roofs. ",http://www.american.edu/finance/sustainability/Buildings.cfm,True,Signs in the Terrace Dining Room promote local food options and vegetarian meals.,http://www.american.edu/finance/sustainability/Dining.cfm,--,n/a,--,True,"A campus map identifies sustainability features as well as academic sustainability programs. Office of Sustainability staff and Student Sustainability Educators also offers tours to any groups that are interested. Past tours have been given to classes, campus offices, student groups, State Dept visitors, and K-12 students. ",https://www.american.edu/finance/sustainability/map.cfm,True,The sustainable transportation web page lists and links to alternative methods of campus transportation.,http://www.american.edu/finance/sustainability/Transportation.cfm,--,n/a,--,--,n/a,--,True,The Eagle regularly covers sustainability. Student Sustainability Educators and members of sustainable student organizations regularly contribute op-ed content. The student newspaper publishes daily content online and sends a weekly digest to the whole campus community.,http://www.theeagleonline.com/,True,Zero Waste Brochure to highlight the Zero Waste commitment of AU and educate students and staff about correct waste diversion. ,http://www.american.edu/finance/facilities/ZeroWasteResources.cfm,True,AU Sustainability List Serv - all members of the community are invited to share information about sustainability with the list. It is most frequently used to share information about upcoming events. ,http://listserv.american.edu/cgi-bin/wa?A0=AUSUSTAINABILITY-L,True,The entire campus is a certified arboretum and a brochure and book both provide information about the arboretum's history and associated organizations. ,--,--,n/a,--,--,n/a,--,--,n/a,--,--,m/a,--,--,n/a,--,--
Appalachian State University,2016-02-01,2016-02-01 13:37:33,balllf@appstate.edu,2.0,Pursuing,**,True,"The university's sustainability website strives to be a clearinghouse for all things sustainable within the university: academic and research offerings, events, news (local and regional) student involvement, and sustainability initiatives, both institutional and student-based.",http://sustain.appstate.edu/,--,,--,True,"The Office of Sustainability has a dedicated communications officers who is responsible for coordinating and updating social media platforms of Facebook, Instagram, and Twitter. These outlets allow for the office to reach a broader range of students and the community and provide real-time updates and reminders of events and opportunities related to sustainability at Appalachian State.",https://www.facebook.com/sustainAppalachian,True,"Annually, Appalachian hosts the Celebration of Student Research and Creative Endeavors.  The Celebration showcases and encourages meaningful research in all disciplines by undergraduates and graduate students at Appalachian. Last year (2013), over 100 students representing over 20 departments presented their results in either a performance, platform talk, or poster.",http://osr.appstate.edu//present-publish/celebration-student-research-and-creative-endeavors,True,"Appalachian's student union features signage regarding reduced water flow on its sink faucets and signage about the dual flush toilets.  There is also signage at the special items recycling area indicating special items.  At the water bottle refilling station, signage indicates the importance of reusing a water bottle.  On the paper towel dispensers, ""These Come from Trees"" stickers are displayed.  The student union is home to a large sustainability board available for students, faculty and staff to display material and information. The student union also hosts the Renewable Energy Initiative information kiosk, displaying information about all the renewable energy projects on campus.",http://studentunion.appstate.edu/pagesmith/64,True,"Appalachian Food Services created a flier about ways in which Food Services has gone ""green"".  Reduce, reuse, recycle is the theme of the flier.  Signage is in place at every dining facility on campus asking patrons for their support of campus sustainability initiatives.  The signs make recommendations for doing so, like bring your own cup/mug and recycles bottles here.",http://www.foodservices.appstate.edu/sustainability-documents,--,,--,True,"The walking map/tour is a virtual map. It was designed by a student in 2010. Sustainable Strides is designed to communicate not only about physical locations of sustainable activities/measures, but also about sustainable technology and or commitments.",http://sustain.appstate.edu/strides,True,"On the university's sustainability website, there is a page dedicated to alternative transportation at Appalachian. Listed is information about mass transit, ridesharing, car sharing, biking and motor pool. The guide for Sustainable Living for students, developed by the Office of Sustainability, includes information about mass transit and bicycling and encourages students to consider these options.

",http://sustain.appstate.edu/transit,True,"The University Outdoor Programs office organizes educational events, rallies, and both local and out of town bicycling trips for bicyclists. They also provide maps of various bicycle trails throughout the region.

Outdoor Programs has teamed up with the Office of Sustainability to promote alternative methods of transportation, such as bicycling, by providing safety education material and by funding and maintaining free ""bike repair stations"" at several locations on campus in an attempt to foster more non-vehicle commuters.",http://op.appstate.edu/bike-app,True,"The Office of Sustainability has developed a guide for student green living, which seeks to develop sustainable behaviors for sustainable living while in college and transferable beyond college.  The guide displays tips regarding transportation, purchasing and waste, energy and water. The guide also asks students to take the 'Sustainable Living Pledge' and sign electronically. This encourages students to follow through with sustainable principles discussed in the guide as well as helps to show the growing population that is committed to making sustainable living a priority.",http://sustain.appstate.edu/greenstudents,True,"There is a student dedicated to the sustainability beat.  The student newspaper is printed twice a week and is also available online.  

",http://www.theappalachianonline.com/,True,"2013 Sustainability Yearbook catalogs Appalachian State's sustainability progress through engaged students, academics and research, and campus initiatives.",http://issuu.com/appalachianstateuniversity/docs/sustain_book_issu,True,"Faculty Sustainable Research Forum- In an effort to highlight the sustainability-focused scholarly activities of Appalachian’s distinguished faculty, the university will present the 1st Annual Sustainability Research Forum  on October 22nd (National Campus Sustainability Day).  In support of the 2014-2019 Appalachian State University strategic plan, The Appalachian Experience: Envisioning a Just and Sustainable Future, this forum will demonstrate Appalachian’s commitment to sustainability by showcasing the sustainability-related peer-reviewed research of three Appalachian scholars in a public forum.",--,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Aquinas College,2016-03-21,2016-03-21 14:45:29,eimerjes@aquinas.edu,2.0,Pursuing,**,True,"The web site highlights the most recent Sustainability news and events, electronic versions of the monthly sustainability newsletter, and resources about sustainability pertinent to the campus population. There is also an extensive section on the Zero Waste Initiative, a section on metrics/indicators used to measure progress, and more. ",http://www.aquinas.edu/sustainability,True,Interns at the Center for Sustainability put together AQ Sustainability News that highlights sustainability on campus. The newsletter is distributed to key constituents via e-mail and made available electronically on the Sustainability Initiative site. ,--,True,"The Center for Sustainability uses the campus kiosk’s to inform students on ways to live sustainably, as well as zero waste events and speakers invited to the campus to discuss issues regarding sustainability. We also advertise on the two campus “blogs”: the Moose (which is directed towards students) and Acorn (which is designed for faculty and staff). In addition to this, the Center for Sustainability at Aquinas has an Instagram page and a Facebook page. ",https://www.facebook.com/CenterForSustainability,--,N/A,--,True,Centralized signage summarizing green building features are posted.,--,True,"Product specific educational signage is placed as appropriate next to local and organic products. A map of Michigan is prominently displayed with callouts of local vendors served in the cafeteria. Compostable disposables are clearly labeled, as are the waste stations for disposal. ",--,--,N/A,--,True,Aquinas provides a walking tree guide featuring 108 different tree and shrub species native to Michigan among Aquinas campus trails. It is also available virtually. ,https://nature.aquinas.edu/,True,"There are several guides for commuters: 
A Saint’s Guide to Sustainability includes an entire section on sustainable commuting. 
The Sustainability Initiative website contains a “Get Involved” section with a “Re-think Transportation” page that includes information about carpooling, the Rapid Bus System discounts, a video about how to use the bus, and biking.",https://www.aquinas.edu/sustainability/re-think-transportation,True,"The “AQ Bikes” page of the Campus Safety web site features information on the college’s bike rental program, a link to bike trails in the Grand Rapids area, a bicycle safety video, and a FAQ section aimed at bicyclists and pedestrians. ",https://www.aquinas.edu/campus-safety,True,"A Saint’s Guide to Sustainability includes information about reducing waste, making local food choices, getting involved on campus, sustainability policies, and alternative transportation programs. ",--,--,N/A,--,True,Recycling and Composting Guide that highlights what items are accepted and which are not accepted.,--,True,"Aquinas College Excessive Idling Policy pamphlet to explain who the policy applies to, how it will be implemented, and why it is important.",--,True, Aquinas LEED Certified Buildings pamphlet featuring LEED certified buildings on campus. ,https://www.aquinas.edu/sites/default/files/FinalBrochure-October2012.pdf,--,,--,--,,--,--,,--,--,,--,--,,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:42,corey.hawkey@asu.edu,2.0,Pursuing,**,True,"Arizona State University has two websites that consolidate information about our sustainability efforts. The first, http://sustainability.asu.edu/, is the website for the Wrigley Global Institute of Sustainability, which is the hub of the University’s sustainability initiatives, advancing research, education, and business practices for an urbanizing world. The second, http://schoolofsustainability.asu.edu/, is the website for the nation's first School of Sustainability, which offers transdisciplinary degree programs to create practical solutions for environmental, economic, and social challenges.

While research, education, and outreach are pillars of the University's sustainability efforts, perhaps the most relevant (to this question) section of our website is http://sustainability.asu.edu/practice/index.php. This section, called ""Sustainability in Practice,"" highlights our institutional commitment and enumerates our many actions in the areas of energy conservation, renewable energy, recycling and waste, transportation, food services, water conservation, buildings, grounds, services and maintenance, purchasing and policy, and recognition and awards.",http://sustainability.asu.edu/,True,"The weekly Sustainability Digest e-newsletter announces sustainability-related seminars, meetings, colloquiums, lectures, brown bags, announcements of interest, and job opportunities.

The ASU Staff Council issues a monthly newsletter called Sparky's Scoop News for Staff Success. The newsletter always includes a section called the Sustainability Corner. The Sustainability Corner raises awareness about Arizona State University's sustainability initiatives as well as let staff know what they can do in the workplace to advance ASU's sustainability goals of Climate Neutrality, Zero Water and Solid Waste, Principled Practice and Active Engagement.",http://lists.asu.edu/archives/giosasu.html,True,"Arizona State University provides the following social media platforms for alumni, students, faculty, staff, and associates of Arizona State University's School of Sustainability to follow our sustainability activities. Facebook, Twitter, LinkedIn, Flickr, and Vimeo.",http://sustainability.asu.edu/media/social-media.php,True,"Arizona State University regularly features news about student research on all topics, including sustainability.",http://asunews.asu.edu/taxonomy/term/29,True,"Signage within the Wrigley Global Institute of Sustainability building highlights green building features, including not only environmentally-friendly materials and renovation practices, but also the social considerations of the many design choices within the building. The website below summarizes many (but not all) of these features.",http://sustainability.asu.edu/about/our-place.php,True,"Arizona State University is committed to sustainability in its food services through waste reduction, pollution management, and energy and water efficiency. Our food service contractor (http://sundevildining.asu.edu/sustainability), our university caterer (http://cfo.asu.edu/uclub-sustainability), and our living-learning restaurant (http://engrainedcafe.com/) all have a mission to advance sustainability in their practices.

As a living-learning restaurant, Engrained Café is a showcase of sustainability in action, with signs, brochures, and an interactive website full of information about sustainable food systems.",http://engrainedcafe.com/,True,Temporary signs are displayed during our annual Campus Harvest to promote and educate the campus community about our sustainable grounds-keeping practices and activities.,--,True,"Developed in 2010, the 1.2-mile sustainability walking tour highlights LEED-certified buildings, solar installations, and a variety of examples that comprise the University's integrated, university-wide approach to sustainability.",http://sustainability.asu.edu/resources/tour/,True,"Arizona State University encourages students, faculty and staff to use an alternate mode of transportation as often as possible. The University's Parking and Transit Services-Commuter Options program provides a number of transit options for the University community, most of which are free.",http://cfo.asu.edu/pts-commuter,True,"Bicycle lane directions, biking and public transit, campus shower building locations and more are provided within Commute by Bike page on the web.",https://cfo.asu.edu/bike-commute,True,Arizona State University has created a Green Communities certification process that recognizes students living on campus for their efforts to incorporate sustainability practices and behaviors into their every day lives.,http://sustainability.asu.edu/about/resources/green-communities/index.php,True,"While there is not a regular column, per se, nor a reporter assigned specifically to the sustainability beat, sustainability practices (http://asunews.asu.edu/taxonomy/term/358) and research (http://asunews.asu.edu/taxonomy/term/40) are regularly covered in the University’s News.",http://asunews.asu.edu/taxonomy/term/358,True,"Our prospectus, Sustainability at ASU: Toward a more sustainable world, provides an overview of ASU’s efforts to advance sustainability across the university and beyond. ",http://sustainability.asu.edu/resources/prospectus/,True,"Arizona State University’s Carbon Neutrality Action Plan serves as a strategic blueprint for achieving a net zero carbon footprint across all campuses. ASU commits to mitigating 100 percent of its carbon emissions from energy, agriculture and refrigerants, and waste-related sources by 2025, and 100 percent of its carbon emissions from transportation by 2035.",http://sustainability.asu.edu/resources/carbonzero/,True,"The Sustainability Operations Annual Review provides a snapshot of each years sustainability operations and practices achievements to reach our goals of climate neutrality, zero waste, active engagement and principled practice. ",https://www.asu.edu/vpbf/documents/ASU-SustainabilityOperations.pdf,True,The SIRF: Sustainability Initiatives Revolving Fund brochure informs readers about ways the fund provides investment across our four campuses for both large and small energy conservation projects that provide a real return.,https://cfo.asu.edu/sirf,True,"The below URL includes seven outreach items, grouped together here as ""Resources for Educators."" These are websites, publications, teachers' guides, and other items that allow K-12 teachers to bring sustainability-related topics into their classrooms.",http://sustainability.asu.edu/about/resources/resources-for-educators.php,True,"The Sustainability Review is a biannual, online publication edited and published by graduate students at Arizona State University’s School of Sustainability. Part scholarly journal, part popular magazine, The Sustainability Review combines research, opinion, and art to bring sustainability into the public dialogue.",http://www.thesustainabilityreview.org/,True,"The Strategic Plan for Sustainability Practices and Operations allows reader to be informed about the ASU's strategic plan to achieve Climate Neutrality, Zero Waste, Active Engagement and Principled Practice. ",http://sustainabilityplan.asu.edu/,True,The ASU Roadmap to Zero Waste allows reader to view detailed projects that will lead ASU to achieve its Zero Waste by 2015 goal.,https://cfo.asu.edu/zw-roadmap,--
Austin College,2016-02-29,2016-02-29 18:25:04,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:08,dscott@babson.edu,2.0,Pursuing,**,True,"Babson Sustainability redesigned its site in the Fall of 2013.  This new page includes a broad offering of all activities on campus - including an active calendar and twitter feed from our active student groups.  
",http://www.babson.edu/sustainability,True,"Babson has an informational e-newsletter called Sustainability at Babson that is sent out to all of the campus community. It details operational efforts with regard to sustainability and offers tips to faculty, staff, and students for sustainability. It features campus individuals and events that contribute to sustainability initiatives.",http://www.babson.edu/about-babson/sustainability/aboutus/pages/newsevents.aspx,True,"The student employees of the Sustainability Office are responsible for maintaining a social media presence on Facebook and Twitter. These platforms create possibilities to engage with students, staff, and faculty on campus as well as other college groups, sustainability leaders, and environmental entrepreneurs off campus. The active Facebook page is called Babson Eco-Reps https://www.facebook.com/BabsonEcoReps and the Twitter handles are @BabsonEcoRep and @BabsonSustain. @BabsonEcoRep focuses most on peer engagement while @BabsonSustain focuses on being an informative source for all campus sustainability topics.

Twitter:
http://www.twitter.com/BabsonEcoRep
http://www.twitter.com/BabsonSustain",https://www.facebook.com/BabsonSustainability,--,,--,True,"Some of the dorms have occupancy sensor thermostats and there is a poster in each of these dorms letting the students know the benefits of these thermostats. Monitors around campus are used to educate users of the building what energy or water efficiency programs are currently going on.

Additional buildings are labeled with LEED information, Energy Star information, and directions to sustainable features such as water bottle filling stations. ",--,True,There is signage in the campus dining hall that informs students about local food options along with signs that discourages food waste.,--,True,"In appropriate areas Babson has signs that read:
Less Mowing Equals Less Emissions
Babson is reducing its carbon footprint by turning underutilized lawns back into natural landscape.
Planting Trees - Creating Habitat - Sustainability at Babson",--,True,Tour covers campus sustainability features and is offered to classes and employees. ,--,--,,--,--,,--,True,Every First Year seminar course is provided with a Sustainability Workbook that talks about sustainability at Babson and doubles as a guide on how to practice green living. ,--,--,,--,True,Sustainability at Babson provides a brief informational page on the leading sustainability activities at Babson,http://www.babson.edu/about-babson/sustainability/aboutus/Documents/Sustainability%20at%20Babson%20Information%20Sheet.pdf,True,Information on how to get involved on campus that is updated annually,http://www.babson.edu/about-babson/sustainability/aboutus/Documents/Sustainability%20Engagement%20and%20Events.pdf,--,,--,--,,--,--,,--,--,,--,--,,--,--,,--,--
Ball State University,2016-02-29,2016-02-29 08:26:29,rkoester@bsu.edu,2.0,Pursuing,**,True,"Ball State University maintains a website that provides information on its sustainability efforts. 

This site includes information on the sustainability awards given by the Institution and those bestowed upon the institution.

And, this site provides a link to our ""Get-on-the-Map' web page which enables everyone in the university community to report on their sustainability work using the STARS Framework; that web site can be found in the 'Mapping Sustainability' button on the main sustainability web site or can be accessed directly here:http://cote.iweb.bsu.edu/stars/
",http://cms.bsu.edu/Academics/CentersandInstitutes/COTE/Sustainability.aspx,True,"A member of the Council on the Environment (COTE), provides a descriptive newsletter that is emailed to all COTE members to be shared with their respective campus constituents.

This newsletter reflects on the interdisciplinary sustainability topics to be celebrated, facilitated and anticipated by the campus community.   
",http://www.bsu.edu/cote/,True,"The recommendations are simple and practical to show students that it can be easy to help Ball State to go green.  The project includes a guide that also has been formatted to a webpage and a page on the social media site, Facebook, to provide students with updates and weekly ""green challenges.""
",https://www.facebook.com/SfS.BSU/,True,The university highlights sustainability-related student research on the main sustainability web site.,http://cms.bsu.edu/Academics/CentersandInstitutes/COTE/Sustainability/StudentWork.aspx,--,n/a,--,True,See Dining Services section of the STARS Report.,http://cms.bsu.edu/-/media/WWW/DepartmentalContent/Dining/pdfs/Current%20Sustainability%20Practices%20in%20Dining%2020152016.pdf,--,,--,True,"The Ball State University Field Station and Environmental Education Center (FSEEC) provides maps for walking through and understanding the ecosystem study areas at FSEEC. 

This encompasses approximately 425 acres. 

",http://cms.bsu.edu/Academics/CentersandInstitutes/FSEEC.aspx,--,,http://bsu.edu/recreation/outdoor-pursuits.html,--,http://bsu.edu/recreation/outdoor-pursuits.html,http://bsu.edu/recreation/outdoor-pursuits.html,True,"Students + Sustainability is a guide that was created specifically for Ball State students.  

The guide includes a brief narrative illustrating the importance of sustainability in the campus community and highlights several key initiatives that Ball State has engaged to achieve its goal of becoming a more sustainable university.  

The guide provides recommendations for ways that BSU students can implement sustainable practices in their everyday lifestyles in five areas: at home, in class, when traveling, when eating and when shopping.   

The recommendations are simple and practical to show students that it can be easy to help Ball State to go green.  The project includes a guide that also has been formatted to a webpage and a page on the social media site, Facebook, to provide students with updates and weekly ""green challenges.""
",https://sites.google.com/site/gogreenbsu/,--,,--,True,"Published Proceedings from:
Greening of the Campus 9: Building Pedagogy 2012
Greening of the Campus 8: Embracing Change          2009
Greening of the Campus 7: Partnering for Action	    2007
Greening of the Campus 6: Extending Connections	    2005
Greening of the Campus 5: Connecting to Place	    2003
Greening of the Campus 4: Moving to the Mainstream  2001
Greening of the Campus 3: Theory and Reality 	    1999
Greening of the Campus 2: The Next Step 	    1997
Greening of the Campus 1: Ball State University	    1996
",http://www.bsu.edu/greening,True,"Our students have participated in national design-for-sustainability competitions and development of Global Reporting Initiatives (GRI) assessments for BSU. All this work is available on the web.  See ""Student Work"" and ""Global Reporting Initiative (GRI) on the sustainability web site.",http://www.bsu.edu/sustainability,True,A Campus Sustainability Guide 2015,http://cms.bsu.edu/academics/centersandinstitutes/cote/sustainability/guidebook,--,n/a,--,--,n/a,--,--,n/a,--,--,n/a,--,--,n/a,--,--
Baylor University,2016-02-26,2016-02-26 17:48:30,Smith_Getterman@baylor.edu,2.0,Pursuing,**,True,"The sustainability website features up to date news and information concerning campus sustainability efforts, it covers any awards and recognition the university has received as a result of our sustainability efforts, and highlights students and student group sustainability interest and initiatives. It also hosts the sustainability annual report, where people can go to download a pdf version of the most recently publish Baylor University Sustainability Annual Report.",http://www.baylor.edu/sustainability,True,"Each semester a group of students from a Writing & Editing class compiles the Sustainability Newsletter. This newsletter highlights campus wide efforts that have occurred during the semester. While not made publicly available, a digital copy is made available to members of the University Sustainability Committee for them to distribute as they see fit.",--,True,"The Office of Sustainability uses all major forms of social media to engage the campus community and beyond. Twitter, Facebook, Instagram, and Tumblr are the main social media platforms put to use to showcase our sustainability efforts. ",http://osogreen.tumblr.com/,--,,--,True,All LEED and EnergyStar rated buildings feature the appropriate accompanying signage. ,--,True,"Throughout the residence hall cafeterias, signs and posters are put on display indicating organic food, vegetarian options, and information about the sustainable practices our food services team currently engages in. ",--,--,,--,True,We provide a walking tour of the East Village Complex which features three LEED certified buildings and grounds with sustainable features built in. The tour highlights the specific features found at the East Village Complex while also bringing attention to similar features found elsewhere on campus.,--,True,"The Baylor University Shuttle system has maps all over campus to inform students, visitors, and faculty and staff about the campus shuttle system and how to take advantage of it as an alternative to single car commuting.",--,True,Students are provided information at orientation regarding cycling options and best practices. Campus bike lanes are clearly marked for navigational and safety purposes. ,--,True,"Available on the sustainability website is a 10 Ways to Go Green While on Campus flier for faculty, staff, and students to reference while living and working on campus.",http://www.baylor.edu/content/imglib/100722.jpg,True,"The student newspaper assigns a beat reporter to the sustainability beat each semester. This has resulted in regular coverage in the student newspaper, the Baylor Lariat.",--,True,"We have a very active Facebook page where we update our followers with photos from campus events, information on the latest sustainability happenings, and tips and tips on how to live a greener life.",--,True,We have a very active Twitter account that gives live updates on the every day happenings of the Office of Sustainability and news updates as they become available.,--,True,"The Baylor Energy Awareness Program sponsors the Baylor Energy Madness Residence Hall Competition each fall to see which residence hall can save the most energy. Students compete as a residence hall team to earn points for energy reduction in their residence hall and participation in games throughout the season. The competition is not only aimed at encouraging students to conserve electricity and water (environmental resources), but it is also designed to provide feedback on more efficient ways to save energy on campus. Residence halls teams earn points for saving energy and for participating in bonus point activities.",http://www.baylor.edu/energyzone,True,The Baylor Energy Awareness Program distributes tips sheets about how to save energy on campus as.,--,True,The Baylor Energy Awareness Program has an active FaceBook page to help engage students in the Baylor Energy Madness Competition as well as engaging them in ways to save energy on campus.,http://www.facebook.com/BaylorEnergyMadness,True,The Baylor Energy Awareness Program also has an active Twitter account that tweets energy saving tips and updates about the competition.,--,--,,--,--,,--,--
