Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution held at least one sustainability-related outreach campaign directed at students ...,Has the institution held at least one sustainability-related outreach campaign directed at ...,The name of the campaign (1st campaign),A brief description of the campaign (1st campaign),A brief description of the measured positive impact(s) of the campaign (1st campaign),The website URL where information about the campaign is available (1st campaign),The name of the campaign (2nd campaign),A brief description of the campaign (2nd campaign),A brief description of the measured positive impact(s) of the campaign (2nd campaign),The website URL where information about the campaign is available (2nd campaign),"A brief description of other outreach campaigns, including measured positive impacts",Public Notes
Albion College,2016-02-25,2016-02-25 15:19:09,mfrever@albion.edu,2.0,Pursuing,True,True,Sustainability Theme Year 2010,"Albion College's Year of Sustainability (2010-11) is dedicated to creative and educational expression of the College's strategic plan focus on sustainability and environmental issues. The sustainability theme encompasses a variety of campus activities including career fairs, named lectures, class projects, club activities and dining hall meals. By regularly providing information and action opportunities, the Year of Sustainability aims to make a positive difference in the lives students, the campus, the Albion community, and the earth.",A Student Farm was established.,http://www.albion.edu/news-and-events/recent-news/news-archive/479-2010-11-news/4336-all-college-picnic-goes-waste-free-for-year-of-sustainability,Sustainability Theme Year 2013,"For the 2013-14 academic-year, Albion College focuses its collective attention on sustainability as part of an interdisciplinary education that is designed for those who will be engaged in solving today’s and tomorrow’s social, environmental and economic challenges.",The Sustainability Council was established.,http://www.albion.edu/about-albion/sustainability/sustainability-news/11166-sustainability-theme-year-2013-2014,,--
Allegheny College,2016-03-29,2016-03-29 08:54:19,kelly.boulton@allegheny.edu,2.0,Pursuing,True,True,Annual Energy Challenge,"Each year the entire campus community is challenged to reduce electricity consumption through responsible behavior change in the month of October.  In the past six challenges, the campus achieved an average reduction of 8.3% and a total of $42,000. The financial savings have been used to fund the installation of 24 solar panels, 11 filtered water refill stations and soon hundreds of low-flow showerheads.  Many student groups contribute to the month long success of this event through efforts and events such as tabling to have students sign commitments, hosting acoustic open mic nights, hide and go seek in the dark, bonfires, glow bocce, bike-powered smoothie give-aways, etc.","8.3% reduction in electricity consumption during the month long Challenge, followed by a continued 7% reduction in the following months.",http://sites.allegheny.edu/greengator/,Reusable Takeout Program and Bring Your Own Cup Program,"A mandatory reusable takeout program was implemented in one dining hall this year, yielding over $13,000 in savings and enough minimized waste to fill five dorm rooms. Students are also required to bring their own cup or bottle to one dining hall for takeout and financially incentivized to bring a reusable at the second dining hall. ","A mandatory reusable takeout program was implemented in one dining hall this year, yielding over $13,000 in savings and enough minimized waste to fill five dorm rooms. Financial savings and waste minimized will be calculated for the impact of the mandatory reusable bottle/cup program at the end of this academic year. ",--,,--
American University,2016-03-23,2016-03-23 14:22:32,meganzl@american.edu,2.0,Pursuing,True,True,ECOlympics 2015,"FM Zero Waste, FM E&E, and Office of Sustainability co-developed a brand new inter-hall competition program called ECOlympics with the vision of bringing student awareness on waste and energy conservation. This program lasted three weeks and invovled full campus events and engagement.","Through engagement and education efforts by the ECOlympics team, nearly 19,000 kWh of electricity consumption was reduced during a 3 week competition period. During this period the ECOlympics team verified by rigorous waste audits that AU residence halls achieved an average correct sorting rate of 84% (nearly 3 times the national average)! 84% of waste was correctly recycled or collected in organic waste bins for compost. ",http://www.american.edu/finance/sustainability/ECOlympics.cfm,Green Office,The Green Office program harnesses the power of collective action by engaging faculty and staff throughout the university in sustainability initiatives that meet the goals of AU's strategic plan. Green office encourages sustainability behavior and office policy changes. ,"Since 2011, nearly forty campus offices and more than 600 staff and faculty have participated. In 2014/15 over 100 staff attended a series of lunch and learn sessions addressing office sustainability, resulting in tangible changes including policies to reduce paper waste, reminders to reduce energy, and practices to increase the reuse of supplies.",http://www.american.edu/finance/sustainability/Green-Office.cfm,,Tons of carbon saved was calculated using the EPA Greenhouse Gas Equivalency Calculator: http://www.epa.gov/cleanenergy/energy
Appalachian State University,2016-02-01,2016-02-01 13:37:34,balllf@appstate.edu,2.0,Pursuing,True,True,Recycle at the Rock,"ASU Recycles, in collaboration with several other campus departments, develops and implements the 'Recycle At The Rock' program. On game days, tailgaters are asked to utilize green recyclable bags to collect their bottles, cans and clean cardboard from their tailgating site. Once full, these are left behind and Appalachian State staff collect the bags from the tailgate lots to be recycled. Volunteers assist ASU Recycles staff with the distribution of these bags. In addition, over 75 recycling bins are placed throughout the stadium area on game days, and the recycling left behind in the stadium is also separated out by a contracted clean-up crew as well. ","Education and outreach is one of the keys to the success of this campaign. Through this campaign, we have been able to utilize our volunteers to educate students, faculty, staff, alumni, and community members about the importance of waste reduction, recycling, and sustainability. Not only do our game day volunteers have the opportunity to outreach while distributing the bags, but our student interns have the opportunity to outreach to many classes while recruiting for volunteers. There is also a massive training effort involved with our volunteers prior to game day as well. Before this campaign began, all the recycling from tailgating and the stadium was thrown away. We have diverted over 9 tons of material from the landfill last football season, through over 100 volunteers passing out over 30,000 bags. In addition, we have been able to reach an audience of thousands at every home game. ",http://zerowaste.appstate.edu/special-programs/recycle-rock,Zero Waste,"A “zero waste” commitment has begun at Appalachian State University with the goal of diverting 90 percent of all waste from landfill disposal by 2022.

As part of this commitment, single stream recycling and mini-bin waste collections initiatives will be implemented. These initiatives are a collaborative effort between the Office of Sustainability, Building Services and the Physical Plant.

In keeping with the zero waste commitment of Appalachian, Athletics is partnering with the Physical Plant and Office of Sustainability to develop a zero waste stadium plan, being implemented in the 2014 football season. The stadium game day waste collection will consist of 15 zero waste zones for the collection of compost and recycling throughout the concourse areas. These zones will have ample signage and zero waste attendants at each location to ensure attendees are educated and aware of which container to use when discarding their waste. The group is working with the concessionaires to ensure the products they use are either compostable or recyclable. The condiment areas will consist of bulk condiments rather than individual packets. The clean up of the stadium post game will also work to separate waste for recycling or composting.","The university currently diverts 42 percent of its waste annually from a landfill by recycling, reducing and composting.

An Environmentally Preferable Purchasing (EPP) Program has been implemented. Through this program, the university will be required to purchase environmentally preferable products when price and quality are comparable. The development of an EPP work group will involve collaboration of many different stakeholders across campus. One such example of the effects of the EPP program, is the option for EPP ink toners and cartridges (http://materials.appstate.edu/sites/materials.appstate.edu/files/EPP%20Announcement.pdf).

As part of the Zero Waste Commitment the Office of Sustainability published a comprehensive waste audit report in spring 2014 (http://zerowaste.appstate.edu/sites/zerowaste.appstate.edu/files/FINAL%20exec%20summary%20feb%202014.pdf) to be used as a planning tool in identifying potential areas of improvement and as a educational tool for explaining how our current waste-stream is managed. The study concludes that ASU has the potential to divert up to 88% of its waste stream.
",http://zerowaste.appstate.edu/,"Don't Throw it Away (DTiA). This campaign encourages students living in on-campus dorms to donate used items. Most anything is accepted, from shower caddies, lamps, futons, clean carpets, clothes, and non-perishable food items! Volunteers collect items from designated drop-off zones and organize them for sale at ""The BIG Sale"" held on-campus at the beginning of every fall semester. Funds raised from the sale go to 3 non-profit organizations to help them increase energy efficiency. This year alone over $20,000 was raised, and over $100,000 total since the program began in 2001.


",--
Aquinas College,2016-03-21,2016-03-21 14:45:30,eimerjes@aquinas.edu,2.0,Pursuing,True,True,Zero Waste Initiative ,"As a part of the American College and University Presidents' Climate Commitment, Aquinas College committed to becoming a zero waste to landfill campus by 2020. The Center for Sustainability and Students Striving for Sustainability (S3) partnered in 2012 to improve the waste diversion infrastructure across campus. Composting and recycling already existed campus wide, so efforts were focused on adding special collections (styrofoam, e-waste, batteries, ink cartridges, and goodwill bins) in every campus building. All trashcans have also been removed from classrooms (with the exception of a few rooms like art studios), to encourage personal responsibility for waste and get us closer to our zero waste goals. More importantly, we focused on achieving zero waste at all major events (using our zero waste team) and educating and training. All staff and faculty have had small, hands-on sorting trainings, and all incoming students received the same training at orientation (except in a ""waste relay"" style). Campus competitions are another important component of our strategy. ","The college has been aggressively working on the zero waste initiative.  We removed several trash dumpsters, saving the college $2,000 per month in operations. The college’s diversion rate has improved from 45% to almost 70% in just 3 years. ",https://www.aquinas.edu/sustainability/zero-waste-initiative,Apartment Energy Competition ,"An energy competition was held between AQ apartments in April 2015. The apartment with the largest decrease in energy (electricity and gas) during the month of April won. An education effort supported the competition using campaigns of ""Be Bold, Wash Cold”, “Flip the Switch”, and “Don’t Standby: Unplug”. ",We were able to see a slight but evident decrease in the overall natural gas and electric consumption in each of the five apartment buildings on campus. ,--,,--
Arizona State University,2016-02-29,2016-02-29 15:08:44,corey.hawkey@asu.edu,2.0,Pursuing,True,True,Ditch the Dumpster,"Arizona State University Residence Life in collaboration with ASU Recycling Program has taken the lead in promoting and managing this program that works directly with our community partner, Swift Charities. The program operates at residential halls on all campus locations. Staff establishes a route and schedule each year with the residential portions of our campuses to station small bins for clothing and personal items and establish larger drop off points for larger items such as electronics and furniture. The year round recycling program is promoted alongside special collections during move out.",ASU diverts about 25 tons tons of material through this program.,http://moveout.asu.edu/,RecycleMania,"Arizona State University participates in the 8-week RecycleMania competition each spring. This competition is promoted to students, but also faculty and staff. ASU participates in the eWaste Category.",There is participation across the university and ASU continues to climb the ranks in the competition.,http://recyclemania.org/,"Arizona State University also provides students and staff with a certification process for the following programs that recognizes their efforts to adopt sustainable practices. 

Green Office, Green Labs, Green Event, Green Shops, Green Communities and Green Classroom Programs. http://sustainability.asu.edu/practice/what-you-can-do/index.php



",--
Austin College,2016-02-29,2016-02-29 18:25:06,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:09,dscott@babson.edu,2.0,Pursuing,True,True,Zero Waste Challenge,"This Challenge started in Fall 2010 to make students and staff aware of their waste stream. For one week, participants carry around any trash they generated that is not recyclable or compostable in a small plastic bag. The activity gives participants a chance to reflect on their waste-producing habits and see how they compare with national averages. Over 200 students and staff participate every year. It is run by the Sustainability Office.","We weighed the total waste produced by participants and also saw an increase in the recycling rate during the challenge.
",http://www.babson.edu/about-babson/sustainability/collaboration/pages/annual-events.aspx,Print Reduction Email Campaign,"The Sustainability Office works with Business & Financial Services, Canon, and ITSD to compile printing statistics on all faculty, staff, and students. These stats are sent to all individuals on campus to make them more aware of their printing habits, and provides them with baseline norms and tools for lowering printing needs. ",Babson has seen regular annual drops in printing rates every semester for the past few years. ,http://www.babson.edu/offices-services/business-financial-services/purchasing/policies-procedures/pages/print-scan-policy.aspx,,--
Ball State University,2016-02-29,2016-02-29 08:26:30,rkoester@bsu.edu,2.0,Pursuing,True,True,Ball State Energy Challenge,"Our biggest event is a 3-week competition for students and staff in residence halls and academic buildings. The Energy Challenge encourages Ball State students to reduce their use of lights, appliances, chargers, and heating/cooling units in order to lower our on-campus carbon footprint. Prizes are awarded to the winning hall and building.","9,087 kWh saved during the Challenge
19,006 lbs of CO2 averted during this event.",http://bsubeat.com/,Eco Summit,"Held at the L.A. Pittenger Student Center. This annual event brings together sustainability-minded Indiana college students, along with faculty and professional people from around the state, to discuss successes and challenges. Attendees are encouraged to participate in Ball State student-led discussions on topics such as recycling, energy, food & water, and eco-activism.",Nothing measured.,http://bsubeat.com/,"Dinner in the Dark; America Recycles Day Party; Earth Day Party, Living Lightly Fair
",--
Baylor University,2016-02-26,2016-02-26 17:48:31,Smith_Getterman@baylor.edu,2.0,Pursuing,True,True,Creation Week,"Creation Week is Baylor's spin on Earth Week. It's a week of awareness and education events that engage the entire campus community with the message that we need to care for God's creation by living in a more sustainable manner. 

Students speak to the attendees of and host a booth at the university required chapel. A community event is held on campus that allows sustainability focused community groups to host booths on the campus mall. A film screening and discussion is held, focusing on a topic of sustainability (in 2011 the film was Food Inc. and the discussion focused on organic farming, GMO's, and other related topics). Finally, an on campus event is held for student groups that focus on issues of social justice and/or the environment. ","We received front page coverage from the campus newspaper, the Baylor Lariat. We received an overwhelming response from the student body with their attendance at the campus events, although no count would was kept because it would not have been possible. At the student group event, several campus administrators attended including two Vice Presidents. More awareness and education was brought to the campus community about sustainability and creation care issues than ever before, as it was the first time ever for an event like this to be held on Baylor's campus.",--,--,,,--,,--
