Institution,Date Submitted,Last Updated,Liason Email,Version,Status,The percentage of new employees that are offered orientation and/or outreach and guidance materials ...,A brief description of how sustainability is included in new employee orientation,The website URL where information about sustainability in new employee orientation is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:10,mfrever@albion.edu,2.0,Pursuing,--,,--,--
Allegheny College,2016-03-29,2016-03-29 08:54:22,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--
American University,2016-03-23,2016-03-23 14:22:38,meganzl@american.edu,2.0,Pursuing,100.0,"An overview of the University's commitment to and policies regarding sustainability is included in all new-staff orientation. Additional information about specific sustainability topics are also included: information about public transportation including metro, bus, Zipcar, and Zimride; bicycle commuter benefit; Money Network Service which replaced majority of paper paychecks and encouragement to complete surveys and tax forms electronicly; sustainable food choices including the campus CSA, farmers market, and community garden; a tour of campus also includes sustainability highlights.

The orientation itself has also implemented sustainability. All new hires are provided with binders, and both the binders and all materials within them are 100% recyclable and made from recycled materials. The binders also consolidate many individual handouts into one piece, so it helps by eliminating paper. Benefits vendor information and handouts are now ""a la carte"" so new staff are only collecting the materials they want rather than excess materials they don't need or want. Other handouts at orientation include reusable grocery bags and a travel mug/cup to use.",--,--
Appalachian State University,2016-02-01,2016-02-01 13:37:35,balllf@appstate.edu,2.0,Pursuing,100.0,The Office of Sustainability provides a presentation to new employees at the monthly new employee orientation.  Topics covered include Appalachian State's guiding sustainability commitments and take-aways for how they can continue to promote a sustainable environment in their workplace and generally as a campus community member.  Resource guides will be shared electronically with all new employees.  The new employee orientation presentation defines Appalachian State's commitment to sustainability through the Strategic Plan Core Values.,http://www.hrs.appstate.edu/sites/default/files/orientation.pdf,--
Aquinas College,2016-03-21,2016-03-21 14:45:31,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:46,corey.hawkey@asu.edu,2.0,Pursuing,100.0,"Sustainability is included in the New Employee Orientation (NEO) presentation to newly hired benefits-eligible faculty and staff. Information about Arizona State University’s mission and goals is presented via printed materials, a PowerPoint presentation, video, and the web. At NEO, the sustainability information is distributed in printed materials: “A New American University” booklet and a flyer containing important University web addresses. Sustainability information is also presented within the PowerPoint presentation when we talk about the University’s goals and objectives; it is viewed in the “ASU Challenges” video (www.asuchallenges.com) as part of our teaching, research, and business practices; and it is viewed on the web as we review Arizona State University’s 8 design aspirations (http://newamericanuniversity.asu.edu) and “the challenges before us” (www.asuchallenges.com) which include “How do we create a sustainable way of life?” The NEO presenter also “models” sustainable business practices by providing printed materials as two-sided copies and by directing new employees to refill reusable water bottles at the drinking fountains and to use the recycling baskets.

New Employee Orientation is presented at least twice per month for newly hired benefits-eligible faculty and staff at Arizona State University. About 1,200 new employees attend NEO each year.
",--,--
Austin College,2016-02-29,2016-02-29 18:25:08,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:10,dscott@babson.edu,2.0,In Progress,--,--,--,"Our on-boarding site is an internal website, so I have provided an externally facing page the shares opportunities. "
Ball State University,2016-02-29,2016-02-29 08:26:31,rkoester@bsu.edu,2.0,Pursuing,100.0,"Every April, new employees view a presentation both live and via Power Point on sustainability at the University. The employees are also given a one-page handout based on the presentation. During the presentation, employees learn about current sustainability efforts at BSU from Robert J. Koester, AIA LEED AP, a BSU Professor of Architecture. He is also Founding Director of the Center for Energy Research / Education / Service (CERES). The CERES Director outlines planned sustainability projects, both short-range and long-range. Employees also learn how individual employees and departments can contribute to BSU sustainability.",http://www.bsu.edu/sustainability,--
Baylor University,2016-02-26,2016-02-26 17:48:32,Smith_Getterman@baylor.edu,2.0,Pursuing,100.0,The Office of Sustainability encouraged HR to move to all digital materials for New Employee Orientation. As a part of this initiative the NEO instructor talks about why the move was made (decrease waste on campus) and then segues into a very brief discussion on other sustainability initiatives taking place at the university and how they can get involved and make a difference.,--,--
