Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Endowment size,Total campus area,IECC climate region,Locale,Gross floor area of building space,Conditioned floor area,Floor area of laboratory space,Floor area of healthcare space,Floor area of other energy intensive space,Floor area of residential space,Electricity use by source:,Percentage of electricity from biomass,Percentage of electricity from coal,Percentage of electricity from geothermal,Percentage of electricity from hydro,Percentage of electricity from natural gas,Percentage of electricity from nuclear,Percentage of electricity from solar photovoltaic,Percentage of electricity from wind,Percentage of electricity from other sources,A brief description of other sources of electricity not specified above,"Energy used for heating buildings, by source:",Percentage of energy used for heating buildings from biomass,Percentage of energy used for heating buildings from coal,Percentage of energy used for heating buildings from electricity,Percentage of energy used for heating buildings from fuel oil,Percentage of energy used for heating buildings from geothermal,Percentage of energy used for heating buildings from natural gas,Percentage of energy used for heating buildings from other sources,A brief description of other sources of building heating not specified above,Public Notes
Bucknell University,2016-05-23,2016-05-23 16:29:37,delmogaz@bucknell.edu,2.0,Pursuing,721800000.0,450.0,Cold,Small town,2754135.0,2754135.0,390408.0,8931.0,431202.0,784596.0,**,0.06,1.62,--,0.035,93.8,1.28,0.005,2.34,0.86,"The university uses oil and propane. The electricity bought, that is not from one of the fuel sources above, comes from captured methane, a non-renewable fuel cell, oil sources, solid waste and wood.",**,--,--,--,0.19,--,99.8,--,,--
Florida Gulf Coast University,2016-05-23,2016-05-23 16:32:59,kleone@fgcu.edu,2.0,Pursuing,56343579.0,800.0,Hot-Humid,Urban fringe of mid-size city,4259795.0,--,135433.0,11625.0,106911.0,530151.0,**,--,5.08,--,--,64.66,23.1,0.06,--,7.1,"6.93% Florida Power & Light purchases power from other sources, not specified.
0.17% Oil

2 megawatts of electricity, 18% of main campus (not Housing), is generated from FGCU's 15-acre solar field.  All other power is purchased from Florida Power & Light, who has provided the breakdown of electricity provided to FGCU.",**,--,5.08,--,--,--,64.66,7.1,FGCU is in a subtropical climate where heating buildings is not a significant issue.  Heat may come on for a brief time (1-3 hours) on rare winter mornings but never runs for an entire day.,--
Haverford College,2016-05-23,2016-05-23 16:39:18,ckent@haverford.edu,2.0,Pursuing,434000000.0,216.0,Mixed-Humid,Urban fringe of large city,1712093.0,784682.0,202836.0,--,--,810000.0,**,--,--,--,--,--,--,--,100.0,--,,**,--,--,2.7,0.3,0.5,96.5,--,,Residential space includes both student resident halls and faculty housing.
Juniata College,2016-05-23,2016-05-23 16:48:41,yelnosr@juniata.edu,2.0,Pursuing,105000000.0,110.0,Cold,Small town,880000.0,880000.0,88000.0,--,88000.0,268000.0,**,--,34.0,--,1.0,22.0,37.0,5.0,1.0,--,,**,--,--,10.0,2.0,5.0,83.0,--,,--
Oregon State University,2016-05-23,2016-05-23 16:54:13,brandon.trelstad@oregonstate.edu,2.0,Pursuing,541620664.0,1635.0,Marine,Mid-size city,9627596.0,--,2675747.0,--,--,1494198.0,**,1.1,62.97,0.35,8.3,14.72,--,0.02,3.61,9.4,9.4 % of the Pacific Power grid mix comes from unspecified sources.,**,--,--,10.0,--,--,90.0,--,OSU has a co-generation plant that provides steam heat to the campus from natural gas electricity production and steam waste heat with additional steam production to meet the campus heating load.,--
Pittsburg State University,2016-05-23,2016-05-23 16:57:31,bpeery@pittstate.edu,2.0,Pursuing,69414217.0,630.0,Mixed-Humid,Small town,2100937.0,--,27220.0,3149.0,38276.0,221043.0,**,--,99.0,--,--,--,--,1.0,--,--,,**,--,--,--,--,--,100.0,--,,--
Slippery Rock University,2016-05-23,2016-05-23 17:00:26,paul.scanlon@sru.edu,2.0,Pursuing,17480033.0,531.0,Cold,Small town,2511667.0,2498258.0,12168.0,6114.0,14591.0,812647.0,**,--,56.0,--,8.1,9.0,24.0,0.1,2.8,--,"Not included above are minor amounts of electricity provided by on-site demonstration systems such as  photovoltaic systems (2,538 kWH/year). ",**,--,32.2,0.05,--,0.05,67.7,--,An insignificant quantitiy of recovered waste wood is used as supplemental heat at the Macoskey Center Harmony House woodstove.,--
University of Texas Rio Grande Valley,2016-05-23,2016-05-23 17:03:45,Marianella.Franklin@utrgv.edu,2.0,Pursuing,72014738.0,321.0,Hot-Humid,Large town,2458047.0,2422015.0,1310073.0,56972.0,--,266488.0,**,0.12,38.0,--,0.15,--,12.0,0.9,5.0,0.12,oil 1 percent.,**,--,--,52.0,--,--,48.0,--,"Our University is located in the southern-most region of Texas.  Over the course of a year, the temperature typically varies from 50°F to 97°F and is rarely below 39°F or above 102°F.  Consequently, there is nominal demand for heating buildings.
(ref:  https://weatherspark.com/averages/30134/Edinburg-Texas-United-States)", institutions may report all floor area within buildings that contain research laboratories as laboratory space.
Weber State University,2016-05-23,2016-05-23 17:05:17,jenniferbodine@weber.edu,2.0,Pursuing,105000000.0,504.0,Cold,Mid-size city,2823731.0,--,20142.0,5765.0,14548.0,211891.0,**,--,82.0,--,1.0,15.0,1.0,0.3,0.7,--,,**,--,--,--,1.0,--,99.0,--,,--
Wilfrid Laurier University,2016-05-23,2016-05-23 17:07:50,cbennett@wlu.ca,2.0,Pursuing,49171539.0,83.78,Cold,Mid-size city,2726014.0,2703601.0,--,--,--,75000.0,**,--,--,--,--,--,--,--,--,--,,**,--,--,--,--,--,--,--,,--
