Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of academic divisions,Number of academic departments (or the equivalent),Full-time equivalent enrollment,Full-time equivalent of employees,Full-time equivalent of distance education students,Total number of undergraduate students,Total number of graduate students,Number of degree-seeking students,Number of non-credit students,Number of employees,Number of residential students,Number of residential employees,Number of in-patient hospital beds,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:04,mfrever@albion.edu,2.0,Pursuing,1.0,23.0,1283.66,398.5,--,1307.0,--,1284.0,23.0,447.0,1155.0,3.0,--,--
Allegheny College,2016-03-29,2016-03-29 08:53:41,kelly.boulton@allegheny.edu,2.0,Pursuing,4.0,46.0,2082.0,478.0,--,2099.0,--,2099.0,--,515.0,1853.0,6.0,--,--
American University,2016-03-23,2016-03-23 14:21:44,meganzl@american.edu,2.0,Pursuing,7.0,50.0,12110.0,2814.0,--,7756.0,4354.0,11413.0,697.0,3350.0,3993.0,16.0,--,--
Appalachian State University,2016-02-01,2016-02-01 13:37:30,balllf@appstate.edu,2.0,Pursuing,8.0,46.0,16094.0,2701.0,987.0,15634.0,1002.0,18026.0,134.0,2902.0,5524.0,--,--,--
Aquinas College,2016-03-21,2016-03-21 14:45:25,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:36,corey.hawkey@asu.edu,2.0,Pursuing,22.0,83.0,68374.0,8358.0,6230.0,59382.0,13996.0,72385.0,993.0,8907.0,11712.0,--,--,--
Austin College,2016-02-29,2016-02-29 18:24:58,pschulze@austincollege.edu,2.0,Pursuing,1.0,23.0,1294.0,319.0,--,1278.0,23.0,1295.0,6.0,353.0,947.0,10.0,--,This data is representative of Fiscal Year 2014. We happened to already have these figures collected for our Greenhouse Gas Emissions Report. 
Babson College,2016-02-24,2016-02-24 08:38:04,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,FY14 information
Ball State University,2016-02-29,2016-02-29 08:26:25,rkoester@bsu.edu,2.0,Pursuing,9.0,55.0,18255.0,3206.0,1462.0,16415.0,4240.0,16415.0,--,3417.0,6752.0,--,--,"The number of employees does not include graduate assistants.
When graduate assistants are included the number of employees is 4,344.
When graduate assistants are included in FTE equivalent employees the number is 3,669."
Baylor University,2016-02-26,2016-02-26 17:48:26,Smith_Getterman@baylor.edu,2.0,Pursuing,12.0,52.0,16001.0,2575.0,18.0,14189.0,2598.0,16787.0,--,2600.0,5289.0,31.0,--,--
Belmont University,2016-03-14,2016-03-14 08:38:26,mary.lucus@belmont.edu,2.0,Pursuing,10.0,28.0,7039.0,1067.0,--,5983.0,1367.0,7297.0,--,1360.0,3115.0,--,--,--
