Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an institution-wide stated preference to purchase computers and/or other ...,"A copy of the electronics purchasing policy, directive, or guidelines","The electronics purchasing policy, directive, or guidelines ","A brief description of steps the institution has taken to ensure that the purchasing policy, ...",Does the institution wish to pursue to pursue Part 2 of this credit (expenditures on EPEAT ...,"Expenditures on EPEAT registered desktop and laptop computers, displays, thin clients, televisions, ...","Expenditures on EPEAT Bronze desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Silver desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Gold desktop and laptop computers, displays, thin clients, televisions, and ...","Total expenditures on desktop and laptop computers, displays, thin clients, televisions, and ...","The website URL where information about the institution's electronics purchasing policy, directive, ...",Public Notes
Albion College,2016-02-25,2016-02-25 15:18:37,mfrever@albion.edu,2.0,Pursuing,--,,,,--,**,--,--,--,--,--,--
Allegheny College,2016-03-29,2016-03-29 08:51:27,kelly.boulton@allegheny.edu,2.0,Pursuing,True,,"In purchasing new technology the environment impact is part of the purchasing decision.
Energy Star and EPEAT ratings are a priority in purchasing decisions.
Computers are purchased in bulk when possible to limit environmental impact of delivery.","The sustainability coordinator works closely with the Director of Users Services to strategize purchases, assess progress and determine next steps for improvement.",True,**,--,970.0,138265.0,200000.0,http://sites.allegheny.edu/its/about/supporting-sustainability-initiatives/,"Each year we spend about 75 to 80% of our desktop computing budget is spent on EPEAT compliant technology while 20 to 25% is spent on Macs, for which Apple has stopped pursuing EPEAT in recent years.
"
American University,2016-03-23,2016-03-23 14:20:26,meganzl@american.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/54/6/506/3784/AU%20Sustainable%20Purchasing%20Policy_rev_07.31.13.docx.pdf,,AU maintains a sustainable purchasing policy to guide University procurement in ways that advance socially responsibility and environmental sustainability. ,True,**,--,72164.9,1036743.38,1108908.28,http://www.american.edu/finance/sustainability/Purchasing.cfm,--
Appalachian State University,2016-02-01,2016-02-01 13:37:13,balllf@appstate.edu,2.0,Pursuing,True,,"Combined Pricing Initiative (CPI)
 
On May 5, 2010 UNC General Administration announced to the UNC System's Chancellors and CIOs the launch of the Combined Pricing Initiative (CPI) [PDF] (275 KB) CPI's goals are to leverage the buying power of the entire UNC System and to meet cost-saving standards set by the North Carolina General Assembly. CPI standards currently apply to all PC desktop and laptop computers obtained with state appropriated funds. As of July 1, 2010 participation in CPI is mandatory for all UNC System schools.
 
PC computers must be obtained only from CPI ""Preferred Vendors"", currently Dell, Lenovo, and HP. Over the past few years Appalachian State University has standardized on Dell for PC desktops and laptops, so this is not a change for our campus. We will continue to obtain Apple computers as an individual campus as Apple is not currently part of the CPI program. PC purchases should be obtained through our campus purchasing portal - Yo-Mart.
 
A task force organized by UNC-GA has established a range of standard desktop and laptop computer configurations meant to reflect the diverse administrative and academic needs of UNC System campuses. This task force has negotiated best prices with CPI Preferred Vendors and Appalachian State information technology professionals have established campus standards in alignment with UNC-GA's CPI standards. This means that the default desktop and laptop packages conform to CPI standards.
 
Only CPI standards-compliant computer configurations are allowed, except where non-standard configurations are required for specialized research, teaching, or administrative needs. The total dollar amount of ""non-standard"" computers may not exceed 20% of the total of state funds used for PC purchases. In those cases where a non-standard configuration is required a formal request for an exception must be made. Reports must be submitted to UNC-GA detailing approved exceptions.
 
We estimate that for all computer purchases during FY 2009-2010 less than 5% would have been considered an ""exception"", thus this is a minimal change to our past paradigm. Our current process for requesting exceptions will be formalized and modified slightly to reflect the changing needs for reporting and documentation. Details on this refined process will be posted to this website as they become available.
 
Environmental Statement: Appalachian State University's standards for computer purchasing meet EPEAT standards. All recommended computers are EPEAT Gold Certified. EPEAT®-registered products meet strict environmental criteria. From fewer toxins in manufacturing to efficient operation and easier recycling, EPEAT-registered products offer a reduced environmental impact across their lifecycles.
",All computer purchasing at Appalachian is conducted through our campus purchasing portal - Yo-Mart.  Technology Support Services sets the purchasing standards for computers on campus and abides by the State of North Carolina's Combined Purchasing Initiative.  Purchasing adheres to these standards and does not allow computers outside of the standards to be purchased through the Yo-mart system.,True,**,--,22201.39,361451.75,383653.14,http://support.appstate.edu/faculty-staff/university-owned-computers/purchasing-standards,--
Aquinas College,2016-03-21,2016-03-21 14:45:09,eimerjes@aquinas.edu,2.0,Pursuing,--,,,,True,**,--,--,51199.0,51199.0,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:23,corey.hawkey@asu.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/21/6/506/3784/PUR210GreenPurchasing.pdf, ,"All desktop computers, notebooks/laptops, monitors/displays, and imaging equipment purchased must meet all Electronic Product Environmental Assessment Tool (EPEAT) environmental criteria designated as “gold” as contained in the IEEE 1680 Standard for the Environmental Assessment of Personal Computer Products. All televisions purchased must meet the highest EPEAT rating available at the time of purchase. Copiers and printers purchased shall be compatible with the use of recycled content and remanufactured products.
All electrical products purchased by ASU shall meet the US EPA Energy Star certification when available and practicable. When products with Energy Star labels are not available, products that are in the upper 25 per cent of energy efficiency as designated by the federal Energy Management Program shall be used. Suppliers of electronic equipment, including but not limited to computers, monitors, printers, and copiers, shall be required to take back equipment for reuse or environmentally safe recycling when deemed appropriate by ASU. When acquiring vehicles, the university shall purchase/lease less polluting alternatives to diesel, such as compressed natural gas, biobased fuels, hybrids, electric batteries, and fuel cells, as available and suitable for the use intended.
When acquiring or replacing inefficient interior or exterior lighting, energy efficient equipment shall be purchased.

Departments follow this purchasing policy as they order computers through Arizona State University's e-commerce system from SciQuest. The Purchasing Department also does not authorize payment for non-compliant machines, including those purchased by individuals who request reimbursement.",True,**,--,467546.0,7961826.0,8467954.0,http://www.asu.edu/aad/manuals/pur/pur210.html,--
Austin College,2016-02-29,2016-02-29 18:24:46,pschulze@austincollege.edu,2.0,Pursuing,--,,,All computer purchasing is done through the same office. ,--,**,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:37:48,dscott@babson.edu,2.0,Pursuing,True,,"From attached document:
""All standard computer hardware is selected to provide a high level of computing power at a cost effective price with an EPEAT Gold rating.""","All desktop, laptop and mobile computing purchases MUST go through IT.",True,**,--,46125.0,3057513.0,3103638.0,http://www.babson.edu/about-babson/sustainability/green-campus/Pages/Purchasing.aspx,"Spending covers our computer hardware (ThinkPad S1 Yoga, ThinkPad T440s, ThinkPad T431s, ThinkVision LT2252) for this past year and this up coming year (at the time of submission we just placed a large order to replace a substantial portion of campus hardware). It also includes Samsung LCD displays, which are purchased by another division of IT than the computers. "
Ball State University,2016-02-29,2016-02-29 08:26:08,rkoester@bsu.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/34/6/506/3784/MRp1_Sust_Purchasing.docx,"http://cms.bsu.edu/academics/centersandinstitutes/cote/resolutions
","The university currently has a purchasing agreement with the Lenovo company for desktop and laptop computers which are energy-efficient including the Lenovo ThinkPad Notebooks, ThinkCentre Desktops, ThinkVision Monitors  which are EPEAT Gold, EPA Energy Star rated and GreenGuard Certified.

*The Lenovo ThinkPad Notebooks have mercury-free, arsenic-free LED backlit displays.
*The Lenovo ThinkCentre Desktops have earned the EPA Energy Star 5.0 ratings and the model is made from 30% post-consumer recycled plastic resin and the keyboard is made up of 35% recycled material.
*The Lenovo ThinkVision Monitors have earned the EPA Energy Star 5.0 ratings and the model is made from 25% post-consumer recycled plastics.


All MAC computers purchased are EPEAT Gold. 

Lenovo Computer products represented in the spend below are EPEAT Gold",True,**,--,60299.0,1969132.0,2156171.0,http://www.lenovo.com/climate,"The totals in the reporting were attained using the BSU Purchasing System as well as other applicable inventory tracking systems.

Computers - With the exception of some specialty computers, BSU purchases desktop and laptop computers from Lenovo and Apple.  

TVs - TVs are a new category for the STARS report.  Departments have the ability to purchase TVs that would not come under the spending threshold review of the purchasing office.  However, the campus does, through the Energy Efficient Equipment Resolution adopted April 30, 2007, require Energy Star purchases.  

Imaging Equipment - The campus has been undergoing transition to a managed print services program that among other environmental benefits, standardizes copy and print equipment.  Since 2013, Ball State has purchased the vast majority of the office imaging equipment from Ricoh USA.
"
Baylor University,2016-02-26,2016-02-26 17:48:09,Smith_Getterman@baylor.edu,2.0,Pursuing,True,,"As part of Baylor University's larger sustainability efforts, Information Technology Services strives to conserve energy, recycle responsibly and reduce paper consumption. The following initiatives represent our ongoing efforts, and we continually analyze our processes to find areas where we can become more sustainable as we provide and support technology resources for faculty, staff and students.
Equipment

Seminar Room Computers:
We recently realized reduced our energy use by 61% in one of our seminar rooms by upgrading the workstation configuration used by ITS and the University for technology training. The original workstation configuration required 3 power supplies and 2 network lines. The new configuration only requires a single network connection and reduced the number of power supplies to one. Click here to view a detailed summary of these energy savings (PDF).
Servers:
Moving existing servers to virtualized servers where possible is reducing the number of physical servers supported by ITS. The advantages include not only power reduction, but also less hardware to be recycled, and more physical space recovered in the existing server room.
Loaner Program:
By providing computers for the employee checkout program, departments can take advantage of a centralized resource so that departments will not have to purchase extra equipment for travel purposes.
Hardware Installation & Repair Shop
The Hardware Installations and Repair Shop work side-by-side to separate, sort, and recycle all electronic equipment. Packaging materials are disposed of in the following manner:

Unused Packaged CDs are sent to Goodwill Computer Works
VGA/DVI cables are sent to M. Lipsitz & Co., Ltd.
Cardboard Boxes are reused for shipping
Various Cardboard Materials are placed in campus recycling containers
Plastic Bags & Paper are placed in campus recycling containers
Composite Plastic Packaging & Styrofoam are reused as packing material
The equipment returned by the Client Services Installations group is sorted according to age and working condition. If the systems are in good shape and in working condition, they go through a bidding process and are sold to local and national vendors. These proceeds go back into Baylor's general revenue fund. Equipment that is not in working condition or has not been used for spare parts is recycled as follows:
Goodwill Computer Works	M. Lipsitz & Co., Ltd.
Monitors (LCD, CRT)
Computers (Desktop, Laptops)
Printers (Laser, Inkjet)
Scanners 
Keyboards
Mice
Speakers
Ink & Toner Cartridges
Telephones
Printer parts (drums, rollers, trays, duplexers)
Mother boards 
Televisions
VCR and projectors
Server boxes and racks
Hard Drives (degaussed and crushed)
Power cables and wires
Power supplies
DVI/VGA cables
DVI/VGA splitters
Power adapters
Aluminum frames and cans
ITS is currently recycling all printers through the HP Trade-In Program. During the packing procedure, the installations department reuses the same boxes and packing material (Styrofoam) in which the new printer is shipped.

Technology Procurement

The following list represents the vendors used by the University for purchasing computers and printers. All of these vendors have established green initiatives that we take advantage of by purchasing their products:

Apple
Dell
Hewlett-Packard
Electronic Library
Printing:
By centralizing print management, excessive printing and print waste is reduced. Duplex printing by default is set for all public printers on campus. All printers located in the libraries use remanufactured toner and recycled paper.
Displays:
Window OS systems used in general access and departmental facilities are set to sleep mode when not in use for an hour or less. iMac displays are set to sleep mode after three minutes of inactivity.
Computer Systems:
CPUs in non-24-hour facilities are powered off over the weekend, Friday night through Saturday morning. All computers in the Moody Study Commons are turned off when facility is closed. Only EPEAT Gold Certified iMacs and Energy Star certified PCs are purchased for lab use.",Only EPEAT Gold Certified iMacs and Energy Star certified PCs are purchased for lab use.,--,**,--,--,--,--,http://www.baylor.edu/its/index.php?id=73445,--
