Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution have an institution-wide stated intent to support disadvantaged businesses, ...","A copy of the policy, guidelines or directive governing inclusive and local purchasing","The policy, guidelines or directive governing inclusive and local purchasing",Does the institution wish to pursue Part 2 of this credit (inclusive and local expenditures)?,"The percentage of total purchases from disadvantaged businesses, social enterprises and/or local ...",The website URL where information about the institution’s inclusive and local purchasing policies ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:05,mfrever@albion.edu,2.0,Pursuing,--,,,--,--,--,--
Allegheny College,2016-03-29,2016-03-29 08:53:43,kelly.boulton@allegheny.edu,2.0,Pursuing,--,,"There is no formal guideline for inclusive and local purchasing, however Allegheny is very proactive about seeking local partners. Examples include a local janitorial supply company, printer and copier contract, office supply contract, and many contracts with local tradesmen and companies in the Physical Plant. In some instances, the college actually pays more to support the local contracts than we would if we went with a national chain, but it is believed that there is benefit to investing in the community as well as benefits to the college due to the type of service we receive from local entities.",--,--,--,--
American University,2016-03-23,2016-03-23 14:22:23,meganzl@american.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/54/6/610/3797/AU%20Sustainable%20Purchasing%20Policy_rev_07.31.13.docx.pdf,"XVII.
SMALL BUSINESS DEVELOPMENT 

PCD actively works to support the University's commitment to provide equal opportunities through contracting and individual order opportunities for small businesses. Purchasing makes every effort to ensure the University includes the maximum practical number of small businesses in the competitive bidding process in compliance with local, district and federal laws and regulations. PCD seeks appropriate opportunities for local, small, and disadvantaged business participation through the development mutually beneficial business relationships, while also educating the University community about American's requirements in this area. 

PCD seeks businesses which are Certified by The District of Columbia Department of Small and Local Business Development.
",--,--,https://www.american.edu/loader.cfm?csModule=security/getfile&pageid=2566691,--
Appalachian State University,2016-02-01,2016-02-01 13:37:30,balllf@appstate.edu,2.0,Pursuing,True,,Appalachian State University seeks to increase participation of HUB businesses. This policy is set forth in the State of NC Purchasing Manual and is reported on quarterly by ASU to the state. This credit is covered by the State of North Carolina Executive Order Number 150: Support for Historically Underutilized Businesses. ,True,1.62,http://www.doa.state.nc.us/hub/documents/order.pdf,--
Aquinas College,2016-03-21,2016-03-21 14:45:26,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:42,corey.hawkey@asu.edu,2.0,Pursuing,True,,"Arizona State University’s Diversity Business Program Manager takes a three faceted approach: He assists primary investigators in meeting their diversity business goals, he works with buyers in Purchasing to identify diversity suppliers, and he works with the diversity supplier community to show them how to do business with the University. The University’s efforts in promoting diversity business resulted in the University being recognized by the US Chamber of Commerce and the Arizona Hispanic Chamber of Commerce with a charter member induction into the Arizona Million Dollar Club.  The University spent $18 million with diversity businesses, and over $58 million with small businesses.",True,63.0,http://www.asu.edu/aad/manuals/pur/pur503-01.html,--
Austin College,2016-02-29,2016-02-29 18:25:04,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:05,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--
Ball State University,2016-02-29,2016-02-29 08:26:26,rkoester@bsu.edu,2.0,Pursuing,True,,"The Ball State Purchasing Department has a specific policy - PUR110 ""Purchasing from Traditionally Disadvantaged Business"" in addition to its Equal Opportunity and Affirmative Action Policy statement to help promote diversity with the vendors who supply goods and services to the university by targeting minority - and women-owned businesses (M/WBE).  http://cms.bsu.edu/about/administrativeoffices/purchasing/employee-resources/policyproc . The university encourages M/WBEs to register with the Indiana Department of Administration's (IDOA) Minority and Women's Business Enterprises certification program at website http://www.in.gov/idoa/mwbe/index.htm.  The university has conducted outreach with M/WBEs through invited round-table conferences.  The proceedings from the round-table discussions can be viewed from a webcast posted on the Purchasing Department's website.  (See supporting documentation, BSU Purchasing_MWBE and BSU Purchasing_Equal Op_Affirm Action Policy)",True,6.529,http://cms.bsu.edu/About/AdministrativeOffices/Purchasing/BusinessBSU.aspx,--
Baylor University,2016-02-26,2016-02-26 17:48:27,Smith_Getterman@baylor.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/430/6/610/3797/Doing%20Business%20with%20Baylor.pdf,"As a local supplier, how do I start doing business with Baylor? 

Supporting local businesses is an important part of Baylor’s mission. Here are some ways in which your local business can start to establish a business relationship with the University:

•	Become familiar with Baylor’s Procurement Services web page and know which purchasing cooperatives and organizations are provided as references to the internal purchasing community.
•	Consider becoming a member of those organizations. 
•	Get to know Baylor and its various schools and departments
•	Explore the Baylor website: http://www.baylor.edu
•	Build relationships with individuals 
•	If you have contacts at different schools or departments, ask for referrals
",--,--,--,--
Belmont University,2016-03-14,2016-03-14 08:38:27,mary.lucus@belmont.edu,2.0,Pursuing,True,,"Belmont University Pilot Supplier Diversity Program

Statement of Purpose 
Belmont University’s mission and values speak to diversity. In an effort to demonstrate our commitment to becoming “increasingly more diverse and broadly reflective of our local and global communities”, the University will pilot a Supplier Diversity Program during the 2014-15 fiscal year to mutually benefit minority and women-owned, businesses and Belmont University.  The pilot will create opportunities for vendors to market their products to two key departments at Belmont, Auxiliary Services and Facilities Management.  The pilot will also develop a basis upon which Belmont can expand the program to other departments in an effort to underscore the importance of diversity and cultural competency at Belmont and to become a leader among universities who strive to create a culture of inclusion in Nashville.

Goal
Belmont University will a pilot Supplier Diversity Program with Auxiliary Services and Facilities Management during the 2014-15 fiscal year to help achieve the university’s 2015 goal to increase diversity and cultural competency.

Program Objectives
•	Create contracting opportunities for minority and women-owned business enterprises with the Auxiliary Services, Facilities Management, and current contractors who engage in sub-contracting serving those departments.
•	Develop partnerships between diverse vendors, departments, Auxiliary Services and Facilities Management and current contractors who engage in sub-contracting serving those departments that will result in lasting business relationships.
•	Promote diversification of the Belmont’s contractor vendor base for through increased opportunities for minority and women-owned vendors who have not worked directly or indirectly with the Auxiliary Services and Facilities Management departments.
•	Maintain a high standard of quality in all products and services provided.
",--,--,--,--
Beloit College,2016-03-23,2016-03-23 13:47:28,chapmanlr@beloit.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Bentley University,2016-03-25,2016-03-25 16:00:22,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:37,paulyj@berea.edu,2.0,Pursuing,True,,https://www.berea.edu/vpf/office-of-purchasing/,--,--,https://www.berea.edu/vpf/office-of-purchasing/,--
Binghamton University,2016-03-20,2016-03-20 17:32:52,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:13,carlberg@bu.edu,2.0,Pursuing,True,,"As a world class research institution with wide-ranging supply needs, Boston University recognizes the value that our suppliers provide to the University community. We seek to create strategic relationships with suppliers who can provide superior service at the lowest total costs to the varying academic and administrative functions of the University. 
Through the Boston University Diverse Suppliers Program (BUDS), BU encourages beneficial competition for University business among small businesses and firms with diversity of ownership, so that our supply base may reflect the face of our student body, staff, faculty, and communities. This commitment reinforces the research and educational objectives of the University, makes good business sense in a steadily diversifying marketplace, and strengthens our communities by creating opportunities for growth. BUDS helps build connections by helping small, minority, veteran and women-owned businesses work within the BU buying process.",True,2.0,http://www.bu.edu/sourcing/suppliercenter/supplier-diversity/,--
Bowdoin College,2016-02-25,2016-02-25 17:01:13,cpayson@bowdoin.edu,2.0,Pursuing,True,,"Bowdoin gives preference to local vendors in the purchasing of goods and services. Bowdoin purchased $25.2 M of its goods and services from Maine in Fiscal Year 2015. Of that, $8.3 M were purchased from Brunswick and neighboring towns, $3.5 M of which was spent in Brunswick alone.",True,46.0,http://www.bowdoin.edu/treasurer/economic-impact/index.shtml,--
Brown University,2016-03-23,2016-03-23 07:28:18,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:43,gvalenti@bryant.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:39,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:12:02,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:53,dan.wakelee@csuci.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/207/6/610/3797/PCS_Oper_Manual_rev_3-1-09%5B1%5D.pdf,"California State University Channel Islands no longer reports on women- or minority-owned business. However, we report on our activities with certified small business enterprises (SBE) and disabled veteran-owned businesses (DVBE) and they are given preferences in the form of a discount for bid evaluation purposes only",--,--,http://www.calstate.edu/csp/dvbe/dvbe.shtml,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:35,mmoscol@fullerton.edu,2.0,Pursuing,True,,"California State law requires state agencies to achieve a goal of three (3) percent participation for certified disabled veteran business enterprises (DVBE) in state contracts. To view the CSU's requirements on DVBE: https://csyou.calstate.edu/Policies/icsuam/Pages/Section-5000.aspx.  The California State University system offers a 5% preference for certified small businesses. 

Of the total campus purchases, the disadvantaged, small, and micro businesses account for 10.17% ($6,301,815), and the percentage for veteran businesses accounts for 0.55% ($338,048).

See bid documents for further details. Certification forms are available at: http://www.calstate.edu/tier3/cs+p/crl/forms/crl013.pdf . Or you may contact the Office of Small Business Certification and Resources at: http://www.pd.dgs.ca.gov/smbus/default.htm 
",True,10.17,https://csyou.calstate.edu/Policies/icsuam/Pages/Section-5000.aspx,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:40,austin.eriksson@csun.edu,2.0,Pursuing,True,,California State law requires state agencies to achieve a goal of three (3) percent participation for certified disabled veteran business enterprises (DVBE) in state contracts. To view the CSU's requirements on DVBE: https://csyou.calstate.edu/Policies/icsuam/Pages/Section-5000.aspx. The California State University system offers a 5% preference for certified small businesses.,True,11.04,https://csyou.calstate.edu/Policies/icsuam/Pages/Section-5000.aspx,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:19,kristina.cullen@csus.edu,2.0,Pursuing,True,,"http://www.csus.edu/aba/Procurement/procurement-services/small-business-DVBE-program.html 

The University supports Small Businesses and Disabled Veterans Businesses (DVBE) Please see URL for additional and detailed information.",True,29.0,http://www.csus.edu/aba/Procurement/procurement-services/small-business-DVBE-program.html,--
Calvin College,2016-03-11,2016-03-11 14:31:23,bhaney@calvin.edu,2.0,Pursuing,True,,"http://www.calvin.edu/financialservices/forms/
The above link is to the web page that contains the link to the .pdf of the college policy.",--,--,--,--
