Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the the institution employ Life Cycle Cost Analysis (LCCA) as a matter of policy and practice ...,Does the institution employ LCCA as a matter of policy and practice across the operations of the ...,A brief description of the LCCA policy(ies) and practice(s),The website URL where information about the institution’s LCCA policies and practices is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:08,mfrever@albion.edu,2.0,Pursuing,--,--,,--,--
Allegheny College,2016-03-29,2016-03-29 08:54:15,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:22:33,meganzl@american.edu,2.0,Pursuing,True,True,"From the Sustainable Purchasing Policy: Consider total cost of ownership, rather than purchase price, when evaluating the financial competitiveness of procurement contracts.

From the Procurement and Contracts Policy and Guidelines: American University is committed to providing a safe and healthful environment for its employees, students and visitors and managing the University in an environmentally sustainable and responsible manner. PCD works with the Sustainability Department to encourage the use of products that minimize adverse environmental and health effects and take into consideration costs associated with full product life cycles.",--,--
Appalachian State University,2016-02-01,2016-02-01 13:37:34,balllf@appstate.edu,2.0,Pursuing,True,True,"Management plans submitted biennially by State institutions of higher learning shall include all of the following:
(1)        Estimates of all costs associated with implementing energy conservation measures, including pre-installation and post-installation costs.
(2)        The cost of analyzing the projected energy savings.
(3)        Design costs, engineering costs, pre-installation costs, post-installation costs, debt service, and any costs for converting to an alternative energy source.
(4)        An analysis that identifies projected annual energy savings and estimated payback periods.",http://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/ByArticle/Chapter_143/Article_3B.html,--
Aquinas College,2016-03-21,2016-03-21 14:45:29,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:44,corey.hawkey@asu.edu,2.0,Pursuing,True,True,"Arizona State University completed two energy performance contracts with Ameresco.  All of the more than $75 million in projects were supported with an investment grade audit and a LCCA.  The University's current contract with Ameresco and its partner, the Rocky Mountain Institute, will develop the plan and implement the programs to achieve climate neutrality by 2035.  As an example of the type of projects being developed: we will build a biogassification plant at a local waste water treatment facility.  This plant will purify the biogas to 98 plus percent methane, pressurize it to 400 PSI, and run it in a local pipeline to our combined heat and power plant.  We will thus burn renewable biogas instead of non-renewable natural gas.
All of our construction and renovation projects must meet LEED certification, with Silver as the minimum goal.  We have Arizona's first LEED Platinum building in our BioDesign B facility, and we just received a Platinum rating for the renovation of our Student Health Center.
Purchasing deploys LCCA in each solicitation involving energy and water-using products and systems, as well as in other applicable solicitations. ",http://www.asu.edu/aad/manuals/pur/pur210.html,--
Austin College,2016-02-29,2016-02-29 18:25:06,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:08,dscott@babson.edu,2.0,In Progress,--,--,--,--,--
Ball State University,2016-02-29,2016-02-29 08:26:29,rkoester@bsu.edu,2.0,Not Pursuing,--,--,--,--,--
Baylor University,2016-02-26,2016-02-26 17:48:30,Smith_Getterman@baylor.edu,2.0,Not Pursuing,--,--,--,--,--
Belmont University,2016-03-14,2016-03-14 08:38:30,mary.lucus@belmont.edu,2.0,Pursuing,True,True,"All purchases of equipment associated with energy and water using products are assessed from a total cost of ownership perspective.  As an example, up front costs of construction are weighed against the energy savings and sustainable characteristics of the equipment.  Additionally, appliances purchased for apartments on campus are energy star rated.",--,--
Beloit College,2016-03-23,2016-03-23 13:47:37,chapmanlr@beloit.edu,2.0,Not Pursuing,--,--,--,--,--
Bentley University,2016-03-25,2016-03-25 16:00:46,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:40,paulyj@berea.edu,2.0,Pursuing,--,--,,https://www.berea.edu/vpf/office-of-purchasing/,--
Binghamton University,2016-03-20,2016-03-20 17:32:55,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--
Boston University,2016-03-03,2016-03-03 13:42:16,carlberg@bu.edu,2.0,Not Pursuing,--,--,--,--,--
Bowdoin College,2016-02-25,2016-02-25 17:01:16,cpayson@bowdoin.edu,2.0,Not Pursuing,--,--,--,--,--
Brown University,2016-03-23,2016-03-23 07:28:41,Ginger_Gritzo@Brown.edu,2.0,Not Pursuing,--,--,--,--,--
Bryant University,2015-08-19,2015-08-19 14:50:46,gvalenti@bryant.edu,2.0,Not Pursuing,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:42,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--
California College of the Arts,2016-02-26,2016-02-26 17:12:04,nbartlett@cca.edu,2.0,Not Pursuing,--,--,--,--,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:55,dan.wakelee@csuci.edu,2.0,Pursuing,True,True,"Assets or equipment across campus are documented in our WebWorks Computerized Maintenance Management system. This system stores data such as purchase order, cost, life cycle, main tenant etc. and this is used periodically to assess the status of equipment on campus.",--,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:38,mmoscol@fullerton.edu,2.0,Not Pursuing,--,--,--,--,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:43,austin.eriksson@csun.edu,2.0,Not Pursuing,--,--,--,--,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:22,kristina.cullen@csus.edu,2.0,Pursuing,True,--,"Planning derives it program policies in regards to sustainable business practices from the CSU Chancellor's office Executive Order (EO) 987 which states, among other things, that sustainable practices, materials, and other considerations be made in the design, construction and operation of buildings and other structures on CSU campuses. While this EO primarily indicates consideration of measures to conserve water and energy, it also expressly indicates that materials and equipment with long life cycles should be used as well as sustainable building products.
",--,--
Calvin College,2016-03-11,2016-03-11 14:31:26,bhaney@calvin.edu,2.0,Pursuing,--,--,,--,--
Carleton College,2016-02-26,2016-02-26 11:19:41,mlarson@carleton.edu,2.0,Pursuing,True,--,"Carleton evaluates energy conservation projects and energy / water aspects of new construction or renovations on the basis of LCCA.  We do not, however, have a formal policy or procedure document to this effect.",--,--
Carnegie Mellon University,2015-12-10,2015-12-10 11:04:20,bk11@andrew.cmu.edu,2.0,Pursuing,True,True,"Carnegie Mellon University encourages Life Cycle Cost Analysis to determine the most cost-effective solution.  When selecting a partner for a good or service we must understand alternatives to purchase, own, operate, maintain and, finally, dispose of an object or process.  During our financial analysis we look to the future to understand the total cost options over the life of a product or service.  We ask our vendors and stakeholders questions to allow them to think through the whole scope of the solution.  The low cost alternative is not always in the best interest of the institution and we encourage partnership with our outside vendors to guide us through our decision making.  
Example:  During our Janitorial Services selection we broke down the long term implications of choosing a partner.  We are expanding our campus and what are the best solutions moving forward that will allow our facilities to be of the highest standards in the future.  Should we explore automated devices in our restrooms?  Should we explore alternative cleaning products that cut down on chemical usage?  Does the vendor have other solutions that would constitute a partnership in other categories?  We wanted to understand how adding square footage would affect pricing in the future.  We needed to understand how advanced in Green technology would cut down on harmful chemicals and reduce costs.  We needed to create a pricing template the would break out labor, management, and supplies over the lifetime of the contract.  By getting to the root of these questions and possible solutions, we became very educated on the total cost of the entire operation as it stand now and for the lifetime of the contract as campus expanded.
",http://www.cmu.edu/gdi/research/lca.html,--
Case Western Reserve University,2016-03-25,2016-03-25 15:41:17,stephanie.corbett@case.edu,2.0,Not Pursuing,--,--,--,--,--
Chatham University,2016-02-17,2016-02-17 13:05:08,MWhitney@chatham.edu,2.0,Not Pursuing,--,--,--,--,--
Clark University,2016-02-24,2016-02-24 15:49:39,jisler@clarku.edu,2.0,Not Pursuing,--,--,--,--,--
Clarkson University,2016-02-12,2016-02-12 07:37:59,sep@clarkson.edu,2.0,Pursuing,True,--,All life cycle costs shall be performed in accordance with NIST handbook 135 - “Life Cycle Costing Manual for Energy Management Program,http://www.clarkson.edu/facilities/Engineering/hvacsystems.pdf,--
Coastal Carolina University,2015-11-20,2015-11-20 15:31:27,sustain@coastal.edu,2.0,Pursuing,True,True,"A life cycle cost analysis (""LCC"") is used to measure the total cost of a green building project through the lens of the project's entire useful life. CCU works through the LEED certification in order to employ LCCA.

The LCC measures the opportunity cost of one investment vs. another alternative and provides data as to which might provide a better return on investment (ROI).

In contrast to a simple payback analysis, the LCC examines not only the initial cost of a project, but also the expected operations, maintenance, financing, useful life and any salvage value (residual) that the project may have at the end of its life. The LCC considers all of these future factors and then calculates a present value of the future investment using a discount rate % that is specific to the investor's requirements. The discount rate that is typically used is the investor's required rate of return on an investment.",http://www.usgbc.org/leed,--
Colby College,2016-01-12,2016-01-12 15:54:27,ksbright@colby.edu,2.0,Pursuing,True,--,"When making design recommendations to the College, the design team will use life-cycle costing (LCC) in order to evaluate the full cost of ownership of the design alternatives. The LCC analysis will quantify the 20 year impacts of greenhouse gases, energy costs, and maintenance implications of design options. The scope of LCC will vary from project, but will typically focus on envelope, HVAC, water, electrical or other building systems. This policy and practice is outlined in the College's Green Building Standards document.

Across other operations, LCCA is used, but not mandated by policy. Recently the College has used LCCA to evaluate using hand dryers instead of paper towels, or water filtration systems instead of bottled water, but this process has not been formalized across all divisions.",http://www.colby.edu/green/wp-content/uploads/sites/120/2014/07/Colby-College-Green-Building-Standards.pdf ,--
Colgate University,2016-02-28,2016-02-28 11:21:54,jpumilio@colgate.edu,2.0,Pursuing,True,--,"For all new construction and major renovations, we evaluate energy-based systems and water conservation projects on first cost, annual operating cost, annual cost/savings, estimated life of the project, and other intangible values before making a final decision.",http://www.colgate.edu/distinctly-colgate/sustainability/climate-action-planning/energy-and-green-buildings,--
College of Charleston,2016-02-29,2016-02-29 16:53:05,fisherb@cofc.edu,2.0,Not Pursuing,--,--,--,--,--
College of the Atlantic,2016-03-23,2016-03-23 11:16:03,ademeo@coa.edu,2.0,Not Pursuing,--,--,--,--,--
Colorado College,2016-02-29,2016-02-29 16:10:11,Ian.Johnson@ColoradoCollege.edu,2.0,Pursuing,True,True,"The college’s Design Guidelines specify that “energy conservation must be given special consideration in the design of new or remodeled College buildings. Colorado College requires a life cycle cost analysis, where appropriate, on major components of new facilities and renovation projects.” In addition, the facilities department guidelines state that “opportunities for achieving energy and water use reductions should be identified by design and engineering professionals in every construction or renovation project and considered for implementation based on life cycle cost savings, impact on reaching carbon neutrality, and the importance of demonstrating social responsibility by supporting the college core values and taking a leadership role in nurturing the ethic of environmental sustainability.” Preferences are communicated throughout campus, but CC operates in a decentralized fashion such that some freedoms and options are open across campus purchases.",http://www.coloradocollege.edu/offices/facilities/energy-management/guidelines-for-sustainability.dot?host_id=e19a1071-63ad-45c4-a9b1-0f5cd4869309,--
Colorado State University,2015-12-16,2015-12-16 16:39:22,tonie.miyamoto@colostate.edu,2.0,Pursuing,True,--,"The Environmentally Responsible Purchasing Policy at CSU states:
""Environmentally Responsible Purchasing [at CSU] takes into consideration both the long- and short-term costs associated with the full life cycle of the product. The life cycle includes extraction, production, manufacturing, distribution, operation, maintenance, and disposal... [CSU] Considers all the phases of a product’s life cycle when determining its cost and environmental impact.""

Procurement Services  incorporates environmentally beneficial specifications in competitive solicitations. We do have the ability to conduct competitive procurement which include environmental requirements and Colorado State University Policy #5-6010-003 allows a five percent preference for the purchase of environmentally preferable products. In some cases, the preference may exceed five percent if a cost of ownership life cycle analysis establishes that long term savings will result.

The Policy also includes specific recommendations on specific kinds of purchases based on LCA. For example; ""Flat Screen monitors: While these monitors contain some hazardous materials, they are considered significantly less of a hazard than CRT monitors. Flat screen monitors typically have a longer lifespan than their CRT counterparts. In addition, they use less energy thereby reducing their life cycle environmental impact.""",http://policylibrary.colostate.edu/policy.aspx?id=513,--
Columbia University,2016-01-13,2016-01-13 14:27:26,as3215@columbia.edu,2.0,Pursuing,True,True,"Life Cycle Cost Analysis is required as a component of Local Law 87.  Columbia University as a policy conducts energy audits of buildings in excess of 50,000 square feet, and as a component o fthese audits, a life cycle analysis is performed.  
",--,--
Connecticut College,2016-02-28,2016-02-28 16:33:14,jstoffel@conncoll.edu,2.0,Not Pursuing,--,--,--,--,--
Cornell University,2016-03-18,2016-03-18 08:39:49,cma18@cornell.edu,2.0,Pursuing,True,--,"LLC is part of the CU Design and Construction Standards that are required for projects which will consume water and/or energy.  The LLC helps Facilities determine which equipment and systems to spec. The link to the standard is below (see ""Life Cycle Cost Analysis""). Cornell Facilities often (as part of LEED) spec very energy-efficient and water-efficient systems that help us meet our LEED goals. LCC typically mostly helps us analyze things that represent “stretch” opportunities.",http://cds.fs.cornell.edu/toc.cfm,--
Creighton University,2016-02-24,2016-02-24 14:08:56,mjduda@creighton.edu,2.0,Not Pursuing,--,--,--,--,--
Denison University,2016-02-15,2016-02-15 15:55:44,kingje@denison.edu,2.0,Pursuing,True,--,We use LCCA when looking at renovation or new construction projects (including furniture and carpeting).,--,--
Dickinson College,2016-03-08,2016-03-08 10:06:53,welkerm@dickinson.edu,2.0,In Progress,--,--,--,--,--
Drew University,2016-03-25,2016-03-25 16:12:50,swald@drew.edu,2.0,Not Pursuing,--,--,--,--,--
Duke University,2016-02-26,2016-02-26 14:18:17,tavey.mcdaniel@duke.edu,2.0,Pursuing,True,--,"Consultants, vendors, and contractors responsible for projects at Duke must adhere to all applicable building codes and the Duke University Construction Standards. As such all consultants, service providers, vendors and contractors are to follow all applicable building codes and Duke University Design Guidelines. Part of the standards includes Duke's LEED Plus policy, a guideline for architecture, engineering, and construction teams working for Duke, addressing energy and water efficiency goals for building projects. This policy reinforces the 2007 Duke Climate Action Plan. 

Extract from policy:
A/E/C Teams must demonstrate a 30% improvement over energy efficiency baseline of ASHRAE 90.1-2007, Appendix G, through the development of an accurate Whole Building Energy Simulation Model.  The choice of software is left to the modeler; however, DOE 2.x- or EnergyPlus-based systems are recommended.

The accuracy of the model is critical to prediction and budgeting for the life cycle cost of our buildings. Additionally, an accurate WBES will aid in maximizing available LEED credits, and the selected credits are meant to ensure accuracy of the model.  To encourage the effort and to ease communication, the modeler should use the attached forms for identifying modeling input and output values for Duke review.

A/E/C teams should produce early model iterations at the Design Development Phase for review with Duke Facilities Management staff (see attached for requested format).  Teams must submit a finalized model and Life Cycle Cost Analysis to FMD as part of the Construction Document package.  The WBES model results are considered integral to the 100% CD submission, and are required for FMD to sign off on construction approval.

During the construction phase of the project, all submittals are required to include an energy  and water impact statement, identifying if the proposed equipment will change building energy consumption, and if so, by what value.
",http://fmd.duke.edu/guidelines/design/LEED%20Plus.pdf,"Duke also has adopted an extensive Green Purchasing Policy with additional sustainability guidelines for the campus. 

http://sustainability.duke.edu/campus_initiatives/purchasing/index.html 
"
Earlham College,2016-03-03,2016-03-03 10:50:05,butchli@earlham.edu,2.0,Not Pursuing,--,--,--,--,--
Eastern Connecticut State University,2016-03-03,2016-03-03 15:13:29,stoddardl@easternct.edu,2.0,Not Pursuing,--,--,--,--,--
Elon University,2016-01-14,2016-01-14 09:32:59,edurr@elon.edu,2.0,Not Pursuing,--,--,--,--,--
Emory University,2016-02-29,2016-02-29 16:26:44,ciannat.howett@emory.edu,2.0,In Progress,--,--,--,--,--
Endicott College,2016-03-01,2016-03-01 10:10:14,screight@endicott.edu,2.0,Pursuing,--,--,,--,--
Florida Gulf Coast University,2016-02-29,2016-02-29 17:56:28,kleone@fgcu.edu,2.0,In Progress,--,--,--,--,--
