Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total number of vehicles in the institution’s fleet ,Number of vehicles in the institution's fleet that are:,"Gasoline-electric, non-plug-in hybrid vehicles in the institution’s fleet ","Diesel-electric, non-plug-in hybrid vehicles in the institution’s fleet ",Plug-in hybrid vehicles in the institution’s fleet ,100 percent electric vehicles in the institution’s fleet ,Vehicles in the institution's fleet that are fueled with Compressed Natural Gas (CNG),Hydrogen fueled vehicles in the institution’s fleet ,Vehicles in the institution’s fleet that are fueled with B20 or higher biofuel for more than 4 ...,"Vehicles in the institution's fleet fueled with locally produced, low-level (e.g. B5) biofuel for ...",A brief description of the institution’s efforts to support alternative fuel and power technology ...,The website URL where information about the institution's support for alternative fuel and power ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:37,mfrever@albion.edu,2.0,Pursuing,54.0,**,52.0,2.0,--,--,--,--,--,--,,--,--
Allegheny College,2016-03-29,2016-03-29 08:51:27,kelly.boulton@allegheny.edu,2.0,Pursuing,36.0,**,1.0,--,--,--,--,--,--,--,,--,--
American University,2016-03-23,2016-03-23 14:20:27,meganzl@american.edu,2.0,Pursuing,71.0,**,1.0,--,1.0,9.0,--,--,10.0,--,"American University supports alternative fuels use through adoption of a policy that evaluates each vehicle purchase assuring it to be the most fuel-efficient vehicle on the market taking into consideration the end use of the vehicle. When purchasing new vehicles American University Fleet Management explores the option of alternative vehicles in the following order: electric , hybrid, biodiesel, flex fuel and lighter more fuel efficient vehicles. Additionally American University fuels its diesel powered shuttle fleet with B-20 biodiesel. ",--,"American University switched its buses to B20 biodiesel in March of 2013. Data on the campus fleet was provided by the Manager of Transportation, Operations, and Maintenance, Alef Worku. "
Appalachian State University,2016-02-01,2016-02-01 13:37:13,balllf@appstate.edu,2.0,Pursuing,228.0,**,--,--,--,1.0,--,--,22.0,--,"2013 Purchased first total electric vehicle for campus security use 2013
2014 Installing an electric vehicle charging station with solar capabilities on campus during the spring of 2015",--,--
Aquinas College,2016-03-21,2016-03-21 14:45:09,eimerjes@aquinas.edu,2.0,Pursuing,11.0,**,--,--,--,--,--,--,--,--,,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:23,corey.hawkey@asu.edu,2.0,Pursuing,764.0,**,20.0,--,--,325.0,--,--,8.0,--,"For Fiscal Year  2015, ASU achieved 100% compliance with the component of state alternative fuel law regarding the purchasing requirement that stipulates agencies, including universities, must purchase a minimum of 75% alt fueled vehicles if the vehicles are operated in Maricopa or Pima County. Arizona State University installed an on campus biodiesel station in June 2013.  Provider REV BioDiesel uses oil from ARAMARK, ASU’s food services provider, and converts it to biodiesel fuel.  Many of ASU’s diesel fuel vehicles can run on B20, which is 20 percent biodiesel mixed with 80 percent petroleum diesel fuel.  The majority of lawn and garden equipment the ASU grounds crew uses now runs on straight B99 fuel, 99 percent biodiesel that is mixed with only one percent petroleum diesel fuel.",https://asunews.asu.edu/20130227_Biodiesel_powers_ASU_vehicles,"ASU doubled it's use of 100% electric vehicles since it's last report.

ASU updated it's use of B20 vehicles removing maintenance vehicles as per STARS guidelines."
Austin College,2016-02-29,2016-02-29 18:24:47,pschulze@austincollege.edu,2.0,Pursuing,60.0,**,--,--,--,27.0,--,--,--,--,"Physical plant workers and campus police use electric golf carts to travel around campus. Because our electricity is offset by REC purchases, these are not only electric vehicles, but energized from a green sources.  Campus PD uses 5 electric vehicles. 2 electric easy-go golf carts, 2 Neighborhood Electric Vehicles, and 1 electric ATV.  Other offices, such as IT, Aramark, and the physical plant also own and operate electric golf carts. Some offices share golf carts. Offices such as Campus PD and Institutional Advancement use regular road vehicles. Within the past few years these offices have traded in their vehicles for more efficient vehicles. For example, Campus PD recently switched from a 2007 Ford Taurus to a 2008 Ford Fusion, which has better MPG rates. ",--,--
Babson College,2016-02-24,2016-02-24 08:37:48,dscott@babson.edu,2.0,Pursuing,73.0,**,4.0,--,--,7.0,--,--,--,--,"Babson has been purchasing hybrid vehicles, such as the Highlander Hybrid and Prius for its non-heavy equipment campus fleet.",http://www.babson.edu/about-babson/sustainability/green-campus/Pages/transportation.aspx,--
Ball State University,2016-02-29,2016-02-29 08:26:08,rkoester@bsu.edu,2.0,Pursuing,328.0,**,34.0,--,--,--,--,--,35.0,--,"Specifications for new vehicles include a request for non-plug-in hybrid, Flex Fuel or Biodiesel.",--,"125 vehicles are E85 Flex Fueled.
"
Baylor University,2016-02-26,2016-02-26 17:48:10,Smith_Getterman@baylor.edu,2.0,Pursuing,177.0,**,--,--,--,7.0,--,--,--,--,,--,--
