Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total percentage of students that use more sustainable commuting options,The percentage of students that use each of the following modes as their primary means of ...,The percentage of the institution's students that commute with only the driver in the vehicle ...,"The percentage of the institution’s students that walk, bicycle, or use other non-motorized means ...",The percentage of the institution’s students that vanpool or carpool as their primary method of ...,The percentage of the institution’s students that take a campus shuttle or public transportation as ...,"The percentage of the institution’s students that use a motorcycle, scooter or moped as their ...",A brief description of the method(s) used to gather data about student commuting,The website URL where information about sustainable transportation for students is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:45,mfrever@albion.edu,2.0,Pursuing,--,**,--,--,--,--,--,,--,--
Allegheny College,2016-03-29,2016-03-29 08:52:14,kelly.boulton@allegheny.edu,2.0,Pursuing,95.0,**,5.0,95.0,--,--,--,Student survey,--,"Only a small fraction of our student body do not live in campus housing on our small walkable campus. Beginning with the class of 2015, there is a four year residency requirement. The very few students who currently live off campus still live in apartments in close proximity, and most walk to and from classes.  Only 30% of students bring a car to campus at all and most do not use them to get to and from classes since the campus is compact and very walkable."
American University,2016-03-23,2016-03-23 14:21:00,meganzl@american.edu,2.0,Pursuing,90.37,**,9.63,63.74,2.2,22.64,0.26,"The survey was initially distributed to all faculty, staff, and students (community members studying abroad, on sabbatical or on long term leave are excluded) on November 7th via email with two follow up emails sent to non-responders the following week. During that time, students went to buildings across campus (academic and administrative) to request that occupants complete paper versions of the survey. Respondents were required to include their email on paper copies so duplicate surveys could easily be removed. Following completion of the week, completed paper surveys were manually entered to capture data. The data entries were reviewed to remove incomplete entries, duplicate entries by one person, and entry errors. ",http://www.american.edu/finance/sustainability/Transportation.cfm,"""More sustainable"" options include alternatively fueled vehicles (ethanol, electric including hybrid), motorcycle or scooter, formal telecommuting (avoiding trips to campus), walking, biking, public transportation (bus, metro, train, AU shuttle), and carpool. 

The non-required fields above do not equal the total sustainable commuting % because we also consider formal telecommuting (0.37%) and alternatively-fueled vehicle trips (1.17%) as more sustainable."
Appalachian State University,2016-02-01,2016-02-01 13:37:21,balllf@appstate.edu,2.0,Pursuing,80.0,**,20.0,47.0,8.0,26.0,--,"As part of Appalachian's ongoing commitment to the American College and University's Presidents Climate Commitment (ACUPCC), App State preforms a greenhouse gas inventory every other year. The model split data is derived via survey that is made available to all App State students, faculty and staff as part of the inventory process. ",http://sustain.appstate.edu/resources,--
Aquinas College,2016-03-21,2016-03-21 14:45:16,eimerjes@aquinas.edu,2.0,Pursuing,23.5,**,76.5,16.4,4.9,2.2,--,"A extensive student survey was randomly conducted on campus, with over 10% of the commuting student population represented. ",https://www.aquinas.edu/sustainability/progress/progress-transportation,--
Arizona State University,2016-02-29,2016-02-29 15:08:32,corey.hawkey@asu.edu,2.0,Pursuing,63.0,**,37.0,35.0,4.0,24.0,--,"ASU uses the last Maricopa County survey that had a representative sample.

ASU has revised the survey process in order to get a more representative sample. 

Unfortunately, the survey will not be completed until March 2016.",https://cfo.asu.edu/pts-services,--
Austin College,2016-02-29,2016-02-29 18:24:54,pschulze@austincollege.edu,2.0,Pursuing,80.0,**,20.0,72.0,8.0,--,--,Electronically administered survey of students. ,--,"These data was extracted from a Greenhouse Gas Emissions Inventory report that Austin College submitted to Second Nature for fiscal year 2014. The data, however, were collected in fiscal year 2012; the greenhouse gas report explains why we assume that those data are still accurate. "
Babson College,2016-02-24,2016-02-24 08:37:56,dscott@babson.edu,2.0,Pursuing,72.0,**,29.0,67.0,3.0,2.0,--,Survey sent out to the entire student body,http://www.babson.edu/about-babson/sustainability/whatyoucando/Pages/Green-Commute.aspx,--
Ball State University,2016-02-29,2016-02-29 08:26:16,rkoester@bsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Baylor University,2016-02-26,2016-02-26 17:48:17,Smith_Getterman@baylor.edu,2.0,Pursuing,52.0,**,--,--,--,--,--,,--,--
