Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution's GHG emissions inventory include all Scope 1 and Scope 2 GHG emissions?,Does the institution's GHG emissions inventory include all Scope 3 GHG emissions from any of the ...,Does the institution's GHG emissions inventory include Scope 3 emissions from other categories?,Does the institution’s GHG emissions inventory include all Scope 3 emissions from business travel?,Does the institution's GHG emissions inventory include all Scope 3 emissions from commuting?,A brief description of the methodology and/or tool used to complete the GHG emissions inventory,institution_catalyzed,Does the institution's GHG emissions inventory include all Scope 3 emissions from purchased goods ...,Has the GHG emissions inventory been validated internally by personnel who are independent of the ...,Does the institution's GHG emissions inventory include all Scope 3 emissions from capital goods?,A brief description of the internal and/or external verification process,Does the institution's GHG emissions inventory include all Scope 3 emissions from fuel- and ...,Scope 1 and Scope 2 GHG emissions:,Does the institution's GHG emissions inventory include all Scope 3 emissions from waste generated ...,Figures needed to determine total carbon offsets:,A brief description of the institution-catalyzed carbon offsets program,A brief description of the carbon sequestration program and reporting protocol used,A brief description of the composting and carbon storage program,"A brief description of the purchased carbon offsets, including third party verifier(s) and contract ...",Figures needed to determine “Weighted Campus Users”:,"Scope 1 GHG emissions from stationary combustion, performance year ",Start and end dates of the performance year and baseline year (or three-year periods),A brief description of when and why the GHG emissions baseline was adopted,"Scope 1 GHG emissions from other sources, performance year ","Scope 2 GHG emissions from purchased electricity, performance year ","Gross floor area of building space, performance year","Scope 2 GHG emissions from other sources, performance year ","Floor area of energy intensive building space, performance year","Scope 1 GHG emissions from stationary combustion, baseline year ","Scope 3 GHG emissions, performance year:","Scope 1 GHG emissions from other sources, baseline year ","A brief description of the sources included in Scope 3 GHG emissions from ""other categories""",A copy of the most recent GHG emissions inventory,"Scope 2 GHG emissions from purchased electricity, baseline year ",The website URL where the GHG emissions inventory is posted,"Scope 2 GHG emissions from other sources, baseline year ","A brief description of the institution’s GHG emissions reduction initiatives, including efforts ...","Institution-catalyzed carbon offsets generated, performance year","Carbon sequestration due to land that the institution manages specifically for sequestration, ...","Carbon storage from on-site composting, performance year","Third-party verified carbon offsets purchased, performance year","Institution-catalyzed carbon offsets generated, baseline year","Carbon sequestration due to land that the institution manages specifically for sequestration, ...","Carbon storage from on-site composting, baseline year ","Third-party verified carbon offsets purchased, baseline year","Number of residential students, performance year ","Number of residential employees, performance year ","Number of in-patient hospital beds, performance year","Full-time equivalent enrollment, performance year ","Full-time equivalent of employees, performance year ","Full-time equivalent of distance education students, performance year ","Number of residential students, baseline year ","Number of residential employees, baseline year ","Number of in-patient hospital beds, baseline year","Full-time equivalent enrollment, baseline year","Full-time equivalent of employees, baseline year ","Full-time equivalent of distance education students, baseline year ","Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period","Floor area of laboratory space, performance year ","Floor area of healthcare space, performance year ","Floor area of other energy intensive space, performance year ",Scope 3 GHG emissions from business travel,Scope 3 GHG emissions from commuting,Scope 3 GHG emissions from purchased goods and services,Scope 3 GHG emissions from capital goods,Scope 3 GHG emissions from fuel- and energy-related activities not included in Scope 1 or Scope 2,Scope 3 GHG emissions from waste generated in operations,Scope 3 GHG emissions from other categories (please specify below),Public Notes
Bucknell University,5/23/2016,5/23/2016 16:28:44,delmogaz@bucknell.edu,2,Pursuing,TRUE,**,TRUE,TRUE,TRUE,"The Campus Carbon Calculator (v.6.85) by Clean Air Cool Planet (CACP) was the main tool for calculating greenhouse gas emissions. It was chosen because it is endorsed by the ACUPCC and is very easy to use. The Calculator is an Excel workbook designed to facilitate the following tasks: Conducting a Greenhouse Emissions Inventory, Projecting Emissions into the Future, and Evaluating a Portfolio of Carbon Reduction Projects (2). It allows the user to input data in readily available units (e.g. miles, kWh) and to determine related equivalent CO2 emissions so that all emissions can be viewed on an equivalent basis. The calculator has built-in macros and formulas that make the conversions and produce various graphs that illustrate changes and trends in emissions over time.

Further information can be found at http://rs.acupcc.org/site_media/uploads/ghg/3254-2013-inventoryreports_1.pdf",1,--,TRUE,--,This student work was reviewed by university professors and professional staff before submitting.,--,**,TRUE,**,none,none,none,renewable energy credits from wind power,**,31416.3,**,"The GHG emissions baseline of 2008 was adopted as part of Bucknell's Climate Action Plan (submitted to the ACUPCC in 2010).   2008 was the year in which the Bucknell signed the Presidents Climate Commitment, and was the most recent year for which a complete greenhouse gas inventory was available.",903.6,1390.8,2683474,--,**,31449,**,1108.3,Greenhouse gas emissions from wastewater and paper were included for the first time in the 2012 GHG inventory.,,2131.4,http://rs.acupcc.org/ghg/1811/,--,"The University's climate action plan specifies that through the year 2015 greenhouse gas reduction initiatives will be focused on energy conservation projects.  To that end the University created and filled an energy manager position in 2011.  The energy manager has spearheaded many conservation projects in the past 3 years.  The greenhouse gas reductions resulting from these initiatives should begin to be reflected in the next greenhouse gas inventory, due to ACUPCC 1/15/16.",--,--,--,1721.7,--,--,--,1552,2973,17,--,3527.2,1308.7,--,3050,17,--,3563,1162,--,7/1/2011,6/30/2012,7/1/2007,6/30/2008,390408,8931,31863,4205,2827,--,--,--,385.6,177.9,--
Florida Gulf Coast University,5/23/2016,5/23/2016 16:32:02,kleone@fgcu.edu,2,Pursuing,TRUE,**,--,TRUE,TRUE,The inventory was conducted by the Environmental Health and Safety department with significant assistance from the campus community. Electricity use was determined from monthly electricity invoices. Propane use was calculated using invoices for propane delivery. Fleet fuel use was calculated from fuel delivery invoices. Shuttle fuel consumption is based on average weekly fuel used from the shuttle contractor. Staff and students were surveyed to determine typical commuting information. Air travel trip data is based on ticket invoices and travel authorization forms. Travel distance is from the online http://www.world-airport-codes.com/ calculator.,1,--,--,--,,--,**,--,**,,,,,**,109,**,2008 was the first year FGCU compiled ACUPCC emission reports.,343,26209,4259795,--,**,49,**,269,,,19121,http://rs.acupcc.org/ghg/2724/,--,,--,--,--,--,--,--,--,--,3675,14,--,8045,1144,240,1945,8,--,5754,311,288,7/1/2011,6/30/2012,7/1/2007,6/30/2008,135433,11625,106911,1327,10967,--,--,--,--,--,--
Haverford College,5/23/2016,5/23/2016 16:38:36,ckent@haverford.edu,2,Pursuing,TRUE,**,--,TRUE,TRUE,Clean Air-Cool Planet Campus Carbon Calculator,1,TRUE,TRUE,--,All data gathering and calculations to put together the GHG emissions inventory was done by a professional engineering firm regularly engaged in this type of work.,TRUE,**,TRUE,**,,,"Haverford College has a campus composting program in place to manage lawncare and landscaping waste as well as non-meat vegetative food wastes.  Haverford estimates tonnage based on waste type and volume, and inputs results into the Campus Carbon Calculator to obtain offset figures in MTCO2e.","Green-e Certified Renewable Energy Credits are purchased from Community Energy, Inc.  Contracts are purchased in 2 year blocks, each year comprising 14,000 MWh of electricity.  Purchase contracts were in-place for the years 2010-2012 and 2012-2014.",**,3855.3,**,"The baseline year was adopted as the first year that a complete inventory was performed in accordance with ACUPCC requirements, and the year we were required to make our first inventory submittal under the ACUPCC program.",229.2,615.1,1712093,--,**,4948.5,**,308.1,,,469,http://rs.acupcc.org/my-reports/,--,"Installation of electric sub-metering and an energy dashboard web-site to promote conservation and competition.
Retro-commissioned the Gardner Integrative Athletic Center
Lighting upgrades in dining center to LED
Replaced air handling unit in dining center
DC lobby installed a DE-Stratification fan
Entry vestibule installed at the campus Coop Cafe.
Founders Hall lighting upgrades to LED
Variable frequency drives installed in Whitehead Campus Center
Hall Building lighting upgrades to LED
Lloyd Hall lighting upgrades: Incandescent to CFL
Gest Hall Lighting upgrades to LED
",--,--,106.6,6025.8,--,--,106.6,6025.8,1188,83,--,1205,456,--,1177,77,--,1177,491,--,7/1/2012,6/30/2013,7/1/2010,6/30/2011,187752,--,--,297.9,84.3,53.7,--,--,882.4,--,--
Juniata College,5/23/2016,5/23/2016 16:47:46,yelnosr@juniata.edu,2,Pursuing,--,**,--,--,--,Clean Air Cool Planet,1,--,--,--,,--,**,--,**,Investment in Keystone Solar project.,,,,**,--,**,,--,3914,910000,--,**,--,**,--,,,--,--,--,,306,--,--,--,--,--,--,--,1205,12,--,1600,350,--,--,--,--,--,--,--,6/1/2011,5/31/2013,6/1/2011,5/31/2013,88000,--,15000,--,--,--,--,--,--,--,--
Oregon State University,5/23/2016,5/23/2016 16:53:02,brandon.trelstad@oregonstate.edu,2,Pursuing,TRUE,**,TRUE,TRUE,TRUE,Campus Carbon Calculator v8.0,1,--,--,--,,TRUE,**,TRUE,**,,,On-site composting includes local processing of pre- and post-consumer food waste from campus as well as landscape debris ad some animal bedding.  Not all on-site composting is accounted for in our emissions calculations yet.  This will change as data tracking and acquisition improve.,"Small amounts of RECs have been donated to OSU by the utility to cover the carbon cost of specific events, namely the 2015 Corvallis Sustainability Coalition Town Hall.  These are provided by Pacific Power's Blue Sky program and Green-e certified. ",**,46127.5,**,The FY08 baseline year has not been officially adopted by OSU.  FY08 data were used for this STARS credit because it is the first fiscal year for which we have complete data at the level of granularity requested in the fields above.,5785,49156.4,9627596,--,**,34117.1,**,5287.4,"Solid waste is collected from campus and sent to the local landfill.  CACP methodology shows Solid Waste as a negative number, which is -29.6 MTCO2e.  Zero emissions are reported in the field above.",,85500.7,http://fa.oregonstate.edu/sustainability/planning-policy-assessment/institutional-carbon-neutrality/emissions-measurement-and,--,"Primary GHG reducing activities during the last year include:
- Increased efficiency at Co-generation Plant on campus, in part by eliminating use of diesel fuel as a backup fuel source.  This was facilitated by moving from interruptable to uninterruptable natural gas service.
- Weather is also to thank for the past year's reduction in GHG emissions, due to a very mild winter. 
- Continued modest investments in energy efficiency projects like the Acquatic Animal Health Laboratory: http://microbiology.science.oregonstate.edu/aahl/energy-efficiency-and-sustainability 

More information available at: http://blogs.oregonstate.edu/ecologue/?cat=356",--,--,182.2,2.2,--,--,5,--,4738,15,--,25377.7,5397.4,3181.7,3253,16,--,18055,4208.2,556,7/1/2014,6/30/2015,7/1/2007,6/30/2008,2675747,--,--,17520.6,6766.4,--,--,3285.3,--,--,"Difference in emissions between Performance Year and Baseline Year are attributed to many factors including: availability of data, refinement in data tracking and acquisition and rapid increases in campus population and square footage. "
Pittsburg State University,5/23/2016,5/23/2016 16:56:43,bpeery@pittstate.edu,2,Pursuing,TRUE,**,--,TRUE,TRUE,"The University utilized the ""Clean Air-Cool Planet"" Campus Carbon Calculator v6.9 to calculate its' emissions.  Reporting guidelines and standards from The Greenhouse Gas Protocol (GHGP), American College & University President's Climate Commitment (ACUPCC), IPCC Global Warming Potential List - 4th Assessment Report  and the Climate Registry were used.  The final report was filed with ACUPCC.  Reporting period was January 1, 2013 through December 31, 2013 using the Operational Control Approach.  The inventory was supervised by the chair of the University Sustainability Committee and was conducted by members of that committee. Information was gathered from various University departments and statistics and surveys were conducted of students, faculty and staff.",1,--,--,--,,--,**,--,**,,,"University Recycling Services works with University Dining Services to capture pre-consumer compostable foods on campus.  These materials are taken to an on-campus site for composting where other materials, such as grass clippings, leaves, twigs, etc. are mixed with them.  University Landscape Maintenance regularly turns and maintains the compost piles and compost is used on-campus in flower beds and gardens.",,**,3860.3,**,"This was the first GHG emissions inventory that has been completed by the University, therefore, there was not baseline to compare to.  The calendar year of 2013 was used to report on due to most recent, accessible and complete year of information.",565.6,14576.3,2011159,--,**,3860.3,**,565.6,N/A,,14576.3,http://rs.acupcc.org/ghg/3132/,--,University has entered into an agreement with Westar Energy to install solar panels on a new building on campus in the upcoming year.,--,--,1.2,--,--,--,1.2,--,1206,--,--,7400,817,6006,1206,--,--,7400,817,6006,1/1/2013,12/31/2013,1/1/2013,12/31/2013,38265,11471,373308,12.2,2714.8,--,--,--,--,--,--
Slippery Rock University,5/23/2016,5/23/2016 16:59:47,paul.scanlon@sru.edu,2,Pursuing,TRUE,**,TRUE,TRUE,TRUE,"The SRU GHG Inventory is completed annually,  in-house, using the most current version of the Clean Air - Cool Planet Campus Carbon Calculator (v8). ",1,--,TRUE,--,"Most Scope 1 and Scope 2 data (fossil fuel use at the central plant, electrical use, wastewater use) is collected and verified by an independent third party (Penn State Facilities Engineering Institute).

The current GHG Inventory has not been verified in whole by an independent third party, but a third party (Sightlines) had completed previous years' inventories that we updated (where more accurate information was available) so we have the benefit of verifying each year's data against previous years' data. ",TRUE,**,TRUE,**,NA,NA,"Approximately 328 CY (38 tons) of leaves are collected annually from the Borough of Slippery Rock and composted in a large windrow composting system at the Macoskey Center for Sustainable Education and Research. An additional 5,100 gallons (16 tons) of pre-consumer food scraps from the University Dining halls is also composted at the same location, along with a small amount of compost generated from a Clivus Multrum composting toilet located at the Harmony House.",NA,**,11514,**,"The GHG emissions baseline was adopted after signing the Presidents Climate Action Commitment in 2009, and FY 2004-2005 was selected as the baseline period because that was the earliest year for which the most accurate information was available.",424,18711,2511667,--,**,20403,**,444,Wastewater,http://stars.aashe.org/media/secure/92/6/478/3623/0000%20FY%202015%20calculator_v8_1.xlsm,23457,http://rs.acupcc.org/ghg/1503/,--,"SRU's GHG emissions reduction initiatives are documented in detail in our AASHE Climate Action Plan (available at www.sru.edu/sustainability web page).

Continuing initiatives made during the past three years include physical upgrades to existing buildings (e.g., installation of attic insulation at several buildings, replacement of several sections of leaking underground steam and condensate piping, an energy audit and follow-up self-performed energy-conserving  measures at Morrow Field House, and the installation of energy dashboards at 5 major Residence Halls that will be used within the context of our energy action campaign to support energy competitions among the residence halls. 

We are currently in the process of awarding a Guaranteed Energy Savings Agreement (GESA) with an Energy Services Company, through which we anticipate funding $3 to $5 million in new energy conservation measures.",--,--,16,--,--,--,21,--,2379,--,--,8687,858,1158,2881,--,--,7704,826,141,7/1/2014,6/30/2015,7/1/2004,6/30/2005,26759,6114,--,534,4945,124.5,--,2815,195,25.3,--
University of Texas Rio Grande Valley,5/23/2016,5/23/2016 17:03:21,Marianella.Franklin@utrgv.edu,2,Not Pursuing,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Weber State University,5/23/2016,5/23/2016 17:04:44,jenniferbodine@weber.edu,2,Pursuing,TRUE,**,--,TRUE,TRUE,Weber State University's sustainability coordinator collects all of the necessary data and inputs the data into the Clean Air-Cool Planet Excel spreadsheet tool (v7.0) for calculation and analysis.,1,--,--,--,,--,**,TRUE,**,,,All landscape waste on the WSU Ogden Campus is composted and then reapplied to the grounds.,"Weber State University purchases RECs from Rocky Mountain Power's Blue Sky Program. Purchases are made in 100 kwh blocks. For the past few years, WSU has purchased 43,236 blocks annually. In FY 2007, WSU purchased 15,000 blocks.",**,7857,**,FY 2007 is the year that WSU became an ACUPCC signatory and made the commitment to become a carbon neutral campus. This is the year we have used as our baseline for all of our ACUPCC reports and all internal reporting.,845,11292,2823731,--,**,9618,**,740,,,15592,http://rs.acupcc.org/,--,,--,--,193,1662,--,--,--,587,750,5,--,15617,1685,2564,475,--,--,12692,1516,1828,7/1/2013,6/30/2014,7/1/2006,6/30/2007,20142,5765,--,3694,33543.74,--,--,--,2793,--,--
Wilfrid Laurier University,5/23/2016,5/23/2016 17:07:01,cbennett@wlu.ca,2,Pursuing,TRUE,**,TRUE,--,--,"Laurier uses the accounting tool through our partnership with Sustainable Waterloo Region and also does its own calculation using online accounting tools and our utility summaries, procurement tracking, and annual waste audits. We are also about to launch our energy management system which will track all of this.",1,--,TRUE,--,Sustainable Waterloo Region and ION EEM,TRUE,**,TRUE,**,,,,,**,1798,**,,893,4901,2726014,4156,**,1224,**,746,We track business fuel usage as well as waste not diverted from the landfill.,,5226,http://www.wlu.ca/page.php?grp_id=12304&p=16778,4552,,--,--,--,--,--,--,--,--,3480,--,--,17937,2951,961,1933,--,--,14767,1986,740,1/1/2012,12/31/2012,1/1/2009,12/31/2009,86497,--,--,--,--,--,--,193,840,--,"*Baseline is 2009, not 2005. No information is available prior to 2007. 
Laurier's greenhouse gas inventory is measured using an intensity-based method. This method expresses greenhouse gas impact per unit of physical activity or unit of economic output. Intensity metrics are measured using GHG per squared foot. 

*The part-time faculty number represents full-time equivalents (FTEs) based on the number of 0.5 credit courses taught (with six courses representing one part-time faculty FTE).
"
