Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Materials diverted from the solid waste landfill or incinerator,Materials disposed in a solid waste landfill or incinerator ,"A brief description of programs, policies, infrastructure investments, outreach efforts, and/or ...",A brief description of any food donation programs employed by the institution,A brief description of any pre-consumer food waste composting program employed by the institution,A brief description of any post-consumer food waste composting program employed by the institution,Does the institution include the following materials in its waste diversion efforts?,"Does the institution include paper, plastics, glass, metals, and other recyclable containers in its ...",Does the institution include food donations in its waste diversion efforts?,Does the institution include food for animals in its waste diversion efforts?,Does the institution include food composting in its waste diversion efforts?,Does the institution include cooking oil in its waste diversion efforts?,Does the institution include plant material composting in its waste diversion efforts?,Does the institution include animal bedding composting in its waste diversion efforts?,Does the institution include batteries in its waste diversion efforts?,Does the institution include light bulbs in its waste diversion efforts?,Does the institution include toner/ink-jet cartridges in its waste diversion efforts?,Does the institution include white goods (i.e. appliances) in its waste diversion efforts?,Does the institution include laboratory equipment in its waste diversion efforts?,Does the institution include furniture in its waste diversion efforts?,Does the institution include residence hall move-in/move-out waste in its waste diversion efforts?,Does the institution include scrap metal in its waste diversion efforts?,Does the institution include pallets in its waste diversion efforts?,Does the institution include motor oil in its waste diversion efforts?,Does the institution include tires in its waste diversion efforts?,Other materials that the institution includes in its waste diversion efforts,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:45,mfrever@albion.edu,2.0,Pursuing,42.0,140.0,"We use a central compactor to pay for solid waste by weight, not volume. ",At the end of each academic semester leftover food is donated to Starr Commonwealth; an organization that helps foster troubled children.  Food is only donated at the the of semesters because leftovers are used for the making of the next meal.,"Collection of waste from the fresh food preparation takes place in Baldwin Hall kitchen. All staff are trained and practice pre-consumer food waste composting. The process is still in progress of developing due to transportation, staffing and storage. ",,**,True,True,--,--,--,True,--,True,True,True,True,True,True,True,True,True,True,True,"E-Waste, Shop towels",--
Allegheny College,2016-03-29,2016-03-29 08:52:18,kelly.boulton@allegheny.edu,2.0,Pursuing,749.0,647.0,"The numbers above are not entirely accurate due to the inability of our waste hauler to report landfill data in weight.  Instead the landfilled waste figure is based on volume.  The diverted waste tonnage is based on estimated recycling weights, actual compost weights, and actual construction waste recycling weights.  Not included in the diverted tonnage is the weight of furniture and clothing collected at the end of every year, e-waste, or waste oil for biodiesel.  Factors contributing to the diversion rate include a comprehensive composting program, very accessible recycling program, a construction recycling waste policy, regular clothes swaps, and the annual Gators Give Back resale.","Food Rescue is a student group that collaborates with our dining service provider to identify, package, freeze and then deliver unused food to local agencies of need.",All pre-consumer food waste is collected and composted in our in-vessel digester on campus.,Both dining halls collect postconsumer food waste and compost it our in-vessel digester on campus.,**,True,True,--,True,True,True,True,True,True,True,True,True,True,True,True,--,True,True,"CDs, DVDs, cellphones",--
American University,2016-03-23,2016-03-23 14:21:04,meganzl@american.edu,2.0,Pursuing,907.05,1245.0,"In 2010, AU adopted a Zero Waste Policy mandating the creation of a team to develop a plan for reducing and diverting 100% of the university's waste stream. Initiatives that advance our Zero Waste goal include: campus-wide recycling and organics collection, water bottle refill stations to reduce the need for purchasing bottled water, trayless dining venues, re-usable to-go containers, and the exclusion of plastic or paper bags at the campus convenience store and campus book store.",AU is home to a chapter of the Food Recovery Network which works with AU Dining to recover and donate leftover food.,"Pre-consumer food waste is composted from dining services located in the Mary Graydon Center, as well as the student-run Davenport Lounge in the School of International Service. ",Compost bins are located throughout campus and we are currently working to improve education throughout campus to reduce contamination problems.,**,True,--,--,True,True,True,--,True,True,True,True,True,True,True,True,True,True,True,,Data is from American University's 2015 fiscal year. 
Appalachian State University,2016-02-01,2016-02-01 13:37:22,balllf@appstate.edu,2.0,Pursuing,817.1,1708.1,"Appalachian has made a zero waste commitment with goal of reaching 90% diversion by 2022. Through this commitment we have conducted a comprehensive solid and hazardous waste audit to establish some baseline data. We have instituted single stream recycling, the minibin recycling system in order to bring awareness to individual consumption habits and reduce waste. We have removed trashcans from classrooms as another way to promote connection to individual habits and consumption. We began a zero waste stadium initiative this football season and work with concessions to divert waste through recycling and composting efforts. We have also employed students through this effort. We built and opened a state-of-the-art aerated compost facility and have been expanding composting from pre-consumer only, to both pre and post consumer collections over the past couple of years. 
We have 

","Appalachian Food Services donates left over food to a local organization, ""The Hunger Coalition"" daily. This leftover food donation program has been in existence since 2007.  ","We collect pre-consumer food waste from all campus dining preparation facilities for composting. The food waste is hauled away daily to a composting site on campus. 

","Beginning in Fall 2013 all major Student Programs events have mandatory post consumer composting. 
Appalachian completed construction of a post consumer waste composting facility Fall 2011.  The expanded facility increases food waste diversion up to 250 tons.",**,True,True,True,True,True,True,True,True,True,True,True,--,True,True,True,True,True,True,,--
Aquinas College,2016-03-21,2016-03-21 14:45:17,eimerjes@aquinas.edu,2.0,Pursuing,196.9,76.96,"As a part of the American College and University Presidents' Climate Commitment, Aquinas College committed to becoming a zero waste to landfill campus by 2020. The Center for Sustainability and Students Striving for Sustainability (S3) partnered in 2012 to improve the waste diversion infrastructure across campus. Composting and recycling already existed campus wide, so efforts were focused on adding special collections (styrofoam, e-waste, batteries, ink cartridges, and goodwill bins) in every campus building. All trashcans have also been removed from classrooms (with the exception of a few rooms like art studios), to encourage personal responsibility for waste and get us closer to our zero waste goals. More importantly, we focused on achieving zero waste at all major events (using our zero waste team) and educating and training. All staff and faculty have had small, hands-on sorting trainings, and all incoming students received the same training at orientation (except in a ""waste relay"" style).",A registered student organization called ‘Enactus’ oversees a food recovery program. Every Monday and Wednesday a group of students package the day’s leftovers from the dining hall and donates it to Degage Ministries.,"Composting is fully integrated into our kitchen for pre-consumer food waste, using color-coded bins. A ""refresher"" training is offered at the beginning of the school year, including a hands-on sorting activity.","All food waste (and food soiled paper products) entering the dishroom is either scrapped into the composting bin in the front of the conveyor belt, or sorted by the dishroom staff. Composting bins are also located on every floor of every building across campus. Composting ""Crocks""- to ease the collection of the compostables- are provided to every apartment and house on campus. Several DIY events are also held throughout the year to encourage the design and set-up of individualized compost collections for the rooms in residence halls.",**,True,True,--,True,True,True,--,True,True,True,True,True,True,True,True,True,True,True,"Aquinas offers ""Terracycle"" recycling (for snack bags, candy wrappers, brita water filters, writing instruments, granola and energy bars, cheese packaging, personal beauty items, cereal bags, drink pouches, and tape dispensers) across campus. ",--
Arizona State University,2016-02-29,2016-02-29 15:08:32,corey.hawkey@asu.edu,2.0,Pursuing,2612.01,6089.74,"Arizona State University's stated goal for zero solid waste is 2020. To reach this goal the University has developed the following diversion programs:

• Traditional consumer recycling programs diverting all grades of plastics, paper, glass, aseptic containers, and metal.
• Special Recycling programs for electronics, batteries, CD's, sneakers, cell phones, toner cartridges, polystyrene, Terracycle items (chip bags and snack wrappers).
• Paying Arizona Correctional Industries $5 per mattress to recycle old residence hall mattresses.
• Paint reclamation and diversion.
• Campus Harvest - Harvesting food grown on the Polytechnic and Tempe Campuses for use in the dining facilities and the surrounding community.
• SunSET - http://www.asu.edu/sunset to promote material and supply sharing between departments.
• Composting landscaping waste at a local farm.","Since 2011, Arizona State University’s primary food service provider, ARAMARK, has a food donation program set up with WasteNot locally through the national Food Donation Connection network. While there is little surplus food in their operations due to production planning and a Food Waste Fundamentals program, what might exist is picked up from the Memorial Union by WasteNot and distributed to local shelters and institutions where needed. Their current Food Donation partnership with Food Donation Connection and Waste Not follows their corporate best practices regarding the handling of surplus food. ","Arizona State University’s primary food services provider, ARAMARK, started the Green Bin program through its Sun Devil Dining service during spring semester 2013 to collect pre-consumer food waste composting at nine food service locations on the ASU Tempe campus: Barrett Residential Restaurant, Hassayampa Residential Restaurant and Palo Verde (Devil’s Greens & Devil’s Diner) and five specialty coffee locations.

The pre-consumer food waste composting program focuses on the collection of all organic waste generated from meal preparation including fruit and vegetable peels, egg shells, bones and meat ends, and compostable paper products. Sun Devil Dining has also partnered with ASU Grounds/Arboretum on the Grounds to Grounds program to compost coffee grounds on campus.","In collaboration with US EPA’s Food Recovery Challenge, collection and pickup of compostable food items began on November 15, 2012 at dining halls in Barrett (The Honors College) and Hassayampa Academic Village on the Tempe campus. During Spring 2013, the program phased in Palo Verde (also on the Tempe campus) and athletic events in Wells Fargo Arena. By 2015, the collection and pickup of compostable food items will occur in all food service areas, including dining halls, food courts, athletics venues, outdoor patios near food service, at strategic locations for special events, and in kitchenettes. In August 2015 back of house composting was added two dining halls on West and Polytechnic campuses.",**,True,True,--,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"Lab glass, sports equipment, Styrofoam, polystyrene, books, wood, and construction and demolition debris. Blue Bag items: chip bags, energy bar wrappers, spent writing utensils, gift cards, cosmetic containers.",--
Austin College,2016-02-29,2016-02-29 18:24:54,pschulze@austincollege.edu,2.0,Pursuing,150.0,515.0,"Comprehensive single stream recycling containers in buildings and outdoors plus some corrugated-only dumpsters.  Food preparation waste composting. Other recycling omitted from the above weight estimate due to difficulty estimating weight includes non-container metal, batteries, cell phones, and printer cartridges.  Recycling tonnage estimated from dumpster tipping frequency & conservative fullness estimates combined with standard (RecycleMania) volume to weight conversion for flattened cardboard and single stream recycling.  Solid waste estimate from FY 2014 greenhouse gas inventory.",,Pre-consumer food waste from plants is composted with wood chips provided by local companies that trim trees from around electric lines. The resulting compost is  used on campus grounds.,,**,True,--,--,True,True,True,--,True,True,True,True,True,--,True,True,--,True,True,"Cell phones, electronic waste, hazardous materials",--
Babson College,2016-02-24,2016-02-24 08:37:56,dscott@babson.edu,2.0,Pursuing,306.87,997.15,"Babson has an extensive recycling program that includes mixed recycling, pre-consumer food waste, clothing, books, electronics, mattresses, metals, light bulbs, furniture and others items. 

-In the summer of 2013 we launched our pre-consumer food waste diversion program
-We have been walking through buildings to review recycling signage, posters, and bin labels to ensure that the proper information is posted and to remove old information
-We have participated in RecycleMania since 2009.
-In the Fall of 2013 we launched move-in recycling
-We have done Slash the Trash, our move-out diversion program, since 2012
-In the Fall of 2014 we started piloting post-consumer compost collection in offices and in the campus center",Food collected during move-out is donated to a local charity.,"In July 2013 we launched our pre-consumer food waste diversion program at our dining hall. In January 2014 this was expanded to our Campus Center, and in April 2014 to our graduate school dining facility. We are working to place the program in our last food service location. 

Our waste is collected by a local hauler and brought to a regional farm to be composted into soil. ",We collect post-consumer waste in our campus center dining area and from select offices that have opted into the program.,**,True,True,--,True,True,True,--,True,True,True,True,True,True,True,True,True,True,True,,"Many of the streams indicated above, such as cooking oil, are recycled but are not included in our weights. 

This information is for the period of FY15, which runs from July 1, 2014-June 30, 2015."
Ball State University,2016-02-29,2016-02-29 08:26:16,rkoester@bsu.edu,2.0,Pursuing,5713.25,3199.71,Fifty additional trash & recycling containers were added throughout the exterior areas of the campus.  Containers were located where traffic patterns indicated the highest use.,Dining Services donated 19.9 tons of food during the fiscal year 2012-13 and 16.3 tons during the fiscal year 2013-14.  All donations were to food pantries in the immediate area.,Ball State does not have a pre-consumer food waste composting program.,Ball State collects coffee grounds from all dining facilities and incorporates them into the university composting operation.,**,True,True,--,--,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"Mattresses
Concrete
Light ballasts
Computers",--
Baylor University,2016-02-26,2016-02-26 17:48:18,Smith_Getterman@baylor.edu,2.0,Pursuing,493.31,2484.76,"Diversion comes mainly from expansion of our recycling program/efforts. A small percentage of the included total comes from food captured by our Campus Kitchens program.  Other programs are in place to re-use or donate wastes, but those numbers are not captured here since we have not found a way to quantify them yet.",The Residentail dining halls activiley support the Campus Kitchen Project with food donations,Composting is not available for food service operations,No composting is available for dining services,**,True,True,--,--,True,--,True,True,True,True,True,--,True,True,True,True,True,True,,--
