Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution have strategies in place to safely dispose of all hazardous, special (e.g. ...","A brief description of steps taken to reduce hazardous, special (e.g. coal ash), universal, and ...","A brief description of how the institution safely disposes of hazardous, universal, and ...",A brief description of any significant hazardous material release incidents during the previous ...,A brief description of any inventory system employed by the institution to facilitate the reuse or ...,"Does the institution have or participate in a program to responsibly recycle, reuse, and/or ...","Does the institution have or participate in a program to responsibly recycle, reuse, and/or ...",A brief description of the electronic waste recycling program(s),"A brief description of steps taken to ensure that e-waste is recycled responsibly, workers’ basic ...",The website URL where information about the institution’s hazardous and electronic-waste recycling ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:06,mfrever@albion.edu,2.0,Pursuing,True,"Alternatives used when possible, chemical reactions in teaching labs often done on a small scale, reducing reagents needed and waste produced.","Albion College is compliant with all local, state, and federal regulations applicable to an institution if its type. Waste is collected, and picked up for transport to an approved treatment facility every 180 days.",No significant hazardous material releases during the last three years.,"No campus wide inventory exists, but individual departments and buildings (e.g. the science complex) do have inventories of reagents in stock.",True,True,Electronic waste program includes trailer drop-off and year around collection to take the waste Comprenew. ,See Comprenew standards.,http://www.comprenew.com/,"Information obtained from David Carey, chemical and laboratory compliance officer."
Allegheny College,2016-03-29,2016-03-29 08:53:48,kelly.boulton@allegheny.edu,2.0,Pursuing,True,"Hazardous: Lab supervisors have modified experiments to use smaller amounts of  hazardous material or to use less hazardous materials.
Universal Waste Lamps: Although our shift to more efficient lighting has increased the volume of waste lamps, the introduction of long-life LED lighting should ultimately reduce universal waste volume.
Universal waste batteries: Although hazardous batteries are recycled, the increased usage of electronics has and will probably continue to increase.","Hazardous wastes are lab-packed by a certified contractor. Waste solvents that may be used in fuel-blending operations (electric generation, cement kilns, etc.) is bulked for recovery.
Universal wastes are shipped for recycling. Electronic wastes are disassembled locally and recycled.",None,The lab technicians use a stand-alone inventory system.,True,True,"Institutionally owned computer monitors and hardrives as well as other electronics are stockpiled and then recycled in bulk at least once annually. The sustainability coordinator offers small ewaste collection (batteries, CDs/DVDs, ink cartridges, cellphones) throughout the year and the college sponsors an electronic waste collection at the end of the year for all items including large items such as computers, TVs, printers, etc.","All institutional electronics are recycled through ECS&R, a local R-2 certified company.  Their certifications and chain of custody are available.",--,--
American University,2016-03-23,2016-03-23 14:22:27,meganzl@american.edu,2.0,Pursuing,True,"All hazardous, universal, radioactive, biowaste, and other chemical wastes are tracked and overseen by the Risk Management and Environmental Health and Safety department.
Hazardous waste is reduced in labs through the use of a chemical inventory system which labels and codes all incoming chemicals assuring that excess chemicals are not purchased, additional chemicals are not brought to campus unnecessarily, and that chemicals are not disposed of when they could be used elsewhere. 
Universal waste is reduced by the facilities staff by finding new, less toxic replacements for traditional products such as green tipped fluorescent bulbs.
","Hazardous waste is managed in accordance with U. S. EPA Hazardous Waste Regulations (40 CFR, Parts 260 through 272) and District of Columbia Hazardous Waste Regulations.
When using chemicals or hazardous materials at American University, faculty, staff, and students are expected to follow all appropriate regulations and university policies. Once any laboratory chemicals or hazardous materials have been used, all waste must be disposed of properly in accordance with American University’s Hazardous Waste Management Procedures which can be found in Chapter 8 of the Chemical Hygiene Plan: http://www.american.edu/finance/rmehs/Chemical-Hygiene-Plan.cfm. 
Universal waste batteries and fluorescent bulbs are collected and recycled with a contractor, Corporate Lamp & Electronic Recycling.
",There have been no significant hazardous material releases in the past three years.,"The university maintains an internal chemical inventory system, which tracks incoming and outgoing chemical containers.  This program helps to reduce excess chemical ordering and encourages sharing among researchers.  This program is part of university policy, which can be found at: http://www.american.edu/loader.cfm?csModule=security/getfile&pageid=4203833",True,True,"Students, faculty, and staff can discard old electronics equipment for reuse and/or recycling by e-mailing AUSurplus@american.edu. Both personal and University-owned electronics are accepted from any student, faculty, or staff member. Cell phone collection bins are also located in common areas around campus to facilitate the easy recycling of this common electronic waste.","Students, faculty, and staff can discard old electronics equipment for reuse and/or recycling by e-mailing AUSurplus@american.edu. Both personal and University-owned electronics are accepted from any student, faculty, or staff member. Cell phone collection bins are also located in common areas around campus to facilitate the easy recycling of this common electronic waste.
For AU-owned electronics, the equipment brand name, model number, serial number, and AU inventory bar code number is provided so the Department of Procurement and Contracts and OIT can update the University’s inventory. The OIT Asset Management team will pick up computers and decide whether to reuse or recycle the equipment. Data is wiped from hard drives and then it is either redeployed or sent to our contractor, 2nd Solutions, for recycling.
Accepted electronics items include: Audio‐Visual Equipment,
Bar Coding Equipment, Calculators, Cameras, CD ROM Drives, Cell Phones (including batteries, battery chargers and wall chargers), Circuit Boards, Communications Systems, Computer equipment, Connectors, CRTs, Fax Machines, Hard/Floppy Drives, Laptops (including batteries, battery chargers and wall chargers), Mainframes/Servers, memory, Microfiche Readers, Modems, Monitors, Motherboards, Network/Video/Sound Cards, PDAs (including batteries, battery chargers and wall chargers), Plotters/Copiers
Power Supplies, Printers, Scrap Computer Metal, Scrap, Computer Plastic, Scrap Copper, Tape Drives, Televisions, and Test Equipment. 
Equipment that the University does not reuse internally is collected by 2nd Solutions, a company American University has contracted with who specializes in electronics waste management. 2nd Solutions attempts to reuse equipment as a first priority, and recycle as a last resort.
",http://www.american.edu/finance/rmehs/Hazardous-Waste-Guidelines.cfm,--
Appalachian State University,2016-02-01,2016-02-01 13:37:31,balllf@appstate.edu,2.0,Pursuing,True,A chemical reuse and exchange inventory has been implemented in order for more reduction and reuse of chemicals to take place across campus. ,"Our university contracts with an outside company to safely and properly dispose of hazardous, universal, and non-regulated chemical waste. As part of this contract, as much of these wastes that can be reused or recycled are handled in this way. Some are burned for reclaimed fuel usage, and the rest are handled properly according to the material being disposed of. These procedures are outlined in our contracts. ",NA,An electronic chemical inventory system has been implemented and is fully operational.,True,True,"We currently coordinate with surplus property to ensure that the electronics not sold through surplus are collected and recycled properly. In addition, there is ongoing collection across campus for any and all electronics related materials. 
","We have an active electronics recycling program through a licensed electronics recycler. 
",--,--
Aquinas College,2016-03-21,2016-03-21 14:45:27,eimerjes@aquinas.edu,2.0,Pursuing,True,"Aquinas College has developed and implemented an Environmental Management System (EMS) in order to ensure compliance with existing and new environmental requirements, to reduce the impact of its operations, activities and services on the environment and to better satisfy the requirements and expectations of its faculty, staff, students, alumni and trustees.  The EMS was designed to meet the overall requirements of the international standard ISO 14001 (2004). This program includes the identification of all environmental aspects and impacts, awareness and competence training, and better management to avoid regulated and non-regulated potential exposures, This proactive approach can help reduce the risk of non-compliance and improve health and safety practices for employees and the public.","While Aquinas has minimal hazardous waste, it is all disposed of or recycled by certified and compliant companies. Universal and non-regulated chemical waste is collected and stored in marked containers and recycled with appropriate local companies when possible. ",N/A,,True,True,"Aquinas College encourages that all unwanted and broken electronic items are recycled on campus, including cell phones, alarm clocks, radios, computer parts, and much more. Any item with a battery or a cord is accepted (excluding large appliances such as refrigerators). Collection sites are located all across campus in almost every building. Collected electronics are donated to Comprenew Environmental, a non-profit e-waste recycler who reprocesses all e-waste collected for resale or disassembles into component parts for reuse by suppliers.","Comprenew Environmental is a universal waster handler (EPA #= MIK934727314). All materials are destined for total recycling in accordance with EPA, OSHA, Federal, State, and County regulations. Comprenew Environmental guarantees compliance with all local, state, and federal regulations and laws pertaining to the disposal, recycling, and transport of computer and other electronic equipment processes.",--,--
Arizona State University,2016-02-29,2016-02-29 15:08:43,corey.hawkey@asu.edu,2.0,Pursuing,True,"All waste are documented and categorized to disposal, reuse or recycle. Flammable liquids are mixed for energy recovery. non-regulated chemicals are subtracted from the hazardous waste program. Light bulbs are collected and de-engineered for recycling. Used oils are segregated for recycling.
","The University has an aggressive hazardous, universal, and non-regulated chemical waste program that is mandated by written policy, implemented by a funded program employing 6 full time university employee environmental professionals. All wastes are collected, and moved into a central accumulation area where the material are packaged for off-site transport to fully licensed hazardous waste disposal facilities (TSDFs). or recycling centers.","In May of 2012, the Central Plant had a sulfuric acid release (20-gallons) from faulty piping in the cooling tower.  There was one injury and some  property damage.  The initial response came from in-house spill team  and they coordinated an outside contractor to clean up the spill and return the facilities to operation.",Arizona State University does not have an inventory system employed to facilitate the reuse or redistribution of laboratory chemicals.,True,True,"Arizona State University’s electronics and appliance recycling program accepts computers and peripherals, TVs and components, video games, stereo and video equipment, cameras, cables and switches, personal mini-fridges, microwaves, and more. Faculty and staff must contact Surplus Property for pick up. ","Electronics and appliances in good condition are collected by ASU Surplus Property and sold to auction bidders. Electronics and appliances that are generated from residence halls or are in poor condition are taken to Westech, a recycling company located near downtown Phoenix. Items in good condition are refurbished for continued use and broken items are taken apart and the individual parts are recycled.

Whenever possible, Westech keeps items in local and regional markets. They recycle items in accordance with all state and federal regulations. University representatives has performed site visits to ensure that Westech responsively demanufactures and recycles electronic waste.
",https://cfo.asu.edu/ehs-hazmat-compliance-guidelines,"The electronic-waste recycling program URL is: https://cfo.asu.edu/zw-recycling-electronics
"
Austin College,2016-02-29,2016-02-29 18:25:05,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:06,dscott@babson.edu,2.0,Pursuing,True,"Babson employs an environmental health and safety consultant to help develop and monitor these waste streams. We have in place an Environmental Crisis Management Plan, SPCC Plan, Chemical and pesticide inventory, lab chemical purchasing protocol, oil and water separators on drains, regular catch basin cleaning, latex paint recycling, fluorescent bulb recycling, and a program for maintenance/monitoring of USTs and ASTs. We also work to substitute less harmful materials for those that may be hazardous. Weekly inspections of Hazardous Waste collection areas are performed to ensure safety and compliance. Stage I and Stage II vapor recovery systems on gasoline service station are performed weekly in accordance with state requirements. Because Babson does not have a central plant and Babson is a business school with minimal lab space, our campus has significantly less hazardous waste than others might.
",Babson contracts for regularly scheduled waste pick ups for these materials. The college trains employees on the proper handling of wastes. We have a written Haz Waste and Universal Waste management Program,"NA. Because Babson does not have a central plant and Babson is a business school with minimal lab space, our campus has significantly less hazardous waste than others might.","Babson had only one lab on campus. Measures have been put in place to control chemical use and tranfer of chemicals to groups that need them, Including another institution.",True,True,"Computers are leased and turned back to a vendor. Items that are not part of lease are collected by Building Services Staff and taken to local recycle center for processing.Phones purchased by Facilities Management and Planning that are not returned to our vendor have been given to local police departments to assist at risk members of the community who need a communication device. 

Babson has a central e-waste collection station at our sustainability office in the Campus Center for the community to drop items off. ","Staff put in work orders to have Facilities collect any e-waste materials, and Babson has reviewed its e-waste processor to ensure that all materials are re-used, recycled, or properly disposed of. ",http://www.babson.edu/about-babson/sustainability/green-campus/Pages/Recycling-and-Solid-Waste.aspx,--
Ball State University,2016-02-29,2016-02-29 08:26:27,rkoester@bsu.edu,2.0,Pursuing,True,"Waste minimization is any action that reduces the amount and/or toxicity of chemical wastes that must be shipped off-site for disposal as hazardous waste. The success of any waste minimization program is dependent on the conscientious participation of every individual at Ball State University.

There are three methods of waste minimization followed at Ball State University:

Source Elimination:
Remove the source of the waste by eliminating the process or practice or by substituting another process that does not generate a waste, or generates only a secondary material that can be used as a raw material in another process.  For example, some laboratory demonstrations necessitate the use of chemicals that are toxic or inherently dangerous to handle.  Sometimes these demonstrations can be eliminated, reproduced by other means, or video demonstrations utilized rather than performing laboratory displays that generate hazardous wastes requiring disposal.

Source Reduction:
The second most desirable method of waste minimization is source reduction. This is any activity that reduces the generation of chemical hazardous waste at the source. This can be accomplished by good materials management, substitution of less hazardous materials, and good laboratory procedures. Examples include:

•Implement a waste minimization policy and train all employees and students.
•Re-evaluate procedures to see if a less hazardous or non-hazardous reagent could be used.
•Centralize purchasing of chemicals through one person in the department or laboratory.
•Date chemical containers when received so that older ones will be used first.
•Keep MSDS’s for chemicals on file.
•Inventory chemicals and identify their location at least once a year.
•Perform laboratory experiments or demonstrations on a smaller or micro-scale.
•Update inventory when chemicals are purchased or used up.
•Purchase chemicals in the smallest quantities needed.
•Label all chemical containers to prevent the generation of unknowns.
•When considering a new procedure, obtain the chemicals needed from another lab or purchase small quantities initially.
•Consider the use of pre-weighed or pre-measured reagent packets where waste generation is high.
•Avoid the use of reagents containing arsenic, barium, cadmium, chromium, lead, mercury, selenium and silver.
•Eliminate the use of chromic acid cleaning solutions altogether. Use non-hazardous solutions such as Alconox and Pierce RBS35.
•Substitute red liquid (spirit-filled), digital, or thermocouple thermometers for mercury thermometers when it is feasible.
•Consider using detergent and hot water or  citrus based products for cleaning parts instead of solvents.
•Use latex-based paints which are typically non-hazardous. Excess latex paints should be
recycled. Excess non-latex paints must be handled by EHS as a hazardous waste.
•Utilize vendors that will recycle used antifreeze. Some vendors will recycle the antifreeze on site so the antifreeze never leaves the site.
•The use of coal-fired boilers was discontinued so that no coal ash is being generated which eliminated the need for disposal.
•An evaporator was purchased and installed for disposal of those wastewaters from aquatic research that could not be discharged to the public sewerage system due to chemical contaminants from the studies  This greatly reduces the amount of these wastes being disposed by evaporating the water component.
•Unused latex paints, if not reclaimed and excessed for auction, are treated to allow evaporation of the water component to reduce the quantity of materials disposed.

Recycling:
The third most desirable approach is recycling. When a waste material is used for another purpose, treated and reused in the same process, or reclaimed for another process, it is considered recycling. Examples include:
•When solvent is used for cleaning purposes, use contaminated solvent for initial cleaning and fresh solvent for final cleaning.
•Purchase compressed gas cylinders (including lecture bottles) only from manufacturers who will accept empty cylinders.
•Return excess pesticides to the distributor.
•Have a silver recovery unit installed in photography laboratories. The unit removes the silver from the fixer solution.
•Do not contaminate used oil with solvents because this prevents the oil from being recycled.
•Increase solvent reuse through the use of solvent redistillation.
•Recirculate unused or excess chemicals within the department.
•Collect metallic mercury for reclamation.
•The use of coal-fired boilers was discontinued so that coal ash is no longer being generated which eliminated the need for disposal.
•An evaporator was purchased and installed for disposal of those wastewaters from aquatic research that could not be discharged to the public sewerage system due to chemical contaminants from the studies.  This greatly reduces the amount of these wastes being disposed by evaporating the water component.
•Unused latex paints, if not reclaimed and excessed for auction, are treated to allow evaporation of the water component to reduce the quantity of material to be disposed.


","Chemical wastes are handled and disposed similarly whether or not they are classified as ""Hazardous Wastes"" with proper identification and handling regardless of their status.  BSU has developed written plans and training programs for building maintenance activities, as well as those chemical and biological wastes from laboratories (including art studios).  These programs are available for review on the EHS website at: http://cms.bsu.edu/about/administrativeoffices/riskmanagement/ehs/envhealth
All chemical wastes are accumulated in secure locations for routine pickup and disposal by our chemical waste vendor, Tradebe Environmental Service.

A web-based chemical inventory system, ChemTracker, is available for use by all departments, laboratories, trade shops, and building maintenance supervisors for tracking inventory and locations of chemicals and products.  This system allows identification of surplus or unwanted materials.

Recycling programs have been instituted for RCRA ""Universal Wastes"" such as batteries and lamps.  These are collected throughout campus and the shops, accumulated in our Central Stores Warehouse, and shipped off-site as needed for recycling by Veolia Environmental Services.  A central drum storage area is maintained for accumulation of ""Used Oil"" from campus activities to supplement the used oil accumulation tanks serving the BSU Garage.  These oils are routinely collected for recycling by Heritage Crystal Clean, LLC.

The framework for hazardous waste regulation was established in 1976 by the Federal Resource Conservation and Recovery Act (RCRA). RCRA was enacted by Congress to protect human health and the environment from improper management of hazardous waste. RCRA introduced the concept that the generator of a waste is responsible for proper waste management from “cradle-to-grave” (i.e. from the laboratory to the waste’s ultimate destruction). RCRA regulations may be found in 40 CFR Parts 260-279.
At Ball State University, all chemical waste disposal is managed by the Environmental Health and Safety (EHS) Office of Risk Management, Insurance and Safety. Hazardous chemicals are not allowed to be disposed of in the drains (without EHS and Muncie Sanitary District approval), in the trash, or by evaporation. All chemical wastes are required to be held in the generating location (this location may be either a “Satellite Accumulation Area” or a laboratory) for subsequent pick-up and disposal by EHS and the waste disposal vendor (currently Tradebe Pollution Control Industries, Inc).  

There are specific regulatory requirements for the individuals, laboratories, or shops, that generate and accumulate chemical waste. These individuals must properly identify and label all hazardous wastes in their workplace. They must properly store and submit requests to the EHS for disposal of chemical wastes. 
Laboraties (including art studios and educational technology shops) are to follow the BSU Laboratory Waste Management Plan, while shops and building maintenance personnel are to follow the BSU Waste Management Plan, both of which establish the criteria for identification, characterization, accumulation, labeling, containerizing, and handling chemical wastes.
Finally, they must minimize the amount of waste generated and recycle whenever possible. The purpose of this document is to assist labs, shops, and the various academic Departments with this regulatory compliance. Every lab and shop on campus is subject to unannounced inspections by both the Federal Environmental Protection Agency (EPA) and the Indiana Department of Environmental Management (IDEM). Lack of compliance can result in a Notice of Violation and, potentially, fines or other penalties.

The University maintains centralized hazardous waste accumulation areas or buildings on the north and south campuses for accumulation of wastes removed from shop or building maintenance activities or laboratories.  These waste accumulation areas are maintained and inspected weekly by the EHS Office.  In order to minimize illicit or improper disposal of chemical wastes, wastes are removed from shops or laboratories as requested through the EHS Office, and quarterly chemical waste pickups are scheduled and announced in advance to allow collection, neutralization, or bulking prior to removal by the waste vendor.  This also allows the opportunity to identify ""waste"" or excess materials that are unused products (cleaning and maintenance supplies) to BSU Central Stores for subsequent sale at auction.",NA,See paragraphs above.,True,True,"For the year ending December 31, 2014, Ball State recycled 34,937 lbs. of e-waste.
","Ball State University contracts with Creative Recycling Systems, Inc. (CRS Holding of America - Florida) to recycle, reuse and process the university’s unwanted e-waste (e.g., PCs, laptops, monitors, printers, copiers, fax machines, scanners and networking equipment).  CRS adheres to the industry’s highest environmental, health, and safety standards to eliminate workplace exposure to harmful toxic metal contamination.   CRS uses the latest automated recycling technology, has ISO 14001 Certification for environmental management systems, and conducts audits of its end markets.  CRS also holds OHSAS 18000 Occupational Health and Safety Management Systems Certification for managing safety in the work environment.  CRS securely removes proprietary information and their data sanitization methods exceed U.S. Department of Defense specifications for security and electronic disposal.  Their state-of-the art recycling equipment shreds and separates electronics into their original materials of plastics, steel, aluminum, precious metals, and glass.  No water is used in the process. All air emissions through the system are collected and cleaned with 24 air filters and nine HEPA filters.  No air is discharged outside of their facility. 

",http://cms.bsu.edu/About/AdministrativeOffices/Facilities.aspx,Guiding Document: Ball State University Waste Management Guide
Baylor University,2016-02-26,2016-02-26 17:48:28,Smith_Getterman@baylor.edu,2.0,Pursuing,True,Baylor recently participated in the EPA's voluntary Peer Audit program.  All chemicals used in all departments have been inventoried and reduced to the extent possible.  Baylor maintains two full time Lab Safety and Hazardous Materials Coordinator that handles student and faculty generated wastes and works to minimize the production of these wastes.  Baylor Facility Services also employs a full time Environmental Manager tasked with properly handling and reducing the production of all facility generated wastes.,"Hazardous wastes are stored in designated accumulation areas and then disposed of with a hazardous materials vendor.  Universal wastes are also collected throughout campus, stored in a central accumulation area and then recycled with a universal waste vendor.  Training is administered for all handlers of both hazardous and universal wastes.  Baylor maintains at least two full time positions tasked with the assuring the safe recycling and disposal of these waste streams.","No significant hazardous material release incidents have occurred over the last three years that have detrimentally affected the environment, campus personnel, or students.",,True,--,"Electronic waste is recycled through an e-Steward certified vendor in Fort Worth, TX for Baylor Facility Services operations.

Computers, printers and other electronics collected by ITS, Client Services are donated, sold to a re-seller or sent to an R2 certified recycler.  Disposal records are kept on file at Installation Services.","a.       Client Services separate, sort, and recycle all electronic equipment. Packaging materials are re-used or disposed of in the following manner:
b.          Unused Packaged CDs are placed in campus recycling containers.
c.           VGA/DVI cables are sent to an R2 recycler or M. Lipsitz & Co., Ltd.
d.          Cardboard Boxes are reused for shipping
e.          Excess cardboard materials are placed in campus recycling containers
f.            Plastic Bags & Paper are placed in campus recycling containers
g.           Composite Plastic Packaging & Styrofoam are reused as packing material 

h.      The equipment returned to Client Services Installations group is sorted according to age and condition and is donated to local non-profits, sold to local re-sellers, or sent to an R2 certified recycler.  Proceeds go back into Baylor's general revenue fund. Equipment that is not in working condition or has not been used for spare parts is recycled as follows:
i.          R2 certified recycler (Hi-Tech Assets) M. Lipsitz & Co., Ltd., Mac of All Trades, Encore, 
j.       Monitors (LCD, CRT)
k.     Computers (Desktop, Laptops)
l.      Printers (Laser, Inkjet)
m.     Scanners
n.      Keyboards
o.      Mice
p.      Speakers
q.        Ink & Toner Cartridges
r.       Telephones
s.        Printer parts (drums, rollers, trays, duplexers)
t.      Mother boards
u.       Televisions
v.     VCR and projectors
w.                      Server boxes and racks
x.       Hard Drives (degaussed and crushed)
y.       Power cables and wires
z.   Power supplies
aa.  DVI/VGA cables
bb.    DVI/VGA splitters
cc.  Power adapters
dd.  Aluminum frames and cans
ee.  ITS is currently recycling all printers through an R2 certified recycler.  During the packing procedure, the installations department reuses the same boxes and packing material (Styrofoam) in which the new printer is shipped.
ff. Ni-cad and Lithium batteries are sent to the Call to Recycle program.
gg. Lead-acid batteries used by ITS, eLibraries, and Facility Services are sent to an R2 certified recycler.
",http://www.baylor.edu/ehs/index.php?id=93761,--
