Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have policies and/or guidelines in place to improve outdoor air quality and ...,A brief description of the policies and/or guidelines to improve outdoor air quality and minimize ...,Has the institution completed an inventory of significant air emissions from stationary sources on ...,A brief description of the methodology(ies) the institution used to complete its air emissions ...,Weight of the following categories of air emissions from stationary sources:,Nitrogen oxides (NOx) emissions,Sulfur oxides (SOx) emissions,Carbon monoxide (CO) emissions,Particulate matter (PM) emissions,Ozone (O3) emissions,Lead (Pb) emissions,Hazardous air pollutants (HAPs) emissions,Ozone-depleting compounds (ODCs) emissions,Other standard categories of air emissions identified in permits and/or regulations,A brief description of the institution’s initiatives to minimize air pollutant emissions from ...,"The website URL where information about the institution’s outdoor air quality policies, guidelines ...",Public Notes
Albion College,2016-02-25,2016-02-25 15:18:43,mfrever@albion.edu,2.0,Pursuing,--,,--,,**,--,--,--,--,--,--,--,--,--,,--,--
Allegheny College,2016-03-29,2016-03-29 08:52:05,kelly.boulton@allegheny.edu,2.0,Pursuing,--,,True,Clean Air Cool Planet inventory includes stationary combustion emissions data from our  many natural gas boilers.,**,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Our stationary sources contribute 9.9 kg N2O, 492.2 kg CH4 and 5,497,748 kg CO2.
We have ongoing efforts and funding to insulate buildings, upgrade boilers and controls, replace showerheads, etc. to achieve efficiency.",--,--
American University,2016-03-23,2016-03-23 14:20:54,meganzl@american.edu,2.0,Pursuing,True,American University has a no engine idling policy in place. ,--,,**,--,--,--,--,--,--,--,--,--,The university has a No Idling Policy in place to minimize air pollutant emissions from stationary sources. ,http://www.american.edu/finance/sustainability/upload/AUIdlingPolicy_-11-09-2.pdf,--
Appalachian State University,2016-02-01,2016-02-01 13:37:19,balllf@appstate.edu,2.0,Pursuing,True,"ASU has a ""no idle"" policy for university owned and motor pool/fleet vehicles
Emission inspections are required of all motor pool/fleet vehicles
All diesel trucks are certified ""clean burning""
Physical Plant is located offsite from campus; Plant employees carpool from plant offices to on campus jobs whenever possible",True,Calculated based on formulas formulas acceptable to EPA and NCDENR Division of Air Quality for emissions reporting requirements.,**,19.6,0.45,15.0,--,--,--,--,--,--,ASU has replaced all the boiler controls and sensors with a top level industrial control system.  The new system allows tighter and more consistent control of our fuel/air ratios for the most efficient combustion.  ASU also completed replacement of all the boiler economizers (over more than 3 years) for a better heat exchange between the outgoing flue gas and incoming boiler feedwater.,http://physicalplant.appstate.edu/campus-services/motor-pool/rentals,http://physicalplant.appstate.edu/campus-energy/sustainability-policy
Aquinas College,2016-03-21,2016-03-21 14:45:15,eimerjes@aquinas.edu,2.0,Pursuing,True,"Aquinas College is an ""idle-free"" campus, meaning no vehicle is permitted to idle longer than 5 minutes while on college property. An unattended idling vehicle poses not only a safety threat, but also a security risk. By limiting the amount of time vehicles are permitted to idle to 5 minutes, the policy helps to preserve the natural beauty of campus while simultaneously supporting AQ's pledge to the American College and University Presidents' Climate Commitment (ACUPCC). Certain exceptions have been written into the policy to accommodate buses and diesel engines in extreme temperatures.",--,,**,--,--,--,--,--,--,--,--,--,,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:30,corey.hawkey@asu.edu,2.0,Pursuing,True,"Each year, Arizona State University maintains its Maricopa County Air Quality Department's Non-Title V Tempe Campus Air Quality Permit #960886 to Operate and/or Construct. This is a Synthetic Minor permit that allows ASU to elect to limit emissions for sources with potential Title V emissions.   We utilize the permit as a guideline to regulate source specific emissions by constant monitoring, requiring operational limits, demonstrated by recordkeeping and reporting.  
 
Also, Arizona State University is committed to offering alternative transportation options to reduce air pollution. Examples include: The ASU U-Pass provides unlimited access to all four campuses and greater Phoenix on Valley Metro bus routes and the METRO light rail. Free intercampus shuttles. Zipcar. Bicycle Coops. Use of electric carts. A biodiesel station on the Tempe campus.
",True,Record keeping of fuel & water  used and emission factors supplied by regulatory agency for pollutants from fuel & water  used.,**,8.639,0.298,4.93,6.67,--,--,--,--,52682.49,"The emergency generators recently installed at Student Health Center,  Coor Hall, ITSB1, ISTB4, Psychology, and Manzanita Dormitory are all low emission engines that we have to use to comply with reduction rules from Maricopa County.  ",--,"Other air emissions identified in the Tempe Campus Air Quality Permit #960886 are listed below.

VOC (Volatile Organic Compounds) - 2.49 ton
CO2 - 52,680 ton "
Austin College,2016-02-29,2016-02-29 18:24:52,pschulze@austincollege.edu,2.0,Pursuing,True,"We have converted to LPG lawnmowers, rather than gasoline or diesel, and the administration has instituted a no idling policy",--,"We use natural gas boilers and tally the gas consumption in our GHG inventories but have not estimated the other emissions from those boilers. John - do we know anything about the emissions properties of our boilers. If so, we could use the consumption data to calculate answers to these questions. The EPA Peer Audit of 2012 contains all required notifications and registration per the Clean Air Act for our boilers ",**,--,--,--,--,--,--,--,--,--,Efforts over the past three years have been made to maximize effcieincy of the gas powered boilers and minmize the emmisions through advanced fuel burning control technology.  ,--,--
Babson College,2016-02-24,2016-02-24 08:37:54,dscott@babson.edu,2.0,Pursuing,True,"Massachusetts law prohibits idling for more than five minutes, and Babson has an internal policy that applies to facilities and public safety vehicles that prohibits all idling. ",True,"Babson submits this information to Massachusetts on a regular basis, and works with an external consultant to collect it. ",**,8.7719,3.2825,4.4056,0.4949,--,--,--,--,0.4164,"Babson stopped using its generators as part of the demand response program to reduce its load, and has been replacing boilers across campus. Additionally, Babson has switch many parts of campus from fuel oil to natural gas, including laying pipeline to the Woodland Hill residences. ",--,Other pollutant given is for VOCs
Ball State University,2016-02-29,2016-02-29 08:26:14,rkoester@bsu.edu,2.0,Pursuing,True,"The university maintains a policy limiting the idling of all vehicles; the empty vehicles anywhere on campus and especially occupied vehicles parked near fresh air intakes of campus buildings.  This policy was issued in May 2007.
The existing campus master plan positioned parking areas to the north and south ends of campus for long-term storage of vehicles with the use of hybrid-electric and biodiesel shuttle buses running along the north-south spine of the main campus.
This provision of mass transportation eliminates vehicle flow through campus and restricts/reduces mobile emissions in the heart of the campus grounds.
",True,"The university completed a greenhouse gas inventory as mandated by signing of the American College University Presidents’ Climate Commitment. This inventory is updated annually for submission to ACUPCC, STARS reporting and for the recent development of materials for the Chevrolet Clean Energy Campus Campaign; in which BSU served as a pilot school for the development and implementation of methodologies by which colleges and universities can qualify their carbon reductions for transaction in the voluntary carbon market.  We use the Clean Air Cool Planet (CACP) calculator as our emissions inventory tool.",**,240.0,1400.0,80.0,200.0,--,--,--,--,3600.0,"We are in the process of completing installation of a District-Scale Geothermal (Closed-loop, Ground Source) Heat-Pump-Chiller Heating and Cooling System by which all 47 buildings (7,200,000 ft.²) are serviced. This installation enabled the decommissioning of four coal-fired boilers in March 2014.",http://www.bsu.edu/sustainability,"Included in the newly-drafted (next generation) campus master plan for further campus development is a future expansion of bicycle routes through campus which will connect to bicycle lanes in the city streets system and the regional Greenway.

"
Baylor University,2016-02-26,2016-02-26 17:48:15,Smith_Getterman@baylor.edu,2.0,Pursuing,--,,True,Baylor holds a number of TCEQ Permit By Rule certificates which monitor air emissions from stationary sources. ,**,72.551,1.559,57.228,8.827,--,--,1.13,--,--,,--,--
