Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have any building space certified under the following green building rating ...,Does the institution have any building space certified under LEED for Existing Buildings or another ...,"Does the institution have any building space certified under the DGNB system, Green Star ...","Does the institution have any building space certified under BREEAM-In Use, CASBEE for Existing ...",Does the institution have any building space certified under other non-GBC rating systems (e.g. ...,A brief description of the green building rating system(s) used and/or a list or sample of ...,Total floor area of eligible building space (operations and maintenance),Floor area of building space that is certified at each level under a 4-tier rating system for ...,Floor area that is certified at minimum level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the 3rd highest level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the 2nd highest level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the highest achievable level under a 4-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 3-tier rating system for ...,Floor area that is certified at minimum level under a 3-tier GBC rating system for existing ...,Floor area that is certified at mid-level under a 3-tier GBC rating system for existing buildings,Floor area that is certified at the highest achievable level under a 3-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 5-tier rating system for ...,Floor area that is certified at minimum level under a 5-tier GBC rating system for existing ...,Floor area that is certified at the 4th highest level under a 5-tier GBC rating system for existing ...,Floor area that is certified at mid-level under a 5-tier GBC rating system for existing buildings,Floor area that is certified at the 2nd highest level under a 5-tier GBC rating system for existing ...,Floor area that is certified at the highest achievable level under a 5-tier GBC rating system for ...,Floor area of building space that is certified at any level under other green building rating ...,Floor area of building space that is maintained in accordance with formally adopted sustainable ...,A copy of the sustainable building operations and maintenance guidelines or policies,The date the guidelines or policies were formally adopted,A brief description of the sustainable building operations and maintenance program and/or a list or ...,A brief description of how the institution ensures compliance with sustainable building operation ...,The website URL where information about the institution’s certified buildings and/or sustainable ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:34,mfrever@albion.edu,2.0,Pursuing,**,True,--,--,--,"In 2007, the Albion College science complex was awarded silver certification under the U.S. Green Building Council’s Leadership in Energy and Environmental Design (LEED) rating system. The science complex includes Palenske Hall, Putnam Hall, and Norris Center, all constructed in 1969 and totally renovated in 2005 and 2006, and Kresge Hall, constructed in 2005. In 2007, the science complex was only the third science facility in the state to have earned LEED certification.",1480439.0,**,--,125600.0,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,"NO official policy in place. However, active steps are being taken through utility incentives to establish, as part of a campus energy management plan, a holistic top down policy approach.",--,--
Allegheny College,2016-03-29,2016-03-29 08:51:13,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:20:15,meganzl@american.edu,2.0,Pursuing,**,--,--,--,--,There are currently no buildings on campus certified under these rating systems,3860748.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,3860748.0,http://stars.aashe.org/media/secure/54/6/474/2700/AU_Green_Building_Policy_rev_07.31.13.pdf,2010-05-01,"3201 New Mexico Avenue
3201 New Mexico Avenue Parking
4000 Brandywine
4000 Brandywine Parking
4200 Wisconsin Avenue
4200 Wisconsin Avenue Parking
4401 Connecticut
4401 Connecticut Parking
4545 42nd Street
4545 42nd Street Parking
4620 Wisconsin Avenue
4620 Wisconsin Avenue Parking
Anderson Hall
Asbury Building
Battelle-Tompkins
Beeghly
Bender Library
Butler Pavilion
Cassell Hall
Centennial Hall
Centennial Hall Parking
Child Development
Clark Hall
Costume Shop
Dunblane
East Quad Building
Gray Hall
Hamilton Building
Hughes Hall
Hurst Hall
Jack Child Hall
Katzen Arts Center
Katzen Arts Center Parking
Kay Spiritual Life Center
Kogod School of Business
Kreeger Building
Leonard Hall
Letts Hall
Mary Graydon Center
McCabe Hall
McDowell Hall
McKinley Hall
Media Production Center
Nebraska Hall
Osborn Building
President's Office Building
Public Safety Building
Rockwood Building
Roper Hall
School of International Service
School of International Service Parking
Sports Center
Sports Center Annex
Sports Center Parking Garage
Tenley Garage/Maintenance Shop
Vehicle Maintenance Shop
Ward Circle Building
Washington College of Law
Washington College Of Law Annex
Washington College Of Law Annex II
Washington College of Law Parking
Watkins Building
","AU's Green Building policy states that ""existing campus facilities will be operated and maintained to be equal to LEED Certified, or better."" We are currently in the LEED EBOM certification process for 2 buildings. As a result of using LEED EB on campus, AU has implemented several policies and standard practices that are applicable in all buildings, not just those pursuing LEEB EB. These policies and practices include a green cleaning policy, green purchasing policy, IPM strategy, and construction standards around water efficient plumbing.",http://www.american.edu/loader.cfm?csModule=security/getfile&pageid=2010814,We included all applicable building square footage from AU Floor Plans April 2015. 
Appalachian State University,2016-02-01,2016-02-01 13:37:11,balllf@appstate.edu,2.0,Pursuing,**,--,--,--,--,None,4585640.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,4331436.0,http://stars.aashe.org/media/secure/35/5/310/1736/ASU_Strat_Energy_Plan_2011_Signed.pdf,2007-08-02,"CHAPELL WILSON HALL
EDWIN DUNCAN HALL
APPALAIR (SHED)
NORTH CAROLINA RESEARCH CAMPUS -  KANNAPOLIS
STUDENT RECREATION CENTER
RANKIN SCIENCE SOUTH (NEW)
LIBRARY PARKING DECK
CENTRAL DINING HALL
COLLEGE OF EDUCATION
INDOOR PRACTICE FACILITY
PEDESTRIAN BRIDGE
MCKINNEY ALUMNI CENTER
CONSTRUCTION TRAILER
ASU-TOWN WATER INTERCONNECT
ELECTRICAL FOR NEW DORM - TEMPORARY
TEMPORARY CRANE SERVICE FOR NEW LLC
RESIDENCE TOWER SITE
PLEMMONS ADDITION
SINGING NEWS BUILDING
BARN-BLACKBURN/VANNOY TRUST
CAMP BROADSTONE
DARK SKY OBSERVATORY
ALL DORMS - GENERAL HOUSING
ALL CAMPUS GROUNDS
CONFIDENCE COURSE
UNIVERSITY TENNIS COURTS
OUTDOOR LIGHTING
GREER HALL (I.G. GREER)
D. D. DOUGHERTY BUILDING
L. S. DOUGHERTY BUILDING
LUCY BROCK CHILD CENTER
RANKIN SCIENCE WEST (OLD)
SMITH WRIGHT HALL
KATHERINE HARPER / KERR SCOTT
ANNE BELK HALL
SANFORD HALL
VARSITY GYMNASIUM
WALKER HALL (JOHN A. WALKER)
WEY HALL (HERBERT W. WEY)
BROYHILL MUSIC CENTER
LEGENDS
QUINN RECREATION CENTER
RALEY HALL (THELMA C. RALEY)
TURCHIN ART CENTER
PLEMMONS STUDENT UNION
OWENS FIELD HOUSE
KIDD BREWER STADIUM
DOUGHERTY ADMIN BUILDING (B. B.  DOUGHERTY)
FOUNDERS HALL
WINKLER RESIDENCE HALL
PSYCHOLOGY RESEARCH HOUSE
UNIVERSITY BOOKSTORE
FRANK RESIDENCE HALL
BELK RESIDENCE HALL
MILES ANNAS STUDENT SERVICES
TRIVETTE HALL
J. C. GREENE CHILD CARE CENTER
BEASLEY BROADCASTING COMPLEX
CHANCELLOR'S HOME (APPALACHIAN HOUSE)
BOWIE RESIDENCE HALL
JUSTICE RESIDENCE HALL
NEWLAND RESIDENCE HALL
GARDNER RESIDENCE HALL
COLTRANE RESIDENCE HALL
DOUGHTON RESIDENCE HALL
EAST RESIDENCE HALL
HOEY RESIDENCE HALL
LOVILL RESIDENCE HALL
WHITE RESIDENCE HALL
CANNON RESIDENCE HALL
CONE RESIDENCE HALL
EGGERS RESIDENCE HALL
FARTHING AUDITORIUM
APPALACHIAN HEIGHTS
JET (JOHN E. THOMAS HALL)
STEAM / BOILER PLANT
ESTES APTS / BLDG SERVICES
CAP SCIENCE COMPLEX
HOLMES CONVOCATION CENTER
","For all campus buildings, ASU's full-time Energy Manager monitors and reports to the Physical Plant Director the monthly readings on:
*Energy consumption (Building-level energy metering)
*Water consumption (Building-level water metering)
*Indoor environmental air quality  (this is also augmented by a green cleaning / green chemical policy)
*Purchasing policies direct a preference for energy-star and environmentally preferable products (including recycled content and green seal products.)

++++
Any and all ASU employees are obligated to abide by all state laws including SL 2007-546 establishing the goal of reducing energy consumption in state agencies by 20% by the end of fiscal year 2009-2010 and 30% by the end of fiscal year 2014-2015 from a 2003-2004 baseline year.

http://www.ncleg.net/sessions/2007/bills/senate/html/s668v6.html",http://sustain.appstate.edu/initiatives/campus-initiatives/buildings-leed,"Green cleaning policy http://physicalplant.appstate.edu/services/environmental-services

Leed certified and Leed pending SF has been subtracted from the overall campus total of 5,110,782 SF.
*175,402 SF Pending certification (Summit Res Hall, Appalachian Hall (Summit Annex), PSU Addition)"
Aquinas College,2016-03-21,2016-03-21 14:45:06,eimerjes@aquinas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:21,corey.hawkey@asu.edu,2.0,Pursuing,**,--,--,--,--,"LEED NC, LEED BD+C",18613980.5,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,18613980.5,http://stars.aashe.org/media/secure/21/6/474/2700/Sustainable_Design_Policy.pdf,2009-12-10,See below.,"Arizona State University is committed to developing and maintaining sustainable practices in its operations. Following is a listing of policies and practices that address the way we maintain buildings in accordance with sustainable building operational practices.
 
ASU's comprehensive Green Purchasing Policy covers energy, water, toxins and pollutants, biobased products, forest conservation, recycling, packaging, green building, and landscaping. http://www.asu.edu/aad/manuals/pur/pur210.html

All university buildings are covered by a Green Cleaning contract. The contractors are required to utilize green cleaning products and procedures.

Indoor Air Quality
http://www.asu.edu/aad/manuals/policyarchives/EHS/Mar2009/ehs402.html
http://cfo.asu.edu/ehs-indoor-air-quality

The sustainable maintenance guidelines included within Arizona State University's Sustainable Design Guidelines apply to all buildings.

Approximately 75% of Arizona State University's buildings at the Tempe campus can be scheduled through the building automation system. This is a Johnson Controls Metasys system that is used to turn air handlers and pumps, etc. on and off according to the scheduling needs for a particular building, or zone within a building. Building occupancy needs are determined by academic, research, and administrative staff, then equipment schedules are optimized to prevent unnecessary run-time.

Room Temperature Conservation Guidelines – ASU's Tempe campus classrooms and offices are heated to no higher than 68° F, and cooled to no lower than 80° F to reduce the amount of energy used for space conditioning.
",http://sustainability.asu.edu/practice/what-asu-is-doing/buildings.php,--
Austin College,2016-02-29,2016-02-29 18:24:44,pschulze@austincollege.edu,2.0,Pursuing,**,--,--,--,--,,974054.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,"For many years, John Jennings, Director of the Physical plant, has kept data and tracked all utility consumption as a means to monitor both usage and conservation success. Additionally as part of our EPA Peer audit of 2012 we developed and implemented an EMS (Environmental Management System) which also tracks success of environmental impact of the campus. We have an active EPA file and web link with this program.",Through daily monitoring of operations of all facilities and equipment ,http://www.austincollege.edu/campus-offices/business-affairs/physical-plant/environmental-management-system/,--
Babson College,2016-02-24,2016-02-24 08:37:46,dscott@babson.edu,2.0,Pursuing,**,--,--,--,--,Energy Star for Buildings,1709094.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,126874.0,http://stars.aashe.org/media/secure/42/5/310/1736/Sustainable%20Building%20Operations%20Final_1.docx,2012-01-01,"Built to LEED Silver: Mandell Family Hall

Certified Energy Star:
Pietz Hall
Hollister Hall","Energy consumption is monitored for all buildings on campus through sub metering. Reports on these buildings are done on a monthly basis and reviewed by our energy managment and operational managers.

Operations managers in housekeeping understand the sustainability goals and choose cleaning processes that reflect that goal. Where possible chemicals are avoided altogether and only used when absolutely necessary. These  people monitor staff activities to ensure this guideline is applied campus wide.",http://www.babson.edu/about-babson/sustainability/green-campus/Pages/Buildings.aspx,--
Ball State University,2016-02-29,2016-02-29 08:26:06,rkoester@bsu.edu,2.0,Pursuing,**,--,--,--,--,N/A,6950415.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,6950415.0,http://stars.aashe.org/media/secure/34/6/474/2700/IEQp3_Green_Cleaning.pdf,2015-09-30,"Architecture Building
Arts and Communications Building
Administration Building
Art and Journalism Building
Alumni Center
Anthony Apartments
Fine Arts Building and Art Museum
Academic Systems
Applied Technology Building
Emens Auditorium
Indiana Academy
Ball Honors House
Burkhardt Building
Ball Communication Building
Ball Gymnasium
Bracken Library
Burris School
Carmichael Hall
Central Chiller Plant
Cooper Life Science Building
Cooper Nursing Building
Cooper Physical Science Building
Child Study Center
E.B. and Bertha C. Ball Center
Elliott Hall
Elliott/ Wagoner Dining
Field Sports Building
Fisher Football Training Complex
Greenhouse
Health Center, Amelia T. Wood
Irving Gymnasium
Innovation Connector Office
JoAnn Gora Recreation & Wellness Center
Johnson Halls A: Botsford, Swinford
Johnson Halls B: Schmidt, Wilson
Kitselman Conference Center
LaFollette Complex
Lewellen Pool
Lucina Hall
Multicultural Center
Music Instruction Building
Indiana Academy House
Parking Garage, McKinley Ave.
Muncie Symphony Orchestra Office
E.F. Ball Medical Education Building
Music Building, Hargreaves
North Grounds Building
Noyer Complex
Parking Garage, Emens
North Quadrangle Building
Public Safety Department and University Police
Center for Peace and Conflict Studies
Pruis Hall
Human Performance Lab
Bracken House
Parking Services
Printing Services
Robert Bell Building
Research/Contracts & Grants
Student Center, L.A. Pittenger
Grounds Building, South
Shafer Tower
Showalter Facilities Planning and Management
Student Center Parking Garage
Scheidler Apartments
South Shops/ Christy Woods Office
Scheumann Stadium
Service and Stores Building
Studebaker Halls West
Teachers College Building
University Theatre
Telephone and Postal Services
Wagoner Complex
Whitinger Business Building
Woodworth Complex
West Quadrangle Building
Worthen Arena
Sursa Hall
","Objective E. Plan and execute new construction and renovations of campus facilities to best support learning, scholarship, institutional effectiveness, and quality of life.

•By 2012, construct two new academic buildings. 
•By 2017, upgrade football stadium. 
•By 2012, upgrade campus infrastructure to support the academic and support functions of the university. 
•By 2012, complete renewal of Central Utility Plant. Complete
•All new construction on campus will seek USGBC certification at the rating of LEED_NC Silver performance or better. Complete
•All construction renovations will explore the possibility of USGBC certification at the rating of LEED_EB certified performance or better. In Progress

",http://centennialcommitment.bsu.edu/,"Ball State University Centennial Commitment: ""Enhance recognition as a national model for sustainability"" by 2018.

In addition to the square footages listed above, we have secured LEED NC Silver certification for New Construction and Major Renovation; and are awaiting certification for building space which is currently under consideration by USGBC for LEED_Silver certification. These include:

Glick Center for Glass

North District Energy Station
Teacher College
Applied Technology

"
Baylor University,2016-02-26,2016-02-26 17:48:07,Smith_Getterman@baylor.edu,2.0,Pursuing,**,True,--,--,--,"Truett Seminary renewed its certification and was certified under the LEED EB O+M model in 2014. Highers Simpson is LEED Silver, Allison Indoor Practice Facility is LEED Silver, Hawkins Indoor Tennis Facility is LEED Silver, BRIC is LEED Certified, East Village and the Paul L. Foster Campus for Business an Innovation are under final review for LEED Silver Certification.",7699455.0,**,64000.0,419475.0,101525.0,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,--,--
