Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have any building space certified under the following green building rating ...,Does the institution have any building space certified under LEED or another 4-tier rating system ...,"Does the institution have any new building space certified under the DGNB system, Green Star, or ...","Does the institution have any building space certified under BREEAM, CASBEE, or another 5-tier GBC ...",Does the institution have any building space certified under the Living Building Challenge?,Does the institution have any building space certified under other non-GBC rating systems for new ...,A brief description of the green building rating system(s) used and/or a list of certified ...,Total floor area of eligible building space (design and construction),Floor area of building space that is certified at each level under a 4-tier rating system for new ...,Floor area that is certified at minimum level under a 4-tier GBC rating system for new construction ...,Floor area that is certified at the 3rd highest level under a 4-tier GBC rating system for new ...,Floor area that is certified at the 2nd highest level under a 4-tier GBC rating system for new ...,Floor area that is certified at the highest achievable level under a 4-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 3-tier rating system for new ...,Floor area that is certified at minimum level under a 3-tier GBC rating system for new construction ...,Floor area that is certified at mid-level under a 3-tier GBC rating system for new construction and ...,Floor area that is certified at the highest achieveable level under a 3-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 5-tier rating system for new ...,Floor area that is certified at minimum level under a 5-tier GBC rating system for new construction ...,Floor area that is certified at the 4th highest level under a 5-tier GBC rating system for new ...,Floor area that is certified at mid-level under a 5-tier GBC rating system for new construction and ...,Floor area that is certified at the 2nd highest level under a 5-tier GBC rating system for new ...,Floor area that is certified at the highest achievable level under a 5-tier GBC rating system for ...,Floor area of building space certified Living under the Living Building Challenge,Floor area of building space that is certified at any level under other green building rating ...,Floor area of building space that was designed and constructed in accordance with green building ...,A copy of the guidelines or policies ,The date the guidelines or policies were adopted,A brief description of the green building guidelines or policies and/or a list or sample of ...,A brief description of how the institution ensures compliance with green building design and ...,The website URL where information about the institution’s certified buildings and/or green building ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:44,mfrever@albion.edu,2.0,Pursuing,**,True,--,--,--,--,"In 2007, the Albion College science complex was awarded silver certification under the U.S. Green Building Council’s Leadership in Energy and Environmental Design (LEED) rating system. The science complex includes Palenske Hall, Putnam Hall, and Norris Center, all constructed in 1969 and totally renovated in 2005 and 2006, and Kresge Hall, constructed in 2005. In 2007, the science complex was only the third science facility in the state to have earned LEED certification.",156200.0,**,--,156200.0,--,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,http://www.albion.edu/about-albion/sustainability/departmental-initiatives/science-complex,--
Allegheny College,2016-03-29,2016-03-29 08:52:11,kelly.boulton@allegheny.edu,2.0,Pursuing,**,True,--,--,--,--,"North Village Phase I - LEED New Construction Certified
North Village Phase II - LEED New Construction Gold
Carr Hall renovation - LEED Commercial Interiors Gold",141000.0,**,45000.0,--,96000.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,2008-01-17,"All RFP's and contracts awarded to service providers, architects and contractors includes language about our sustainability commitments and expectations. This includes the requirement that all new constructions be LEED Silver certified, at minimum, and all other work meet certain campus standards of sustainability.
The 14,000 square foot, 454 House was completely gutted and renovated as the Admissions Department in 2009. Since it was a smaller project, the college chose to commit dollars that might have been used to pursue LEED certification to adding more sustainable features to the project. The project followed LEED guidelines and included VOC free paint, recycled carpet squares, motion sensors for lights, FSC certified wood, rain gardens and a geo-exchange heating and cooling system in addition to other features.","Architects, contractors, and engineers work with the Sustainability Coordinator and Director of Physical Plant to review proposed work, assess compliance with sustainability goals and push for further action.",--,--
American University,2016-03-23,2016-03-23 14:20:57,meganzl@american.edu,2.0,Pursuing,**,True,--,--,--,--,"American University uses the 4-tier LEED rating system to certify its buildings. Currently the university has two LEED for New Construction certified buildings: School of International Service (SIS) and McKinley. 

Three additional buildings on campus are currently in the process of being certified and have been excluded from these calculations. They are Nebraska Hall, Cassell Hall, and 4401 Connecticut Avenue. ",271001.0,**,--,--,271001.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/54/6/475/2712/Green-Building-Policy.pdf,2010-05-01,,AU's green building policy requires that all new construction and major renovation projects are designed and constructed to meet LEED Gold standards at a minimum.,http://www.american.edu/loader.cfm?csModule=security/getfile&pageid=2010814,--
Appalachian State University,2016-02-01,2016-02-01 13:37:20,balllf@appstate.edu,2.0,Pursuing,**,True,--,--,--,--,"Cone Res Hall - Gold
College of Education - Silver
Mountaineer Res Hall- Gold
Three additional buildings pending:
Summit Residence Hall
Appalachian Hall (Summit Annex)
Plemmons Student Union (Addition)
",349740.0,**,--,124735.0,177237.0,--,**,--,--,--,**,--,--,--,--,--,--,--,223170.0,http://stars.aashe.org/media/secure/35/2/33/255/UNC%20Sustainability%20Policy.pdf,2008-04-22,"College of Ed Annex (Lucy Brock)
AppalCART Operations and Maintenance Facility
Belk Library and Information Commons
Cone Residence Hall
George G. Beasley Broadcasting Complex
Plemmons Student Union Addition
Reich College of Education
Summit Residence Hall","This NC General Statute applies to buildings over 20,000 gross sf or greater and requires energy performance modeling, reporting and verification, with commissioning.",http://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/ByArticle/Chapter_143/Article_8C.html,See http://www.nc-sco.com/documents/guidelines/EEREPORT.pdf
Aquinas College,2016-03-21,2016-03-21 14:45:15,eimerjes@aquinas.edu,2.0,Pursuing,**,True,--,--,--,--,"Aquinas College adopted a LEED Building policy for new building construction and major renovation projects in 2007. All construction projects must be LEED certified by the U.S. Green Building Council. This policy ensures that quality, environmentally considerate buildings and projects are undertaken on campus. LEED buildings encourage designers to integrate green features in the planning phase, instead of trying to retrofit the structure later to include them.",127000.0,**,57000.0,70000.0,--,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,https://www.aquinas.edu/sustainability/progress/progress-leed-certified-buildings,--
Arizona State University,2016-02-29,2016-02-29 15:08:30,corey.hawkey@asu.edu,2.0,Pursuing,**,True,--,--,--,--,"Since July 2006, ASU has completed 26 certified LEED projects which are comprised of 45 buildings plus the second floor of the Memorial Union. Total LEED building GSF is 4,162,948 or 16.5% of the total ASU GSF 25,191,739. Following a 2005 order by the governor of Arizona, ASU now requires, to the fullest extent practicable, Leadership in Energy and Environmental Design (LEED) Silver certification for all new construction of university-owned and operated buildings.",4160948.0,**,163959.0,1326784.0,2453742.0,216463.0,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/21/6/475/2712/Sustainable_Design_Policy.pdf,2009-12-10,"Sustainable Design Policy
http://www.asu.edu/purchasing/forms/Sustainable_Design_Policy.pdf

Listing with photos of Arizona State University LEED Buildings.
https://cfo.asu.edu/fdm-recently-completed-construction
","Since 2005 the State of Arizona has mandated that all state-owned or funded buildings will be at built to at least USGBC LEED Silver certification level. Since that date the University has met or exceeded the mandate. This is managed by both the Capital Programs and University Architect's Office in Facilities Development and Management. In addition, the University strengthened its commitment by adopting Sustainable Design Guidelines in December 2009, which go above and beyond our LEED commitment, clearly identifying areas we wish to maximize in order to build efficient, productive buildings appropriate for our region, climate and for their intended use.",https://cfo.asu.edu/fdm-construction-at-asu,--
Austin College,2016-02-29,2016-02-29 18:24:53,pschulze@austincollege.edu,2.0,Pursuing,**,True,--,--,--,--,LEED. IDEA Center (Science Facility) LEED Gold. ,103000.0,**,--,--,103000.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,LEED Certification System,http://www.austincollege.edu/campus-offices/business-affairs/physical-plant/idea/,--
Babson College,2016-02-24,2016-02-24 08:37:55,dscott@babson.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Construction in the past five years has been limited to Park Manor West, and the major renovations of Park Manors South and Central. However, at the time of this submission, none of the buildings have been officially rated. Per STARS guidelines, they are not being included. (All projects are expected to earn a minimum of LEED Silver though.)"
Ball State University,2016-02-29,2016-02-29 08:26:15,rkoester@bsu.edu,2.0,Pursuing,**,True,--,--,--,--,LEED BD&C or LEED CI,1011327.0,**,9215.0,892858.0,109254.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/34/5/311/1746/Strategic%20Plan%205%2009.pdf,--,,"As stated in the Ball State University 2007-2012 Strategic Plan Goal IV, Objective E:
Plan and execute new construction and renovations of campus facilities to best support learning, scholarship, institutional effectiveness, and quality of life.  The following were completed:
• renewal of three academic buildings.
• construct two new academic buildings.
• complete construction of recreation and wellness facility.
• upgrade football stadium.
• complete major renewal of L. A. Pittenger Student Center.
• construct two new residence halls.
• upgrade campus infrastructure to support the academic and support
functions of the university.
• complete renewal of Central Utility Plant.
• All new construction on campus will seek USGBC certification at the rating of
LEED_NC Silver performance or better.
• All construction renovations will explore the possibility of USGBC certification
at the rating of LEED_EB certified performance or better.
• complete construction of new residence hall dining services.

",http://cms.bsu.edu/Academics/CentersandInstitutes/COTE/Sustainability/STARS.aspx,"Letterman Bldg.     87,164 sq.ft. LEED Silver
Park Hall              194,600 sq.ft.  LEED Silver
Kinghorn Hall       190,480 sq.ft.  LEED Silver
SRWC                   163,892 sq.ft.  LEED Silver
Dehority Hall        131,072 sq.ft.  LEED Silver
Studebaker East, 97,406 sq.ft. LEED Gold
North District Energy Station, 11,848 sq.ft.  LEED Gold
Glick Center for Glass, 9,215 sq.ft.  LEED Certified
Teachers College  125, 650 sq.ft. pursuing LEED Silver; not yet awarded."
Baylor University,2016-02-26,2016-02-26 17:48:16,Smith_Getterman@baylor.edu,2.0,Pursuing,**,True,--,--,--,--,"Using the LEED New Construction criteria, these buildings have earned certification: 
Highers-Simpson Athletics Complex (Silver)
Alison Practice Field (Silver)
Marrs McLean Science (Gold)

A number of other recently constructed and renovated buildings are undergoing certification at this time. 
",7699455.0,**,42114.0,174050.0,101525.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,"All new and renovated buildings will seek certification under the appropriate LEED criteria. LEED measures sustainability characteristics regarding site development, energy and water conservation, material reuse and recycling, and indoor environmental quality. Baylor aims to certify their buildings as high as feasible.  ",--,--
