Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Floor area of building space covered by an indoor air quality (IAQ) management program that meets ...,Gross floor area of building space,A brief description of the institution’s indoor air quality program(s) (including information about ...,The website URL where information about the institution’s indoor air quality program(s) is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:56,mfrever@albion.edu,2.0,Pursuing,76000.0,80000.0,Aircuity constant monitoring of lab space. Occupants submit feedback via work order system. ,http://www.aircuity.com/,--
Allegheny College,2016-03-29,2016-03-29 08:53:16,kelly.boulton@allegheny.edu,2.0,Pursuing,--,1436020.0,,--,--
American University,2016-03-23,2016-03-23 14:21:53,meganzl@american.edu,2.0,Pursuing,3860748.0,3860748.0,"Indoor air quality is managed via four complementary systems:

1) Energy Management System 
Four full time staff manage the university’s Siemens Apogee energy management system (EMS), which monitors campus HVAC systems, including certain air quality components such as CO sensors, CO2 sensors, and humidity sensors. The EMS is designed to control indoor air quality as well as trigger staff response when the system detects air quality indicators beyond pre-set allowable ranges. The system is monitored 24 hours a day, seven days a week.

2) Occupant Feedback 
“2FIX” is the campus-wide customer feedback system for facilities-related inquiries and complaints. Building occupants use this system, which includes a phone hotline and email address (202.885.2FIX and 2FIX@american.edu), to provide feedback on indoor air quality. Calls and emails to 2FIX produce work tickets for response by professional facilities staff people. If/when facilities staff are unable to resolve an indoor air quality complaint, it is referred to Risk Management for additional inquiry and action.

3) Staff Observation 
Facilities staff are trained to observe and act to prevent and/or re-mediate sources of potential impacts on indoor air quality, such as observing vehicle fumes penetrating a building, visible mold growth, and other such indicators of potential air contamination.

4) The Green Cleaning Program 
Minimizes the amount of dirt entering buildings by using entryway mats, thereby avoiding overuse of cleaning chemicals. It trains staff on safe chemical handling and cleaning practices in order to avoid exposing them to chemicals. We also use Green Seal-certified cleaners and equipment that are verified against a rigorous, nationally recognized standard for identifying greener cleaning supplies. A large portion of cleaning is done using the Orbio OS3: a chemical and VOC free disinfection solution generator. ",https://www.american.edu/finance/sustainability/Buildings.cfm,Building square footage is from AU Floorplans April 2015
Appalachian State University,2016-02-01,2016-02-01 13:37:26,balllf@appstate.edu,2.0,Pursuing,4088626.0,5110782.0,"Appalachian State maintains a plan for indoor air quality procedure, both to deal with registered complaints and to maintain the HVAC equipment that can cause poor IAQ.  See Public Notes for specific information regarding this procedure.

Additionally, Green Seal cleaners are used to reduce impact on the environment and the community.  In 2013/14 AppState exceeded the criteria required to meet the highest LEED certification for building maintenance by committing 77.6% of expenditures to ""green cleaners.""",http://safety.appstate.edu/indoor-air-quality,"In 2014, Floor area covered by IAQ is is 80% of GSF to account for wall thickness, ductwork, elevator shafts, etc.

Appalachian State has a written procedure for reporting indoor air quality complaints (see http://safety.appstate.edu/indoor-air-quality) and conducts routine preventative maintenance of the HVAC equipment.
 
General description of IAQ response:

* If the concern seems mechanical (e.g. HVAC) system or leak-related, then directed to Physical Plant.

* If the concern seems related to an obvious source of non-life-threatening contamination (e.g. fumes from idling vehicles or construction equipment/activities), the source of the activity is asked to cease the activity and/or relocate the activity.

* If the concern seems related to anything else, then the Occupational Safety & Health Office visits the site and investigates to the extent appropriate.  

* If the concern sounds at all like life or health is threatened, The Occupational Safety & Health Office goes immediately to the location to investigate.  These are chemical exposure issues, not IAQ. 

Additional information on ""Green Cleaners"" http://physicalplant.appstate.edu/services/environmental-services

"
Aquinas College,2016-03-21,2016-03-21 14:45:22,eimerjes@aquinas.edu,2.0,Pursuing,132070.6,768460.0,"We currently have CO2 monitoring in 3 buildings on campus, including Sturrus, Alksnis and the auditorium of the Performing Arts Center (known as Circle Theatre). ",--,--
Arizona State University,2016-02-29,2016-02-29 15:08:38,corey.hawkey@asu.edu,2.0,Pursuing,18613980.5,18613980.5,"Arizona State University follows AHRAE 62.1 standards for indoor air quality. CO2 monitoring is in use in some buildings to monitor air quality as well as reduce energy costs. The University’s EHS Policy 402 addresses procedures to ensure a safe and healthy work environment by establishing guidelines for conducting investigations, including air monitoring, in response to indoor air quality complaints or recognized adverse building conditions. In addition, the campus community can report any suspected facilities issues through the main Service Center. ",http://www.asu.edu/aad/manuals/ehs/ehs402.html,--
Austin College,2016-02-29,2016-02-29 18:25:00,pschulze@austincollege.edu,2.0,Pursuing,974054.0,974054.0,Filters and air handlers in all buildings are inspected monthly and changed every 3 or 6 months (depending on the building) even if visual inspection suggests they do not need changing. When the Physical Plant receives concerns about air quality pollen and mold are monitored inside and outside by professional consultants.  Consultant reports have always shown that indoor air quality meets standards and exceeds outdoor air quality.,--,--
Babson College,2016-02-24,2016-02-24 08:38:01,dscott@babson.edu,2.0,Pursuing,307907.0,1699697.0,"Facilities Managment & Planning and our EH&S team respond to  complaints and concerns regarding air quality on an as needed/requested basis. We possess the equipment to test for air quality issues. Complaints can be made through our work order system or by emailing or call the facilities help desk. Testing is conducted including visual observation, HVAC testing and monitoring and using the Aircuity Optima 500 building performance system.

",--,"The only buildings on campus that have air quality monitored and tested on a consistent basis are Olin Hall, the Executive Conference Center, and Sorenson Theater, which have fresh air supplied based on air quality. 

Unoccupied utility buildings and parking structures were not included in the total square footage. "
Ball State University,2016-02-29,2016-02-29 08:26:21,rkoester@bsu.edu,2.0,Pursuing,7180726.0,7180726.0,Our Facilities Planning and Management Department has a unit responsible for all Heating Ventilating and Air Conditioning systems in all Academic and Administrative Buildings. This unit is charged with maintaining all systems that serve the indoor air quality needs of the occupants. This unit responds to occupant issues and serves preventive maintenance needs. A work order system helps to track issues on a building-by-building basis. These data help guide the repair and upgrades to all ventilation systems. Our design standard is to use variable volume HVAC systems with CO2 monitors set at 800PPM. This type of arrangement ramps the incoming air system downward when buildings are unoccupied. When the 800 PPM CO2 level is reached the outdoor air dampers open to bring in more outside air. Ball State University also is a smoke free campus.,http://cms.bsu.edu/About/AdministrativeOffices/Facilities.aspx,--
Baylor University,2016-02-26,2016-02-26 17:48:23,Smith_Getterman@baylor.edu,2.0,Pursuing,7699455.0,7699455.0,"The Physical Plant Operations (PPO) oversees HVAC, which includes equipment maintenance, scheduled filter changes, building fresh air, air-balancing, fume hood maintenance, etc., for the campus.  There are fact sheets for asbestos, mold and lead on the Department of Risk Management (DRM) web page.  Included in the fact sheets are web sites that individuals can use to obtain more information.  All asbestos abatement is achieved using licensed third party contractors.  

Facility Services maintains a 24 hr Service Response Center for campus residents to register IAQ complaints.  Baylor's DRM maintains a full time Asbestos and IAQ Coordinator tasked with managing the investigation and remediation of all IAQ complaints.  The DRM investigates all IAQ complaints and if the situation warrants, all sampling, remediation, etc., is achieved through licensed third parties.  Consulting services are obtained on an as needed basis.  Compliance with local, state and federal regulations are achieved by the use of consulting services and education gained by attending classes, conferences, seminars, etc.",http://www.baylor.edu/risk_management/index.php?id=8157,--
