Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Percentage of total dining services food purchases comprised of conventionally produced animal ...,A brief description of the methodology used to track/inventory expenditures on animal products,"Does the institution offer diverse, complete-protein vegan dining options at all meals in at least ...","Does the institution provide labels and/or signage that distinguishes between vegan, vegetarian ...",Are the vegan options accessible to all members of the campus community?,"A brief description of the vegan dining program, including availability, sample menus, signage and ...",A brief description of other efforts the institution has made to reduce the impact of its ...,The website URL where information about where information about the vegan dining program is ...,Annual dining services expenditures on food,Annual dining services expenditures on conventionally produced animal products,Annual dining services expenditures on sustainably produced animal products,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:44,mfrever@albion.edu,2.0,Pursuing,9.0,"Purchasing technology is used to verify that the Chefs and Kitchen Managers are rarely able to purchase animal products that are unsustainable.  There are strict restrictions on items such as eggs, poultry, seafood, pork, and ground beef. All eggs must be cage free, all chicken must be raised without the use of antibiotics, seafood cannot be air-freighted, ground beef must come from sources that are *certified humane, and pork items must be produced without gestation crates.
We have invested in cutting-edge restaurant inventory software to itemize and highlight all sustainable purchases. Food service employees engage in verifiable activity as they receive products, code invoices, and record corresponding inventory of items.
Reports are produced and reviewed regularly by student government and college administration officials. 
",True,True,True,"This institution offers diverse, complete-protein vegan dining options during every meal. The vegan dining has at least one station where Albion College dedicates and supports anyone who is vegan. In addition this, Albion College offers at Baldwin vegan options throughout the cafeteria. They have things such as vegan butter and vegan dessert as well. To top it all off, everything is locally grown and not frozen, considering that we only have one freezer at Baldwin. It helps local business owner raise money for their crops, like soy beans. -All soy beans used for tofu, tempeh and seitan are locally grown. They also harvest vegetables and make sure that we have and are offered vegan spreads, such as vegan deli meat and vegan butter. We also always have a vegan soup every day. The benefit from having these vegan options every day is healthier living and a better mind set of good food selection.  But the biggest thing that they want us to have is fresh food.  We serve 10,000 meals weekly, but only have one freezer, which is amazing to think about. Baldwin cafeteria and Albion College work with how the environment cooperates seasonally. They are being smart with their money and their fresh product they are offering to us as students.   ","We have led our industry in our early and detailed commitments to sourcing more humanely raised meat, poultry, and eggs:
-All our ground beef is humanely raised
-No foie gras or crate-raised veal 
-Shell eggs are certified cage-free 
-Turkey and chicken are raised without routine antibiotics in water or feed 
-Milk and yogurt come from cows not treated with rBGH 
-Vegetarian/vegan options offered every meal day (always).

New this year:
-All our precracked eggs will also be certified cage-free.
-All pork must be produced without gestation crates.
",http://albion.cafebonappetit.com/curious/sustainability/animal-welfare,1000000.0,90300.0,500100.0,"Most animal products are procured sustainably. The only exception is roughly $90,000 spent on conventional cheese and deli-meat items. 
All other animal products are procured sustainably.

"
Allegheny College,2016-03-29,2016-03-29 08:52:12,kelly.boulton@allegheny.edu,2.0,Pursuing,21.0,Review of vendor reports and invoices.,True,True,True,"We have a vegetarian station at both halls. When menu is vegan, it is marketed as such. Many other options are standard at the sandwich/wrap bar as well as the salad bar. For example a complete-protein vegan option is always available at the deli (hummus) and the Cantina (beans and rice and Tuesday tofu).","In the past year, the traditional dining hall has implemented a Low Impact Meal  Tuesday to reduce the emphasis on animal protein.",--,2061748.0,425836.0,--,--
American University,2016-03-23,2016-03-23 14:20:58,meganzl@american.edu,2.0,Pursuing,17.5,,True,True,True,"AU Dining boast an A+ Dean’s List rating from PETA and special recognition from the Humane Society of the United States for vegan and vegetarian options on campus. The main dining hall has a vegan and vegetarian station that utilizes plant based proteins such as tofu, seitan, tempeh, beans, legumes, and pulses. Each station in our dining hall that serves meat has a plant based alternative—for example, the deli features hummus and grilled vegetables. Each menu item is reviewed by our Registered Dietitian and labeled as “vegan” or “vegetarian” to make choosing these options in the dining hall easy and accessible to all students. We celebrate “Meatless Mondays” in our dining hall by replacing our carved meat item with a carved vegetable or vegetable entrée such as Carved Butternut Squash or Mushroom Wellington. We also feature vegan/vegetarian specials at each station on this day, and use marketing materials, community involvement, and employee engagement to increase participation and awareness of Meatless Monday. AU Dining also holds a vegan/vegetarian focus group each semester to take student and staff feedback for improving our program.  

Retail food outlets at AU also feature vegan and vegetarian options, and all nutrition information is available for students to access. During the Fall semester, AU Dining’s rotating retail concept featured a completely vegan menu in partnership with the Humane Society of the United States.
",,http://www.aramark.com/industries/education/colleges-universities/dining-services,--,--,--,--
Appalachian State University,2016-02-01,2016-02-01 13:37:20,balllf@appstate.edu,2.0,Pursuing,30.26,Appalachian State is in continual contact with our distributors regarding conventional vs. sustainably produced food products containing animal derivatives.  University food service personnel then run annual reports on these purchases.,True,True,True,"Vegetarians and vegans can choose from a large selection of foods at our dining facilities.  All of our concepts offer vegetarian/vegan options, there are two extensive salad bars and one unit, Healthy Select serves only vegetarian/vegan cuisine.  Many of our foods are cooked-to-order, such as sandwiches, pastas, pizza, burritos and stir fries, allowing vegetarians and vegans to customize their meals.","We regularly serve organic tempeh and tofu; our Asian Bar offers tofu as a daily protein choice.  Additionally, we have a partnership with local farm, North Fork Farm for ground beef, bratwurst and other products as needed.  We offer a local burger daily and local brats once each week. ",http://foodservices.appstate.edu/sustainability,4533616.12,1371662.93,18964.81,--
Aquinas College,2016-03-21,2016-03-21 14:45:16,eimerjes@aquinas.edu,2.0,Pursuing,88.25,"Aquinas' contracted food service provider uses an excel spreadsheet to track totals for food purchases, including farmers and vendors.",True,True,True,All items in the grill area of the cafeteria can be prepared to order- vegetarian or with meat.  Most options can be vegan as well.,"Use of kale, quinoa and other vegetable matter, rather than animal-derived products.",https://www.aquinas.edu/sustainability/progress/progress-growing-local-food-systems,875321.0,772470.78,99850.22,--
Arizona State University,2016-02-29,2016-02-29 15:08:31,corey.hawkey@asu.edu,2.0,Pursuing,54.0,"From the purchases reports gathered for OP 6 Food and Beverage Purchases, the reports from vendors ARAMARK purchases animal products(meat, fish, egg, dairy) from were taken as a subset.   These reports were analyzed by ARAMARK to identify any animal purchases that were not conventionally produced as defined by AASHE guidelines.  The total value of these items was subtracted from the total amount of animal product products purchased and the remainder was reported as conventionally purchased.",True,True,True,"Sun Devil Dining/ARAMARK has incorporated the vegan cuisine across the four Arizona State University campuses.  We offer a variety of complete vegan options throughout the 6 All-You-Care-To-Eat residential restaurants.  Each residential restaurant has their own unique flair but a student will typically encounter vegan burgers, marinated tofu, bean salads, and a variety of flavors of hummus. Other specialties include vegan soups like Tomato Bisque, baked potatoes with vegan chili, and many more. For breakfast, the residential restaurants offer oatmeal, fresh fruit, vegan cereals, soy milk, and breads suitable for the vegan diet.

At the residential restaurants, we have incorporated The VegTable that offers a vegetarian and/or vegan entrée every day.  Many times at the vegetarian/vegan stations if a vegetarian entrée is being served for the meal period, it can easily be deconstructed into a vegan option.   Sun Devil Dining takes pride in incorporating ethnic foods into their vegan cuisine. One can find Asian, Mexican, Mediterranean, and a Mongolian bar (at some locations) that offers rice noodles with tofu and vegan sauces.

The vegan options also extend into proprietary retail and national brand locations as well.  These locations are accessible to the entire Arizona State University community.  ARAMARK’s  Engrained Café (the first of its kind for ARAMARK) is an environmentally conscious restaurant dedicated to sustainable dining and features locally grown and harvested food prepared to order, including organic produce, Fair-Trade coffee, cage-free eggs and chicken, free-range beef and sustainable seafood. Sun Devil Dining’s local and national brands like Devil’s Greens and Qdoba Mexican Grill offer complete vegan proteins, whole grains, and other foods that are important to the vegan diet.

Vegan/Vegetarian URL: http://sundevildining.asu.edu/nutrition/special/vegan  
Sun Devil Dining URL: http://sundevildining.asu.edu/ ","ARAMARK offers grab n go salad and sandwich selections under the Green n Go label which feature cage free eggs, natural chicken, and local cheeses.  Additionally, cage-free eggs are offered upon request in all residential restaurants at all seven Arizona State University Campuses.   The Engrained Café offers Monterey Bay Seafood Best Choice selections, organic dairy offerings,  and cage-free eggs daily.      ",http://sundevildining.asu.edu/sustainability/greenthread/sustainablefood,--,--,--,--
Austin College,2016-02-29,2016-02-29 18:24:53,pschulze@austincollege.edu,2.0,Pursuing,80.0,Proprietary information.,True,True,True,Vegan options available at designated platform and rotate with each meal period delivering a variety of options. A comprehensive salad bar consisting of over 30 items rotating daily and a minimum of two composed salads,None,http://austincollege.campusdish.com/EatWellContent/MenuCommitments.aspx,1500000.0,--,--,"Annual dining services expenditures on food are at least $1,500,000.00. The exact figure is not available. "
Babson College,2016-02-24,2016-02-24 08:37:55,dscott@babson.edu,2.0,Pursuing,45.0,Reported by Sodexo Dining Services,True,True,True,"Meat, fish, egg, and dairy products are separated from vegetable selections at salad bars.  Separate vegan restaurant with dedicated preparation and cooking area free of dairy, meat, and fish products. All food items are labeled. 
Dedicated Vegan station available at lunch and dinner Monday through Friday.  Vegan entree available at all meals on Saturday and Sunday
",Hired a full time Dietitian in spring 2014 to educate students on the benefits of a meatless diet.,https://babsondining.sodexomyway.com/,1972248.0,891730.0,15504.0,--
Ball State University,2016-02-29,2016-02-29 08:26:15,rkoester@bsu.edu,2.0,Pursuing,30.0,This information is not currently tracked.,True,True,True,"Diverse vegan options with opportunity for a complete-protein diet are available during every meal.  For example, 
--Noyer Centre offers a salad bar including diverse vegetables and bean offerings.  A variety of fresh fruit options, both cut and whole, as well as pre-made salads and vegan convenience items are available.  Black bean burger at the grill add another protein option—buns are optional.
--The Atrium offers custom-made and pre-made salads, as well as and custom-made stir-fries with vegetable, rice, tofu, and almond options.  A chipotle black bean burger, bun optional, is also available.  Fresh fruit, both cut and whole, is always available.
--LaFollette Dining offers a salad bar including a wide variety of vegetables, fruits, as well as bean options.  
--Woodworth Commons offers custom-made salads with bean and almond options; custom stir-fries with vegetable, tofu, and rice options; a variety of cut and whole fresh fruits; black bean patties; and vegan convenience items.  Pre-made salads are also available.
--The Tally features an extensive salad bar with diverse vegetables, beans, raisins, and almonds.  It also features an olive bar.  Black bean patties are available at the grill.   Fresh cut and whole fruits are always available.
--Elliott Dining offers a salad bar with beans, tofu, and a variety of vegetables.  Custom stir-fries can also be made with anything from the salad bar, served on a bed of rice.  Hummus and black bean burgers are also available at many meals.  Fresh fruit is always available.
--Jamba Juice offers freshly squeezed fruit juices.  Roughly 7.5% of sales are organic juices.

Soy milk is available throughout our locations at all meal periods, and we are beginning to incorporate quinoa into our menus, an excellent source of complete protein.

In addition, all students are made aware when they enter Ball State that BSU Dining will accommodate special dietary needs and work one-on-one with a student if he/she desires.  If a vegan student’s needs are not being met, he/she can arrange for a custom diet to be planned to meet the needs.

All posted menus display a ""V"" for vegetarian items and a ""V+"" for vegan items.  Guests can also filter menus online to view only vegetarian or only vegan items.

Dining initiated communication with the student vegan association to attain special menu requests and gather feedback to improve vegan offerings and gauge future needs.
The chef in Woodworth Commons develops regular vegan home-style entrees to supplement the existing custom vegetable and fruit options at this location. ",,http://cms.bsu.edu/CampusLife/Dining/Aboutus/Green.aspx,--,--,--,These items are not currently tracked.
Baylor University,2016-02-26,2016-02-26 17:48:16,Smith_Getterman@baylor.edu,2.0,Pursuing,36.3,We searched our primary vendor's report for all meat products served in the residential locations to obtain a lump sum of expenditures. A nominal selection of our farms do not raise animals conventionally. Our pork is 100% gestation crate free as of 2016. ,True,True,True,"Vegan and vegetarian options are offered in the residential dining facilities everyday. We have a Registered Dietitian who can address any food allergies, insensitivities, or diets students, staff or faculty have. ","In Spring 2015, we launched ""Lean and Green"" events to highlight non-meat based entree items and promote the importance of vegetables and whole grains to our bodies and the environment.",http://dining.baylor.edu/en-US/CSSW/Baylor/Sustainability/SustainabilityatBaylor.htm,--,--,--,--
