Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Total energy consumption (all sources, transportation fuels excluded), performance year",Total clean and renewable electricity generated on site during the performance year and for which ...,Clean and renewable energy from the following sources:,A brief description of on-site renewable electricity generating devices ,"Non-electric renewable energy generated on-site, performance year (Option 2)",A brief description of on-site renewable non-electric energy devices,Total clean and renewable electricity generated by off-site projects that the institution catalyzed ...,"A brief description of off-site, institution-catalyzed, renewable electricity generating devices",Total third-party certified RECs and similar renewable energy products purchased during the ...,A brief description of the RECs and/or similar renewable energy products,The website URL where information about the institution's renewable energy sources is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:44,mfrever@albion.edu,2.0,Pursuing,56709.4,--,**,,--,,--,,--,,--,--
Allegheny College,2016-03-29,2016-03-29 08:52:12,kelly.boulton@allegheny.edu,2.0,Pursuing,162794.0,31.0,**,We have two small solar arrays.  One is a two panel array and the other is a 24 panel array.,--,,--,,51112.0,"In January 2011, we commenced a contract to purchase 100% of our electricity with green-e certified wind generated RECs.",--,--
American University,2016-03-23,2016-03-23 14:20:59,meganzl@american.edu,2.0,Pursuing,313332.1,2144.1,**,"There is Solar PV on the following buildings:

Washington College of Law
Bender Library
Katzen Arts Center
Mary Graydon Center
Greenberg Theater
3201 New Mexico Ave
School of International Service (SIS)
",137.31,"The on-site renewable non-electric energy is solar thermal. There is solar thermal on the following buildings:

Mary Graydon Center 
School of International Service (SIS) - not metered, production not included
Cassell Hall - not metered, production not included",--,NA,187667.6,"AU purchases renewable energy certificates (RECs) equivalent to 100 percent of purchased electricity. By purchasing RECs, AU is enabling the production of clean, renewable energy. AU ensured that these RECs have real environmental benefits by purchasing Green-E certified RECs from Renewable Choice Energy. 

",http://www.american.edu/finance/sustainability/Energy.cfm,--
Appalachian State University,2016-02-01,2016-02-01 13:37:20,balllf@appstate.edu,2.0,Pursuing,560286.4,346.6,**,"Wind:
The 100-kilowatt “Northwind 100” wind turbine on the Appalachian State University campus is currently the largest in North Carolina. Sitting atop a 121-foot tower, each of its three blades are 34 feet long and harvest enough energy to power approximately 13-15 energy efficient homes per year.

Solar:
During the performance year ASU owed and operated four (4) Photo-voltaic systems. The figure above includes data from 2 grid-tied PV systems (a 4.0 kW ground-mounted system  and  a 1.7 kW pole-mounted array) AND estimations from a 1.5 kW roof mounted system and 2.96 kW roof mounted system, since these net metered systems do not have actual production figures logged.

ASU owns and operates 4 additional systems that are not figured into the performance year. They are as follows:
Blackburn-Vannoy Farm Pole System 1.5kW
Blackburn-Vannoy Farm  Garage System 3.8kW
E3 House 2.8 kW
Harper/Scott Hall 1.4 Kw",767.08,"At the time of the performance year, ASU owed and operated the following solar thermal (ST) systems:
Plemmons Student Union ST: 42 10'x4' FP collectors
Varsity Gymnasium ST: 12 10'x4' FP collectors
Reich College of Education ST: 4 8'x4' FP collectors
Frank Hall ST: 42 10'x4' FP collectors
Biofuels Research Facility ST: 2 8'x4' FP collectors; 2 10'x4' FP collectors
and since have added three additional systems:
Summit Residence Hall 
Mountaineer Residence Hall
Blackburn-Vannoy Farm House Residence


",--,,--,,http://sustain.appstate.edu/green-spotlight/2011/07/28/renewable-energy-systems,--
Aquinas College,2016-03-21,2016-03-21 14:45:16,eimerjes@aquinas.edu,2.0,Pursuing,66224.2,32.75,**,"The Jarecki Center for Advanced Learning at Aquinas College employs a unique 12 kW capacity photovoltaic array. The UNISOLAR® photovoltaic system, manufactured by United Solar Ovonic, was designed to seamlessly integrate into the building’s architecture by complementing a durable metal roofing substrate.",--,n/a,--,n/a,--,n/a,http://www.aquinas.edu/sustainability/documents/JareckiPVFlyer.pdf,--
Arizona State University,2016-02-29,2016-02-29 15:08:31,corey.hawkey@asu.edu,2.0,Pursuing,1834422.0,--,**,"PV solar consists of 84 systems across ASUs four campuses and Research Park, and has a capacity of 22.5 MWdc.  The systems are either mounted on roofs and ground and on top of parking garages.",7980.0,"-67 MMBtu at Health North 
-12,277 MMBtu (Thermal) at Sun Devil Fitness Center Tempe
- 798 MMBtu (DHW) at Sun Devil Fitness Center Tempe
-382 MMBtu system at Sun Devil Fitness Complex West
-382 MMBtu system at Sun Devil Fitness Complex Polytechnic",--,,138191.67,"Some on-site solar RECs have been transferred. 

ASU has purchased RECs for FY15 that will be delivered on or before April 15th, 2016. 

ASU has also purchased RECs for FY16 that will be delivered on or before April 15th, 2017. The amount purchased is sufficient to offset the estimated amount of renewable energy certificates sold related to on-site solar generation during FY16.",http://cfo.asu.edu/solar,--
Austin College,2016-02-29,2016-02-29 18:24:53,pschulze@austincollege.edu,2.0,Pursuing,106111.0,--,**,"We have a solar powered ""park structure"" with a storage area and restrooms at a field site. The facility is tied to the grid but is in a rural area where the utility does not have to pay for the electricity added to the grid and the meter merely shows zero consumption for nine or ten months of the year when production exceeds consumption. The building generates more energy than it consumes annually, but we do not have precise data for production.",--,Natural gas boiler for producing warm or chilled water,--,,43031.0,"We obtain RECs from two sources. Our electricity contract includes RECs for 15% of our electricity consumption but the contract is flexible and does not specify the year when the RECs are purchases. We purchase additional RECs.  For this reporting period we purchased enough additional RECs to bring out total to 85.0% of our electricity consumption, or 12,611,067 kWh. These separately purchased RECs are 100% wind and Green-e certified.",http://reporting.secondnature.org/ghg/3883/,--
Babson College,2016-02-24,2016-02-24 08:37:55,dscott@babson.edu,2.0,Pursuing,179725.4,--,**,,111.56,"Our fuel oil is BioHeat, with a small component of bio diesel. The MMBtu provided is based on the bio diesel component, not the overall value. ",--,,3181.25,"Through Babson's electrical utility provider, Wellesley Municipal Light Plant, Babson has a contract to provide 5% of its electricity from wind power generated at the Spruce Mountain Wind Farm in Maine. This is a premium over the grid mix provided by Wellesley Municipal Light Plant. ",http://www.babson.edu/about-babson/sustainability/green-campus/Pages/energy-greenhouse-gas.aspx,"Total energy consumption includes purchased electricity, natural gas, and fuel oil for FY2015."
Ball State University,2016-02-29,2016-02-29 08:26:15,rkoester@bsu.edu,2.0,Pursuing,8.90488091778e+11,--,**,,--,,--,,5310.0,5310 REC purchased from CSG CleanBuild.,--,--
Baylor University,2016-02-26,2016-02-26 17:48:17,Smith_Getterman@baylor.edu,2.0,Pursuing,604552.0,--,**,No on-site renewable electricity generating devices.,--,No on-site renewable non-electric energy devices.,--,No off-site institution-catalyzed renewable electricity generating devices.,4779.0,825 metric tonnes have been purchased through Amerex's renewable energy program. ,--,--
Belmont University,2016-03-14,2016-03-14 08:38:16,mary.lucus@belmont.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Beloit College,2016-03-23,2016-03-23 13:46:05,chapmanlr@beloit.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
