Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution conducted an employee satisfaction and engagement survey or other evaluation ...,"The percentage of employees (staff and faculty) assessed, directly or by representative sample",A brief description of the institution’s methodology for evaluating employee satisfaction and ...,A brief description of the mechanism(s) by which the institution addresses issues raised by the ...,The year the employee satisfaction and engagement evaluation was last administered,The website URL where information about the institution’s employee satisfaction and engagement ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:48,mfrever@albion.edu,2.0,Pursuing,--,--,,,--,--,--
Allegheny College,2016-03-29,2016-03-29 08:53:01,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:21:37,meganzl@american.edu,2.0,Not Pursuing,--,--,--,--,--,--,"The Office of Finance and Treasurer administered their customer satisfaction survey in 2013, and the Human Resources' climate and engagement survey and benefits satisfaction survey, are administered on an annual and biennial basis, respectively."
Appalachian State University,2016-02-01,2016-02-01 13:37:24,balllf@appstate.edu,2.0,Pursuing,True,100.0,"Staff:
The 2011-2012 Staff Survey (prepared by the Staff Senate Quality of Life Committee)  was offered to all 1,584 permanent SPA and EPA staff employees on record; 622 responded.

Faculty:
On January 29, [2013 a] survey was sent to 1408 faculty across the instructional ranks. The faculty were given two weeks to complete the survey, with several “reminder” notices sent out to those who had not yet responded. Of the 1,408 eligible faculty members at ASU who were contacted to participate in the survey, 675 faculty members completed the questionnaire for a response rate of 47.9%.

The survey was comprised of 12 sections: Demographic Data, Teaching Conditions, Research Conditions, Service Activity and Rewards, Attitudes toward the Chancellor, Attitudes toward the Provost, Attitudes towards the Deans, Attitudes toward the Department Chairs, Overall Morale, and three open-ended questions regarding morale. ","Staff:
The Staff Senate Quality of Life Committee makes recommendations and reports survey findings to administrators, the Staff Senate, and the campus. The purpose for staff surveys is to determine areas of employee concerns, identify recurring issues, elicit positive and negative feedback, pinpoint areas which need improvement, and to learn more about employee attitudes, experiences, and values.

Faculty:
The Faculty Grievance Hearing Committee is a committee constituted solely of faculty.  Grievances within the province of the Faculty Grievance Hearing Committee shall include matters directly related to a faculty member's institutional relationships and conditions of employment.  ",2013.0,http://facsen.appstate.edu/,"faculty and staff are handled differently.
 
website for faculty satisfaction: http://facsen.appstate.edu/

website for staff satisfaction: http://staffsenate.appstate.edu/service-projects/quality-life-staff-survey"
Aquinas College,2016-03-21,2016-03-21 14:45:19,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:34,corey.hawkey@asu.edu,2.0,Pursuing,True,100.0,"The ASU Staff Council presented a series of Town Hall Meetings in May of 2013. One meeting was held on each of the four University campuses. All University staff was invited to submit questions anonymously before and after the meetings. The University’s Executive Vice President, Treasurer, and Chief Financial Officer, as well as the VP of Human Resources, were present to answer any in person questions as well as those submitted anonymously before the meetings. The Executive Vice President invited all the heads of the respective administrative and service units to these meetings so that they could hear first-hand any issues.   The meetings are made available to all employees so essentially, 100% of the staff and faculty are offered the opportunity for evaluate satisfaction.","The AU Staff Council collected all issues and concerns for subsequent answers, follow up, and publishing in the University Staff Council Friday Digest (an electronic newsletter). 
",2013.0,http://provost.asu.edu/committees/csc,--
Austin College,2016-02-29,2016-02-29 18:24:57,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:37:58,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--
Ball State University,2016-02-29,2016-02-29 08:26:18,rkoester@bsu.edu,2.0,Pursuing,True,72.5,"The university uses a variety of evaluation techniques to measure the level of employee satisfaction and engagement at the institution, such as but not limited to, the following:

•Employee satisfaction surveys (workplace environment surveys, diversity surveys, employee benefits surveys, health and wellness surveys etc.)
•Employee exit surveys conducted by HR.
•Ideas, suggestions and/or grievances channeled through one or more of the University’s various governance committees.
•Grievances filed with the Office of Compliance and/or union related grievances
•Professional development assessment surveys administered by the University’s Learning and Development office.
•The university also employees other feedback mechanism for gaging employee satisfaction and engagement, which include conducting various employee forums on topics pertinent to employees i.e. healthcare, University strategic vision, goals and strategic planning, meetings, luncheons and/or dinners with the President and/or VP’s as part of the University employee recognition efforts. http://cms.bsu.edu/about/administrativeoffices/humanresources/business-affairs-employee-recognition-program
","The university uses a variety of evaluation techniques to measure the level of employee satisfaction and engagement at the institution, such as but not limited to, the following:

•Employee satisfaction surveys (workplace environment surveys, diversity surveys, employee benefits surveys, health and wellness surveys etc.)
•Employee exit surveys conducted by HR.
•Ideas, suggestions and/or grievances channeled through one or more of the University’s various governance committees.
•Grievances filed with the Office of Compliance and/or union related grievances
•Professional development assessment surveys administered by the University’s Learning and Development office.
•The university also employees other feedback mechanism for gaging employee satisfaction and engagement, which include conducting various employee forums on topics pertinent to employees i.e. healthcare, University strategic vision, goals and strategic planning, meetings, luncheons and/or dinners with the President and/or VP’s as part of the University employee recognition efforts.

Many of these evaluation techniques are also ways in which the university addresses issues raised by the evaluation.

Recent examples:

•It was suggested as part of the University’s campus-wide employee benefits survey conducted in 2012, that the university consider providing employees (not already covered with this benefit) a voluntary short-term disability benefit.  Effective January 2015, a voluntary short-term disability benefit was added to the University’s suite of benefit offerings for its employees.
•Implementation of an additional faculty merit pool to help further increase faculty salaries at the University. This initiative is an annual ongoing initiative that began in 2013.
•Commencing in 2013, Business Affairs created an Employee Recognition Program that encompasses a wide range of social and programmatic activities designed to recognize and show appreciation to our employees for all they do for the University. The program was established to enhance the quality of our employees' work and life environment by recognizing exemplary leadership, service, achievements, and performance within Business Affairs. 
",2012.0,http://cms.bsu.edu/-/media/WWW/DepartmentalContent/Effectiveness/pdfs/Survey/Workplace%20Environment%20Survey/WES%202012%20Report%20Final%20021513.,The next follow-up Workplace Environmental and Diversity Survey will be conducted in the fall of 2015.  The next campus-wide employee benefits survey will be conducted in 2016/2017.
Baylor University,2016-02-26,2016-02-26 17:48:20,Smith_Getterman@baylor.edu,2.0,Pursuing,True,100.0,"Baylor uses “Great Colleges to Work for Program” survey administered by ModernThink LLC.  A confidential employee survey is distributed to a random sample of full-time faculty, administrators and professional staff.  Participation and honest feedback is encouraged by the president of the university.  

The url below is not so much about process, but that it happens with good results and is one of many reasons why Baylor is a good place to work.","The university continually strives for improvement and uses a number of feedback mechanisms to help inform its roadmap for improvement in the future. The university guiding document Pro Futuris is used as a guide toward a better Baylor with its five year goals and aspirational statements. Groups like Student Senate, Faculty Senate, and Staff Council are relied upon to provide open and honest feedback on all university operations.",2014.0,http://www.baylor.edu/mediacommunications/news.php?action=story&story=144847,"Url is not so much about process, but that it happens with good results and is one of many reasons why Baylor is a good place to work.  Another site about the Great Colleges Program:  http://www.chroniclegreatcolleges.com/"
