Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution make counseling, referral, and wellbeing services available to all staff?","Does the institution make counseling, referral, and wellbeing services available to all members of ...",A brief description of the institution’s wellness and/or employee assistance program(s),The website URL where information about the institution's wellness program(s) is available,"Does the institution make counseling, referral, and wellbeing services available to all students?","Does the institution make counseling, referral, and wellbeing services available to all faculty?",Public Notes
Albion College,2016-02-25,2016-02-25 15:19:02,mfrever@albion.edu,2.0,Pursuing,True,**,"MIssion: It is the mission of the Albion College Wellness Program to enable the students, staff, faculty and administration to become more knowledgeable in making wise choices relating to one's health and wellbeing and to become healthier and more productive members of the college community.",http://www.albion.edu/about-albion/wellness,True,True,--
Allegheny College,2016-03-29,2016-03-29 08:53:25,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:22:02,meganzl@american.edu,2.0,Pursuing,True,**,"AhealthyU, AU's Faculty & Staff Wellness Program offers a wide range of assistance for physical, emotional, social, intellectual, spiritual, environmental, and occupational wellness. 

A few of the many programs include: Weight Watchers at Work; farmers market and local CSA; brown bag wellness workshop series; know your numbers screening events; personal health assessments; on-site wellness coaches; seated massage; a living well newsletter; discounted gym memberships; fitbit steps competitions, and many others. ",http://www.american.edu/hr/Wellness.cfm,True,True,--
Appalachian State University,2016-02-01,2016-02-01 13:37:28,balllf@appstate.edu,2.0,Pursuing,True,**,"STUDENTS:
Appalachian State University’s Counseling and Psychological Services Center has as its primary purpose the prevention and treatment of the mental health concerns of its students. The scope of services includes the following for students currently enrolled in classes:

Short-term individual counseling
Group counseling
Short-term couples/family counseling
Workshops, educational programming, and prevention programs
Emergency services when classes are in session
Initial interview assessments that include recommendations and referrals
Referral services,coordination, and Referral Resources
Short-term psychiatric services for students currently participating in counseling at the Counseling Center
Consultation

STAFF and FACULTY:
Counseling for Faculty and Staff (CFS) contributes to the mission of Appalachian State University by offering free, confidential, and short-term services to faculty, staff, and their immediate families to identify, prevent and address personal, family and workplace issues. 

Guiding Principles

• Promote personal health and wellness among faculty and staff
• Maximize organizational effectiveness
• Retain high quality faculty and staff 
• Create a healthier and safe campus community
• Visible to the campus community
• Protect employee anonymity and confidentiality
• Minimize time employees lose from work.  
• Speed of response for both urgent and routine clients
• Personnel licensed in human services field

",http://counseling.appstate.edu/index.php,True,True,Additional URL for Staff and Faculty assistance programs: http://cfs.appstate.edu/index.php
Aquinas College,2016-03-21,2016-03-21 14:45:24,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:39,corey.hawkey@asu.edu,2.0,Pursuing,True,**,"The Employee Wellness Program in conjunction with the Arizona Department of Administration is dedicated to supporting Arizona State University employee’s in establishing and maintaining healthy lifestyles. The Employee Wellness Program coordinates services and programs on each campus accessible to all benefits-eligible employees. The program incorporates various health screenings such as cholesterol, blood pressure, skin cancer, osteoporosis and more. Additional offerings include a variety of health education classes, flu shots and health-related articles and resources. All screenings and classes are free unless otherwise specified. 

The ASU Wellness program in the Educational Outreach and Student Services provides wellness education, information and resources to all students.  Additionally, ASU Counseling Services and ASU Health Services provide counseling and health services to all students.
",http://cfo.asu.edu/hr-wellness,True,True,--
Austin College,2016-02-29,2016-02-29 18:25:01,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:03,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,"The URL above is an internal site. 

Listing of current and past programs offered through Be Well@Babson:
•	Boot Camp/Morning Workout
•	Masters Swim Program
•	Weight Lifting 101
•	Weight Lifting 201
•	Beginner Tennis
•	Intermediate Tennis
•	Tai Chi
•	Zumba
•	Volleyball
•	12 Week Walking Challenge
•	12 Week Individual Fitness Challenge
•	12 Week Team Fitness Challenge
•	Supermarket Savvy Lunchtime Seminar by a Nutritionist
•	Healthy Cooking Seminars/Demonstrations (including organic/sustainability)
•	Acupuncture
•	Stress Management Seminar
"
Ball State University,2016-02-29,2016-02-29 08:26:23,rkoester@bsu.edu,2.0,Pursuing,True,**,"Our vision: 

Working together, we at Ball State University will create a campus culture that encourages employees, retirees, and their families to lead healthy lifestyles while optimizing health care resources. 

The vision statement is an outgrowth of the university’s strategic plan, and we are proud to say we are meeting our objectives.
",http://cms.bsu.edu/About/AdministrativeOffices/WorkingWell.aspx,True,True,"Additional Web sites available:
http://bsu.edu/recreation/student-nutrition.html
http://cms.bsu.edu/campuslife/counselingcenter"
Baylor University,2016-02-26,2016-02-26 17:48:25,Smith_Getterman@baylor.edu,2.0,Pursuing,True,**,"The EAP and WorkLife services provide employees with consultation, information and referrals to community resources for a variety of concerns, including: Adoption Programs, Grief, Illness or Loss of a Loved One, Elder Care Services, Health & Wellness, Addiction, Marital or Relationship Difficulties,  
Child Care Services, Parenting Issues, Depression, Personal Achievement, Education Resources, Pet Care,  
Emergency and Back-up Care
Special-needs Programs,  
Emotional Well-being, 
Stress and Anxiety at Work or Home, Financial Services,  
Legal Services, Identity Theft and Fraud, Travel
 
",http://www.baylor.edu/hr/index.php?id=74565,True,True,--
