Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Please enter data in the table below:,"Number of reportable workplace injuries and occupational disease cases, performance year","Number of reportable workplace injuries and occupational disease cases, baseline year","Full-time equivalent of employees, performance year (annualized FTE)","Full-time equivalent of employees, baseline year (annualized FTE)",Start and end dates of the performance year and baseline year (or three-year periods),"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",A brief description of when and why the workplace health and safety baseline was adopted,A brief description of the institution’s workplace health and safety initiatives,The website URL where information about the institution’s workplace health and safety initiatives ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:06,mfrever@albion.edu,2.0,Pursuing,**,13.0,11.0,384.0,379.0,**,2013-01-01,2013-12-31,2011-01-01,2013-12-31,"If I understand the directions our baseline is an average of the past 3 years (2011, 2012 and 2013)",,--,"FTE is based on IPEDS data with an estimate for 2013 as that data has yet to be submitted.
FTE for 2011 = 370
FTE for 2012 = 384
FTE for 2013 = 384 (estimated)"
Allegheny College,2016-03-29,2016-03-29 08:53:49,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:22:28,meganzl@american.edu,2.0,Pursuing,**,33.0,28.0,2814.0,2903.0,**,2013-05-01,2014-04-30,2011-05-01,2013-04-30,"The workplace health and safety baseline is a two year average from FY 2012 and FY 2013. A third year of data was not available. FTE employee is based on census date Dec 1, 2013.",,http://www.american.edu/research/Occupational-Health-and-Safety.cfm,--
Appalachian State University,2016-02-01,2016-02-01 13:37:32,balllf@appstate.edu,2.0,Pursuing,**,55.0,71.0,2701.0,2737.0,**,2014-01-01,2014-12-31,2010-01-01,2010-12-31,Appalachian State has chosen 2010 for its workplace health and safety baseline year. This year was chosen because it is first year of implementation for the current accounting method. Although this change is minor and only relates to the method of filing (storing data on a spreadsheet) it provides a nature break and leans toward a consistency of data methodology seams logical.,"Appalachian State has an Office of Environmental Health, Safety & Emergency Management whose mission is to promote healthy, safe, and resilient operations on campus, to protect students, faculty, staff and visitors, and to protect the environment.

The office is staffed by five fulltime employees holding the following job titles:
•	Director of Environmental Health, Safety, and Emergency Management
•	Occupational Health Manager & University Industrial Hygienist
•	Fire and Life Safety Manager
•	Occupational Safety Manager
•	EHS&EM Program Manager


Among Appalachian's workplace health and safety initiatives is the Appalachian State University Occupational Safety & Health Committee.  Its purpose is to encourage involvement of all faculty, staff and students both at the non-management and management level in the ongoing responsibility of providing a safe work and learning environment.  Meetings are monthly.

Also available to students, faculty, staff and visitors is the Environmental Health, Safety& Emergency Management (EHS&EM) Office’s “Safety or Health Concerns Form” that can be used to help identify safety and health concerns on campus.  This submission form is accessed through the EHS&EM website (safety.appstate.edu).

Additional services provided by the Office of Environmental Health, Safety & Emergency Management include:
•	Biological Safety
•	Campus Security and Fire Safety Annual Report and Policy
•	Chemical Safety
•	Confined Space Entry
•	Emergency Preparedness
•	Ergonomics
•	Fire and Life Safety
•	Forms
•	Indoor Air Quality
•	Noise / Hearing
•	Personal Protective Equipment (PPE)
•	Policies and Procedures
•	Product Recalls
•	Transportation Safety

The office’s Workplace Safety website offers a fully resource list including, but not limited to, maps, policies, procedures, and information pertaining to the following topic:
•	Automated External Defibrillator Materials
•	Bucket Truck Safety Equipment
•	""Caught in the Act"" Safety and Health Recognition
•	Combustible Dust
•	Emergency Eye Wash Devices
•	Emergency Shower Devices
•	Employee Safety Shoes
•	Eye Protection In The Workplace
•	Fall Protection Plan (University Policy)
•	Fall Protection Safety Practices
•	First Aid Kit Supplies (Recommended)
•	Forklift Safety Practices
•	Hard Hats in the Workplace 
•	Hexavalent Chromium 
•	Ladder Safety Practice
•	Lockout/Tagout
•	NC State Employee's Safety & Health Handbook
•	Personal Protective Equipment (University Policy)
•	Replacing Prescription Safety Glasses
•	Safety Dos and Don'ts for Faculty and Staff
•	Safety Requirement - Hearing Test and Safety Shoes for New Employees
•	Safety Shoe Information
•	Scaffolding
•	Silica, Crystalline
•	Trenching and Excavation Safety Practices

Additionally, in 2012 the Appalachian State Physical Plant created a Safety Committee charged with creating, training and maintaining a culture of safety focused specifically on Physical Plant operational staff. Each professional trade in the organization is represented on the committee. Membership is rotational to provide maximum exposure to safety awareness, and accident avoidance through active service.  The committee convenes monthly. Part of the committee’s work involves physical inspection of one or more of the trade shop areas as a “live training ground” to recognize occupational hazards. All reported accidents within the Physical Plant are reviewed by the committee for educational and preventative purposes. ",http://www.safety.appstate.edu/,--
Aquinas College,2016-03-21,2016-03-21 14:45:27,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:43,corey.hawkey@asu.edu,2.0,Pursuing,**,97.0,177.0,14988.0,14477.0,**,2012-07-01,2013-06-30,2006-07-01,2007-06-30,The baseline coincides with when Arizona State University completed its first formal Greenhouse Gas Inventory.,"Occupational Health & Safety (OH&S) provide compliance guidance, training and technical support to the ASU community necessary to address safety and health regulatory compliance and related risks. EH&S trainers are part of this organization and coordinate all EH&S provided training and manage associated records. OH&S conducts inspections of laboratories, shops, maintenance and service facilities for OSHA and related regulatory compliance and ensures corrective action is implemented to address findings. OH&S also addresses employee safety and health complaints including concerns related to indoor air quality and work station set up (ergonomics). OH&S also supports the ASU community through developing and communicating EH&S awareness training.",https://cfo.asu.edu/ehs-occupationalsafety,--
Austin College,2016-02-29,2016-02-29 18:25:05,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:06,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ball State University,2016-02-29,2016-02-29 08:26:27,rkoester@bsu.edu,2.0,Pursuing,**,117.0,91.0,3669.0,3165.0,**,2014-01-01,2014-12-31,2013-01-01,2013-12-31,On 7/13/15 it was decided that 2014 would be the performance year & 2013 would be the baseline year since all information was available for those periods.,"The Environmental Health and Safety (EHS) Office supports Ball State University's core mission of education and research by providing comprehensive environmental health and safety services to the University community.  This includes education through training and consultation, maintaining a safe environment through recognizing and controlling health and safety hazards, ensuring a process of regulatory compliance and minimizing future potential liabilities.",http://cms.bsu.edu/about/administrativeoffices/riskmanagement/ehs,--
Baylor University,2016-02-26,2016-02-26 17:48:28,Smith_Getterman@baylor.edu,2.0,Pursuing,**,23.0,24.0,2539.0,2480.0,**,2014-01-01,2014-12-31,2013-01-01,2013-12-31,"The baseline was adopted to assist in tracking the reportable workplace injury and occupational disease cases.  Investigating all data collected enhances the mitigation strategies developed to address these types of incidents.  2013 is the first year that the Department of Environmental, Health and safety has tabulated this data.  Prior to 2013, the Department of Risk Management was responsible for this information.",,--,--
