Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution assessed diversity and equity in terms of campus climate?,A brief description of the campus climate assessment(s) ,Has the institution assessed student diversity and educational equity?,A brief description of the student diversity and educational equity assessment(s),Has the institution assessed employee diversity and employment equity?,A brief description of the employee diversity and employment equity assessment(s),Has the institution assessed diversity and equity in terms of governance and public engagement?,A brief description of the governance and public engagement assessment(s),The website URL where information about the assessment(s) is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:48,mfrever@albion.edu,2.0,Pursuing,True,"Albion College assesses diversity and equity on an ongoing basis.  The President's Committee on Intercultural Affairs meets each semester to monitor the comprehensive progress of the Diversity Plan (2004), including goals and objectives for every division of the College.  The Faculty Committee on Diversity meets regularly to monitor progress in Academic Affairs, specifically related to classroom culture and recruitment/retention of diverse faculty.  The President's Administrative Council is ultimately charged with ensuring the overall progress of the institution's diversity and equity goals, and reports to the Board of Trustees.",True,"In 2003-2004, Albion College assessed student diversity and education equity, in preparation for launching its Diversity Plan (2004).  Since that time, assessments of student life inside and outside the classroom (including recruitment and retention) have been ongoing, as dictated by the Diversity Plan.",True,"The 2003-2004 assessment included employee diversity and employment equity, and the institutional-wide Diversity Plan (2004) included ongoing/evolving goals for each area of employees (faculty and staff).",True,"The Diversity Plan (2004) included division-specific goals for governance and public engagement of diversity and equity.  In addition, the College's visioning process of 2007 included a comprehensive assessment of these goals, and these goals are regularly assessed by all divisions of the College (through the President's Advisory Committee on Intercultural Affairs, Faculty Committee on Diversity, President's Administrative Council, and other committees).",http://www.albion.edu/student-life/student-affairs/current-students/diversity-plan,"Albion College has a core commitment to diversity and equity at all levels, from its mission/goals to specific objectives for each division of the College."
Allegheny College,2016-03-29,2016-03-29 08:53:01,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:21:37,meganzl@american.edu,2.0,Pursuing,True,"The Office of Institutional Research and Assessment organizes major campus survey results by race and ethnicity to help campus decision makers better understand the student experience and inform university planning.  Some of these surveys are administered annually and some biannually. Additionally, specific questions about diversity and inclusiveness are asked on our Campus Climate Survey administered to all students every other spring.

AU's  major surveys and administration schedule:

Freshmen Survey - each fall to freshmen
Campus Climate Survey - every other spring to all students
Graduation Census - each fall  and spring to Undergrad and Grad students completing their degrees (excluding law students) 
National Survey of Student  Engagement - every other spring to freshmen and seniors

Highlights from the last Campus Climate Survey in Spring 2015 include:

Seventy-three percent of undergraduate students most often say staff show appropriate levels of concern and respect when they have a problem and sixty-seven percent agree that staff work with them diligently to resolve their problems.

Graduate students most often say staff show appropriate levels of concern and respect when they have a problem (85%) but fewer agree that they know where to go to resolve their problems (68%).

Undergraduate students agree that their views and perspective are treated respectfully by other students (81%). Seventy-nine percent of undergraduates agree that their courses present diverse views and perspectives, and seventy-one percent agree that AU actively encourages a commitment to creating a campus community where everyone has a sense of belonging.

Graduate students agree that their views and perspective are treated respectfully by other students (95%). Eighty-seven percent agree that their courses present perspectives sensitive to issues of diversity. Furthermore, graduate students find that AU actively encourages an interest in other cultures and global issues (97%), and a respect for diverse views and perspectives (91%).",True,"The institution measures degrees completed by race and gender and retention rates for freshman and transfers by race and gender. This information is used as needed for analysis and benchmarking against peers. Additionally, the office of institutional research and assessment creates weekly retention reports by race and Pell status and by underrepresented minority status. This information is used to monitor student progress and take steps to address issues as they are identified in real time.",True,"An annual analysis is conducted by broad job group (ie professionals, supervisors, support staff, technical staff, etc.) and covers gender, minorities, individuals with disabilities, and veterans. ",--,,http://www.american.edu/provost/oira/surveys.cfm,--
Appalachian State University,2016-02-01,2016-02-01 13:37:24,balllf@appstate.edu,2.0,Pursuing,True,"In 2014-2015, the Chancellor’s Commission on Diversity was charged with providing proposals to the Chancellor for action steps related to four key initiatives: (1) recruitment of underrepresented students; (2) retention of underrepresented students; (3) recruitment of underrepresented faculty and staff; and (4) retention of underrepresented faculty and staff.  The subcommittees focused on the retention topics, in particular, spoke and surveyed (both formally and informally) a variety of campus constituent groups about the campus climate in order to inform their final proposals.  Also, one of the proposals forwarded by the subcommittee on the retention of underrepresented students was to launch a fulsome online campus climate survey every three years.",True,The Division of Enrollment Management collects and assesses data related to graduation and retention rates for diverse student populations.  ,True,"Every year the university completes an annual affirmative action report in compliance with the requirements set forth by the Office of Federal Contract Compliance Programs and the Office of State Human Relations.  This plan includes institutional data of the demographics of the workforce, utilization rates and availability percentages for the local community, state and federal workforce for all job groups.",True,"As mentioned earlier, the subcommittees on retention of the Chancellor’s Commission on Diversity discussed a variety of retention-related topics with affected constituent groups including the concept of public engagement.  Further, diversity is included as a central tenet in the university’s strategic plan and discussed by the Chancellor as an integral component of the university’s mission statement.  The university’s diversity statement is presented as a guiding principle for the governance of the institution (http://diversity.appstate.edu/).  Also, this year the Chancellor has appointed the university’s chief diversity officer to her cabinet and as such has elevated the discussion of diversity initiatives to a senior administrative position. ",http://edc.appstate.edu/,http://edc.appstate.edu/diversity/
Aquinas College,2016-03-21,2016-03-21 14:45:19,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:34,corey.hawkey@asu.edu,2.0,Pursuing,True,"The Office of Academic Excellence and Inclusion has recently launched an initiative engaging all campus units to develop initiatives and programs to promote diversity on campus. Over 30 proposals/feedback from all across the university were received and considered, and 11 were selected for funding.",True,"Arizona State University’s Office of Institutional Analysis conducts an assessment of the enrollment, diversity, graduation and retention rates of the student body (both continuing and graduating) at least once every semester, as part of a census on the 21st day of each semester, down to the individual programs, colleges, schools and departments. The results are published through their website at http://uoia.asu.edu/, the ASU Fact Book, and published to the Common Data Set (CDS) for use by the higher education community and publishers such as College Board, Peterson's, and U.S. News & World Report. Aggregate diversity figures (university-wide) are publicly available, but diversity profiles by individual colleges and other units are available internally. The results of these assessments are used to guide the development and funding of various programs, initiatives and outreach efforts to support ad promote diversity on campus.",True,"An assessment of the ASU employee workforce occurs annually in the Affirmative Action Plan (Office of Human Resources).  This comprehensive assessment looks at not only current employees, but also the diversity of the job applicants, and compares them to both the US workforce and the local/state-wide community.  The results of this assessment are used to develop the Affirmative Action Plan each year, which identifies positions that need increased outreach/recruitment efforts to underrepresented groups.
 
Additional university programs that focus on diverse representation and inclusiveness include but are not limited to the following:  Campus Environment Team (promotes civility, justice, diversity, respect, freedom of expression, and pursuit of individual goals); Intergroup Relations Center (advances education, research and advocacy that enhances understanding and practice of effective relations among members of different groups); Commission on the Status of Women (monitors the advancement of women in the areas of equity, career development, and climate); The University Senate (represents faculty and academic programs, policies, and concerns); the University Staff Council (represents staff programs, policies, and concerns); the Committee on Campus Inclusion; and the Office of Academic Excellence and Inclusion.
",--,,https://cfo.asu.edu/hr-affirmativeaction,--
Austin College,2016-02-29,2016-02-29 18:24:57,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:37:58,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Ball State University,2016-02-29,2016-02-29 08:26:18,rkoester@bsu.edu,2.0,Pursuing,True,"The Office of Institutional Effectiveness (OIE) developed the Workplace Environment Survey (WES) in order to collect information on the importance and satisfaction that full-time faculty and staff members ascribe to various aspects of their employment at  Ball State.  In consultation with faculty and staff member working groups and the President's Cabinet, surveys were developed that include items concerning job satisfaction and the University's climate for diversity and inclusion, as well as demographic items.",True,"The Student Campus Climate Survey was developed by the Office of Institutional Effectiveness (OIE) and the Multicultural Center (MC) in order to collect information on the student's perception of campus climate at Ball State.  The survey included items concerning perception of University's climate for diversity and inclusion, as well as demographic items.",True,"The annual report of the Ball State University Diversity Committee (UDC) is based on its examination of data collected during the 2014-2015 academic year and is a State of Indiana Mandate.  Legislation in IC 21-27-3-5, Sec.5 states that the Board of Trustees shall create a diversity committee to complete certain tasks and to issue an annual report stating the findings, conclusions, and recommendations of the committee to the Board of Trustees.",True,"1. Review and recommend faculty employment policies concerning diversity issues.
2. Review faculty and administration personnel complaints concerning diversity issues.
3. Make recommendations to promote and maintain cultural diversity among faculty members.
4. Make recommendations to promote recruitment and retention of minority students.",http://cms.bsu.edu/about/administrativeoffices/institutionaldiversity/universitydiversitycommittee,"Workplace environment survey administered in the Fall of 2012
Student Campus Survey administered in the Spring of 2015
Diversity Asset Survey administered in the Spring of 2915"
Baylor University,2016-02-26,2016-02-26 17:48:20,Smith_Getterman@baylor.edu,2.0,Pursuing,--,"There are related conversations and some planning has occurred, but no formal actions at this point.    ",True," In 2010 and 2011 New Student Experiences were studied. The goal of the New Student Experience is help all students connect to Baylor, develop autonomy, succeed academically, engage in spiritual formation, develop personal and professional goals, and understand Baylor's mission and learning outcomes. Past reports on the New Student Experience indicated most students were meeting these outcomes, but we have yet to include all students in meeting the outcomes. The 2010 report demonstrated vulnerable populations, such as minority and students from low-socioeconomic status, may be disproportionately represented in the group of students who did not achieve the outcomes of the New Student Experience programs. To address this discrepancy, data from the 2011 cohort of entering students was analyzed in a similar manner to 2010 study with the express intent of revealing longitudinal patterns in the data.  Key findings: Many of the findings from the 2010 report were also apparent in the 2011 data, such as: participants in the New Student Experience survey and the National Survey of Student Engagement differ from non-participants on key variables like GPA and retention, vulnerable populations on campus struggle disproportionately, the findings from the first year experience at Baylor mirror the findings in the literature of several disciplines, including education, sociology, and psychology, and university students’ self-appraisal and the achievement measures collected by the university appear disconnected.   In addition, the university’s new strategic plan, Pro Futuris, calls for transformative experiences for all students.  Programmatic Recommendations; 1) Implement opportunities for student, staff, and faculty to enhance their cross-cultural competencies to help create a campus environment that is welcoming to all students. 2) Evaluate the effectiveness of the transfer living-learning center. 3) To enhance opportunities for student-faculty interactions, consider requiring all first-year students to take an academic first-year seminar that is limited to 20 students.  Further Research: 1) A comprehensive campus climate study to identify specific recommendations for addressing the apparent disparity in how identity intersects with student experiences at Baylor University. 2) A comprehensive study on the transfer student experience to identify the structures and programs in place that facilitate or impede success.  3) Examine additional cohorts using the same or similar methodology 4) Identify longitudinal patterns in student success by following a single cohort through graduation. ",True,"Regular reviews/informal assessments of employee data diversity has created an awareness and indicate the need to be intentional.  As a result, the university has formed committees and task forces to review and examine ways to proactively insure diversity.  Intentional recruiting efforts are attempted to create more diverse candidate pools of qualified candidates.  Baylor University is committed to maintaining a diverse faculty and staff, creating a community of fairness and respect, ensuring that resources are accessible, advancing the university's affirmative action goals, and complying with related laws and guidelines.  Diversity at Baylor is an essential component of academic excellence. A range of information, consultation, and training is provided to the Baylor community on issues related to workforce diversity and inclusion. Baylor recognizes that having a diverse and inclusive community is an ongoing process, and we continually seek ways to create and maintain such an environment. As we enhance our goals of scholarship and service, we have committed to create an environment in which differences are both welcomed and appreciated.  Baylor offers a number of dynamic and interactive training seminars designed to promote general cultural awareness and management of a diverse workforce. Baylor University endeavors to provide equal opportunity for employment to all persons regardless of race, color, sex, national origin, disability, age, or veteran status. Baylor University has developed a comprehensive Affirmative Action Program (AAP) for women, minorities, individuals with disabilities, and veterans. The AAP provides the principles and policies that commit the university to equal employment opportunity and documents the employment practices and procedures for administration of the AAP.  The following departments/committees/teams are involved in aspects of employee diversity and equity: Campus Diversity Committee, Cultural Awareness Work Team, Human Resources, Office of Access and Learning Accommodation, Multicultural Affairs Office, and the President’s Diversity Council.  The Baylor family extends into not only the surrounding neighborhoods, but throughout the entire community. In a dynamic and vibrant partnership, Baylor, Waco, and the Central Texas communities work together to serve families.  Community partnerships include, but are not limited to Baylor/Waco Foundation and GEAR UP Texas.  Many policies, too numerous to mention, address or deal with the intentions of the university to be inclusive and fair. ",--,,--,--
