Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of employees,"Number of staff and faculty covered by sustainable compensation standards, guidelines, or policies; ...",Does the institution have employees of contractors working on-site as part of regular and ongoing ...,Number of employees of contractors working on campus,"Number of employees of contractors covered by sustainable compensation standards, guidelines, or ...","A brief description of the sustainable compensation standards, guidelines, or policies; and/or ...",Does the institution wish to pursue Part 2 of this credit (assessing employee compensation)?,Number of staff and faculty that receive sustainable compensation,Number of employees of contractors that receive sustainable compensation,A brief description of the standard(s) against which compensation was assessed,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,The local legal minimum hourly wage for regular employees,"Does the institution have an on-site child care facility, partner with a local facility, and/or ...",Does the institution offer a socially responsible investment option for retirement plans?,The website URL where information about the institution’s sustainable compensation policies and ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:40,mfrever@albion.edu,2.0,Pursuing,447.0,72.0,True,108.0,90.0,"Collective bargaining agreement (CBA)for full time hourly Albion College trades and clerical employees.
CBA for full time hourly Bon Appetite employees
ABM full time employees are also covered by a CBA",--,--,--,,,,,,,7.4,--,--,--,--
Allegheny College,2016-03-29,2016-03-29 08:51:48,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:20:43,meganzl@american.edu,2.0,Pursuing,3350.0,3083.0,True,357.0,296.0,All full-time faculty and staff (2459) are covered by AU Wage policy and adjunct faculty (624) are covered by union contract.,True,3083.0,357.0,"For university employees, the wage policy assures that the lowest paid employees of our campus community can live decently within the economic structure of the greater Washington geographic region. http://www.american.edu/loader.cfm?csModule=security/getfile&pageid=2011053","In addition current base wage under AU Wage Policy (currently $14,70/hour), in 2015 staff paid below $50,000 per year received additional 1/2 percent merit lump sum. Also, employees earning less than $35,000 per year with single health insurance coverage receive an additional subsidy from the university. For those employees, the university pays 95% of the insurance premium.","Most part time staff are paid at least the DC Minimum wage. Those paid on grants and contracts, or subcontracts from the DC government are paid at least the DC Living Wage which is currently $13,85 per hour.",Temporary FT staff receive same compensation and benefits that regular FT staff receive.,Temporary PT staff receive the same compensation and benefits that regular PT staff receive.,"Student employees receive the same compensation and benefits that are provided to the university's part-time employees. For student employees who are FT students, they must work more than 25 hours per week in order to accrue sick leave under the Sick and Safe Leave policy.",10.5,True,True,http://www.american.edu/loader.cfm?csModule=security/getfile&pageid=2011053,--
Appalachian State University,2016-02-01,2016-02-01 13:37:16,balllf@appstate.edu,2.0,Pursuing,3341.0,--,--,--,--,,True,3088.0,--,"We assessed compensation against 120% of the 2015 Federal Department of Health and Human Services poverty guideline for a family of four.  The poverty guideline for a family of four is $24,250.  120% of that guideline is $29,100 (or $13.99 per hour).  We offset 20% of the wage criteria for benefit-eligible employees, based on the value of employer contributions to our health and retirement benefits.","As part of state government, our compensation ranges are established by the Office of State Human Resources (OSHR) for each employment level within the State classification structure.  Within this structure, the lowest entry-level pay rate is $23,332 ($11.22 per hour).  All regular, full-time employees receive full benefits including health insurance, retirement, paid leave, and access to optional benefits including vision, dental, life insurance and supplemental retirement.","Compensation for regular, part-time employees is established using the same criteria as for regular, full-time employees.  The lowest pay rate in the State classification structure is $11.22 per hour.  Part-time employees may or may not be eligible for benefits, depending upon how many hours they work per week (their full-time equivalency (FTE) value).  Part-time employees working 30-39 hours per week are eligible for full health and retirement benefits and paid leave on a prorated basis.  Part-time employees working 20-29 hours per week receive paid leave on a prorated basis and may participate in the health insurance plan at their expense.  Part-time employees working less than 20 hours per week are not eligible for benefits.","We have an established campus minimum rate of pay for temporary employees of $10.90 per hour.  Temporary employees are not eligible for benefits, unless their hours of work meet the threshold for employer-provided health coverage under the Affordable Care Act (generally 30 or more hours per week for three or more months).  Temporary employees who meet the Affordable Care Act threshold are offered the option of electing health coverage.","Temporary (adjunct) faculty are paid a rate per credit hour of instruction, based upon their highest level of educational attainment.  The lowest rate paid is $900.00 per credit hour, per semester for a Bachelors prepared adjunct faculty member.  Temporary faculty are not eligible for benefits unless their hours of instruction meet the threshold for employer-provided health coverage under the Affordable Care Act (ten or more credit hours).  Temporary faculty who meet the Affordable Care Act threshold are offered the option of electing health coverage.","We included only graduate employees in our assessment.  Graduate-student employees are paid salaries based upon expected hours of work (generally 10, 15, or 20 per week).  The lowest rate paid to graduate-student employees is $13.33 per hour during fall and spring semesters and $12.00 per hour during summer terms.  Graduate-student employees are eligible for health insurance coverage under the student health plan.  This student health plan is paid as a fee with tuition and includes free access to student health clinic services as well as generous health insurance coverages.",7.25,True,--,http://www.osp.state.nc.us/manuals/man4.html,"Additional link: ASU promotes just compensation wages as supported in the Strategic Plan: http://www.appstate.edu/about/strategic_plan.pdf
It is the policy of the State to compensate its employees at a level sufficient to encourage excellence of performance and to maintain the labor market competitiveness necessary to recruit and retain a competent work force, Faculty, Staff and Administrators."
Aquinas College,2016-03-21,2016-03-21 14:45:12,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:27,corey.hawkey@asu.edu,2.0,Pursuing,12040.0,6935.0,True,1301.0,750.0,"All staff, whether regular or not, full-time or not, are guaranteed the local “living wage” standard of $9.20 per hour.  Any employee (staff or faculty) working at half-time or more for at least 20 weeks is benefits-eligible.   ",True,10601.0,750.0,The local level of “living wages” in the Phoenix metropolitan area is $9.20/hour at full-time for 2013.  ,"Regular, full-time employees – all regular full time employees receive full benefits, including medical/dental insurance, paid time-off (vacation, sick, holidays), retirement plan contributions, among other things.  All staff are covered by a living wage standard of $9.20 per hour minimum. Faculty are not covered by a living wage standard, but are paid market rate wages.  However, since faculty generally have a minimum of Masters or Doctoral/Professional degrees, their prevailing market wages are considerably above the living wage standard we have for staff employees.
","Regular, part-time employees – regular part time employees who work at least half-time/20 hours per week also get full benefits, including medical/dental insurance, paid time-off (vacation, sick, holidays), retirement plan contributions.  All staff are covered by a living wage standard of $9.20 minimum.","Temporary (non-regular) staff - All staff (whether regular or temporary) are covered by a living wage standard of $9.20 minimum. If they are long-term temporary (greater than 6 months), they get full benefits, including medical/dental insurance, paid time-off (vacation, sick, holidays), retirement plan contributions, among other things.","Temporary (non-regular, adjunct or contingent) faculty – Temporary faculty are not covered by a living wage standard, but are paid market rate wages.  However, since faculty generally have a minimum of Masters or Doctoral/Professional degrees, their prevailing market wages are considerably above the living wage standard we have for staff employees.","Student employees (graduate and/or undergraduate, as applicable) – Graduate student employees are paid in stipends, tuition waivers and/or hourly wages.  Student workers are paid hourly.  They are not covered by a living wage standard.  ",7.8,True,--,--,--
Austin College,2016-02-29,2016-02-29 18:24:49,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:37:51,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Additional information here: http://hr.babson.edu/handbook/2014_benefits_guide.pdf

Contractor information was not available for dining services staff. "
Ball State University,2016-02-29,2016-02-29 08:26:11,rkoester@bsu.edu,2.0,Pursuing,3417.0,3378.0,True,10.0,--,"According to the U. S. Department of Health and Human Services, the 2015 Poverty guideline for a family of four in the 48 Contiguous States and the District of Columbia is $24,250. 120% of the poverty guideline for a family of four is $29,100 (20% was allowed for benefits or $5,820 with wages of $23,280). Hourly rate at 40 hours per week of ($29,100 divided by 2,080 equals $13.99 per hour). The institution offset up to 20% of the wage criteria with employer-paid benefits that address basic needs is: Benefits of $2.80 per hour and a wage rate of $11.19 per hour equals $13.99 per hour.

There were 543 graduate assistants performing teaching or research duties at the University during 2014-15:
• The lowest paid graduate assistant working 10 hours per week for 32 weeks made $3,345 or $10.45 per hour (320 hours). 
• For a graduate student taking six hours each semester of the academic year, the tuition remission benefit would have been worth $1,505 per academic year or $1,505 divided by 320 equals an additional $4.70 per hour. Hourly rate with wages plus benefits: $10.45 plus $4.70 equals $15.15 an hour, which equates to an hourly wage rate that is $1.16 above the poverty level hourly wage. 

The collective bargaining agreement covers 509 full-time regular service employees, skilled and unskilled. The lowest paid employee under the collective bargaining agreement is a Food Service Worker whose starting hourly wage is $12.42 an hour with $3.97 in benefits for a total hourly wage of $16.39, which is $2.40 an hour above the poverty level hourly wage. While the entire agreement is open for negotiations every two years, salaries for employees covered under this agreement are negotiated each year. 

Information not available for employees of contractors.
",True,3378.0,--,"According to the U. S. Department of Health and Human Services, the 2015 Poverty guideline for a family of four in the 48 Contiguous States and the District of Columbia is $24,250.  120% of the poverty guideline for a family of four is $29,100 (20% was allowed for benefits or $5,820 with wages of $23,280).  Hourly rate at 40 hours per week of ($29,100 divided by 2,080 equals $13.99 per hour).  The institution offset up to 20% of the wage criteria with employer-paid benefits that address basic needs is: Benefits of $2.80 per hour and a wage rate of $11.19 per hour equals $13.99 per hour.

There were 543 graduate assistants performing teaching or research duties at the University during 2014-15:
•	The lowest paid graduate assistant working 10 hours per week for 32 weeks made $3,345 or $10.45 per hour (320 hours).  
•	For a graduate student taking six hours each semester of the academic year, the tuition remission benefit would have been worth $1,505 per academic year or $1,505 divided by 320 equals an additional $4.70 per hour.  Hourly rate with wages plus benefits:  $10.45 plus $4.70 equals $15.15 an hour, which equates to an hourly wage rate that is $1.16 above the poverty level hourly wage. 

The lowest paid part-time employee at the University earns $9.22 per hour.  There are 39 employees out of 3,417 employees who work at the University who have an hourly wage below $11.19 per hour (poverty level). These employees are classified as part-time employees who are assigned to work less than 30 hours per week with no employer-paid benefits.
","Compensation for the lowest paid staff employee at the University is a starting  salary of $22,464 plus 32% benefits package or $29,652. This equates to an hourly rate of $14.26 ($29,652 for 52 weeks of work or 2080 hours), that is $0.27 per hour above the poverty level rate of $13.99 per hour.","Compensation for the lowest paid regular part-time employee is $11.02 per hour.  After two years of continuous service, eligible to earn vacation and sick leave.",Compensation for the lowest paid temporary staff employee at the University is an hourly rate of $9.22 per hour with no employer-paid benefits.,"Compensation for the lowest paid faculty at the University is a starting salary of $2,000 per three-hour course per semester.  (16 weeks times 3 hours per week equals 48 hours; $2,000 divided by 48 is $41.67 per hour with no employer-paid benefits. ",The lowest hourly wage paid to any graduate or undergraduate student at the University is the federal minimum wage rate of $7.25 per hour with no employer-paid benefits.,7.25,True,True,http://cms.bsu.edu/About/AdministrativeOffices/HumanResources/EmployeeInfo/StaffComp/StaffClass.aspx,"On questions regarding Contractor's employees:
Information not available.  Contractor is a private employer.
"
Baylor University,2016-02-26,2016-02-26 17:48:12,Smith_Getterman@baylor.edu,2.0,Pursuing,2600.0,2600.0,True,1000.0,--,"As it pertains to staff and employees of contractors, beginning in 2006, Baylor and its contractors met to consider what is a living wage and how can each employer help improve wages.  HR reviewed wages, made a plan to improve BU employee wages – especially those at the lowest levels.  The first steps of a plan were implemented in 2006.  Baylor encouraged its vendors to continue to be cognizant of how they may be able to make change.  It was up to them to decide if and how they could make improvements, based on their business needs and based on what Baylor was able to absorb through pass through costs.  Sustainability goes both ways.  Employers must be able to sustain business operations while also considering how it can help meet employees basic needs.  When the economy crashed in 2008-2009, there was a pause in subsequent steps from this initiative.  We met with our vendors through 2010 reviewing the concept of living wage.  However, through Baylor’s our normal compensation plan efforts to improve staff pay since 2007, progress continued and has impacted those most of those identified as needing improvement toward a “living wage”.   The Baylor Staff Compensation Plan and review processes provide for annual infusions of new and additional funds into staff compensation to provide for, sustain and improve a competitive and fair program.  New infusions are allocated to faculty as well.  Based on Baylor’s generous benefits and intentionally low-cost medical insurance for lower paid staff (where the university subsidizes 92% of the cost for medical insurance for a “gold” plan), and that the university contributes 10.8% of one’s wages/salary to a retirement account without requiring an employee match, that employee only dental benefits are provided at no cost to the employee, that Life and Long Term Disability insurance are provided at no cost to the employee, that free tuition for employees and their dependents at a prominent school (Baylor) is provided, we believe Baylor’s total compensation and benefit plans and policies formally contribute to meeting basic needs.  Baylor is a union-free environment because employees are in effect represented by a caring administration that is committed to the mission of the university which is inclusive of creating and sustaining a desirable working environment.",True,2590.0,--,"$28,260 annual or $13.59/hour represents the federal living wage guideline for a family of four.  The allowable 20% offset of $28,269 is $5,652 annual in the form of employer paid benefits.  This would reduce the underlying hourly pay to $10.87 per hour and when combined with benefits will equal the $28,260 amount for a family of four per the federal living wage guideline. 
Illustration: Employee A at Baylor earns $10.87/hour or $22,615 annually.  For Employee A, Baylor contributes $2,442 to Employee A’s retirement account and contributes $15,096 to Employee A’s cost for medical insurance for a family of four.  Baylor’s contributions for dental insurance for Employee A is another $288.  Therefore, the 20% allowance is vastly offset with Baylor contributions toward one’s basic needs.  At this time, Baylor’s ongoing efforts to improve wages for its 2600 full-time benefit eligible employees has resulted in the number of full-time employees being less than 10 who are below $10.87 per hour.  Within 1-3 years, this list should disappear as pay improves.","Baylor’s lowest entry pay on its pay structure is $9.35/hour.  As indicated above, approximately 10 or less full-time employees make less than $10.87 per hour. ","A= Adult, C= Child
Hourly Wages        1A       1A/1C       1A/2C     1A/3C       2A        2A/2C        2A/2C       2A/3C       
Living Wages       $8.74   $18.01     $21.94    $26.87    $13.52    $16.95   $18.31       $21.04
Poverty Wage      $5.21   $7.00       $8.80      $10.60    $7.00      $8.80     $10.60       $12.40
Minimum Wage   $7.25    $7.25      $7.25      $7.25       $7.25     $7.25     $7.25          $7.25","  A= Adult, C= Child
Hourly Wages        1A       1A/1C       1A/2C     1A/3C       2A        2A/2C        2A/2C       2A/3C       
Living Wages       $8.74   $18.01     $21.94    $26.87    $13.52    $16.95   $18.31       $21.04
Poverty Wage      $5.21   $7.00       $8.80      $10.60    $7.00      $8.80     $10.60       $12.40
Minimum Wage   $7.25    $7.25      $7.25      $7.25       $7.25     $7.25     $7.25          $7.25","The lowest paid adjunct or temporary faculty member would be one that teaches a 3 hour course and receives $3,000 for the semester.  These situations are generally people who have other jobs or have a passion to teach and this is not their sole means for a living.  For the actual hours (teaching, prep, student hours) they work for a 3 hour class in this example, pay would approximately $20/hour.","All student workers are generally part-time, mostly less than 20 hours per week.  Baylor pays its undergraduate student workers at least minimum wage.  Graduate student worker pay varies by discipline and award, but will minimally be in the $10 - $12 range, sometimes more. ",--,True,--,--,--
