Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Title or keywords related to the innovative policy, practice, program, or outcome","A brief description of the innovative policy, practice, program, or outcome ",A brief description of any positive measurable outcomes associated with the innovation (if not ...,Provide affirmation that the following statements are true:,A letter of affirmation from an individual with relevant expertise,"The innovation describes a new, extraordinary, unique, ground-breaking, or uncommon outcome, policy ...","The innovation (program, policy, or outcome) is not already covered by an existing STARS credit or ...",Which of the following STARS subcategories does the innovation most closely relate to? (Select all ...,"The innovative practice, policy, program, or outcome occurred within the past three years",Other topic(s) that the innovation relates to that are not listed above,The website URL where information about the innovation is available ,"The institution has not previously received a STARS innovation credit for this specific practice, ...",Does the innovation relate to Curriculum?,Does the innovation relate to Research?,Does the innovation relate to Campus Engagement?,Does the innovation relate to Public Engagement?,Does the innovation relate to Air & Climate?,Does the innovation relate to Buildings?,Does the innovation relate to Dining Services?,Does the innovation relate to Energy?,Does the innovation relate to Grounds?,Does the innovation relate to Purchasing?,Does the innovation relate to Transportation?,Does the innovation relate to Waste?,Does the innovation relate to Water?,"Does the innovation relate to Coordination, Planning & Governance?",Does the innovation relate to Diversity & Affordability?,"Does the innovation relate to Health, Wellbeing & Work?",Does the innovation relate to Investment?,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:40,mfrever@albion.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Allegheny College,2016-03-29,2016-03-29 08:51:53,kelly.boulton@allegheny.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:20:47,meganzl@american.edu,2.0,Pursuing,Capital Partners Solar,"Capital Partners Solar Project (CPSP) is a solar energy project contracted by the George Washington University (GW), American University (AU), and the George Washington University Hospital (GWUH). Comprised of 52 megawatts of solar photovoltaic (PV) power— capable of supplying electricity used by 8,200 U.S. homes annually—at the time of signing, it was the largest non-utility solar PV power purchase agreement in the United States in total megawatt-hours contracted and the largest PV project east of the Mississippi. It shows that large organizations in an urban setting can partner to significantly reduce their carbon footprints through solar.",,**,http://stars.aashe.org/media/secure/54/6/582/3264/American%20University%202016%20AASHE%20STARS%20Innovation%20Letter.pdf,True,True,**,True,--,http://www.american.edu/finance/sustainability/au-to-source-50-percent-power-from-solar.cfm,True,--,--,--,--,True,--,--,True,--,True,--,--,--,--,--,--,--,--
Appalachian State University,2016-02-01,2016-02-01 13:37:17,balllf@appstate.edu,2.0,Pursuing,2014-2019 Strategic Plan of Appalachian State University: Envisioning a Just and Sustainable Future,"Appalachian State University's campus wide Strategic Plan is innovative because of its focus and the associated metrics used to measure its effectiveness over a five year period. Appalachian State University's Strategic Plan is one only a few in the country that is integrates sustainability throughout its campus wide strategic plan. 

The strategic plan titled, The Appalachian Experience: Envisioning a Just and Sustainable Future, provides direction for the campus over the course of the next five years. The plan serves as a recognition that the primary focus of the campus is to transform the lives of our students. We believe that this transformational Appalachian Experience results in engaged citizens who understand their responsibility to society. Our students leave with a clear charge to make a difference and to care for the planet and its people.

Sustainability at Appalachian State University is not a trend, it is a tradition. We are active stewards of our State’s interconnected financial, cultural and natural resources. Through engaged scholarship, we balance critical, creative and global thinking in a living laboratory, transforming theory into practice and fostering responsible citizenship.

Strategic Directions:
1: Creating the Transformational Educational Experience
2: Advancing Knowledge and Addressing the Challenges of Our Region, State and World through Creativity and Innovation
3: Engaging the State, Region and World
4: Embracing Diversity of Thought, Belief and Community
5: Preserving Faculty and Staff Excellence","The Strategic Plan will be evaluated annually between 2014-2019, through benchmarks tied to the AASHE's STARS report, Sustainability Literacy Assessment, the Green House Gas Inventory. Some of these benchmark and final measurable goals include:

STARS 2.0 Academic Credits: Curriculum: = 65% achievement

STARS 2.0 Engagement Credits: Campus Engagement: = 65% achievement

Public Engagement: = 65% achievement

Sustainability Literacy Survey:baseline and gain scores, research design under development.

STARS 2.0 Academics Credits: Research: >= 65% achievement

STARS 2.0 Planning &Administration Credits: Diversity & Affordability: >= 65% achievement

STARS 2.0 Planning &Administration Credits: Health, Wellbeing & Work: >= 65% achievement Health, Coordination, Planning & Governance: = 65% achievement

STARS 2.0 Operations Credits: All 8 subcategories: = 65% achievement

STARS 2.0 Planning &Administration Credits: 
Health, Coordination, Planning & Governance: = 65% achievement 
Investment: = 65% achievement

Greenhouse Gas Emissions: 68,000 eCo2 by ’18-19

Energy Consumption: 90,000 Btu/GSP by ’18-19

Renewable Energy Utilization: 0.5% of total consumed energy from university owned renewable energy systems by ‘18-19

Water Usage: 17.15 gallons/GSF by ’18-19

Transportation, Single Occupant Vehicle Utilization: student rate of 85% by ’18-19 and faculty/staff rate of 28% ’18-19

Zero Waste, Solid Waste Diversion Rate: 75% by ’18-19",**,http://stars.aashe.org/media/secure/35/6/582/3264/STARSInnovation1ASU_1.pdf,True,True,**,True,--,http://strategicplanning.appstate.edu/strategic-plan,True,--,--,True,--,--,--,--,True,--,--,--,True,--,True,True,--,--,--
Aquinas College,2016-03-21,2016-03-21 14:45:12,eimerjes@aquinas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:28,corey.hawkey@asu.edu,2.0,Pursuing,Climate Neutrality Strategic Partnership,"Arizona State University has entered into an agreement with Ameresco and Rocky Mountain Institute (RMI) to become Strategic Partners for Climate Neutrality, and to thereby work together to assure that ASU will meet its goals and targets that are agreed with the ACUPCC. Ameresco and RMI will carry out industrial grade audits (IGAs) of facilities, develop renewable energy projects, prescribe and carry out deep retrofits on campus buildings, assess and develop smart grid and micro-grid projects, and develop innovative transportation projects at ASU. As strategic partners, Ameresco/RMI will have first right of refusal on projects that reduce greenhouse gas emissions.","The strategic partnership with Ameresco and Rocky Mountain Institute (RMI) has resulted in the following measurable outcomes.
* Improved and more detailed industrial grade audits of complex laboratory facilities
* Development of a detailed and comprehensive climate action plan
* More effective engagement of building managers and students
* Reduction of energy consumption and GHG in the Central Plant
* Development of major renewable energy delivery projects
",**,http://stars.aashe.org/media/secure/21/6/582/3264/ASU%20STARS%20Innovation%20Credit%20Climate%20Neutrality%20Strategic%20Partnership_1_1.pdf,True,True,**,True,--,https://asunews.asu.edu/20131004-climate-neutrality-partnership,True,--,--,--,--,--,--,--,True,--,--,--,--,--,--,--,--,--,"This innovation submission corresponds with the one Arizona State University submitted for its February 28, 2014 AASHE STARS rating. A new innovation credit will be included when the University re-submits for its February 2017 AASHE STARS rating."
Austin College,2016-02-29,2016-02-29 18:24:50,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:37:52,dscott@babson.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ball State University,2016-02-29,2016-02-29 08:26:12,rkoester@bsu.edu,2.0,Pursuing,Green cleaning practice with Housing and Residence Life,"Since adopting a green cleaning practice at Ball State University, Housing and Residence Life now provides a better way to clean all surfaces in our residence halls while saving money and the environment.  Using Lotus Pro Cleaning System produced by Tersano, ordinary tap water is converted into a powerful, safe cleaning agent and sanitizer that can be used for floors, windows, bathrooms and other common surfaces found in our buildings.  After four hours, the cleaning agent turns back into tap water and is safe to discharge to the sewer system.","Positive outcomes include:
Saving $286,201.00 annually on cleaning chemicals
Staff members and students report fewer allergy and asthma symptoms due to no toxic odors
Surfaces are truly clean and sanitized with no residue like chemicals leave.
Good stewards of our environment by not discharging used chemicals into sewers.",**,http://stars.aashe.org/media/secure/34/6/582/3264/Ball%20State%20letterInnovation%201.docx,True,True,**,True,--,https://www.youtube.com/watch?v=4h0uCyJfZtw,True,--,--,--,--,--,True,--,--,--,True,--,True,True,--,--,True,--,--
Baylor University,2016-02-26,2016-02-26 17:48:13,Smith_Getterman@baylor.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
