Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an institution-wide stated preference to purchase office paper that has ...,"A copy of the paper purchasing policy, directive or guidelines","The paper purchasing policy, directive or guidelines","A brief description of steps the institution has taken to ensure that the purchasing policy, ...",Does the institution wish to pursue Part 2 of this credit (expenditures on office paper)?,"Expenditures on office paper with the following levels of post-consumer recycled, agricultural ...","Expenditures on 10-29 percent post-consumer recycled, agricultural residue, and/or FSC certified ...","Expenditures on 30-49 percent post-consumer recycled, agricultural residue, and/or FSC certified ...","Expenditures on 50-69 percent post-consumer recycled, agricultural residue, and/or FSC certified ...",Expenditures on 70-89 percent post-consumer recycled and/or agricultural residue content and/or FSC ...,Expenditures on 90-100 percent post-consumer recycled and/or agricultural residue content and/or ...,Total expenditures on office paper ,"The website URL where information about the paper purchasing policy, directive, or guidelines is ...",Public Notes
Albion College,2016-02-25,2016-02-25 15:18:56,mfrever@albion.edu,2.0,Pursuing,--,,,"Purchasing procedures available online.  Audit, monitoring from A/P, and purchase regulations.",--,**,--,--,--,--,--,17808.34,--,--
Allegheny College,2016-03-29,2016-03-29 08:53:17,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:21:54,meganzl@american.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/54/6/508/3793/AU%20Sustainable%20Purchasing%20Policy_rev_07.31.13.docx.pdf,,AU's Sustainable Purchasing Policy requires the university to conduct purchasing in accordance with principles of social responsibility and environmental sustainability (https://www.american.edu/loader.cfm?csModule=security/getfile&pageid=2010993). The university is working to transition all virgin copy paper to 30% or 100% recycled content papers.,True,**,--,29622.42,13790.88,--,55065.7,168020.44,http://www.american.edu/finance/sustainability/Purchasing.cfm,Purchasing data spans 01/01/2015-12/31/2015
Appalachian State University,2016-02-01,2016-02-01 13:37:27,balllf@appstate.edu,2.0,Pursuing,True,,"As a component of Executive Order # 156, North Carolina encourages environmental sustainability efforts that help develop markets for recyclable materials. State agencies shall procure (as a requirement) and use environmentally preferable goods and services, including products made wholly or in part from recycled materials, whenever feasible and practicable. Agencies shall give consideration to environmentally preferable products that are more energy efficient, less toxic, less polluting, and which generate less waste overall.","Purchases are through a Mandatory State Term Contract.  ASU purchasing is bound by the following: All copy paper, including miscellaneous color and sized paper, is 30% recycled content. Our school purchases paper with a minimum 30% recycled content but this is not a limitation. Departments can choose a higher recycled content.",True,**,--,69257.0,--,--,--,69257.0,http://www.pandc.nc.gov/645a.pdf,Exec Order 156: http://www.p2pays.org/ref/03/02221.pdf
Aquinas College,2016-03-21,2016-03-21 14:45:22,eimerjes@aquinas.edu,2.0,Pursuing,True,,"Aquinas College is committed to minimizing the amount of copy paper purchased and used on campus with initiatives such as utilizing online communications, installing printers with double-sided printing defaults, and encouraging direct deposit. Whenever possible, the college purchases copy paper with the highest recycled content allowable by the fiscal year's budget. ",The head of the purchasing department is aware of this directive and is in charge of implementing it. Our department has periodic follow up conversations and audits with purchasing to verify that progress is being made.,True,**,--,9880.3,--,--,--,9880.3,https://www.aquinas.edu/sustainability/progress/progress-waste-minimization,--
Arizona State University,2016-02-29,2016-02-29 15:08:38,corey.hawkey@asu.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/21/6/508/3793/PUR210GreenPurchasing.pdf,http://stars.aashe.org/media/secure/21/6/508/3793/PUR210GreenPurchasing.pdf,"All paper is centrally procured by Arizona State University Stores and ordered by departments through the University's e-commerce system from SciQuest. Purchasing monitors alternative methods of buying paper to ensure compliance.  After a contract negotiation, the paper supplier reduced the price of 100% PCW, FSC paper to the same price as 30% PCW, FSC paper.  Further, testing with 100% paper showed that there were no adverse impacts, and this information was disseminated to departments in electronic newsletters.",True,**,--,205467.0,--,--,214803.0,420270.0,http://www.asu.edu/aad/manuals/pur/pur210.html,--
Austin College,2016-02-29,2016-02-29 18:25:00,pschulze@austincollege.edu,2.0,Pursuing,--,,,,--,**,--,--,--,--,--,9000.0,--,--
Babson College,2016-02-24,2016-02-24 08:38:01,dscott@babson.edu,2.0,Pursuing,True,,"Copy Paper

Babson College’s preference is to purchase copy paper with at least 30 percent recycled content. Babson College has been using 30 percent recycled color copy paper for many years.  Babson College now prints day to day e-mails, reports, forms and other miscellaneous items doubled sided.","All non-specialty paper is purchased by Central Services and delivered to individual users. The College recently switched office supply vendors, and since December 2015, Babson has been using Hammermill papers (Copy Plus, Fore MP, Color Copy Digital) because they provide the best balance of sustainability, price, and quality. Additionally, since FY11 we have required the use of 30% recycled copy paper in the Canon Copy Center.",True,**,--,2995.95,--,53282.84,--,56278.79,http://www.babson.edu/offices-services/business-financial-services/purchasing/policies-procedures/Pages/green-purchasing.aspx,"Due to change in office supply vendor in the middle of the fiscal year, this information is extrapolated based on FY14 consumption and paper standards that were set in November 2015."
Ball State University,2016-02-29,2016-02-29 08:26:21,rkoester@bsu.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/34/6/508/3793/MRp1_Sust_Purchasing.docx,,"The Council on the Environment (COTE) adopted on November 4, 2002 a ""30% Recycled Paper Resolution"" which recommended that the university central stores phase out and eliminate the purchase of printer and copier paper with 0% post-consumer recycled content and switch to 30% post-consumer recycled content paper. COTE estimated that switching to a 30% PCC paper would save over 3000 trees, 800 million BTUs of energy, and 100,000 pounds of CO2 equivalent GHG emissions in the atmosphere.",True,**,301.74,26113.31,2210.62,--,3479.11,203295.96,http://cms.bsu.edu/Academics/CentersandInstitutes/COTE/Resolutions.aspx,--
Baylor University,2016-02-26,2016-02-26 17:48:23,Smith_Getterman@baylor.edu,2.0,Pursuing,True,,"Procurement activity may include:
• Products for which the United States Environmental Protection Agency (U.S.
EPA) has established minimum recycled content standard guidelines – such as
printing paper, office paper, janitorial paper, construction, landscaping,
transportation, vehicles, and non-paper office products – and which contain the
highest postconsumer content practicable, but no less than the minimum
recycled content standards established by the U.S. EPA Guidelines.","Mentioned recycled content in supplier fair and on-site training courses, and highlighted recycled office paper on office supply vendor's website.",True,**,809.0,37217.0,10140.0,--,477.0,82531.0,http://www.baylor.edu/content/services/document.php/113122.pdf,--
Belmont University,2016-03-14,2016-03-14 08:38:23,mary.lucus@belmont.edu,2.0,Pursuing,--,,,,--,**,--,--,--,--,--,--,--,--
Beloit College,2016-03-23,2016-03-23 13:47:00,chapmanlr@beloit.edu,2.0,Pursuing,True,,Beloit College has committed to purchase office paper that has a minimum of 30% recycled content.,"In 2014, Beloit College centralized its purchasing for copy paper.  Throug this mechanism, the college can guarantee that all purchases for 8.5 x 11 sized paper meet the recycled content threshold of 30%.",True,**,--,11639.2,--,--,--,11639.2,--,"Beloit College has centralized purchasing for 8.5 x 11 sized office paper, but other oversized papers, such as tabloid and legal sized are not purchased centrally due to the assumption that these are minimally purchased.  Therefore, we did not try to track the purchases of oversized paper sizes as it would be an unwise investment of time and energy."
Bentley University,2016-03-25,2016-03-25 16:00:03,nberland@bentley.edu,2.0,Pursuing,True,,"The institution has standardized on 30% PCW recycled paper for all common area and department copiers. The paper used is SFI Certified (not FSC Certified). Campus-wide usage of 30% PCW SFI Certified paper for the last year amounts to approximately 1,250 cases or $36,000 in spending.","The Student Government Association Sustainability project group petitioned and passed a bill to purchase some portion of paper consumption of at least 30% recycled paper. The Purchasing department agreed to this change in the spring of 2013.  The purchasing department purchases paper in bulk from our vendor and therefore, they self-regulate this change.",True,**,--,36420.0,--,--,--,56076.0,--,--
Berea College,2016-02-29,2016-02-29 10:22:33,paulyj@berea.edu,2.0,Pursuing,True,,https://www.berea.edu/vpf/files/Purchasing-Policy-revisions-December-2014.pdf,"The institution does regular internal audits to ensure polices, procedures, and guidelines are followed including that of the purchasing department. ",True,**,40000.0,--,16000.0,--,33000.0,89000.0,http://www.berea.edu/sustainability/operations/printingservices.asp,--
Binghamton University,2016-03-20,2016-03-20 17:32:49,sdejohn@binghamton.edu,2.0,Pursuing,True,,http://www.dec.ny.gov/energy/71389.html,The University is required to report compliance status under New York State Executive Order 4 on office paper procurement.  Every department on campus was reminded to comply with EO4 if they were to purchase paper separately.,--,**,--,--,--,--,--,--,http://www.dec.ny.gov/energy/71389.html,--
Boston University,2016-03-03,2016-03-03 13:42:09,carlberg@bu.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/405/6/508/3793/BU%20Stationery%20Standards_1.pdf,,Paper requirements are part of BU's brand standards for stationery and business cards.,True,**,157.0,114980.0,5806.0,--,15515.0,353975.0,http://www.bu.edu/brand/stationery/,--
Bowdoin College,2016-02-25,2016-02-25 17:01:09,cpayson@bowdoin.edu,2.0,Pursuing,True,,The College has negotiated a special rate with our office supply vendor for 100% recycled paper and all Bowdoin College office supply buyers are encouraged to purchase this 100% recycled paper for their office needs.  The college has a “hard substitute” so that when someone orders regular office paper it defaults to the 100% recycled option. ,"The college asks the people in charge of individual office's paper orders to take into account Bowdoin's preference for recycled content office paper. Additionally, Bowdoin secured a new deal for 100% recycled content paper in 2010. This move was publicized through emails. Purchasing contracts and invoices confirm the use of recycled content paper.",True,**,--,1098.18,--,4618.78,27464.3,35851.7,--,--
