Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total percentage of the institution’s employees that use more sustainable commuting options,The percentage of the institution's employees that use each of the following modes as their primary ...,The percentage of institution’s employees who commute with only the driver in the vehicle ...,"The percentage of institution’s employees who walk, bicycle, or use other non-motorized means as ...",The percentage of institution’s employees who vanpool or carpool as their primary method of ...,The percentage of institution’s employees who take a campus shuttle or public transportation as ...,"The percentage of institution's employees who use a motorcycle, scooter, or moped as their primary ...",The percentage of institution's employees that telecommute for 50 percent or more of their regular ...,A brief description of the method(s) used to gather data about employee commuting,The website URL where information about sustainable transportation for employees is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:56,mfrever@albion.edu,2.0,Pursuing,--,**,--,--,--,--,--,--,,--,--
Allegheny College,2016-03-29,2016-03-29 08:53:17,kelly.boulton@allegheny.edu,2.0,Pursuing,15.0,**,85.0,15.0,--,--,--,--,Student conducted survey,--,--
American University,2016-03-23,2016-03-23 14:21:54,meganzl@american.edu,2.0,Pursuing,55.13,**,44.87,12.96,5.47,27.06,0.34,1.76,"The survey was initially distributed to all faculty, staff, and students (community members studying abroad, on sabbatical or on long term leave are excluded) on November 7th via email with two follow up emails sent to non-responders the following week. During that time, students went to buildings across campus (academic and administrative) to request that occupants complete paper versions of the survey. Respondents were required to include their email on paper copies so duplicate surveys could easily be removed. Following completion of the week, completed paper surveys were manually entered to capture data. The data entries were reviewed to remove incomplete entries, duplicate entries by one person, and entry errors. ",http://www.american.edu/finance/sustainability/Transportation.cfm,"""More sustainable"" options include alternatively fueled vehicles (ethanol, electric including hybrid), motorcycle or scooter, formal telecommuting (avoiding trips to campus), walking, biking, public transportation (bus, metro, train, AU shuttle), and carpool. 

The non-required fields above do not equal the total sustainable commuting % because we also consider alternatively-fueled vehicle trips (7.52%) as more sustainable."
Appalachian State University,2016-02-01,2016-02-01 13:37:27,balllf@appstate.edu,2.0,Pursuing,17.7,**,82.3,6.3,10.6,1.3,--,--,"As part of Appalachian's ongoing commitment to the American College and University's Presidents Climate Commitment (ACUPCC), App State preforms a greenhouse gas inventory every other year. The model split data is derived via survey that is made available to all App State students, faculty and staff as part of the inventory process. ",http://sustain.appstate.edu/resources,--
Aquinas College,2016-03-21,2016-03-21 14:45:23,eimerjes@aquinas.edu,2.0,Pursuing,13.2,**,86.7,12.2,--,1.0,--,--,A extensive survey was randomly conducted on campus of faculty and staff with over 10% of the population represented. ,https://www.aquinas.edu/sustainability/progress/progress-transportation,--
Arizona State University,2016-02-29,2016-02-29 15:08:38,corey.hawkey@asu.edu,2.0,Pursuing,29.0,**,71.0,7.0,11.0,8.0,--,3.0,"ASU uses the last Maricopa County survey that had a representative sample.

ASU has updated the survey to improve the representative sample. Unfortunately, it will not be completed until March 2016.",https://cfo.asu.edu/pts-services,--
Austin College,2016-02-29,2016-02-29 18:25:00,pschulze@austincollege.edu,2.0,Pursuing,14.0,**,86.0,4.0,10.0,--,--,--,Electronically administered survey of faculty and staff. ,--,"These data was extracted from a Greenhouse Gas Emissions Inventory report that Austin College submitted to Second Nature for fiscal year 2014. The data, however, were collected in fiscal year 2012; the greenhouse gas report explains why we assume that those data are still accurate. "
Babson College,2016-02-24,2016-02-24 08:38:01,dscott@babson.edu,2.0,Pursuing,8.0,**,92.0,3.0,2.0,3.0,--,--,Survey sent to all faculty/staff,http://www.babson.edu/about-babson/sustainability/whatyoucando/Pages/Green-Commute.aspx,--
Ball State University,2016-02-29,2016-02-29 08:26:22,rkoester@bsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--
Baylor University,2016-02-26,2016-02-26 17:48:23,Smith_Getterman@baylor.edu,2.0,Pursuing,19.5,**,--,--,--,--,--,--,,--,--
Belmont University,2016-03-14,2016-03-14 08:38:23,mary.lucus@belmont.edu,2.0,Pursuing,19.0,**,81.0,2.0,--,17.0,--,--,,http://www.belmont.edu//hr/prospective/commuters.html,--
Beloit College,2016-03-23,2016-03-23 13:47:00,chapmanlr@beloit.edu,2.0,Pursuing,36.0,**,64.0,29.0,8.0,--,--,--,Students in Psychology 162 conducted an online anonymous survey to gather data on the commuting habits of the staff and faculty of Beloit College.  222 faculty and staff members responded to the survey (61% of total employees).,--,--
Bentley University,2016-03-25,2016-03-25 16:00:03,nberland@bentley.edu,2.0,Pursuing,7.0,**,92.27,2.87,2.0,2.16,--,--,"A survey was taken by the school to determine how students, faculty, and staff commute to and from campus. The survey helped determine how the school community commutes to and from campus on a day by day basis. The survey results were statistically significant. The data that faculty, staff and students submitted was averaged to determine the percentage of each mode of transportation. ",http://www.bentley.edu/offices/sustainability/transportation,--
Berea College,2016-02-29,2016-02-29 10:22:33,paulyj@berea.edu,2.0,Pursuing,28.0,**,72.0,18.0,10.0,--,--,--,,https://www.berea.edu/ira/files/2012/08/CommuterSurveyApril2009.pdf,--
Binghamton University,2016-03-20,2016-03-20 17:32:49,sdejohn@binghamton.edu,2.0,Pursuing,6.0,**,94.0,2.0,1.0,2.0,--,--,Annual Campus Transportation Survey,http://www.binghamton.edu/sustainability/campus-initiatives/transportation.html,--
Boston University,2016-03-03,2016-03-03 13:42:10,carlberg@bu.edu,2.0,Pursuing,52.0,**,48.0,34.0,3.0,15.0,0.1,--,The Medical Campus' system for tracking student commuting revolves around data tracking excel spreadsheets compiled using information from registration of the different programs. The Charles River Campus' data is based upon calculation of permit and T-Pass registration figures divided by total number of employees.,http://www.bu.edu/sustainability/what-were-doing/transportation/,"These are the websites for the Parking and Transportation Services office at BU, who also oversees the campus shuttle system and the bike safety website which promotes cycling and safety.  These other services' websites are also located within these websites.
http://www.bu.edu/parking/
http://www.bumc.bu.edu/transcomm/"
Bowdoin College,2016-02-25,2016-02-25 17:01:09,cpayson@bowdoin.edu,2.0,Pursuing,23.0,**,76.0,20.0,2.0,1.0,0.39,--,"The Sustainability Office conducts a Faculty & Staff Transportation Survey to better gauge the transportation perspectives and needs of the employees. This survey includes data about primary and secondary modes of transportation, public transportation and opinions to better the current transportation system. ",http://www.bowdoin.edu/sustainability/green-bowdoin/green-transportation.shtml,"
"
Brown University,2016-03-23,2016-03-23 07:27:59,Ginger_Gritzo@Brown.edu,2.0,Pursuing,60.0,**,80.0,--,--,--,--,--,This is an estimate and we have a survey to be completed in May 2016 that will give us more accurate data.,http://www.brown.edu/about/administration/transportation/,--
Bryant University,2015-08-19,2015-08-19 14:50:39,gvalenti@bryant.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
Bucknell University,2016-01-19,2016-01-19 09:43:36,delmogaz@bucknell.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,Car pooling data unavailable for this survey.
California College of the Arts,2016-02-26,2016-02-26 17:11:58,nbartlett@cca.edu,2.0,Pursuing,85.0,**,15.0,20.0,5.0,5.0,5.0,--,"HR department tracks staff enrolled in commuter benefits program. College operated shuttle records staff ID's. Annual surveys coordinated with regional transit organizations.

https://www.cca.edu/about/sustainability/transportation",http://www.cca.edu/sites/default/files/pdf/08/commuter-expense-handbook.pdf,--
"California State University, Channel Islands",2016-03-14,2016-03-14 18:23:49,dan.wakelee@csuci.edu,2.0,Pursuing,27.0,**,68.0,12.0,1.0,1.0,1.0,--,"CSU Channel Islands utilizes Ventura County Transportation Commission’s RideMatching system, a web base program. RideMatching is able to connect the campus community together and find classmates and/or colleagues who are also interested in finding alternative transportations methods coming to the University.  We obtained from the Commission results of the Air Quality Management District’s Rule 211 Commuter Survey which gathers staff, student staff, and faculty data about their commuting habits.  We also obtained information from our software program T2 Flex to gather information such as motorcycle parking permits, bus shuttle cards, and carpool permits.",http://www.csuci.edu/publicsafety/parking/alternativetransportationresources.htm,--
"California State University, Fullerton",2015-12-15,2015-12-15 13:31:32,mmoscol@fullerton.edu,2.0,Pursuing,18.89,**,81.11,8.13,8.13,2.13,0.25,0.25,"Data was reported using responses from the AQMD survey conducted November 2014, f/s rideshare program participation, and transit ridership. ",http://www.parking.fullerton.edu/Transportation/FacultyStaff/,--
"California State University, Northridge",2016-02-25,2016-02-25 20:34:36,austin.eriksson@csun.edu,2.0,Pursuing,21.0,**,79.0,7.0,9.0,4.0,1.0,--,"To understand the transportation-related carbon footprints of the CSUN campus, to examine more sustainable options for the future, and to further study CSUN commuting patterns, the first survey was conducted in spring 2010. Based on the feedback from the survey results, CSUN implemented several infrastructure developments that curb the high dependency of automobile use. Those infrastructures include extension of bike lanes, building on-campus student housing units, carpool and ride share programs, electric car charging stations and an on-campus transit center. To understand the effects of those transportation and housing initiatives, a similar survey was conducted in spring 2015. A commuting practices and transportation preferences survey was distributed to a randomly selected sample of faculty, staff, and students. The survey was administered online between January 26 and February 28, 2015. The survey was sent out to 10,000 students and 1000 faculty and staff (25% of each category). We eventually received 1617 responses with 1228 students, 224 staff, 144 faculty and 21 unidentified (14% total response rate). The survey includes information on the commuting distance, mode choice, transportation preferences and challenges. ",http://www.csun.edu/parking/transportation,--
"California State University, Sacramento",2016-02-18,2016-02-18 12:17:15,kristina.cullen@csus.edu,2.0,Pursuing,24.0,**,76.0,14.0,2.0,7.0,1.0,--,"Faculty/Staff overall numbers
Permits issued
Counts from RT and Shuttle System
Derived extrapolation from Bike Counts
",http://csus.edu/aba/utaps/commute-choices.html,--
Calvin College,2016-03-11,2016-03-11 14:31:19,bhaney@calvin.edu,2.0,Pursuing,23.0,**,77.0,--,--,23.0,--,--,"All employees are issued a free parking permit. 182 Staff/Fac obtained bus cards and had to purposely opt-in this year. 182/784 FTEs = 23%. This is all the information we have to do on. So we are estimating that 23% commute sustainably at some point. There are several fac/staff who walk and/or bike, no data are collected at this time.",http://www.calvin.edu/slc/resources/transportation.html,We hope to collect more details on commuting for next submission.
Carleton College,2016-02-26,2016-02-26 11:19:35,mlarson@carleton.edu,2.0,Pursuing,30.0,**,70.2,23.1,6.3,--,0.5,--,"In 2013 survey was conducted of all Carleton College employees. All faculty and staff were surveyed, and 614 responses were recorded. ",https://apps.carleton.edu/sustainability/campus/transportation-initiatives/commutesurvey/,--
