Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution provide secure bicycle storage (not including office space), shower ...",A brief description of the facilities for bicycle commuters,Does the institution provide short-term bicycle parking (e.g. racks) within 50 ft (15 m) of all ...,A brief description of the bicycle parking and storage facilities,Does the institution have a “complete streets” or bicycle accommodation policy (or adhere to a ...,A brief description of the bicycle/pedestrian policy and/or network,Does the institution have a bicycle-sharing program or participate in a local bicycle-sharing ...,A brief description of the bicycle sharing program,Is the institution certified as a Bicycle Friendly University by the League of American Bicyclists ...,"A brief description of the certification, including date certified and level",Does the institution offer free or reduced price transit passes and/or operate a free campus ...,"A brief description of the mass transit program(s), including availability, participation levels, ...",Does the institution offer a guaranteed return trip (GRT) program to regular users of alternative ...,A brief description of the GRT program,Does the institution participate in a car/vanpool or ride sharing program and/or offer reduced ...,A brief description of the carpool/vanpool program,"Does the institution participate in a car sharing program, such as a commercial car-sharing ...",A brief description of the car sharing program,Does the institution have one or more Level 2 or Level 3 electric vehicle recharging stations that ...,A brief description of the electric vehicle recharging stations,Does the institution offer a telecommuting program for employees as a matter of policy or as ...,A brief description of the telecommuting program,Does the institution offer a condensed work week option for employees as a matter of policy or as ...,A brief description of the condensed work week program,Does the institution have incentives or programs to encourage employees to live close to campus?,A brief description of the incentives or programs to encourage employees to live close to campus,Does the institution have other incentives or programs to encourage more sustainable modes of ...,A brief description of other sustainable transportation initiatives and programs,The website URL where information about the institution’s sustainable transportation program(s) is ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:05,mfrever@albion.edu,2.0,Pursuing,True,"Bikes are locked outside the Kellogg Center, the campus' central hub, and anyone wishing to rent a bike can do so with their ID at the front desk.",True,Bicycle parking and storage facilites are prefrabricated outdoor racks.,True,Bicycle friendly maps are located around campus to show routes to campus and community features. ,True,"Nine bikes are available for students and faculty, free of charge, and are checked out at the Kellogg Center front desk using an Albion1Card. The goal of the bike project is to decrease student driving on and around campus. The bikes can be checked out for 24 hours at a time, and can be used for running errands around town or simply for a relaxing afternoon bike ride. Maps are available to suggest areas of interest and bike trails.",--,,True,Movie and shopping shuttles are provided every weekend on Saturdays at 9pm and at 10 am on Sundays. ,--,,--,,--,"Albion College does not offer car sharing program, but vans are provided, by request, to authorized drivers who are willing to transport groups and organizations for events. ",True,Charges the Chevy Volt and other compatable electric vehicles,--,,--,,--,,--,,http://www.albion.edu/about-albion/sustainability/student-initiatives,--
Allegheny College,2016-03-29,2016-03-29 08:53:47,kelly.boulton@allegheny.edu,2.0,Pursuing,True,North Village Phase I and II both have indoor bike storage.  There are many outdoor racks as well. Faculty and staff can use the Wise Center showers and lockers after bike-commuting.,--,"Most buildings do have bicycle racks, however there are several that need to have infrastructure added at this time.",--,,True,Currently a dozen bikes are available for check-out through the library.  Helmets and locks are available. The program is free and student maintained with support from the administration.,--,,True,"Our campus is small so a shuttle is unnecessary for moving around campus.  We do have an agreement with the city's bus system to allow all Alleghenians to ride the routes for free.  One evening route was created to serve the specific time and stop needs of students.  In addition, a GPS/text feature allows students to remotely determine the progress of the bus in its route.",--,,True,"There is a rideshare board at https://www.facebook.com/groups/alleghenygatorrides/ 
Students also do a lot of posting and connecting to share rides on the Class Pages on Facebook for Allegheny.",--,,--,,--,,--,,--,,--,,--,--
American University,2016-03-23,2016-03-23 14:22:26,meganzl@american.edu,2.0,Pursuing,True,The School of International Service and Cassell offer indoor secure bike storage. Showers are available in SIS and in the fitness centers to members which includes all students. ,True,Bicycle racks are available across campus to all campus visitors.,--,,True,AU hosts a Capital Bike Share rack that is operated by the District of Columbia. The Capital Bikeshare program requires a nominal fee.,--,,True,AU offers free shuttle rides between the Tenleytown Metro station and campus. Shuttles can be located using GPS via the web.,True,The program is provided by MWCOG,True,"Zimride is an elegant system for the AU community to find and share rides. Students and employees are encouraged to use the online system for long distance travel, short trips around town or for a daily commute.

It's simple. Users sign up and post their travel routes, indicating if they are offering or requesting a ride. Zimride finds other users making similar trips. This system has over 2100 registered users.",True,"Zip Cars are available on campus for use by students, faculty, and staff.",True,2 stations in Katzen Arts Center garage,True,"The university recognizes the growing demands on staff while at work and the increasing challenge of finding new and better ways of serving students, other customers and meeting the university goals. American University supports flex work arrangements to foster a highly desirable and productive work environment that is responsive to these demands and challenge. The University expects that flexible work arrangements will increase retention and recruitment of highly qualified staff, maintain staff productivity, and promote employee engagement.

While not all positions will be amenable to flex work arrangements, consideration of flexible work schedules are be reviewed on a case-by-case basis taking into account the departmental needs and the employee’s ability to maintain a high level of service.",True,"Institution offers a condensed work week option for full time employees. Flex Work Arrangement Policy was approved on September 14, 2009. ",True,"In summer of 2012, AU started a Live Near Your Work Program. This program awards grants for down payments and closing costs to staff and faculty living near the university. Grants are determined based on the location and proximity of the purchased home to the university as determined by the DC Office of Planning. ",True,Reduced price parking is available for those you drive to campus only a limited number of times per month. This occasional parking permit rewards drivers who drive to campus on a limited basis by charging less per day the less you drive. ,--,--
Appalachian State University,2016-02-01,2016-02-01 13:37:31,balllf@appstate.edu,2.0,Pursuing,--,"Appalachian currently does not have the facilities as listed above. There are several locations that offer outdoor covered bicycle storage.

Shower facilities are available in multiple locations including:
SRC, Varsity Gym, PSU, Landscaping Offices on State Farm Road, Quinn Center, Rankin Science.",--,,--,,True,"The Boone bike initiative began in 2007 with a grant from a US EPA P3 (People, Prosperity and the Planet) student design competition for sustainability. There are 12 bicycles which are loaned out for a month at a time.  There is a $10 fee for the month for routine maintenance and upkeep of the shop.  Demand for the bicycles is high.",--,,True,"The local Boone/Watauga County mass transit system, AppalCART (Appalachian Campus Area Rapid Transit)was formed in January 1980. AppalCART currently operates 10 free bus routes in and around the town of Boone, and is a major commuting source to shuttle students to and from campus. There were an estimated 1.3 million free rides taken on these ten routes in the 2010/11 school year.  These routes covered a total of 487,611 miles.
",--,,True,"Since the fall of 2011, Appalachian has used Zimride to help link riders with drivers.  Zimride is an online social network that helps students find friends, classmates, and co-workers who are interested in carpooling.

 ",True,"UhaulCarShare and Appalachian State University are teaming up to offer UHaulCarShare.  Appalachian has 3 fuel-efficient vehicles located on campus for checkout.  UHaulCarShare is a service available to faculty, staff and students.  Available for checkout by the hour or up to six days.",True,As of 11/12/14-We have a level 2 charging station located at River Street Parking deck.  This is provided as a free service.  A new solar charging station with 4 ports for electric vehicles (pending funding) is scheduled to be installed in the Legends parking lot in 2015.  This will be a level 2 station as well.,True,"State Personnel Manual, Employment and Records, Section 3, Page 10, ""Agencies may choose to utilize a variable work schedule that allows employees to choose a daily work schedule and meal period which, subject to agency necessities, is most compatible with their personal needs.""",True,"State Personnel Manual, Employment and Records, Section 3, Page 10, ""Agencies may choose to utilize a variable work schedule that allows employees to choose a daily work schedule and meal period which, subject to agency necessities, is most compatible with their personal needs.""",--,Appalachian does not have a program in place incentiviing employees to live close.,True,"Appalachian State University's Carbon Neutral Commuter program:
With the purchase of a 2014-15 campus parking pass, Appalachian State University staff, students and faculty had the opportunity to make a financial gift to support the purchase of carbon offsets. This voluntary contribution of only $8 will reduce the university’s carbon footprint by the amount of carbon created during an average commute by one person for one year.  In the first year of this program the participation rate was 17.5%.
",http://sustain.appstate.edu/carbon-neutral-commute,--
Aquinas College,2016-03-21,2016-03-21 14:45:27,eimerjes@aquinas.edu,2.0,Pursuing,True,"In Aquinas' Sturrus Sports and Fitness Center, locker rooms with showers are available for student, staff, and faculty use. ",True,A combination of inverted-U racks and hanging wall mount racks are located by all buildings across campus for secure bicycle storage. The large residence halls on campus also provided indoor storage for winter months in large storage closets. ,--,,True,"Aquinas offer bike rentals by the day, weekend, or quad for a small fee. Each bike is inspected before and after use and equipped with a quality bike lock and helmet for safety and security. Students, faculty, and staff can even rent a tandem bike for riding around our community. ",True,"On November 6th, 2015 Aquinas College became a certified Bronze Bicycle Friendly University by the League of American Bicyclists.",True,"With an Aquinas ID, students and employees can ride the rapid bus system for only $0.25 per ride. The full cost to ride the bus is $1.75 per ride, and Aquinas subsidizes the difference in cost. The Rapid Bus System has 140 regularly running buses all across the city, providing 12.5 million rides a year. We've seen the partipication rapidly increase each year. For the 2014/15 fiscal year, Aquinas students, staff, and faculty rode the rapid 18,928 times. ",True,The Campus Safety Department offers rides within a one mile radius of campus. ,True,"Aquinas has preferred “carpool” parking in the Wege Lot and the Library lot. To utilize a carpool space a vehicle must have a valid Aquinas parking permit and a minimum of three occupants commuting to campus together. All occupants must check in at the Campus Safety office together to receive the permit. In addition, we have a virtual space where members of the Aquinas Community can post carpooling opportunities and find carpooling options called ""Rideshare."" 

The Rapid Van Pool Program is perfect for people with long commutes who are interested in ""sharing the ride."" The Rapid provides vans to van pooling groups on a month to month basis, for a small fee. All staff, faculty, and students of Aquinas College who regularly use a Rapid Van Pool, may seek reimbursement up to $22 per month.",--,N/A,--,n/a,--,n/a,True,"During summer months, Aquinas employees have the option of working a 4 day work week. ",--,n/a,True,Aquinas College parking permit fees were increased to encourage people to seek out alternative methods of transportation. ,http://www.aquinas.edu/sustainability/success_transportation.html,--
Arizona State University,2016-02-29,2016-02-29 15:08:43,corey.hawkey@asu.edu,2.0,Pursuing,True,"Arizona State University has several bike lockers within a secured fenced area of our Fulton Parking Structure and within a secured area of our Biodesign Institute. We have shower facilities in some buildings including our Student Recreation Complex.
",True,"Bike racks have been installed within 50 ft of all occupied, non-residential buildings. Students can store their bicycles in the bike racks short-term or long-term as they wish.  Also provide valet bike parking for a short term bike parking solution.",True,"Pedestrians have a walk only zone area were wheeled vehicles are not allowed Monday – Friday from 8 am – 4 pm.  There are also shared path markings throughout campus that are used as wayfinding routes for cyclist but also promote pedestrian safety.  On the streets there are sharrows, bike boxes and contraflow bike lane to help promote a safe cycling culture",True,"The Bike Co-op on the Tempe and Polytechnic Campuses houses the University Student Government Community Bikes program. It is an initiative that allows ASU students, faculty, and staff to check out one of 15 bicycles for up to 10 days for no charge.

The Bike Co-op also provides reduced-cost tools, parts (both new and used), and assistance needed to repair bicycles.

In 2009, Arizona State University established a Departmental Bike Sharing Program at the Tempe campus within the Global Institute of Sustainability. Building occupants can checkout a bicycle online as they do for an electric cart. This program is available university-wide.",True, In 2014 ASU received Gold level certification by the League of American Bicyclists.,True,"The Arizona State University U-Pass provides unlimited access to all four campuses and greater Phoenix on Valley Metro bus routes and the METRO light rail. The U-Pass is available to students, faculty, and staff for a discounted rate. There are also free inter-campus shuttles from the Tempe campus to each of the other Arizona State University campuses and a free on-campus shuttle service at the Tempe campus.",True,"Arizona State University’s Guaranteed Ride Home program is part of the ASU Trip Reduction Plan that is submitted to the County and is for those who have employee transit passes or are registered carpoolers. An individual is first asked to check to see if any of their colleagues can offer transportation. If not, then the university will coordinate a taxi ride. The taxi ride limit is $20 per individual. ",True,"The University offers a carpool matching program through the regional Valley Metro website. ShareTheRide.com provides University students, faculty and staff with access to a secure, private carpool matching database. ",True,ASU has partnered with Enterprise Car Share to provide the University community with a sustainable alternative to personal automobile use. The program consist of 26 cars across all five campuses.,True,"Arizona State University’s Parking & Transit Services (PTS) is partnering with car charging of America, a leader in clean electric transportation solutions, to provide six, Level 2 Blink electric vehicle (EV) charging stations on the ASU Tempe campus.",True,"The University offers telecommuting for its employees. Telecommuting guidelines have been established to ensure that fair and consistent treatment, criteria and standards are established before a Supervisor can consider any requests. Each Supervisor can decide for themselves whether to offer telecommuting. The only criteria for the Supervisor is that the office must have sufficient coverage.",True,"Employees may work different schedules to provide the necessary services to the university community, to expedite a unit's work flow or to accommodate an individual employee's needs. Supervisory approval is required for all changes to any work schedules. There are two typical condensed work week option, although other options are available per discussion and approval by the employee and supervisor. The two typical schedules are: Four-day/40-hour work week and Nine-day/80-hour, two-week work week.",True,"Employees are eligible to live in small individual houses on the Polytechnic Campus, once all interested students have been accommodated. Further, the heavy public transportation subsidy provided by the University is an incentive for living closer to its campuses.",True,"ASU Transit Services has:

Created a new position titled Bicycle Program Manager. The Bicycle Program Manager’s primary responsibilities will be to develop, implement and maintain programs and activities that encourage bicycle usage on and off campus. The Manager will be the lead liaison in connecting bike commuters with services that can help them maintain their bikes and stay safe on the roads. Lewandowski will also assist cyclists with incorporating other modes of transportation that contribute to ASU sustainability goals into their daily commutes. 


Introduced valet parking at the Tempe campus. Daily service is currently available in select locations, while daily valet service will commence at the Downtown Phoenix campus Spring 2014. Valet service is currently available at all four ASU campuses for departments hosting special events.

Offers three FREE bicycle valet service, a first-of-its-kind amenity on the Tempe campus. The attended bicycle parking services offers room for up to 150 bicycles and skateboard racks at all three locations. Students, faculty and staff drop their bike or skateboard off with the valet attendant who issues them a ticket number. When they are ready to leave, they present their ticket to the valet to retrieve their bike or skateboard.",https://cfo.asu.edu/pts,--
Austin College,2016-02-29,2016-02-29 18:25:05,pschulze@austincollege.edu,2.0,Pursuing,True,"Faculty and staff have access to showers, lockers, and bike racks in the campus gym facilities.",--,Each building (except for the chapel) has 1-2 bike racks within 50 feet of the entrance. Each rack can hold 6-12  bikes and they must be secured with personal lock systems.  ,--,"The campus is bike & pedestrian friendly. The great majority of campus buildings are accessible from each other without a road crossing. Only five regular campus buildings (not including an alumni center and a few administrators' houses) are across a regular city street from the rest of the campus.  The college recently purchased from the city and closed two roads to facilitate pedestrian and bicycle transit. The college has also purchased from the city a little-used  road between the main campus and student residences known as the cottages. This road predominantly serves the campus community, but still serves a few privately owned residences as well.",--,,--,,--,,--,,--,,True,"Austin College offers Enterprise CarShare, a membership-based car sharing program from Enterprise Rent-A-Car, on campus. Rates start at $5/hr, $60/day, and $35 overnight (6 p.m.-8 a.m.) and includes fuel costs. Physical damage/liability protection included for members 18+. Online access to vehicle reservations. Vehicles available 24-hours a day, 7 days a week for personal use. Access to vehicles in convenient, designated parking spots",--,,--,,True,"During the summer, subject to divisional Senior Staff approval, employees may work a full 37.5 hour workweek in less than five (5) full days. For example, an employee may work four (4) full days of 9¼ to 9 ½ hours each and have one (1) full day off. Depending upon staffing in a given campus office, such compressed workweek schedules may only be available on a rotating basis among several co-workers.",True,The college rents housing near campus to faculty and staff at below market rates.,True,Priority parking for low emission / fuel efficient vehicles is available in the largest parking lot.,--,--
Babson College,2016-02-24,2016-02-24 08:38:05,dscott@babson.edu,2.0,Pursuing,True,"All students are able to accesss the secure indoor bike storage in Park Manor West. Additionally, the college has many bike racks spread across the grounds, and bicycle theft is not a concern on our campus. Showers and lockers are available at the Webster Athletic Center, and a pair of public showers is provided in the lower level of Park Manor North. Bike racks are available at both locations. ",--,"There are bike racks across campus.

Park Manor West's long-term storage is open to all students butis not within 330 ft of all residence halls. ",True,"All buildings are accessible by bike and to pedestrians, and connect to the Babson, Olin, Wellesley shuttle stop that connects the three colleges and Boston. ",--,,--,,True,"Two shuttle services are offered free of charge to students:

Shuttle van service is provided between Babson College, Olin College, Wellesley College throughout the week.

Shuttle service is provided on the weekends to mass transit and points of interest in Boston.

",--,,True,Preferred parking locations are provided for carpoolers. ,True,We have a minimum of three Zipcar vehicles available for use 24 hours a day. ,True,"Babson offers Level 2 electric vehicle charging in the Knight Lot. Charging is free for the Babson community.

http://www.babson.edu/about-babson/sustainability/whatyoucando/Pages/Green-Commute.aspx",True,"Through the Flexible Work Schedules Program employees can apply to telecommute one day each week.

Information available to all employees in the employee handbook.
",True,"During the regular academic year, employees can apply to condense their work week through the Flexible Work Schedule Program. Information on the program is available in the employee handbook.

Babson also offers a Summer Condensed Work Week Program.",--,,--,,http://www.babson.edu/about-babson/sustainability/whatyoucando/Pages/Green-Commute.aspx,--
Ball State University,2016-02-29,2016-02-29 08:26:26,rkoester@bsu.edu,2.0,Pursuing,True,Each building on campus has bike racks available for bike storage.,True,There are bike racks located outside all buildings and each residence hall has some type of facility for long-term storage.  Facilities vary by residence hall.,--,,True,"The Ball State University Bike Hub, located in the Student Recreation & Wellness Center’s Outdoor Pursuits office (SRWC 133), encourages the popular and beneficial use of biking as an important mode of transportation and recreational sport.  The Bike Hub has scheduled bike rides and clinics each semester to promote the importance of bike safety and proper bike maintenance.  The Bike Hub also provides campus information about biking on campus, end-of-commute amenities for commuter bicyclists and bike rentals.  The Facilities department has installed approximately 2,000 outdoor bike racks throughout campus, which can accommodate 3,200 bicycles.  The Office of Housing and Residence Life has indoor bike rooms in select buildings and they also rent 200 fully enclosed waterproof bike lockers to students living on campus.  Public Safety provides instructional pamphlets for bicycle users, and the opportunity to register their bikes.  Main streets on campus are signed with ""Share the Road"" signs.  The university has free daily lockers and shower facilities for bicycle commuters in the Student Recreation and Wellness Center (SRWC) and Ball Gym facilities. The McKinley Mile Bike Race is an annual event and is considered to be one of the oldest campus traditions at Ball State University.  It has its roots that can be traced back to the Lambda Chi Alpha's Bike-A-Thon which began in 1951.  The McKinely Mile includes two bike races: the 24-mile bike race for experienced cyclists, and the 7.2-mile race for novice riders.  The event is open to full-time undergraduate or graduate students enrolled at the university. Each year Ball State University encourages its employees to participate in Bike-to-Work Day during the month of May.  The event is sponsored by the university's Working Well Program.  For those participating in Bike-to-Work Day, supervisors may approve casual dress attire on the day of the event.  Near-campus students and employees frequent the Cardinal Greenway which is part of Indiana's longest paved rails-to-trails corridor.",--,,True,"Ball State students, faculty and staff ride the Muncie Indiana Transit System (MITS) bus system for free by showing their university ID to the bus driver.  The MITS bus system has fifteen bus routes and five hybrid electric-diesel buses that run on soy biodiesel during Monday – Saturday within the Muncie city limits, saving up to 30% in fuel use and 90% reduction in hydrocarbons.  MITS Bike ‘n’ Ride program offers riders a way to bring their bicycles along for the ride.  Bike racks are available on all MITS buses and there is no additional charge to use the rack and no special permit is required.  Likewise, Ball State students and employees ride on-campus for free by showing their university ID to the bus driver.  On-campus there are eleven biodiesel shuttle buses – six of which are electric-diesel fuel hybrids that serve the main area of campus and run a continuous loop every 5 to 10 minutes Monday – Friday from the South commuter parking lot through the heart of campus to the North commuter lot.  ",--,,True,"Ball State University offers two ways to encourage rideshare and carpooling: 1) there is a campus-wide ""e-bulletin board"" that allows students and employees to post opportunties or request to carpool and 2) there is an ""internet rideboard website"", which supports a ride share program for those who are interested in a one-time ride and encourages the cost of the drive can be split or shared - and a car pooling program for scheduling rides to and from school on a daily or weekly basis.",--,,True,Electric vehicle recharging stations can accommodate 2 vehicles simultaneously and are located in all areas of the campus.  A special permit is required to use the recharging stations.,True,Faculty who are exclusively responsible for online education are permitted to work from home in meeting their obligations.,True,Faculty teaching schedules permit faculty to be off campus 1-2 days per week typically.,--,,--,,http://www.bsu.edu/sustainability,The university Master Plan developed in 2015 includes bike paths through campus.  The City of Muncie is collaborating with the university and developing bike paths connecting campus with surrounding neighborhoods.  Bike paths are complete around Scheidler Apartments and the Baseball Stadium.
Baylor University,2016-02-26,2016-02-26 17:48:28,Smith_Getterman@baylor.edu,2.0,Pursuing,--,,True,"Bike racks are located at all buildings. Bike parking is located at all residence halls and students are allowed to park their bikes their during the academic year, including university holidays, at no extra cost. ",True,The campus is covered in walking paths that connect to all major buildings. Bike lanes are lined out on all major thoroughfares and bicycle parking is located at all occupied buildings. Bicycle parking and bike lanes connect to pedestrian walking paths allowing the community to safely move from one sustainable method of transportation to the other while traveling around campus.,--,,--,,True,"The Baylor University Shuttle (BUS) is a fixed route transportation system operated by Waco Transit in cooperation with the Baylor Department of Parking and Transportation Services. All BUS routes that operate on or near the Baylor Campus on class days between 7:30 AM and 5:30 PM.  There is no cost to ride.
",--,,--,,True,"Zipcar is available to all Baylor students 18+, faculty and staff. Zipcar is wheels when you want them, literally. With Zipcars parked on campus, all you have to do is decide where you want to go and when. Zipcar's cutting edge technology allows you to reserve online, or on your mobile device, 24/7. Low hourly and daily rates include gas, insurance, and 180 miles per day.",--,,--,,--,,--,,True,"On campus parking decals for two wheeled motorized vehicles such as mopeds are significantly less expensive than those for four wheeled automobiles. Our campus shuttle is completely free of charge and hits all major points on campus and off, including the city's bustling downtown area. ",--,--
