Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Level of water risk for the institution’s main campus,Total water use (potable and non-potable combined):,"Total water use, performance year","Total water use, baseline year",Potable water use:,"Potable water use, performance year","Potable water use, baseline year","Figures needed to determine ""Weighted Campus Users"":","Number of residential students, performance year","Number of residential employees, performance year","Number of in-patient hospital beds, performance year","Full-time equivalent enrollment, performance year","Full-time equivalent of employees, performance year","Full-time equivalent of distance education students, performance year","Number of residential students, baseline year","Number of residential employees, baseline year","Number of in-patient hospital beds, baseline year","Full-time equivalent enrollment, baseline year","Full-time equivalent of employees, baseline year","Full-time equivalent of distance education students, baseline year",Gross floor area of building space:,"Gross floor area of building space, performance year","Gross floor area of building space, baseline year",Area of vegetated grounds:,"Area of vegetated grounds, performance year","Area of vegetated grounds, baseline year",Start and end dates of the performance year and baseline year (or three-year periods),"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",A brief description of when and why the water use baseline was adopted,"Water recycled/reused on campus, performance year","Recycled/reused water withdrawn from off-campus sources, performance year",A brief description of any water recovery and reuse systems employed by the institution,A brief description of any water metering and management systems employed by the institution,"A brief description of any building retrofit practices employed by the institution, e.g. to install ...","A brief description of any policies or programs employed by the institution to replace appliances, ...",A brief description of any water-efficient landscape design practices employed by the institution ...,A brief description of any weather-informed irrigation technologies employed by the institution,A brief description of other water conservation and efficiency strategies employed by the ...,The website URL where information about the institution’s water conservation and efficiency ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:18:39,mfrever@albion.edu,2.0,Pursuing,High,**,1730000.0,2320000.0,**,1730000.0,2320000.0,**,1350.0,--,--,1350.0,220.0,--,1350.0,--,--,1350.0,220.0,--,**,1480439.0,1480439.0,**,110.0,110.0,**,2013-01-01,2013-12-31,2008-01-01,2008-12-31,A meter was installed on the water pump.,--,--,,,,,,,,--,--
Allegheny College,2016-03-29,2016-03-29 08:51:43,kelly.boulton@allegheny.edu,2.0,Pursuing,Low to Medium,**,18098234.0,23653256.0,**,18098234.0,23653256.0,**,1853.0,6.0,--,2082.0,478.0,--,1570.0,6.0,--,2099.0,500.0,--,**,1436581.0,1239175.0,**,59.0,59.0,**,2013-07-01,2014-06-30,2007-07-01,2008-06-30,"2007 is generally considered to be our baseline year for greenhouse gas inventory purposes, however I used 2008 for this survey for water since that was the first year I had reliable data about the number of students in campus housing.",--,--,"Rainwater is captured and stored in Carr Hall and used to water indoor landscaping and a green wall.
Rain barrels capture rainwater and are used to water campus gardens.",All buildings are separately metered by the utility so we know the consumption of each building and can target problem areas.  However real-time data is not available for any buildings.,We have switched to high efficiency fixtures and experimented with waterless urinals in recent years.,"Our policy is to replace all fixtures with water-efficient alternatives. The policy applies to toilets, urinals, showerheads, faucets, aerators. ","As a general practice, we do not irrigate our grounds, excepting one small landscaped plaza and the athletic fields as needed to maintain playing surface standards.","As a general practice, we do not irrigate our grounds, relying on weather solely.","We have a small greywater reuse system in our Green Living House.
",--,--
American University,2016-03-23,2016-03-23 14:20:40,meganzl@american.edu,2.0,Pursuing,Medium to High,**,108689071.0,124148668.0,**,108689071.0,124148668.0,**,3993.0,16.0,--,12110.0,2814.0,--,3200.0,--,--,10000.0,2500.0,--,**,3860748.0,3328064.0,**,33.32,29.81,**,2014-05-01,2015-04-30,2005-05-01,2006-04-30,Water use baseline was established as FY06 due to the availability of water data. ,--,--,"The School of International Service (LEED Gold designed) collects approximately 66,000 gallons of rain water for use in fire suppression and toilets. The building also uses low-flow water faucet fixtures, dual flush toilets, waterless urinals, low-flow showers, and low-flow kitchen sinks.","Several campus buildings have building-level water metering including: Clark, Roper, Gray, McCabe, Katzen, Nebraska Hall, and the School of International Service. ","The university typically retrofits plumbing fixtures and fittings during total building renovations. During renovations all fixture retrofits are specified to be low-flow. In the event that an individual fixture needs to be replaced prior to a renovation, the retrofit is always low-flow.",The university specifies ENERGY STAR washers when replacing student laundry appliances. ,"The university uses xersicaping to reduce consumption of water for irrigation. We routinely select native and adaptive species for landscaping on campus. The School of International Service was designed to use no artificial irrigation after the plant establishment phase. With this in mind, plants were mainly chosen with low water requirements. Plants chosen for green roofs are also drought tolerant. Drought tolerant plants are also fire resistant. The majority of AU's plants in the campus arboretum are also ""fire-smart.""","The university has a weather station near the soccer field that sends daily reports to a central irrigation system, Maxicom, including rainfall, evapotranspiration rate (ET), temperature, wind, and other data. The Maxicom system adjusts the amount of water for irrigation based on this data. If there is something suspicious with the irrigation - (ex. excessive water flow in a certain zone) the system alerts a grounds operator who is dispatched to the field to correct the issue (repair/replace flow heads, pipes, etc). The campus is divided into 600 irrigation zones. Data is collected for each zone and the irrigation zones are tailored to this data. 

Additionally, rain cans are used to measure rain. Using these rain cans, irrigation can be completely turned off when there is sufficient rain fall. The system also takes plant types in the zones into consideration since plants have different water requirements. Additionally, visual observation by the grounds keeping crew helps identify problems and trigger corrective actions. 

The School of International Service is landscaped to entirely eliminate the need for irrigation. ",,http://www.american.edu/finance/sustainability/Water.cfm,"2005 baseline year data = fiscal year 2006; 2005 baseline year population data = Academic year 2004-2005. 

"
Appalachian State University,2016-02-01,2016-02-01 13:37:15,balllf@appstate.edu,2.0,Pursuing,Low to Medium,**,96563206.0,104708166.0,**,96563206.0,104708166.0,**,5727.0,11.0,--,17097.0,2621.99,1003.0,5160.0,11.0,--,16388.0,2672.24,1045.0,**,5110782.0,4679232.0,**,374.13,374.13,**,2013-07-01,2014-06-30,2010-07-01,2011-06-30,We chose a period 3 years prior to the performance year of 2013/14 in order to have data that is more current and therefore tracked consistently.,23000.0,--,"The Sustainable Development Farm uses captured water as thermal storage in the greenhouse. 

Beasley Media Center has a water reclamation system on the roof and the water is used for flushing toilets.","15402 Water Meters 
""Water meters shall be installed for all buildings in accordance with the State of N.C. and the Town of Boone regulations. Water meters shall be Touch-read,have a 1000 gallon multiplier and be easily accessible for reading and maintenance. Acceptable units are the Sensus SRH Compound meter with touch-read encoder ECR registers for two inch or larger and the Neptune Compound water meter with touch-read encoder ECR registers for 1-1/2 inch lines.""","Shower heads, sink aerators, and toilets are being replaced or refitted with tamper resistent, low consumption heads and devices.  This project has been completed in all residents' halls and has been funded by several sources:  
1) State Energy Office Grant in 2009 
2) PEPCO contracts - $5.5m
3) PEPCO contract - $16.5m

By the end of 2015, approximately 90% of all fixtures on campus will be low flow.

Specifics of replacements:
*Replaced 3 gpm with 1.5 gpm shower heads
*Replaced 1.5 and 1 gpm sink aerators with .5gpm
*Replaced 3 gallons per flush gpf toilets with .6 gpf toilets
*Some urinals have been reduced to 1 pint of water per flush
","Replace leaking steam and condensate lines

USI Report also lists the following Water Management Strategies:
1)  Install water saving devices on showers and lavatories. (2013 plan)
2) Replace older model toilets with low consumption toilets. (2013 plan)
3) Use rainwater harvesting and other water re-use strategies where appropriate.(2013 plan)","When landscaping plans are reviewed, native, drought tolerant plants, are selected wherever possible. With the exception of athletic fields, none of the lawn areas or landscape beds are irrigated. ","Under normal conditions we receive adequate rainfall here in Boone, NC to sustain our landscape. We only irrigate to establish plant material, and the few containers we have on campus. The only permanently installed irrigation systems are located on two athletic fields. These are not automatically irrigated, but are monitored daily and only irrigated if needed, based on weather and scheduled events. In general, the athletic fields are not irrigated at all under normal conditions. ","Leaks have been repaired in 
The energy manager monitors water usage per building to identify leaks
Massive undertaking to repair steam lines and recover lost condensate.  This is 10 year, $25 million undertaking that began in 2007/08 and continues.  Our condensate return has so far been improved from 8% recovery to approximately 65% - 70% recovery to date.  The target is an 80%+ condensate return.",http://www.northcarolina.edu/policy/index.php,99.99% of the water used on campus is potable.
Aquinas College,2016-03-21,2016-03-21 14:45:11,eimerjes@aquinas.edu,2.0,Pursuing,High,**,6326576.5,21252924.0,**,6326576.5,21252924.0,**,831.0,3.0,--,1901.0,345.88,--,791.0,1.0,--,1888.0,289.3,--,**,648806.0,582278.0,**,86.5,86.6,**,2012-07-01,2013-06-30,2005-07-01,2006-06-30,This is when the Center for Sustainability began tracking water use in our sustainability metrics. ,--,--,,,,,,,,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:25,corey.hawkey@asu.edu,2.0,Pursuing,High,**,820783092.0,865530418.0,**,820781722.0,865530418.0,**,12686.0,--,--,78461.0,9281.0,11375.0,6100.0,--,--,52975.0,9281.0,--,**,18613980.5,14033632.0,**,243.0,243.0,**,2014-07-01,2015-06-30,2006-07-01,2013-06-30,The baseline coincides with when Arizona State University completed its first formal Greenhouse Gas Inventory. ,2687809.0,--,"There is a water capture project program at the Arizona State University Tempe campus Central Plant. The project captures previously wasted reverse osmosis reject water for reuse on mall power-washing and central plant cooling tower chillers. Grounds used about 75,000 gallons for power washing.

The Barrett Honors College Complex includes a greywater treatment and reuse system for buildings 7A and 7B. Greywater from building sinks, water fountains, and showers is treated to a reuse standard that is suitable as a water closet supply and/or an irrigation supply. The Greywater design flow is 10,000 gallons per day.

The Biodesign Institute includes a Graywater Capture Project - The Biodesign Institute has realized a 50% reduction in landscape water use from the installation of a high efficiency drip irrigation system that is supplied by greywater captured on-site.

ASU captures 1320 gallons of rainwater for landscaping use.",There are several university buildings with individual (manually read) water meters. ,"Arizona State University has reduced water consumption in many buildings around campus through the installation of low-flow water fixtures such as sinks, showers, toilets, and in some buildings, waterless urinals.  ","Departments must follow the Purchasing 210 policy when they are purchasing or replacing appliances, equipment.

Arizona State University’s Purchasing 210: Green Purchasing policy reads: Purchase only the most water efficient appliances available. This includes, but is not limited to, high performance fixtures like toilets, low-flow faucets and aerators, and upgraded irrigation systems.

Departments also have access to Sustainability Initiatives Revolving Fund (SIRF) funding in order to replace entire systems of water systems with water efficient alternatives.  https://cfo.asu.edu/sirf
","Nearly all of Arizona State University Polytechnic campus grounds deploy a xeriscape technique with the exception of only a few small plots which we cultivate social gathering lawn spaces. A large majority of the land the campus rests on is still virgin desert while the maintained core of the campus remains true to the Sonoran desert pallet; palo verde, mesquite, saquaro, cresote and prickly pear are just some of the many native plants you'll encounter on campus grounds. Careful placement and hardscaping coupled with their drought tolerant characteristic allows us to limit, and in many cases completely eliminate, the use of irrigated water.","The Tempe campus specifies Calsense controllers for all new installations and renovations. 

The Polytechnic campus also uses the water management system called Calsense. This system calculates water requirements from an initially established baseline which is programmed for desert adapted plants. It measures rain fall and adjusts metering as needed in addition to accounting for time of day and the evapotranspiration rates for the landscaped vegetation. The current system monitors a substantial portion of the campus core. Coverage equals approximately 1,007,376 square feet which is a substantial portion of our campus. The majority is left wild and plans for switching the rest of the scaped areas include reliance on weather gages to ensure optimal water use.

The Tempe campus specifies Calsense controllers for all new installations and renovations. 
","Arizona State University's campus is Arizona's largest public arboretum, dedicated in 1990 and committed to proper water management and conservation while educating visitors about the complex ecological systems on earth. Facilities Management has instituted several practices designed to reduce the amount of water used in landscaping on campus. About two-thirds of campus is watered at night to prevent evaporation. An initiative is also underway to automate the remaining systems so that the different plants on campus receive water based on both current weather conditions and a given plant’s evapotranspiration rate. Existing flood irrigation infrastructure has been preserved for future use with a gray water system when practicable. ASU has established a committee to investigate water conservation strategies.",--,--
Austin College,2016-02-29,2016-02-29 18:24:49,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:37:50,dscott@babson.edu,2.0,Pursuing,High,**,41836301.0,39547262.0,**,41836301.0,39547262.0,**,1687.0,12.0,--,2790.0,842.5,--,1417.0,12.0,--,2988.0,694.5,--,**,1709094.0,1706294.0,**,83.0,83.0,**,2013-07-01,2014-06-30,2005-07-01,2006-06-30,Baseline aligns with GHG and Waste baseline years,--,--,None,The town of Wellesley has separate water meters in all of Babson's 64 buildings. We are also able to track outdoor watering (irrigation) separate from indoor usage.,"We have been installing low-flow fixtures across campus over time, such as shower head and faucet retrofits in residence halls. 

Our conference center has been upgraded all bathrooms to low flow toilets, shower-heads and faucets.",Replacement of older dishwashers with more water efficient equipment.,Use native plants for minimizing needed irrigation,Babson has the majority of it's irrigation systems controlled by Hunter systems that provide desk top control from the computer of the Grounds Supervisor. This individual regularly monitors weather conditions and the need for watering and turns the systems on and off or adjusts schedules as needs permit or require.,NA,http://www.babson.edu/about-babson/sustainability/green-campus/Pages/Water.aspx,--
Ball State University,2016-02-29,2016-02-29 08:26:10,rkoester@bsu.edu,2.0,Pursuing,Low,**,289033184.0,278154140.0,**,289033184.0,278154140.0,**,6752.0,--,--,18255.0,3206.0,1462.0,7122.0,--,--,18831.0,2992.0,2612.0,**,6950415.0,7180726.0,**,1140.63,1140.63,**,2014-07-01,2015-06-30,2012-07-01,2013-06-30,3-year performance period.,--,--,None at this time.,"Most of the academic, administrative, auxiliary and residential buildings have building-level water meters provided by the Indiana American Water Company, which measure the amount of flow from the water main into the building plumbing system.","LEED Certified Buildings (9 to date)
All contain water saving technologies; low-flow fixtures, etc.",In conjunction with planned renovations done to LEED Standards.,"When landscapes are designed and installed on campus careful consideration is made for each plant selected. Aesthetics, space, location, maintenance, and future plans all play a part in the selection process. Once the design is completed and installed all plants receive supplemental watering throughout the first year. From the second year and beyond supplemental watering occurs only when necessary to maintain plant health and vigor. Additionally, none of the campus landscape beds have irrigation systems except the annual flower beds which are limited on campus.","Ball State University has several campus locations that contain turf irrigation systems. (i.e., Emens Auditorium, Music Instruction Building, E.B. Ball, Bracken House, Beneficence, Shafer Tower). All systems have rain sensors that turn off the system when soil moisture levels reach adequate levels. Control timers are set to do the watering in the early morning, and all systems are inspected once a month to maintain the system and repair any damaged heads. Sports Facilities also have comparable irrigation systems to care for the athletic fields.","Rainwater collection for planter watering
5000 gallon capacity - no record of actual water collection quantity available.
Water conservation is not a high priority in this region.",--,--
Baylor University,2016-02-26,2016-02-26 17:48:12,Smith_Getterman@baylor.edu,2.0,Pursuing,Medium to High,**,451010700.0,383895731.0,**,307931000.0,317331000.0,**,5289.0,31.0,--,16001.0,2575.0,18.0,5149.0,24.0,--,13239.0,910.0,--,**,8543061.0,6900000.0,**,304.5,200.0,**,2014-01-01,2014-12-31,2009-01-01,2009-12-31,2009 was chosen as the baseline for both water and energy usage across campus.,--,--,,Almost all campus buildings have individual domestic and irrigation meters.,"Low flow toilets, showers, and faucets are installed on campus. ","Energy Star dishwashers are purchased for the dining , for example. All showers and most faucets, and toilets have already been replaced or retrofitted in the last few years. ",,"Currently 50% of campus irrigation systems are operated by the Toro Sentinel Smart Irrigation system. Utilizing an on site weather station to calculate daily evapotranspiration rate and adjusts the irrrigation settings accordingly. As of summer of 2015 and looking forward, 80% of campus irrigation is under this system.",,--,--
