Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Total building energy consumption, all sources (transportation fuels excluded)","Total building energy consumption, performance year",Purchased electricity and steam,"Grid-purchased electricity for buildings, performance year ",Gross floor area of building space:,"Floor area of energy intensive space, performance year:","District steam/hot water for buildings, performance year ","Degree days, performance year (base 65 °F):","Total building energy consumption, baseline year",Source-site ratios:,"Grid-purchased electricity for buildings, baseline year ","District steam/hot water for buildings, baseline year ",Start and end dates of the performance year and baseline year (or 3-year periods):,A brief description of when and why the building energy consumption baseline was adopted,"Gross floor area of building space, performance year",A brief description of any building temperature standards employed by the institution,"Gross floor area of building space, baseline year",A brief description of any light emitting diode (LED) lighting employed by the institution,A brief description of any occupancy and/or vacancy sensors employed by the institution,"Floor area of laboratory space, performance year ",A brief description of any passive solar heating employed by the institution,"Floor area of healthcare space, performance year ",A brief description of any ground-source heat pumps employed by the institution,"Floor area of other energy intensive space, performance year ",A brief description of any cogeneration technologies employed by the institution,A brief description of any building recommissioning or retrofit program employed by the institution,A brief description of any energy metering and management systems employed by the institution,"Heating degree days, performance year (base 65 °F / 18 °C)","Cooling degree days, performance year (base 65 °F / 18 °C)","A brief description of the institution's program to replace energy-consuming appliances, equipment ...",A brief description of any energy-efficient landscape design initiatives employed by the institution,"A brief description of any vending machine sensors, lightless machines, or LED-lit machines ...",Source-site ratio for grid-purchased electricity,Source-site ratio for district steam/hot water ,A brief description of other energy conservation and efficiency initiatives employed by the ...,The website URL where information about the institution’s energy conservation and efficiency ...,"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",Public Notes
Albion College,2016-02-25,2016-02-25 15:18:36,mfrever@albion.edu,2.0,Pursuing,**,56909.4,**,43920.4,**,**,12989.0,**,85395.55,**,51128.55,34267.0,**,2007 was adopted as baseline when the new science lab was in full operation for its first full academic year.,1042708.0,"--  Maintain 74 degrees cooling set point at or below 55% rw. 1.  Academic and administrative buildings.
--  Maintain 70 degrees heating 1. adacemic and admin buildings.",1017910.0,"Approximately 1/10 of owned exterior lighting has been replaced with or converted to LED.

Interior QH lighting being phased out and convereted to LED.","The vast majority of science center rooms are equipped with motion sensor-controlled lighting, as are some residential rooms, and rooms in other buildings.

Science center also employs temperature setback based on occupancy.",160841.0,,--,,--,,Retro-commissioning is ongoing in several buildings.  Ferguson Building and Science complex labs have been completed.,"Real time monitoring of kwd and kwh with alarm points.

Real time monitoring of pounds/hour steam and boiler horsepower with alarms.

Demand limiting programming being developed.",7196.0,764.0,"Baldwin kitchen renovated with all energy star appliances.

IT moving towards blade servers and soft clients.",,,3.14,1.2,,--,2013-01-01,2013-12-31,2007-01-01,2007-12-01,--
Allegheny College,2016-03-29,2016-03-29 08:51:24,kelly.boulton@allegheny.edu,2.0,Pursuing,**,162747.75,**,51291.75,**,**,--,**,186391.7,**,89656.7,--,**,2007 is our greenhouse gas inventory baseline year for the purposes of the our ACUPCC goal of climate neutrality by 2020.,1436518.0,"Heating season occupied target: 67-70 degrees, unoccupied target: 55-65 degrees
Cooling season occupied target: 72-76 degrees, unoccupied target:all air conditioning turned off 4pm-8am except in mission specific buildings like gym, experimental labs, animal colonies, etc. 

",1194175.0,"We use LED outdoor lighting in Senior Circle.  Carr Hall uses LED lighting throughout the building. We recently completed a lighting retrofit which added LED lighting to many spaces, including the Alumni Center, the art gallery and all our outdoor pole lighting and many instances of outdoor lighting at entries. A complete review document for the retrofit has not yet been submitted by the subcontractor but this may include details of other spaces using LED lighting now.","North Village Phase I, North Village Phase II, 454 House, Physical Plant, and Carr Hall all use motion sensors.  North Village Phase II also uses light sensors. Carr Hall employs daylight sensors, occupancy sensors and CO2 sensors to minimize energy consumption. A recent lighting retrofit added may other motion sensors to halls and offices around campus.",51682.0,,--,"Allegheny has three ground-source heat systems. 
North Village Phase I (30 wells for 45,000 interior sq ft)
Admissions House (17 wells for 14,000 sq ft).  
North Village Phase II (48 wells for 77,000 sq ft)
All are vertical closed loop systems with wells of about 500 feet depth. ",--,,"Allegheny participated in an energy audit training program through AICUP. This allowed us to train our staff to audit buildings for energy efficiency and calculate potential savings from retrofits or management techniques. We recently completed a comprehensive campus lighting retrofit in partnership with Constellation NewEnergy and ESCO.
The college also completes annual retrofits as part of it's Comprehensive Maintenance Plan (CMP). Typical improvements include insulation, boiler retrofits, addition of building automation systems, etc.","With very few exceptions, all campus buildings have been added to our building automation system.  Siemen's and Johnson Control hardware and software allow our HVAC specialist to manage energy consumption remotely.
25 of our buildings are submetered for electric. Nearly two dozen submeters were recently added for natural gas and electricity to allow us to see consumption by building since consolidated utility accounts have made that impossible until now.",6678.0,603.0,The annual funding through the CMP allows the college to plan ahead to fund the replacement of old equipment and systems with highly energy efficient options. When other projects arise (due to unexpected equipment failure) the college has proven a commitment to prioritizing efficiency when purchasing a replacement regardless of price premium since we have realized significant savings due to this principle.,"There is little formal emphasis on this due to our climate. The college makes shade trees a priority for many reasons, but not necessarily solelyfor energy efficiency purposes.",We have several Vending Misers and our vending contract has removed lights from machines in the past where unnecessary. A review of current practices is needed.,3.14,1.2,The college aggressively participates in a demand response program in which our HVAC specialist shuts down or scales back equipment during periods of high grid-taxation. We also work to encourage employees to modify their consumption during these events. A phased replacement of all computers on campus means that we now have completely changed our energy consumption for computing since computers can now be shut off each night and will automatically be started for necessary updates before employees arrive for the start of the next workday. The Annual Energy Challenge educates and promotes responsible energy consumption behaviors.,http://sites.allegheny.edu/green/energy-2/,2014-07-01,2015-06-30,2006-07-01,2007-06-30,--
American University,2016-03-23,2016-03-23 14:20:24,meganzl@american.edu,2.0,Pursuing,**,313332.1,**,169994.68,**,**,--,**,314690.57,**,186420.0,--,**,The building energy consumption baseline was adopted in alignment with our sustainability plan. ,3860748.0,"AU has a sophisticated Building Automation System (BAS) program which controls temperatures. For example, it includes temperature controls for night time set backs when building spaces are not occupied to ensure energy conservation.",3009254.0,LED (Light-Emitting-Diode) lights were installed in the School of International Service parking garage and in the street lamps that light pathways on campus. Vending machines on campus were upgraded in 2010 with LED lighting. ,"Many campus offices, classrooms, and hallways have motion sensors. ",241718.0,The School of International Service (SIS) building features a passive solar air heating system. ,5591.0,,37601.0,,,"AU operates a computer-based Building Automation System that monitors and optimizes building control subsystems, including heating, cooling, ventilation, equipment scheduling, and alarm reporting. For example, when a room's temperature goes outside an established range, the energy management system alerts a facilities operator to the condition, who then responds by dispatching a technician to the site to address the problem. ",4140.0,1718.0,,,,3.14,1.2,,http://www.american.edu/finance/sustainability/Energy.cfm,2014-05-01,2015-04-30,2005-05-01,2006-04-30,"Baseline year is FY 2006. Performance year is  FY 2015. Reporting includes electricity, gas, solar PV, solar thermal energy consumption and distillate oil (in FY06).

Building square footage is from the AU Building Floor Plans, April 2015"
Appalachian State University,2016-02-01,2016-02-01 13:37:12,balllf@appstate.edu,2.0,Pursuing,**,560286.4,**,209039.5,**,**,205000.0,**,664931.4,**,233267.8,247969.0,**,"In June 2007 a full-time Energy Manager was hired and subsequently kicked off ASU's first enery-reduction campaign in the following year (FY 2007-2008).  Therefore, the year prior to the hiring of the Energy Manager (FY 2006-2007) before the first energy-reduction measures were implemented, is a logical baseline year.",5110782.0,"ASU utilizes a building automation system called Metasys by Johnson Controls Incorporated to schedule occupied and unoccupied modes of operation for several major buildings on campus.

The following standards are generally observed for most facilities:

Occupied heating setpoint 69°F
Occupied Cooling setpoint 74°F
Unoccupied heating setpoint 65°F
Unoccupied cooling setpoint 78°F
",4081041.0,"LEDs are used in both of ASU's major parking garages as well as in several other buildings including Katherine Harper-Kerr Scott, Farthing Auditorium, and John Thomas Hall.

All outdoor street lamps, post-top lamps, parking decks, and the Living Learning Center Residence Hall are currently LED. 
-Belk Residence Hall is now being converted. 
-The Plemmons Student Union, the Kidd Brewer Athletics Center and the Owens Field House, The Central Steam and Chiller Plants, the Roess Dining Hall, all softball and baseball facilities, the biology greenhouse, and the McKinney Alumni Center are currently under contract to be converted to all LED by summer of 2015. 
","ASU uses only dual technology occupancy sensors (infrared or sound activated). These are being used to control lighting in the common areas (restrooms, lobbies, break rooms, copy rooms) of the following facilities:
•	Schaefer Center
•	Walker Hall
•	Peacock Hall
•	Physical Plant Administration
•	Physical Plant Motor Pool
•	Physical Plant Landscape Grounds Shop
•	Physical Plant Warehouse
•	Procurement Services
•	Thomas Hall
•	Kerr-Scott Hall
•	Varsity Gymnasium

In addition, all of the lighting for the Reich College of Education is controlled by occupancy sensors. ASU is currently installing occupancy sensors in all of Peacock Hall and in the Plemmons Student Union that will control both lighting and HVAC. Many athletic facilities will be receiving occupancy sensors in the summer of 2015 as well.
",275323.0,None,--,"Water-to-water, ground source heat pumps are currently being installed at the Appalachian House.",84744.0,None,"The Plemmons Student Union and the Garland Hall Science Facility (formerly known as CAP Science) have both been re-commissioned in the last five years. Deficiencies discovered during the re-commissioning process are currently being addressed including the installation of all new digital controls for both facilities.
","Johnson Controls Metasys is installed in all or part of the following facilities:

 
BB Dougherty Administration
Beasley Media Complex
Anne Belk Hall
Belk Library
University Bookstore
College Street Chiller Plant
Broyhill Music Building
Canon Residence Hall
Garland Hall
Roess Dining Hall
Appalachian House
Chapel Wilson Hall
Reich College of Education
College of Education Annex
Cone Residence Hall
Holmes Convocation Center
DD Dougherty
Doughton Residence Hall
Edwin Duncan Hall
Schaefer Center
Frank Residence Hall
Hoey Residence Hall
Human Resources
John Thomas Hall
Kerr-Scott Hall
Kidd Brewer Stadium
Living Learning Center
Lovill Residence Hall
Police and Parking
Physical Plant Complex
Plemmons Student Union
University Data Center
Procurement Services
Peacock Hall
Rankin Science Complex
The Regional Utility Building
Quinn Recreation Center
Sanford Hall
Smith-Wright Hall
Student Recreation Center
Miles Annas
Summit Residence Hall
Appalachian Hall
Trivette Hall
Turchin Visual Arts Center
University Hall
Varsity Gymnasium
Walker Hall
Wey Hall
White Residence Hall
 

",4423.0,955.0,ASU Purchasing Department has implemented a policy of purchasing only energy star appliances.,,ASU has eliminated the lighting load completely in 4 vending machines in one building at least.,3.14,1.35,"In 2014 the institution deliberately scheduled a 2 week shut down over winter break to avoid heating buildings when only skeleton staff were reporting.  Employees were required to use vacation days or provide community service during days that were scheduled as ""work days"" but during which time University buildings were not being heated.  **Actual amount of savings will be available Jan 20, 2014*",--,2013-07-01,2014-06-30,2006-07-01,2007-06-30,"Note:  Steam is produced on site and not purchased.

Note 2:  Use of campus steam has decreased, despite the increase in square footage.  This is due to improvements made in condensation recovery and building efficiencies.   "
Aquinas College,2016-03-21,2016-03-21 14:45:08,eimerjes@aquinas.edu,2.0,Pursuing,**,66209.0,**,20155.0,**,**,46054.0,**,73864.31,**,21007.7,52856.61,**,"The 2005 baseline was adopted because that's when the Center for Sustainability at Aquinas was established, and energy conservation was elevated in the institution's priorities. ",769690.0,,593574.0,,,30947.0,,1247.0,,9698.5,,,,6970.0,780.0,,,,3.14,1.2,,--,2014-07-01,2015-06-30,2005-01-01,2005-12-31,--
Arizona State University,2016-02-29,2016-02-29 15:08:22,corey.hawkey@asu.edu,2.0,Pursuing,**,1834422.0,**,785505.0,**,**,--,**,1586826.0,**,898950.0,--,**,To coincide with Arizona State University's first formal Greenhouse Gas inventory. ,18613980.5,"Approximately 75% of Arizona State University's buildings at the Tempe campus can be scheduled through the building automation system. This is a Johnson Controls Metasys system that is used to turn air handlers and pumps, etc. on and off according to the scheduling needs for a particular building, or zone within a building. Building occupancy needs are determined by academic, research, and administrative staff, then equipment schedules are optimized to prevent unnecessary run-time.

The Polytechnic campus employs a system called Direct Digital Control (DDC). It’s an allergen system that controls and maintains temperature ranges between 68-80 degrees. It also generates reports on use of energy, remote monitoring and alarms.

West campus buildings have been upgraded to Computerized Direct Digital Controls. Buildings are operated based on the needs of the customer reducing building systems operating hours by over 50%.
",14033632.0,"Arizona State University Tempe campus has replaced more conventional lighting technology with LED lighting in six large parking structures.

The new Polytechnic campus buildings utilize an architectural LED lighting system for night lighting in the hall ways on three buildings. Also, in the main theater the walk way lighting was installed with LEDs. All of the emergency call boxes use LED lighting for the new buildings as well.
","Motion and light sensors are installed at the Tempe campus Global Institute for Sustainability facility to reduce energy demand for lighting.

The new Polytechnic campus Classroom buildings utilize sensory lighting technology in the hall ways, restrooms and designated classrooms. This technology utilizes both motion coupled with infrared sensing.

The West campus parking lots, roadways and most other outside lighting operates from a central computer system located in the Central Plant.",905346.0,None.,28187.0,None.,10813.0,An 8.8 MW natural gas-fired combined heat & power plant provides steam and electricity to the Tempe campus.,"Arizona State University currently recommissions 30 buildings from the Energy Savings Performance Contract – Phase II on a rotational basis every 4 years.  This portfolio equates to 2,929,643 square feet of space, roughly 16% of ASUs gross square footage.  ","In 2004 the University instituted a dedicated Energy Information System designed to track the energy usage across the Tempe campus. This system was designed to track the electrical, chilled water, heating and renewable energy of each building and display the data in a meaningful format.  In 2008, the system expanded to include a public facing dashboard called Campus Metabolism (https://cm.asu.edu). 

The University also uses dedicated BAS systems at each of its campuses to further monitor and control Building Control systems from a centralized location. These systems monitor and maintain comfortable yet sustainable room temperatures and living conditions.",798.0,5178.0,"Departments must follow the Purchasing 210 policy when they are purchasing or replacing appliances and equipment.

Arizona State University’s Purchasing 210: Green Purchasing policy reads: All electrical products purchased by ASU shall meet the US EPA Energy Star certification when available and practicable. When products with Energy Star labels are not available, products that are in the upper 25 per cent of energy efficiency as designated by the federal Energy Management Program shall be used.

Departments also have access to Sustainability Initiatives Revolving Fund (SIRF) funding in order to replace entire systems of energy-consuming appliances and equipment with high efficiency alternatives.  https://cfo.asu.edu/sirf","Arizona State University installed a PowerParasol next to the Memorial Union building which provides shade for a series of study tables and a performance stage.

There are several shaded gardens for outdoor lunch areas and social gathering spaces.","All of Arizona State University’s cold beverage vending machines are Energy Star™ certified and are equipped with Energy Miser™ devices. These devices sense usage and power off the refrigeration unit when the machines are not used. All front panel lights in these machines are turned off, except for one machine located in a dark entryway that uses the machine lighting for access.

All refrigerated sandwich machines are equipped with an energy savings program that goes into sleep mode when not used. Sleep mode turns off the front panel lights and reduces refrigeration. These machines are the most energy efficient available.

All snack vending machines are not refrigerated. No usage sensor is needed in these machines. They use low power LED lighting. These machines are the most energy efficient available.",3.14,1.2,Arizona State University has formed a strategic partnership with Ameresco and the Rocky Mountain Institute to provide services in support of our energy savings performance contracts and our solarization program.  ,--,2015-07-01,2015-06-30,2006-07-01,2007-06-30,--
Austin College,2016-02-29,2016-02-29 18:24:46,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:37:47,dscott@babson.edu,2.0,Pursuing,**,179725.4,**,63625.0,**,**,--,**,191771.02,**,77159.94,--,**,Used in Babson College's Sustainability and Climate Action Plan that was submitted to the ACUPCC,1709094.0,,1706294.0,LED Lights have been used in 2 classroom applications and an office in our Facilities Building. We have also used LED's in the majority of our outdoor lights and we have five solar powered lights that have LED's in them. LED lights are being experimented with for use in elevators and some elevator lobbies.The college recently installed LED lighting in a major parking lot at the college skating rink and a main Student Lot (Knight Lot). We have utilized high efficiency induction lighting in our parking deck. We have installed LEDs in our Campus Center.,"70-80% of our non residential buildings have occupancy control. These sensors have been used in several residential buildings. We have offices in our facilities building with motion sensors, classrooms with motion sensors and residence halls where hallways and common spaces have motion sensors. Technologies include passive infrared and acoustic motion sensors. Lights over library stacks are controlled by rows.",--,,--,,--,,"Babson has been systematically working through its buildings to update its HVAC systems, controls, lighting, and to transition from oil to natural gas for heating. 

Projects include retro-commissioning of the Executive Conference Center, installation of gas lines to buildings previously using fuel oil, lighting retrofits across campus, implementation of set points and building turn-downs, new boilers and furnaces, etc.","Many of the college buildings have EMS tied to the HVAC shop at Facilities. Systems include American Automatrix, Johnson controls, etc.",6685.0,508.0,All new appliances are Energy Star when available. ,We have an annual tree-planting event and have planted trees on the south and west sides of a residence hall with high sun exposure to provide shade and privacy. ,,3.14,1.2,,http://www.babson.edu/about-babson/sustainability/green-campus/Pages/energy-greenhouse-gas.aspx,2014-07-01,2015-06-30,2005-07-01,2006-06-30,"FY15 for performance year

Floor space does not include Park Manor West, which was completed mid-year in FY15"
Ball State University,2016-02-29,2016-02-29 08:26:07,rkoester@bsu.edu,2.0,Pursuing,**,890488.1,**,375000.0,**,**,--,**,1163971.6,**,425000.0,--,**,FY 2008 was the first compilation of GHG emissions as required by the signing of the ACUPCC.,7166210.0,WE DO NOT USE SET BACK CONTROLLERS. THEY ARE NOT ENERGY SAVERS FOR AN OVER-THE-NIGHT PERIOD OF TIME. WE USE VARIABLE VOLUME HVAC SYSTEMS WITH CO2 MONITORS. THIS TYPE OF ARRANGEMEMENT RAMPS THE INCOMING AIR SYSTEM DOWNWARD WHEN BUILDINGS ARE UNOCCUPIED. THE CO2 SENSORS ARE SET AT 800 PPM. WHEN THE 800 PPM CO2 LEVEL IS REACHED THE OUTDOOR AIR DAMPERS OPEN TO BRING IN MORE OUTSIDE AIR.,6753062.0,"FOR THIS REPORTING CYCLE, SHAFER BELL TOWER, SCHEUMANN STADIUM WEST ELEVATION LIGHTS, ADMINISTRATION BUILDING BUSINESS AFFAIRS CONFERENCE ROOM all use LED lighting.  ALL EMERGENCY EXIT SIGNS IN ALL BUILDINGS ON CAMPUS ARE  ALSO “LED”.",ALL NEW AND RENOVATION PROJECTS INCLUDE THE INSTALLATION OF LIGHT SENSORS THAT ARE BOTH INFRARED AND MOTION DETECTING.,27668.0,None,12088.0,47-building district-scale ground source heat pump installation nearing completion.,--,None,We are currently conducting a LEED Lab course sequence in cooperation with USGBC to recertify a LEED building under EBOM guidelines.,The University uses a building automation system that utilizes the Metasys system manufactured by Johnson Controls.,5979.0,702.0,We mandate energy star equipment for all replacements.,,"The university has installed an energy savings device on vending machines and requires all new vending machines meet EPA Energy Star criteria.   The university has 100 bubble front soda vending machines that have a VMIq2 - Vend Misers device to reduce the number of compressor cycles during off-peak hours creating energy savings.  Additionally, all glass-front beverage machines on campus have the highest EPA Energy Star ratings for conserving energy.  All fifty-four snack vending machines use LED lighting that are energy efficient and use less power.",3.14,1.2,"The geothermal system is used during the swing season to ""trade"" energy among buildings; thereby balancing heating and cooling loads.",http://www.bsu.edu/sustainability,2013-07-01,2014-06-30,2007-07-01,2008-06-30,"_HDD + CDD values are taken from the CACP Calculator
_Source: Site Energy Ratios are taken from the CACP Calculator"
Baylor University,2016-02-26,2016-02-26 17:48:09,Smith_Getterman@baylor.edu,2.0,Pursuing,**,814283.54,**,425107.46,**,**,389176.08,**,707665.25,**,389238.47,318426.78,**,,5982122.0,Siemens Building Automation System is used to reduce energy consumption when buildings are not occupied. ,5221646.0,We have been testing LED street lamps and select buildings have LEDs in their fixtures. We are also testing LEDs in parking garages. ,All buildings built in the last ten years have occupancy sensors in some capacity. ,380375.0,,--,,380375.0,,"Baylor is undergoing an extensive retrocommissioning endeavor at this time. Across campus, including the Energy Complex, are undergoing drastic measures to reduce the amount of energy consumed. For instance, controls are being audited, equipment scheduling is being implemented, and upgrades are occurring to reduce the amount of energy consumed. Over the next ten years, we are committed to auditing and reducing the amount of energy consumed, as the campus grows larger. ","Siemens Building Automation System is used to meter and manage the amount of energy consumed. Additionally, we have three full-time staff focused on mitigating energy consumed. ",2608.0,2683.0,,,,3.34,1.39,"The Baylor Energy Awareness Program  started in September 2010. The program is committed to energy and water conservation and developing a campus environment that understands and is committed to the effort while creating a cultural and behavioral change across campus. In order to ensure ultimate long-term success, an energy and sustainability management program will be ongoing and include outreach, awareness, training initiatives and faculty, staff and student involvement. 

The Baylor Energy Madness Residence Hall Competition began in 2011. In the spring and fall of 2011, the program successfully completed the first two competitions. Baylor Energy Madness educates students about energy use and reduction and is designed to provide fun activities and events that excite and encourage residents to take responsibility in saving energy and water. It also acts as a forum to educate students in a quantifiable way how their actions can impact electrical and water consumption.",--,2013-10-01,2014-09-30,2009-10-01,2010-09-30,--
