Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Do all enrolled students, regardless of type or status, have an avenue to participate in one or ...",A brief description of the mechanisms through which students have an avenue to participate in one ...,Is there at least one student representative on the institution’s governing body who was elected by ...,"A brief description of student representation on the governing body, including how the ...",Do students have a formal role in decision-making in regard to the following?,"Do students have a formal role in decision-making in regard to establishing organizational mission, ...","Do students have a formal role in decision-making in regard to establishing new policies, programs, ...",Do students have a formal role in decision-making in regard to strategic and long-term planning?,Do students have a formal role in decision-making in regard to existing or prospective physical ...,"Do students have a formal role in decision-making in regard to budgeting, staffing and financial ...",Do students have a formal role in decision-making in regard to communications processes and ...,Do students have a formal role in decision-making in regard to prioritization of programs and ...,"A brief description of the formal student role in regard to each area indicated, including examples ...","Do all staff, regardless of type or status, have an avenue to participate in one or more governance ...",A brief description of the mechanisms through which all staff have an avenue to participate in one ...,Is there at least one non-supervisory staff representative on the institution’s governing body who ...,"A brief description of non-supervisory staff representation on the governing body, including how ...",Do non-supervisory staff have a formal role in decision-making in regard to the following? ,Do non-supervisory staff have a formal role in decision-making in regard to establishing ...,Do non-supervisory staff have a formal role in decision-making in regard to establishing new ...,Do non-supervisory staff have a formal role in decision-making in regard to strategic and long-term ...,Do non-supervisory staff have a formal role in decision-making in regard to existing or prospective ...,"Do non-supervisory staff have a formal role in decision-making in regard to budgeting, staffing and ...",Do non-supervisory staff have a formal role in decision-making in regard to communications ...,Do non-supervisory staff have a formal role in decision-making in regard to prioritization of ...,"A brief description of the formal staff role in regard to each area indicated, including examples ...","Do all faculty, regardless of type or status, have an avenue to participate in one or more ...",A brief description of the mechanisms through which all faculty (including adjunct faculty) have an ...,Is there at least one teaching or research faculty representative on the institution’s governing ...,"A brief description of faculty representation on the governing body, including how the ...",Do faculty have a formal role in decision-making in regard to the following?,"Do faculty have a formal role in decision-making in regard to establishing organizational mission, ...","Do faculty have a formal role in decision-making in regard to establishing new policies, programs, ...",Do faculty have a formal role in decision-making in regard to strategic and long-term planning?,Do faculty have a formal role in decision-making in regard to existing or prospective physical ...,"Do faculty have a formal role in decision-making in regard to budgeting, staffing and financial ...",Do faculty have a formal role in decision-making in regard to communications processes and ...,Do faculty have a formal role in decision-making in regard to prioritization of programs and ...,"A brief description of the formal faculty role in regard to each area indicated, including examples ...",The website URL where information about the institution’s governance structure is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:02,mfrever@albion.edu,2.0,Pursuing,True,"Albion College has a student senate with representatives from classes.  Students also participate as non-voting members of a number of faculty standing committees, including curriculum and resource, Judicial board, and petitions committee.",True,"There are student representatives serving on the board of Trustees.  there are also elected board members from the each most recent graduating class. so, for example there is a member from the class of 2013, who was just elected by her peers, and she will serve for two years.",**,True,True,--,True,--,True,True,Student senate places representatives on a number of faculty ,True,"•Assessment Committee
•Budgets, Salaries, and Benefits Committee
•College Judicial Board
•Curriculum and Resource Committee
•Faculty Committee on Diversity
•Faculty Development Committee
•Faculty Personnel Committee
•Faculty Steering Committee
•GLCA Academic Council
•Grievance Committee
•Institutional Review Board
•Sexual Harassment Grievance Committee
",True,The Michigan Education Association/National Education Association (MEA/NEA)representing the Albion College Educational Support Personnel Association and Albion College have a contractual agreement. ,**,--,--,--,--,--,--,--,,True,Academic Affairs Office and the Office of the Provost. ,True,Academic Affairs Office and the Office of the Provost. ,**,True,True,True,True,True,--,True,The descriptions can be found on the college website.,http://www.albion.edu/academics/academic-affairs,--
Allegheny College,2016-03-29,2016-03-29 08:53:24,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:22:01,meganzl@american.edu,2.0,Pursuing,True,The president of the Student Government and the President of the Student Bar Association are both elected by their peers and serve on the Board of Trustees.,True,The president of the Student Government and the President of the Student Bar Association are both elected by their peers and serve on the Board of Trustees.,**,True,True,True,True,True,True,True,"--Establishing organizational mission, vision, and/or goals--
The University’s organizational mission, vision, and goals are articulated in the Statement of Common Purpose and the University’s Strategic Plan, American University and the Next Decade: Leadership for a Changing World.  The Statement was developed in collaboration with faculty, students, and staff and was widely discussed on campus and endorsed by the Board of Trustees.  

As part of the University’s accreditation process, AU presented “AU Self-Study” for the Middle States Commission on Higher Education in 2014.  The Statement of Common Purpose is reaffirmed during that process.     

--Strategic and long-term planning-- 
The current AU Strategic Plan, which covers a ten-year period from fiscal year 2010 – fiscal year 2020, was developed with intensive involvement from all campus constituencies, including students, supervisory and non-supervisory staff, and faculty.  All of the members of the University community were invited to a series of town hall meetings and open dialogues to provide input to the Plan.  

AU demonstrated a direct linkage between strategic/long-term goals and resource allocations since its inception of the Strategic Plan.  

In order to monitor progress towards the strategic plan goals, a number of university-wide assessments have been conducted on a regular basis.  Examples include the Customer Satisfaction Survey for students, faculty, supervisory and non-supervisory staff; and the Chronicle’s Best Place to Work survey.          

--Establishing new policies, programs, or initiatives--
 Governance structures exist where students, staff and faculty participate in decisions establishing new policies, programs and other initiatives.  These include the Faculty Senate, Staff Council, Student Government, Committees, Project Teams and Task Forces.  For example, the Faculty Senate was instrumental in revising the faculty manual, academic regulation and tenure and promotion guidelines.  Staff Council promotes understanding, facilitates communication and serves as an advocate for staff issues.  The Student Government is designed to provide students with an opportunity to be involved in the decision making process.  Students represented include undergraduate, student bar association and graduate leadership council.  Various committees, project teams and task forces are formed as needed to address university issues.  Members include a cross representation of faculty, staff and students depending on the nature of the charge.  Their recommendations are presented to management for consideration.

--Existing or prospective physical resources--
 The University’s capital budget is a multi-year financial plan to support the institution’s long-term capital development goals, which include new construction, major renovations, and facility improvement of university buildings and campus infrastructure.  Integration of the operating budget and capital budget provides a linkage between the camps master plan and academic priorities to align with the University’s Strategic Plan.  

In assessing the facility needs of academic or administrative departments, numerous focus groups are consulted, including students, faculty and staff.  One recent example is the Repurposing the Mary Graydon Center to create the Student Union initiative.      

--Budgeting, staffing and financial planning--
Appointed by the President, the University Budget Committee (UBC) is co-chaired by the Provost and the CFO/VP Treasurer, includes members of Faculty Senate, student leaders representing the Student Government, the Graduate Leadership Council, and the Student Bar Association, a member of the Staff Council representing supervisory and non-supervisory staff, and administrators.  This group played a key role in making recommendations on the budget development criteria and university funding priorities for fiscal years 2016 and 2017 to the President, who ultimately presented a balanced budget to the Board of Trustees for approval.  The budget development criteria include pricing considerations, strategic plan resources, staffing, and other financial planning projections.  

In addition, the University Budget Office (UBO) responds to inquiries made by the Faculty Senate, student leaders, or other university constituencies with regard to budget, resource management, staffing, and financial management of the University.  The CFO/VP Treasurer makes presentations to campus constituency groups on important strategic issues and the financial health of the University.        

--Prioritization of programs and projects--
Prioritization of programs and projects are determined during the strategic planning and goals setting process.  (See Statement of Common Purpose and the University’s Strategic Plan, American University and the Next Decade: Leadership for a Changing World.)
",True,Staff council representatives are elected by their peers and the chair of staff council serves as a campus representative on the Board of Trustees. ,True,Staff council representatives are elected by their peers and the chair of staff council serves as a campus representative on the Board of Trustees. ,**,True,True,True,True,True,True,True,"--Establishing organizational mission, vision, and/or goals--
The University’s organizational mission, vision, and goals are articulated in the Statement of Common Purpose and the University’s Strategic Plan, American University and the Next Decade: Leadership for a Changing World.  The Statement was developed in collaboration with faculty, students, and staff and was widely discussed on campus and endorsed by the Board of Trustees.  

As part of the University’s accreditation process, AU presented “AU Self-Study” for the Middle States Commission on Higher Education in 2014.  The Statement of Common Purpose is reaffirmed during that process.     

--Strategic and long-term planning-- 
The current AU Strategic Plan, which covers a ten-year period from fiscal year 2010 – fiscal year 2020, was developed with intensive involvement from all campus constituencies, including students, supervisory and non-supervisory staff, and faculty.  All of the members of the University community were invited to a series of town hall meetings and open dialogues to provide input to the Plan.  

AU demonstrated a direct linkage between strategic/long-term goals and resource allocations since its inception of the Strategic Plan.  

In order to monitor progress towards the strategic plan goals, a number of university-wide assessments have been conducted on a regular basis.  Examples include the Customer Satisfaction Survey for students, faculty, supervisory and non-supervisory staff; and the Chronicle’s Best Place to Work survey.          

--Establishing new policies, programs, or initiatives--
 Governance structures exist where students, staff and faculty participate in decisions establishing new policies, programs and other initiatives.  These include the Faculty Senate, Staff Council, Student Government, Committees, Project Teams and Task Forces.  For example, the Faculty Senate was instrumental in revising the faculty manual, academic regulation and tenure and promotion guidelines.  Staff Council promotes understanding, facilitates communication and serves as an advocate for staff issues.  The Student Government is designed to provide students with an opportunity to be involved in the decision making process.  Students represented include undergraduate, student bar association and graduate leadership council.  Various committees, project teams and task forces are formed as needed to address university issues.  Members include a cross representation of faculty, staff and students depending on the nature of the charge.  Their recommendations are presented to management for consideration.

--Existing or prospective physical resources--
 The University’s capital budget is a multi-year financial plan to support the institution’s long-term capital development goals, which include new construction, major renovations, and facility improvement of university buildings and campus infrastructure.  Integration of the operating budget and capital budget provides a linkage between the camps master plan and academic priorities to align with the University’s Strategic Plan.  

In assessing the facility needs of academic or administrative departments, numerous focus groups are consulted, including students, faculty and staff.  One recent example is the Repurposing the Mary Graydon Center to create the Student Union initiative.      

--Budgeting, staffing and financial planning--
Appointed by the President, the University Budget Committee (UBC) is co-chaired by the Provost and the CFO/VP Treasurer, includes members of Faculty Senate, student leaders representing the Student Government, the Graduate Leadership Council, and the Student Bar Association, a member of the Staff Council representing supervisory and non-supervisory staff, and administrators.  This group played a key role in making recommendations on the budget development criteria and university funding priorities for fiscal years 2016 and 2017 to the President, who ultimately presented a balanced budget to the Board of Trustees for approval.  The budget development criteria include pricing considerations, strategic plan resources, staffing, and other financial planning projections.  

In addition, the University Budget Office (UBO) responds to inquiries made by the Faculty Senate, student leaders, or other university constituencies with regard to budget, resource management, staffing, and financial management of the University.  The CFO/VP Treasurer makes presentations to campus constituency groups on important strategic issues and the financial health of the University.        

--Prioritization of programs and projects--
Prioritization of programs and projects are determined during the strategic planning and goals setting process.  (See Statement of Common Purpose and the University’s Strategic Plan, American University and the Next Decade: Leadership for a Changing World.)",True,The Faculty Senate provides opportunity for faculty to participate in governance. All members of the university community are invited to attend meetings. Faculty can also participate on university committees on specific topics. ,True,Faculty elect the voting senate and that membership must include at least one term faculty member. ,**,True,True,True,True,True,True,True,"--Establishing organizational mission, vision, and/or goals--
The University’s organizational mission, vision, and goals are articulated in the Statement of Common Purpose and the University’s Strategic Plan, American University and the Next Decade: Leadership for a Changing World.  The Statement was developed in collaboration with faculty, students, and staff and was widely discussed on campus and endorsed by the Board of Trustees.  

As part of the University’s accreditation process, AU presented “AU Self-Study” for the Middle States Commission on Higher Education in 2014.  The Statement of Common Purpose is reaffirmed during that process.     

--Strategic and long-term planning-- 
The current AU Strategic Plan, which covers a ten-year period from fiscal year 2010 – fiscal year 2020, was developed with intensive involvement from all campus constituencies, including students, supervisory and non-supervisory staff, and faculty.  All of the members of the University community were invited to a series of town hall meetings and open dialogues to provide input to the Plan.  

AU demonstrated a direct linkage between strategic/long-term goals and resource allocations since its inception of the Strategic Plan.  

In order to monitor progress towards the strategic plan goals, a number of university-wide assessments have been conducted on a regular basis.  Examples include the Customer Satisfaction Survey for students, faculty, supervisory and non-supervisory staff; and the Chronicle’s Best Place to Work survey.          

--Establishing new policies, programs, or initiatives--
 Governance structures exist where students, staff and faculty participate in decisions establishing new policies, programs and other initiatives.  These include the Faculty Senate, Staff Council, Student Government, Committees, Project Teams and Task Forces.  For example, the Faculty Senate was instrumental in revising the faculty manual, academic regulation and tenure and promotion guidelines.  Staff Council promotes understanding, facilitates communication and serves as an advocate for staff issues.  The Student Government is designed to provide students with an opportunity to be involved in the decision making process.  Students represented include undergraduate, student bar association and graduate leadership council.  Various committees, project teams and task forces are formed as needed to address university issues.  Members include a cross representation of faculty, staff and students depending on the nature of the charge.  Their recommendations are presented to management for consideration.

--Existing or prospective physical resources--
 The University’s capital budget is a multi-year financial plan to support the institution’s long-term capital development goals, which include new construction, major renovations, and facility improvement of university buildings and campus infrastructure.  Integration of the operating budget and capital budget provides a linkage between the camps master plan and academic priorities to align with the University’s Strategic Plan.  

In assessing the facility needs of academic or administrative departments, numerous focus groups are consulted, including students, faculty and staff.  One recent example is the Repurposing the Mary Graydon Center to create the Student Union initiative.      

--Budgeting, staffing and financial planning--
Appointed by the President, the University Budget Committee (UBC) is co-chaired by the Provost and the CFO/VP Treasurer, includes members of Faculty Senate, student leaders representing the Student Government, the Graduate Leadership Council, and the Student Bar Association, a member of the Staff Council representing supervisory and non-supervisory staff, and administrators.  This group played a key role in making recommendations on the budget development criteria and university funding priorities for fiscal years 2016 and 2017 to the President, who ultimately presented a balanced budget to the Board of Trustees for approval.  The budget development criteria include pricing considerations, strategic plan resources, staffing, and other financial planning projections.  

In addition, the University Budget Office (UBO) responds to inquiries made by the Faculty Senate, student leaders, or other university constituencies with regard to budget, resource management, staffing, and financial management of the University.  The CFO/VP Treasurer makes presentations to campus constituency groups on important strategic issues and the financial health of the University.        

--Prioritization of programs and projects--
Prioritization of programs and projects are determined during the strategic planning and goals setting process.  (See Statement of Common Purpose and the University’s Strategic Plan, American University and the Next Decade: Leadership for a Changing World.)",http://american.edu/trustees,--
Appalachian State University,2016-02-01,2016-02-01 13:37:28,balllf@appstate.edu,2.0,Pursuing,True,"The Student Government Association is a group of passionate individuals that serve Appalachian State University. Their aim is to be the student voice and the student change on campus. They are an organization that exists for the good of this school, and they invite anyone to participate. Students may participate by completing a petition form with 25 student constituent signatures and request a seat on the Senate. The SGA office encourages students to come and share ideas representatives or to get more involved.",True,"The student body president and and vice president are elected by a direct vote from the student body annually. Appalachian State's Board of Trustees, the highest level of institutional authority, includes student body president as an ex officio member with full voice and voting rights. (http://chancellor.appstate.edu/board-of-trustees/)",**,True,True,True,True,True,True,--,"Appalachian State's Board of Trustees' meeting minutes record attendance and voting decisions made by the board. Below are excerpts from 2014 minutes in which the current, or former student body both attended and voted:

Organizational Mission, Vision, and/or goals- Student member on Board voted on approval of Strategic Plan for 2014-2019. Meeting Minutes March 28, 2014

New Policies, Programs, or Initiatives - Student member on Board voted on the faculty handbook revisions. Meeting minutes June 27, 2014

Strategic and Long-term Planning - Student member on Board voted on approval of Strategic Plan for 2014-2019. Meeting Minutes March 28, 2014

Existing or Prospective Physical Resources - Student member on Board voted on the Transfer of land from the Department of Corrections. Meeting Minutes June 27, 2014

Budgeting, Staffing, and Financial Planning - Student member on Board voted on the new officer installation on board of trustees. Sept 26, 2014 minutes

Budgeting, Staffing, and Financial Planning - Student member on Board voted on the the action to write-off un-collectible accounts. Meeting Minutes June 27, 2014

Communication, Processes ,and Transparency Practices - Student member on Board voted on the 2014-15 Audit Plan as recommended by the Audit Committee. Sept 26, 2014 minutes

 ",True,Staff Senate membership is open to all permanent SPA or EPA Non-Faculty full-time or part-time employees. Each Department and organization are allowed a number of Senators and Alternates. (http://staffsenate.appstate.edu/),True,"The presidents of Appalachian's Alumni Council, Faculty Senate and Staff Senate serve as ex officio members of the Board of Trustees with full voice and voting rights.",**,True,True,True,True,True,True,--,Current and former Staff Senate Presidents attended and voted at the same board of trustees meetings listed above in minute excerpts. ,True,"The purpose of the Faculty Senate is to serve as the instrument through which the faculty of Appalachian State University considers and acts on university matters. To this end, the Faculty Senate participates in the formation, implementation, and review of university policy.

The Faculty Senate shall consist of one member from each academic department, school, the library, and five at-large representatives.  Any unit may choose not to fill its senate seat, in which case the seat will remain empty for that academic year.  No Senator may serve more than two full terms consecutively.  The normally designated term of office for Faculty Senate members is three years.  Terms of members will be staggered so that one-third of the Senate are elected each year.
(http://facsen.appstate.edu/)",True,"The presidents of Appalachian's Alumni Council, Faculty Senate and Staff Senate serve as ex officio members of the Board of Trustees with full voice and voting rights.",**,True,True,True,True,True,True,--,Current and former Faculty Senate Presidents attended and voted at the same board of trustees meetings listed above in minute excerpts. ,http://irap.appstate.edu/sites/irap.appstate.edu/files/asu_overall__org_chart__2014-2015.pdf,--
Aquinas College,2016-03-21,2016-03-21 14:45:24,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:39,corey.hawkey@asu.edu,2.0,Pursuing,True,"There are two student government bodies at ASU: the Undergraduate Student Government (USG) and the Graduate and Professional Student Association (GPSA). These organizations represent and voice student interests to the university executive leadership (President, Provost, et al), the Arizona Board of Regents (the governing body of all Arizona Universities), and the state legislature.  Officers come from and are elected by their respective student body (undergraduate and graduate/professional students).",True,"The governing body of all Arizona public universities is the Arizona Board of Regents, which comprise of twelve members, two of which are enrolled students.  One of the student members is a voting member.  The student members are nominated by the Board of Associated Students of Arizona, a representative body of university students of Arizona, and confirmed by the student government of their respective universities.  Then they are appointed by the state governor and confirmed by the state senate.",**,True,True,True,True,True,True,True,"The Arizona Board of Regents governs in all areas indicated, and one Student Regent has a vote in all issues. The second Student Regent, while a non-voting member, has input in all issues.  Examples: 
o	Establishing organizational mission, vision, and/or goals –develop and approve ABOR 2020 Vision for the Arizona public university system, to increase graduation/retention rates, boost research expenditures, expand access and increase affordability, and promote sustainability.
o	Establishing new policies, programs, or initiatives - approved consolidating employment categories for staff employees into one (“university staff”), to reduce and simply personnel policies and better support a more sustainable compensation structure.
o	Strategic and long-term planning - approved “performance-based” funding model that would allocate an additional state-appropriated funds to the three university systems based on performance such as greater graduation rates and degrees awarded (particularly in STEM fields), greater externally-financed research and greater public outreach expenditures.
o	Existing or prospective physical resources - requested $1 billion bonds to for renovations, improvements and new academic/research infrastructure from the state legislature; approved the construction of various new buildings and facilities.
o	Budgeting, staffing and financial planning - approved freezing (0% increase) in-state tuition for Arizona residents for the 2012-2013 academic year, and a small increase (around 3%) for the 2013-2014 academic year. Requested additional state appropriations for higher education.
o	Communications processes and transparency practices – The Board has approved an RFP to engage the services of a strategic communications/marketing consulting firm to enhance communications and outreach initiatives with the public and the media and to develop/maintain the website and other marketing materials. 
Prioritization of programs and projects – ABOR recently established task force on student safety to increase coordination and share best practices among the three Arizona public universities, after recent incidences of alcohol-rated violence.
",True,"The ASU Staff Council is the representative body of university staff employees. The purpose and mission of the ASU Staff Council is to serve as a voice for university staff, to advise the President of ASU on the working climate, and to raise issues and concerns of university staff. The Staff Council also works to support university staff through various activities and initiatives.",--,,**,--,--,--,--,--,--,--,,True,"The University Senate is the representative body of the Academic Assembly, which includes the following: all tenured and tenure-eligible faculty, academic professionals, and full-time contract faculty (i.e. lecturers and senior lecturers, instructors, clinical faculty, research faculty, and professors of practice).  Members may be nominated (or nominate themselves) as candidates and then are elected into office. ",True,"The Chair of the Arizona Faculties Council is a member of the Board of Regents.  The Arizona Faculties Council represents all university faculty governments of Arizona’s three public universities. Representation in the Council is proportional to the size of the faculty of each university.  Council members are appointed by the faculty governments of each university, and these faculty governments are elected by the respective faculty.",**,True,True,True,True,True,True,True,"As a voting member of the Board of Regents, the Chair of the Arizona Faculties Council partakes in the decision-making of the Board, and has input and voting power in all the areas indicated.  Examples:
o	Establishing organizational mission, vision, and/or goals –develop and approve ABOR 2020 Vision for the Arizona public university system, to increase graduation/retention rates, boost research expenditures, expand access and increase affordability, and promote sustainability.
o	Establishing new policies, programs, or initiatives - approved consolidating employment categories for staff employees into one (“university staff”), to reduce and simply personnel policies and better support a more sustainable compensation structure.
o	Strategic and long-term planning - approved “performance-based” funding model that would allocate an additional state-appropriated funds to the three university systems based on performance such as greater graduation rates and degrees awarded (particularly in STEM fields), greater externally-financed research and greater public outreach expenditures.
o	Existing or prospective physical resources - requested $1 billion bonds to for renovations, improvements and new academic/research infrastructure from the state legislature; approve the construction of various new buildings and facilities.
o	Budgeting, staffing and financial planning - approved freezing (0% increase) in-state tuition for Arizona residents for the 2012-2013 academic year, and a small increase (around 3%) for the 2013-2014 academic year.
o	Communications processes and transparency practices – The Board has approved an RFP to engage the services of a strategic communications/marketing consulting firm to enhance communications and outreach initiatives with the public and the media and to develop/maintain the website and other marketing materials.  
o	Prioritization of programs and projects – ABOR recently established task force on student safety to increase coordination and share best practices among the three Arizona public universities.
",--,"Website URL where information about Arizona State University governance structure is available.

Arizona Board of Regents - http://www.azregents.edu/
Undergraduate Student Government - http://asuusg.com/
Graduate and Professional Student Association - http://gpsa.asu.edu/ 
ASU Staff Council - http://staffcouncil.asu.edu/welcome
University Senate - http://usenate.asu.edu/
"
Austin College,2016-02-29,2016-02-29 18:25:01,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:02,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ball State University,2016-02-29,2016-02-29 08:26:23,rkoester@bsu.edu,2.0,Pursuing,True,"_Election via Student Government Campaigns
_Appointment (e.g. COTE)
_Membership Declaration (e.g. Students for Sustainable Consumerism, Emerging Green Builders, Natural Resources Club)
",True,A student member on the Board of Trustees is appointed by the Governor.,**,True,True,True,True,True,True,True,The university conducts open forums for participation by the full academic community.,True,A Staff Council comprised of elected membership represents the full breadth of university staff.,--,,**,True,True,True,True,True,True,True,The university conducts open forums for participation by the full academic community.,True,Faculty Senate by election.,--,A faculty member serves on the ICHE by appointment.,**,True,True,True,True,True,True,True,The university conducts open forums for participation by the full academic community.,http://cms.bsu.edu/about/administrativeoffices/president/administration,--
Baylor University,2016-02-26,2016-02-26 17:48:24,Smith_Getterman@baylor.edu,2.0,Pursuing,True,"Student Senate functions as the legislative branch of Student Government and exists to advocate on behalf of students to voice the opinion of Baylor students.

These goals are sought and accomplished by 52 representatives elected by the student body to represent each class. Within Student Senate, these members are separated into five standing committees to insure that the student body is most efficiently represented. These committees include Academic Affairs, Campus Improvements and Affairs, Finance, Operations and Procedures, and Public Relations. Ad Hoc committees also are formed, as needed, to address specific issues and projects.",True,"There is a non-voting student representative on the Baylor University Board of Regents.

Qualified candidates must have exhibited the ability to understand complex issues and communicate student perspectives to the highest level of leadership at our university. The individual selected will be a non-voting Regent and participate in non-executive session portions of Board meetings. Potential candidates may fill out an application for review.
",**,True,True,True,True,True,True,True,"The mission of the Baylor University Student Government is to represent the student body, with respect to our Christian commitment and the ideals of Baylor University, through shared governance, as we seek to enrich the quality of student life.

Student Government is responsible for representing the Baylor student body on campus. We partner with the Board of Regents, administration, faculty & staff, and alumni to ensure students are included in the decision making process. We also work with student organizations to provide funding, through the Student Government Allocation Fund (SGAF) for on-campus events.

Student Body President Dominic Edwards leads the organization in vision and campus-wide initiatives through relationships with students and administration. Student Body Internal Vice President Lawren Kinghorn serves as the President of Student Senate and coordinates between the organization and the internal affairs of Baylor University, as they pertain to Student Government. Student Body External Vice President Kristyn Miller works to build relationships between Baylor students and the Waco community while keeping students informed with current events within federal, state, and local government.",True,"Staff members may serve on Staff Council. 

The members of the Staff Council represent each division of the University and a variety of departments across campus. Membership into the Staff Council is determined by a nomination process. Any University staff person may self nominate or make a nomination of another staff member upon permission of that nominee. All nominees must have been employed by the University for a minimum of 2 years. The nomination process begins each February and is followed by an election each March.",--,,**,True,True,True,True,True,True,True,The purpose of Staff Council is to advance the exchange of information among the staff of Baylor by providing a forum for the expression of ideas and concerns of the staff of the university. Staff Council meets once a month during the school year. The members of the Staff Council represent each division of the University and a variety of departments across campus. Membership into the Staff Council is determined by a nomination process. Any University staff person may self nominate or make a nomination of another staff member upon permission of that nominee. All nominees must have been employed by the University for a minimum of 2 years. The nomination process begins each February and is followed by an election each March. The Staff Council supports all Baylor staff by sharing information and gathering feedback on a variety of issues and concerns. The members of the Staff Council serve on various university committees to address staff ideas and university matters. ,True,The Faculty Senate annually elects new senators that represent all units of the university.,True,Appointed by Faculty Senate to serve on board of regents.,**,True,True,True,True,True,True,True,"The Faculty Senate represents the faculty of Baylor University in a variety of contexts and to a variety of constituents.

To that end, the Faculty Senate:

contributes to and promotes an academic environment in a Christian context in which the intellectual, ethical, and professional life of the faculty flourishes.
provides a forum for the full and free discussion of all matters affecting Baylor University.
discovers the collective judgment of the faculty on matters it deems significant, and, as appropriate, passes resolutions giving the faculty position on issues crucial to faculty, student and university well-being.
ensures faculty participation in the formation of University policy, especially as that policy bears on academic governance of the University.
establishes standing and ad hoc committees to deal with issues affecting the faculty as needed.
appoints faculty members to standing and ad hoc university committees and reviews committee appointments made by the university's executive leadership. The Committee on Committees works under the Faculty Senate's aegis.
provides faculty expertise to enrich university governance and to communicate issues of faculty concern to the executive officers, including the President and Provost of the University.

",--,--
