Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have policies and programs in place to make it accessible and affordable to ...,A brief description of any policies and programs to minimize the cost of attendance for low-income ...,A brief description of any programs to equip the institution’s faculty and staff to better serve ...,A brief description of any programs to prepare students from low-income backgrounds for higher ...,A brief description of the institution's scholarships for low-income students,A brief description of any programs to guide parents of low-income students through the higher ...,A brief description of any targeted outreach to recruit students from low-income backgrounds,A brief description of other admissions policies or programs to make the institution accessible and ...,A brief description of other financial aid policies or programs to make the institution accessible ...,A brief description of other policies and programs to make the institution accessible and ...,Does the institution have policies and programs in place to support non-traditional students?,A brief description of any scholarships provided specifically for part-time students,"A brief description of any onsite child care facilities, partnerships with local facilities, and/or ...",A brief description of other policies and programs to support non-traditional students,Does the institution wish to pursue Part 2 of this credit (accessibility and affordability ...,Indicators that the institution is accessible and affordable to low-income students:,The percentage of entering students that are low-income,The graduation/success rate for low-income students,"The percentage of student financial need met, on average",The percentage of students graduating with no interest-bearing student loan debt,The percentage of students that participate in or directly benefit from the institution’s policies ...,The website URL where information about the institution's affordability and access programs is ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:08,mfrever@albion.edu,2.0,Pursuing,--,,,,,,,,,,--,,,,--,**,--,--,--,--,--,--,--
Allegheny College,2016-03-29,2016-03-29 08:54:18,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:22:35,meganzl@american.edu,2.0,Pursuing,True,"Through targeted awarding practices the financial aid office is able to assist low income students and families in defraying the cost of an AU education. Possible help includes federal grants, AU grants, and scholarships such as the Frederick Douglas Scholars Program.
www.american.edu/financialaid 

AU also works with financing options of federal loans, alternative credit based loans, and a prepaid tuition plan allowing for advanced payment of tuition locking in the first year tuition rate. 
","Human Resources offers a training titled ""Valuing Diversity"": The differences people bring to the workplace can promote tremendous creativity and innovation. Those same differences, however, also can contribute to misunderstandings as we bump up against each other with our different styles and work ethics. This course creates awareness of how to recognize and appreciate differences leading to more options and better problem solving. 

The Center for Diversity and Inclusion (CDI) offers a workshop for the AU community entitled ""Paving the Way: Working with First Generation College Students"" which  provides an overview of common challenges facing first-generation college students. Participants increase their awareness of this growing population at AU and receive helpful strategies to better understand and support these students as it relates to their work.

Through the Center for Diversity and Inclusion, the AU community is invited to the ""Unmasking Your Privilege"" workshop. Through this workshop, participants will develop a better understanding of their own multiple identities, explore personal experiences they have had with privilege and oppression. Participants will have the opportunity to critically evaluate how we are socialized to adopt beliefs that maintain harmful attitudes and behaviors in U.S. society. 
","The Center for Diversity and Inclusion (CDI) offers a series of workshops and training for first generation students, including: 

CDI's professional development workshop, Paving the Way: Working with First-Generation College Students.
CDI's First Generation Workshop connecting students with faculty and staff who were also first generation to go to college in their family
CDI's monthly First-Generation Focus e-newsletter and to ""get tips to make the most out of your experience.""
Pertnerships with financial aid and the career center to serve first generation students.","The Vice Provost for Graduate Studies and Research has graduate assistantship programs for masters and PhD students for underrepresented minorities. One is the ""Hall of Nations"" which specifically supports international students; another is the ""Special Opportunity Program"" which supports minority students from the US.http://www.american.edu/spa/admissions/tuition.cfm

The Frederick Douglass Scholarship
http://www.american.edu/financialaid/fdsprogram.cfm

The Scholarship promotes educational access and opportunity while enhancing educational diversity. Bringing together the best of AU—academic excellence, leadership development and international engagement—Frederick Douglass Scholars inspire, encourage and expect high achievement. Together, they are AU's premier academic community for enterprising students dedicated to careers in social justice and improving under-resourced, underserved communities around the world.

As of Fall 2015, fifteen students are attending the university as Frederick Douglass Distinguished Scholars. The scholarship provides full tuition, room and board and is renewable for a total of four years of undergraduate study, provided scholars satisfy academic performance requirements.

Preference is given to first-generation students as well as those from diverse ethnic, cultural and socioeconomic backgrounds. ","Parents and students can sign up for a the First-Generation Focus e-newsletter to get the latest and greatest on tips to make the most out of the college experience and stay connected with the AU firs-gen community.

Financial Aid offers resource links and staff to support navigating the process of paying for college using loans and federal grants. 

The Counseling Center offers resources and support directly to parents of all students to address academic and social concerns: http://www.american.edu/ocl/counseling/Support-for-Parents.cfm
","Admission and Financial Aid participate in school visits and present financial aid workshops to local DC public Schools such as SEED Public Charter School.

Admission also offers online recruitment events to engage students and parents who are not able to visit campus in person. ","The Office of Admissions offers resources about admissions and financial aid in Spanish in addition to the other resources, workshops, and financial resources listed.

American University accepts the Common Application and will waive the $70 processing fee with a fee waiver obtainable from a high school counselor.","In an effort to promote economic diversity and education access, AU has dedicated a greater percentage of our institutional funding allocation to providing need-based aid to incoming undergraduate freshmen and transfer students. This shift in allocation is aimed at insuring that AU is better able to meet the financial needs of its undergraduate population and thus decrease student indebtedness. In AY 2014-2015, 71% of the institutional expenditures were for need versus Merit, part of the trend to increase that percentage. 

 The Financial Aid Office created an annual financial literacy workshop focused on all aspects of money management including debt and budget planning.

Tuition Payment Plan Options: American University offers the American Payment Plan (APP) to all students as an alternative to paying your bill in full at the start of each term. The plan splits your Fall or Spring semester balance into convenient monthly payments, with no interest charged. By budgeting ahead for the upcoming term's charges, you may be able to reduce the amount of loans needed for the school year.

Reaching Out to Those in Need: AU has established an Emergency Financial Aid Fund to ensure that students whose situations change significantly are able to continue their studies through to graduation, despite financial challenges they may face on the way. 

http://www.american.edu/initiatives/collegeaffordability/how-AU-is-addressing-college-costs.cfm",,True,"All graduate school merit scholarships are applicable to part time and full time students. 

There are scholarships available to part time undergraduate students as part of the ""restricted"" scholarship funding. 
","AU offers support for students who need to take time off of school to assist sick children. 

AU Child Development Center -Factulty, Staff, and Students can utilize the benefits of this center. The CDC provides high-quality education and care for children 2-1/2 to 6 years of age. Their core mission is to offer a developmentally appropriate educational program for pre-school children, while supporting the family unit within the campus community, as well as the overall educational mission of the university.

The CDC provides primary family caregivers within the AU community opportunities to pursue a university education or career; support for their families with a high-quality child care; as well as an educational experience for university students interested in early childhood education and parenting. http://www.american.edu/hr/CDC/about.cfm

","The STANDwithAU initiative across all of AU campus life is dedicated to strengthening the culture of respect and integrity. ""We are American University. We believe any act of violence, bullying, hate, abuse, rape, or harassment is one too many. When our culture of integrity, respect, and support is threatened, we do not stand by passively. We stand together and help."" This initiative is a media and social campaign to address issues of sexual violence and discrimination based on gender, race, and sexual orientation, creating a safer and more inclusive space for students of all backgrounds. 
http://www.american.edu/standwithau/index.cfm

In Fall 2016, the Office of Campus Life offered a workshop dialog entitled ""THE YOU THAT YOU CREATE: PERSONAL STORIES OF IDENTITY, DIFFERENCE & POWER"" which addressed  how people experience the effects of race, class, dis/ability, gender, and sexual identities. The event opened with AU faculty talking with each other about their journeys through life using the lens of identity, difference, and power. The discussion then turned from these life experiences to audience comments, stories, and questions.",True,**,20.0,75.0,--,40.0,70.0,http://www.american.edu/financialaid/index.cfm,"Financial Aid information does not include WCL

the 75% grad rate for low income reflects the 6 year graduation rate for Pell Grant recipients 

70% participating in or directly benefiting from the institution’s policies and programs to support low-income and non-traditional students is based on the fact that 70% received some form of need and/or merit based financial aid.

Affordability: http://www.american.edu/initiatives/collegeaffordability/how-AU-is-addressing-college-costs.cfm

During academic year 2014-15, AU spent nearly $85 million to assist in meeting students’ financial needs. During this same year, AU spent $6 million last year from the Emergency Financial Aid Fund to ensure that students whose situations change are able to continue their studies through graduation."
Appalachian State University,2016-02-01,2016-02-01 13:37:34,balllf@appstate.edu,2.0,Pursuing,True,"Appalachian State University is committed to making higher education affordable for every North Carolina student and has developed the Appalachian Commitment to a College Education for Student Success (ACCESS) program as a method to insure that students from low-income families in North Carolina can attend Appalachian debt-free. 

The ACCESS program offers such students a four-year university education at Appalachian debt-free.  Specifically, the ACCESS program supplements federal financial aid grants, state financial aid grants and scholarships, and other forms of financial assistance with sufficient funds to cover the cost of institutional charges (tuition, fees, room, board) and an on-campus job for personal expenses for up to four years (eight semesters). Along with the financial assistance for students, a comprehensive program of academic support is a part of Appalachian’s ACCESS program.

http://lap.appstate.edu/welcome-access
","The Hubbard Center for Faculty Development educates faculty members about learning
differences and implementing teaching strategies that enhance all students' learning http://collegestar.appstate.edu/

The Division of Student Development provides educational programs and resources to faculty and staff to better serve students from low-income backgrounds.  The Learning Assistance Program provides academic resources and support to these students.","The College Awareness Programs work with low-income students and their families to prepare the students for higher education.  http://gocollege.appstate.edu/

In 2014 the Gear-Up Program (Gaining Early Awareness and Readiness for Undergraduate Programs) received two grants totaling nearly $30 million from the U.S. Department of Education to increase the number of low-income students who are prepared to enter and succeed in postsecondary education. The grants will serve nearly 15,000 students in a eleven-county area in Western North Carolina: Allegheny, Ashe, Burke, Clay, Graham, Madison, Rutherford, Swain, Watauga, Wilkes and Yancey counties. http://www.news.appstate.edu/2014/10/01/gear-up-grants/","The university has a number of scholarships that are awarded to students based on financial need: http://www.admissions.appstate.edu/scholarships/search/results/taxonomy%3A70 

The university's ACCESS program ensures that eligible low-income students from North Carolina can attend the university debt-free. http://lap.appstate.edu/welcome-access

Federal Pell Grant 
All undergraduate students who have not received their first baccalaureate degree are applying for a Federal Pell Grant when they complete the FAFSA. In order to qualify for a Pell Grant, students must have exceptional financial need as determined by Federal Methodology and be enrolled for at least one credit hour required for their degree program (not audit or hours classified as “permit”). Amounts awarded are determined by the federal government and the approved costs associated with attendance at Appalachian. 

Federal Supplemental Educational Opportunity Grant (FSEOG) 
This grant is awarded to those students with exceptional need. Students must be an undergraduate, working toward a first baccalaureate degree and enrolled at least half-time in hours required for their degree program (not audit hours or hours classified as “permit”) each term. Funding for this grant is limited and awarding is subject to funds availability. Complete the FAFSA to apply for the FSEOG. 

UNC Campus Scholarship 
The UNC Campus Scholarship is available for undergraduate students who are first generation college students, students from disadvantaged socio-economic backgrounds, or students from traditionally underrepresented populations. These students must have completed a FAFSA, are maintaining satisfactory academic progress, are enrolled full-time in credit hours required for their degree program per semester in a degree-granting program of study, have NC residency and demonstrate financial need to be considered for this scholarship.
","The Office of Student Financial Aid offers in-person guidance to student and families on filling out the Free Application for Federal Student Aid (FAFSA) application. http://financialaid.appstate.edu/blog/id/76 

The Admissions Office has information available to parents:  http://www.admissions.appstate.edu/parents

The College Awareness Programs work with low-income students and their parents to provide them with information about the higher education experience.  http://gocollege.appstate.edu/

The mission of the Gear Up Appalachian Partnership (Gaining Early Awareness and Readiness for Undergraduate Programs) is to accelerate the academic achievement of middle and secondary school students in the Alleghany, Ashe, Burke, Clay, Graham, Madison, Rutherford, Swain, Watauga, Wilkes, and Yancey Counties in North Carolina, so that increasing numbers will graduate from high school and enroll and succeed in college. These Western NC counties have an average poverty rate of 21.05%, an average child poverty rate of 30.37%, and an average household income of $37,760.  In addition to its many other missions, Gear Up provides early information about college options, required courses, and financial aid and provides information to families about the costs of college and the availability of student financial assistance. Gear Up also provides support for parents in preparing their students for college.  http://gearup.appstate.edu/ ","The Office of Admissions has trained recruiters who target students from low-income backgrounds.  The Office of Admissions recently hired an Assistant Director for Access who will be enhancing the university's outreach efforts to low-income students and students from other under-represented populations.

The Upward Bound Program is an academic support program funded by the U.S. Department of Education's TRIO Programs division. The mission of this program is to provide the necessary support for economically disadvantaged and/or first generation high school students to complete high school, enroll in college, and successfully obtain a four-year college degree. http://community.appstate.edu/program/upward-bound 

Gear Up Program (see above)
",,"The Office of Financial Aid works with students and their families to assist with eliminating financial barriers to attending Appalachian.  http://financialaid.appstate.edu/

The Office of Student Employment assists students in obtaining part-time job opportunities on and off campus through the Federal Work Study Program and Student Temporary Work Program. http://studentemployment.appstate.edu/","The UNC Campus Native American Scholarship is available to Native American undergraduate students who submit a Tribal Card or a Certificate of Blood, have completed a FAFSA, are maintaining satisfactory academic progress, are enrolled full-time in credit hours required for their degree program (12 or more credit hours), have NC residency, are in a degree-granting program of study, and demonstrate financial need. The scholarship amount is dependent on the number of eligible applicants and the amount of allocated funds each year. 

UNC Need-Based Grant: College Foundation of North Carolina administers this grant and makes awards based on the following: the student must be a North Carolina resident; an undergraduate working toward a first baccalaureate degree; be enrolled for at least half-time in hours required for their degree program (6 or more credit hours; not audit or hours classified as “permit”) each term and have substantial financial need. The FAFSA must be submitted no later than the March 1 priority deadline in order for a student to have priority consideration for this grant. 

North Carolina Need-Based Grant (NCNB): In order to be considered for this grant, a student must be a resident of North Carolina and demonstrate exceptional need. This grant may be awarded to undergraduate students who meet the above requirements and enroll in at least 6 credit hours required for their degree program (not audit) hours. The student must complete a FAFSA to apply for the NCNB grant. 

North Carolina Education Lottery Scholarship: College Foundation of North Carolina administers this grant and makes awards based on the following: the student must be a North Carolina resident; an undergraduate working toward a first baccalaureate degree; be enrolled at least half-time in hours required for their degree program (6 or more credit hours; not audit or hours classified as “permit”) each term; must meet all federal student eligibility criteria; and have financial need according to the North Carolina State Education Assistance Authority (NCSEAA) regulations and State Statute. The FAFSA must be submitted no later than the March 1 priority deadline for priority consideration
",True,"UNC Need-Based Grant: College Foundation of North Carolina administers this grant and makes awards based on the following: the student must be a North Carolina resident; an undergraduate working toward a first baccalaureate degree; be enrolled for at least half-time in hours required for their degree program (6 or more credit hours; not audit or hours classified as “permit”) each term and have substantial financial need. The FAFSA must be submitted no later than the March 1 priority deadline in order for a student to have priority consideration for this grant. 

North Carolina Need-Based Grant (NCNB): In order to be considered for this grant, a student must be a resident of North Carolina and demonstrate exceptional need. This grant may be awarded to undergraduate students who meet the above requirements and enroll in at least 6 credit hours required for their degree program (not audit) hours. The student must complete a FAFSA to apply for the NCNB grant. 

North Carolina Education Lottery Scholarship: College Foundation of North Carolina administers this grant and makes awards based on the following: the student must be a North Carolina resident; an undergraduate working toward a first baccalaureate degree; be enrolled at least half-time in hours required for their degree program (6 or more credit hours; not audit or hours classified as “permit”) each term; must meet all federal student eligibility criteria; and have financial need according to the North Carolina State Education Assistance Authority (NCSEAA) regulations and State Statute. The FAFSA must be submitted no later than the March 1 priority deadline for priority consideration","There are two child development centers that have a relationship with Appalachian State:

The Lucy Brock Child Development Center through the Reich College of Education:   http://lucybrock.appstate.edu/  

The Appalachian Child Development Center: Under the umbrella of the Office of Student Development, the Appalachian Child Development uses a ""theme approach"" each week. The themes tie in all areas of development (social, emotional, physical, personal skills) as well as reinforce cognitive activities. http://childdevelopment.appstate.edu/
","The Appalachian Warrior Fund has been established at Appalachian State University to honor veterans.The scholarship fund is for honorably discharged and disabled veterans and their children who have been admitted and enrolled at the university. http://www.news.appstate.edu/2015/01/23/appalachian-warrior-fund/ 

The Office of Distance Education offers numerous programs and service to support non-traditional students: http://desites.appstate.edu/ 
",True,**,51.3,--,66.7,48.9,38.3,http://lap.appstate.edu/access,--
Aquinas College,2016-03-21,2016-03-21 14:45:29,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:45,corey.hawkey@asu.edu,2.0,Pursuing,True,"Introduction: TRIO is a set of federally-funded college opportunity programs that motivate and support students from low-income and/or first-generation college backgrounds. TRIO also provides motivation and support for students with disabilities and U.S. veterans.

Obama Scholars Program
The Obama Scholars program provides a comprehensive financial package covering all direct cost for students attending Arizona State University immediately following graduation from an Arizona High School and coming from families earning less than $42,400 annually.
Target Audience – Students from Families earning less than $42,400 annually as demonstrated through the FAFSA process.
Program Start Date: 2009-2010
","The Obama Scholars Mentor program is designed to pair faculty and staff as mentors to recipients of the Obama Scholarship. All Obama Scholars mentors are required to participate in online or in-person training.  That is, program participants are required to meet a minimum of once per month with a peer mentor who serves as a clearing house to disseminate referral information and insight in successfully navigating the university system. Participation in five academic success program activities is required during the year. These activities can be academic programs/workshops and/or cultural/arts activities. The goal of the activities is improving academic skills and engaging in the activities of the university.","The ultimate purpose of the Upward Bound Program (UBP) is to prepare participants to succeed in a program of postsecondary education. The project is designed to increase the academic skills and motivational levels of project participants to the extent they will complete high school and successfully enter postsecondary educational programs and graduate.
Upward Bound, Tempe Campus
Number Served 112 annually

Hispanic Mother-Daughter Program (HMDP)
HMDP is an early outreach educational program for young Latina women and their mothers. The program is designed to raise the educational and career aspirations of Hispanic women. Young first-generation Hispanic girls and their mothers plan their academic and professional careers with skills acquired during monthly workshops, beginning in the 8th grade and continuing through the completion of a university degree, a ten (10) year span.
Audience Served: First-generation Hispanic/Latina students and their mothers from the 8th grade through university.
Program Founded: 1984
Program components:
HMDP is composed of 3 components – the 8th grade component, the high school component and the university component. Support for university students through HMDP include one-on-one advising, monthly brown bag lunches with identified topics of need for the students (i.e. graduate school, study abroad), scholarship mentoring program, student support organization, referral services for counseling and academic support.  Additionally, HMDP provides scholarship support for incoming and undergraduate participants. 

African American Men of Arizona State University (AAMASU)
AAMASU is a High School-to-College (H2C) Program and university student organization focused on increasing the recruitment, retention, and graduation rates of African American male high school and college students.
Targeted audience:
Current African American male (undergraduate and graduate) students attending Arizona State University, incoming African American male freshmen/transfer students, and local African American male students currently attending a Maricopa Community College, who are
interesting in transferring to Arizona State University.
High School 2 College Program Targeted audience: Current African American male freshman high school students and their parents residing in the Phoenix Metropolitan Area.
Program start date: 2004 – 2005 academic year.
Program Components:
AAMASU is structured both as a student organization and High School-to-College (H2C) Program. Events and programs hosted by and for the college organization include a literary club, fall leadership conference, black male workshops, film series, and a Black history month lecture. The H2C Program consists of three cohorts – high school sophomores, juniors, and seniors. Arizona State University staff and students conduct various grade level appropriate workshops such as applying to college and scholarships, financial aid, college life, majors, test preparations, etc. 
	
Veterans Upward Bound, Tempe Campus
Number Served 120 annually
Brief Description:  The mission of Veterans Upward Bound (VUB) is to provide free academic instruction and career guidance that will enhance the veteran’s ability to succeed in their educational goals beyond high school. VUB is an educational program designed to meet the needs of the veterans who seek to improve their academic skills in English, reading, math and computer literacy. In addition to free academic instruction, VUB assists with financial aid and scholarship applications, directs veterans to Veterans Administration services, and helps them connect with the educational institution of their choice
","Obama Scholars Program
The Obama Scholars program provides a comprehensive financial package covering all direct cost for students attending Arizona State University immediately following graduation from an Arizona High School and coming from families earning less than $42,400 annually.  
Target Audience – Students from Families earning less than $42,400 annually as demonstrated through the FAFSA process.
Program Start Date: 2009-2010
Program Components
Peer Mentoring – Program participants are required to meet a minimum of once per month with a peer mentor who serves as a clearing house to disseminate referral information and insight in successfully navigating the university system. Participation in five academic success program activities is required during the year. These activities can be academic programs/workshops and/or cultural/arts activities. The goal of the activities is improving academic skills and engaging in the activities of the university.  
	
","The American Dream Academy (ADA) Parent Education Program is a 9-week program that uses an intense, one-on-one contact model to create a community in which parents and teachers collaborate to transform each child’s educational environment at home and at school. The ADA helps parents to instill the value of education within themselves and their children. Through ADA, parents are given the tools to guide their children through K-12th grades and into higher education. This type of school based intervention empowers and trains parents to become effective advocates and partners in their children’s education. 
	
During Sun Devil 101 Welcome Week, there is a Parents Reception where parents learn about resources and programs offered to them through the Parents Association and have the opportunity to meet other Arizona State University parents. Resources include a 24 hour/ 7
day a week parent resource phone line and an emergency crisis fund. We also host Family Weekend in October which includes programming for students and families so that parents can learn more about the student’s experience at Arizona State University.  
","Access ASU, an initiative of Education Outreach and Student Services at Arizona State University, is a catalyst for change, transforming Arizona's college-going culture by empowering students to invest in their future and attain a university degree. Through partnerships with local schools districts, Access ASU staff provides accessible information and support to schools, families, and students, grades K-12, on college-readiness, career guidance, financial aid literacy and college life. Using both on-campus visits and ASU college students, Arizona students are exposed to the possibility and reality of attaining their dreams of higher education. We focus on 6 fundamentals: encouraging academic readiness, increasing college exposure, promoting financial aid literacy, building student self-confidence, providing adult role models, & fostering parental support. We enable student success and increase the yield of Arizona incoming freshmen through outreach services at no cost to schools.
	
The Hispanic Mother-Daughter Program (HMDP) is an early outreach college preparatory program that aims to increase the number of Latinas with bachelor’s degrees. The program begins working with the young ladies and their mothers/guardians when they are in 8th grade to prepare them to be successful in higher education. HMDP provides monthly workshops for mothers and daughters/guardians and one-on-one advising to students and their home schools. Workshop topics include, but are not limited to, the following topics: preparing for high school, self-esteem, effective communication, careers, leadership, financial aid/scholarships, applying for college.

Upward Bound targets low income students in 8th grade for a college preparatory program during high school.

African American Men of ASU works with high school students from districts with high percentages of low income students promoting high school completion and college readiness.

For more than 10 years, the Summer Bridge program at Arizona State University has helped new Sun Devils make a successful transition from high school to college life. All students take a 1-credit UNI 194 Academic Success Seminar along with two three-credit courses for a total of 7 credit hours. Course offerings vary by campus but typically include a Math, English, Critical Thinking or General Studies course. Students also benefit from the opportunity to live on campus during the program, dedicated tutoring services, and daily programming.
","The goal of TRIO Academic Achievement Center is to increase the retention and graduation rates of participants and to assist in the process of transitioning to the next levels of higher education.
	
The goal of the STEM-focused Student Support Services program is to increase the retention and graduation rates of participants in science, technology, engineering, and mathematics and to assist in the process of transitioning to the next levels of higher education.
	
The goal of the TRIO Student Support Services program is to increase the retention and graduation rates of participants and to assist in the process of transitioning to the next levels of higher education.
","Each year Arizona State University allocates the Upward Bound program scholarship dollars to award to new and continuing students.   Recipients are expected to attend three mentor visits and three academically related activities a semester, in addition to community services hours and showing proof of pre-registration and financial aid renewal.",All policies and programs to make the institution accessible has been covered above.,True,"In addition to free academic instruction, Veterans Upward Bound (VUB) assists with financial aid and scholarship applications, directs veterans to Veterans Administration services, and helps them connect with the educational institution of their choice.","Yes.  Arizona State University's Family Resources provides information and resources regarding on-campus and off-campus children's programs. Children's programs affiliated with the University provide children opportunities for personal growth and discovery in a warm, friendly environment. All programs are based on developmentally appropriate practices, with low teacher/child ratios, small group sizes and high educational and training requirements for staff.  
See website:  http://www.asu.edu/studentaffairs/reslife/family/oncampus.htm
","The mission of the TRIO Disability Student Support Services (DSSS) is to increase the retention and graduation rates of students with disabilities.  TRIO DSSS is designed to provide enhancement services for students with disabilities. These services include academic enhancement workshops, instructional support, and assistance with course selection, career and graduate school advisement, peer mentoring, and individualized tutoring. ",True,**,32.4,46.6,51.6,36.0,--,https://students.asu.edu/financialaid,Arizona State University used the Pell grant population for the reported statistics on low-income students.
Austin College,2016-02-29,2016-02-29 18:25:07,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:08,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ball State University,2016-02-29,2016-02-29 08:26:29,rkoester@bsu.edu,2.0,Pursuing,True,Both the Office of Admissions and Financial Aid work with graduation and retention specialists to provide support for 21st Century scholars.  They also work with students to ensure they stay on track to graduate in four years.,N/A,"Ball State University also offers the following:  21st Century Scholars Day Program (admissions), High School Nights attended by financial aid staff to discuss process of financial aid literacy, costs, awards, etc., College Goal Sunday (FA).

Ball State University serves as a host site for the Teen Works Summer Program.  Teen Works provides a six-week summer employment and college readiness program and supportive services for teens throughout the school year.

While our paid employment program gives teens the chance to earn a paycheck, the Teen Works experience is so much more than a job.  Participating teens build professional resumes, gain job skills for the future, participate in volunteer projects to give back to the community, and receive hands-on instruction to build key college and career readiness skills in areas like technology, finances and leadership.

During the summer program, Teen Works provides transportation, daily meals, and direct support to help teens enroll in accelerated college degree programs
and apply for college.  During the school year, Teen Works continues to provide support to our students through mentoring, 360 socials, and community service outings.  As they prepare to begin college, all Teen Works teens are also eligible for one of six annual college scholarships provided by the Eugene and Marilyn Glick Family Foundation.

The Office of Institutional Diversity offers Dream Makers Day.  Dream Makers Day is a day of dynamic community engagement and a learning experience for students who will be enrolled at Muncie Central High School grades 11 or 12.  The purpose of the experience is for students to discover how a college education can help them achieve their dreams and learn about the various majors at Ball State University.  Additionally, the program was started as a way to build relationships with the Muncie Coalition of Concerned Clergy and demonstrate our commitment to opening doors for employment at Ball State University.","We offer Ball State Grants and Ball State Fees Assistance to students in low to middle income categories.  These range from $500.00 to $2,000.00/year and can be renewed based upon the student's continued need.  There are also a variety of Ball State University Foundation Scholarships available through generous donations of alumni and friends of the University, that are based at least in part on a student's need.

In depth information and directions are listed on the Financial Aid and Scholarships website: http://cms.bsu.edu/admissions/scholarshipsandfinancialaid/typesofaid/scholarships/ballstatescholarships.  A link to outside scholarships is also posted on the Financial Aid and Scholarships website.","During orientation for incoming students, various offices including the Office of Financial Aid and Scholarships provide workshops to parents representing all levels of income.  An example of this would be a presentation, Straight Talk About Money, which has been recorded so that participants can refer back to information that was provided, 
http://cms.bsu.edu/media-gallery/galleries/admissions/orientation2012/straight-talk-about-money
","21st Century Scholars Day, provides the opportunity for students to apply with an application fee waiver (and waive the enrollment deposit at times).  Ball State University staff from Admissions and Financial Aid offer High School and college fairs visits in urban areas.

The Office of Institutional Diversity offers a Dream Makers Day.  Dream Makers Day is a day of dynamic community engagement and a learning experience for students who will be enrolled at Central High School in grades 11 or 12.  The purpose of the experience is for students to discover how a college education can help them achieve their dreams and learn about various majors at Ball State University.  Additionally, the program was started as a way to build our relationships with the Muncie Coalition of Concerned Clergy and demonstrate our commitment to opening doors for employment at Ball State University.",Ball State University staff from Admissions and Financial Aid offers High School and college fairs visits in urban areas.,"The Ball State University Financial Aid and Scholarship website:
http://cms.bsu.edu/admissions/scholarshipsand financialaid/
provides helpful information for both incoming and current students.  One option listed on the website, ""Funding your Education"", includes a guide to federal student aid provided by the US Department of Education.  This document provides information about preparing to pay for college including information about federal student aid grants, work-study programs, and loans.

","Participate in Federal Perkins Loan, SEOG, and work study programs that are geared toward low-income students",True,"Ball State offers a wide variety of scholarships for our full-time and part-time students.  Scholarships for both academic merit and financial need are offered.  In depth information and directions are listed on the Financial Aid and Scholarships website
http://cms.bsu.edu/admissions/scholarshipsandfinancialaid/typesofaid/scholarships/ballstatescholarships.  A link to outside scholarships is also posted on the Financial Aid and Scholarships website.","The Child Study Center,http://cms.bsu.edu/map/buildings/campus/child-study-center, is sponsored by the Department of Family and Consumer Sciences and is open to the Ball State community (faculty, staff, students and community).  The Child Study Center is accredited by the National Association for the Education of Young Children (NAEYC).  Additional information is provided on the website.

WorkLife Programs, a branch of Ball State University's Human Resources Services, offers information about a state-wide childcare provider finder service.
http://cms.bsu.edu/about/administrativeoffices/humanresources/worklife/childparentinfo
A link to the Family & Social Services Administration is also included at the WorkLife programs website along with information about fee assistance including CCDF vouchers.  This website is accessible to both Ball State University staff and students.","Non-traditional orientation sessions provided specific to their needs.  Admission policies specific to non-traditional students (which Ball State defines as 23 years of age or older).

Ball State offers several programs and services to non-traditional students to help with the transition to college life including: child care, The Learning Center, university apartments, CLEP Exams, Military Service Credits, the Office of Veteran Affairs, online courses, health insurance, recreation passes and unique scholarship opportunities.
http://cms.bsu.edu/academics/advising/gettingstarted/adultstudents
",--,**,--,--,--,--,--,http://cms.bsu.edu/About/AdministrativeOffices/InstitutionalDiversity.aspx,"The Centennial Commitment (18 by '18): Embracing the Ball State Legacy of Beneficence and Entrepreneurship includes achieving 17% of entering freshmen from underrepresented populations by 2018.

Ball State does not currently track the information requested in Part 2 of this credit."
Baylor University,2016-02-26,2016-02-26 17:48:31,Smith_Getterman@baylor.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
