Institution,Date Submitted,Last Updated,Liason Email,Version,Status,The percentage of new employees that are offered orientation and/or outreach and guidance materials ...,A brief description of how sustainability is included in new employee orientation,The website URL where information about sustainability in new employee orientation is available,Public Notes
Bucknell University,2016-05-23,2016-05-23 16:29:56,delmogaz@bucknell.edu,2.0,Pursuing,80.0,"A sustainability session is offered during the Getting to Know Bucknell component of orientation. This component is not required, but strongly encouraged by all staff to attend and is offered approximately every three months. The Director of the Campus Greening Initiative provides staff with information on best practices, current projects, and ongoing training opportunities.  Staff are directed to the Campus Greening website which provides this information in summary as well as more background information for staff who are interested.


",http://www.bucknell.edu/x3564.xml,--
Florida Gulf Coast University,2016-05-23,2016-05-23 16:33:25,kleone@fgcu.edu,2.0,Pursuing,35.0,"100% of new faculty attend an orientation that covers sustainability. During the faculty orientation, new hires are introduced to the university mission statement and FGCU's commitments to sustainability.  The orientation also covers FGCU's Quality Enhancement Plan and the Colloquium--both of which include sustainability as integral components.   

Human Resources will revamp their new employee orientation in the Fall 2014.  Sustainability will be a component of 100% of new employee orientations once the program is implemented .  ",--,"The percentage is derived from FGCU's IPEDS report.  Between July 1, 2013 and October, 31, 2013 FGCU hired 105 full-time employees, 37 of which were faculty.  All of these employees were still on the payroll as of November 1, 2013."
Haverford College,2016-05-23,2016-05-23 16:39:45,ckent@haverford.edu,2.0,Not Pursuing,--,--,--,--
Juniata College,2016-05-23,2016-05-23 16:49:12,yelnosr@juniata.edu,2.0,Not Pursuing,--,--,--,--
Oregon State University,2016-05-23,2016-05-23 16:54:37,brandon.trelstad@oregonstate.edu,2.0,Pursuing,100.0,"The Sustainability Office, Campus Recycling and the Center for Civic Engagement participate in several new employee orientation activities including:
University Day - a campus-wide event kicking off the new academic year and targeting programs to employees
Training Days - a fall event offering training to all employees, but specifically targeting new employees. 

The Beaver Community Fair is a fall event that targets all newcomers to the OSU campus but primarily emphasizes student engagement.  

The Office of Human Resources maintains the New Employee Resources website that contains sustainability information specifically targeted toward new employees.  The Sustainability Office maintains content and targeted outreach for new employees.  This information is distributed to new employees along with information about benefits and other general information. ",http://fa.oregonstate.edu/sustainability/welcome-new-employees,--
Pittsburg State University,2016-05-23,2016-05-23 16:58:05,bpeery@pittstate.edu,2.0,Not Pursuing,--,--,--,--
Slippery Rock University,2016-05-23,2016-05-23 17:00:53,paul.scanlon@sru.edu,2.0,Pursuing,100.0,"A sustainability flyer that describes SRU's commitment to sustainability and the President's Climate Commitment, explains why sustainability should be important to all employees, and provides links to sustainability-focused groups, clubs, websites, Facebook pages and Twitter feeds is included in new employee orientation materials.",--,--
University of Texas Rio Grande Valley,2016-05-23,2016-05-23 17:04:00,Marianella.Franklin@utrgv.edu,2.0,Not Pursuing,--,--,--,--
Weber State University,2016-05-23,2016-05-23 17:05:33,jenniferbodine@weber.edu,2.0,Pursuing,100.0,"WSU's sustainability coordinator attends every new staff and new faculty orientation to introduce employees to the Energy & Sustainability Office. Employees are familiarized with the energy and water conserving projects currently being implemented on campus and are provided with information on what/how to recycle various items. Employees are also provided with the sustainable living brochure, they are briefed on sustainability-related campus polices (i.e. anti-idling), and they are encouraged to get involved and share their green ideas throughout their employment with WSU. New employees are also introduced to WSU's Green Department Certification Program at this time and are encouraged to get their respective departments involved if they aren't already.",--,--
Wilfrid Laurier University,2016-05-23,2016-05-23 17:08:17,cbennett@wlu.ca,2.0,Pursuing,100.0,"On the 'New Hire Information' website, the Sustainability Office is listed twice under 'Services Available to You' and 'Getting Involved', including links to the Sustainability Office website, Laurier's Green Guide, Sustainability Map, Farm Market, CSA, community garden, e-waste process, and alternative transportation options. ",http://www.wlu.ca/page.php?grp_id=13389&p=20575,--
