Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Title or keywords related to the innovative policy, practice, program, or outcome","A brief description of the innovative policy, practice, program, or outcome ",A brief description of any positive measurable outcomes associated with the innovation (if not ...,Provide affirmation that the following statements are true:,A letter of affirmation from an individual with relevant expertise,"The innovation describes a new, extraordinary, unique, ground-breaking, or uncommon outcome, policy ...","The innovation (program, policy, or outcome) is not already covered by an existing STARS credit or ...",Which of the following STARS subcategories does the innovation most closely relate to? (Select all ...,"The innovative practice, policy, program, or outcome occurred within the past three years",Other topic(s) that the innovation relates to that are not listed above,The website URL where information about the innovation is available ,"The institution has not previously received a STARS innovation credit for this specific practice, ...",Does the innovation relate to Curriculum?,Does the innovation relate to Research?,Does the innovation relate to Campus Engagement?,Does the innovation relate to Public Engagement?,Does the innovation relate to Air & Climate?,Does the innovation relate to Buildings?,Does the innovation relate to Dining Services?,Does the innovation relate to Energy?,Does the innovation relate to Grounds?,Does the innovation relate to Purchasing?,Does the innovation relate to Transportation?,Does the innovation relate to Waste?,Does the innovation relate to Water?,"Does the innovation relate to Coordination, Planning & Governance?",Does the innovation relate to Diversity & Affordability?,"Does the innovation relate to Health, Wellbeing & Work?",Does the innovation relate to Investment?,Public Notes
Bucknell University,2016-05-23,2016-05-23 16:29:12,delmogaz@bucknell.edu,2.0,Pursuing,Miller Run Restoration Project,"Since 2010 staff, faculty, and students associated with the Bucknell University Environmental Center, Bucknell Facilities, and the U.S. Fish and Wildlife Service have collaborated to restore the headwaters of Bucknell's campus stream, Miller Run.","Upon completion of the project (projected spring 2015) the restored stream is expected to accommodate greater biodiversity, contribute less storm water runoff to the Susquehanna River, and facilitate greater groundwater recharge through the presence of newly constructed riparian wetlands.  Measurements of these and other indicators are underway and ongoing by faculty and students associated with the project.",**,http://stars.aashe.org/media/uploads/test_cases/Ltr%20of%20Rec-BU%20STARS.pdf,True,True,**,True,--,http://www.departments.bucknell.edu/environmental_center/StreamRestorationCourse/Projects.html,True,--,True,True,--,--,--,--,--,True,--,--,--,True,--,--,--,--,--
Florida Gulf Coast University,2016-05-23,2016-05-23 16:32:30,kleone@fgcu.edu,2.0,Pursuing,Liquid ozone being used to replace harsh chemical cleaners in residence halls.,"Liquid ozone can be produced economically for use as a cleaner and disinfectant. FGCU's residence halls now use small liquid ozone producing machines which use only water and electricity to produce a safe alternative to chemicals typically used for sanitization. This liquid ozone cleaner breaks down to its individual constituents (Water and Oxygen) after only a few hours, eliminating the need for chemical cleaners and minimizing the risks to custodial workers","The liquid ozone machines are small enough to fit within a janitorial closet and preclude the need to purchase sanitization and cleaning solutions from a third party, reducing the consumption of resources and the financial burden of continual purchase of cleaning products. Risks of inhalation and of skin exposure in custodial workers is also lessened as a result of this implementation. ",**,http://stars.aashe.org/media/secure/39/6/582/3264/liquid%20ozone%20history%20and%20implementation%20june%2010%202011%20(6)%20(1).docx,True,True,**,True,"Housing, Custodial",--,True,--,--,--,--,--,--,--,--,--,True,--,True,--,--,--,True,--,--
Haverford College,2016-05-23,2016-05-23 16:38:52,ckent@haverford.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Juniata College,2016-05-23,2016-05-23 16:48:12,yelnosr@juniata.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oregon State University,2016-05-23,2016-05-23 16:53:31,brandon.trelstad@oregonstate.edu,2.0,Pursuing,OSU Rainwater Resource Guide and associated outcomes,"The Oregon State University Sustainability Office, in collaboration with the Corvallis Sustainability Coalition’s Water Action Team, created a Rainwater Resources Guide and map to help illustrate the many stormwater mitigation features on the OSU Corvallis Campus.  The Guide is intended for all audiences and includes less common features like rain collection tanks and permeable pavement, as well as more common storm sewer access structures, bioswales and raingardens.  This gives the reader/tourer a more comprehensive picture of how a developed campus addresses rainwater and stormwater on site.  The document includes an illustrated map of campus features and details on each type of feature, which include bioswales, green roofs, permeable pavement, raingardens and storm sewer access structures.  Feature details are provided on the brochure, and in a way that makes the technical information relevant and appealing to a diverse audience.  ","The process to create this brochure started with a community member and local volunteer who provided and continues to provide great leadership, expertise and connection to the community around water-related issues.  The effort gather and consolidate information that could be presented to a diverse audience brought together faculty and staff from engineering, horticulture and other academic programs, with OSU's Capital Planning and Development unit and Sustainability Office.  Because of this resulting relationship, a collaboration of OSU community, faculty, students and staff has teamed up to perform critical research and design projects.  

Several of these projects have located - and resulted in the university addressing - stormwater problems like leaking condensate water from the campus steam system going into a local stream, potable water leaks being identified, and other outcomes that have built on awareness that resulted from the Guide. The conversations from this new relationship have also poised OSU to view future development in a new manner. And it all started with the research and development performed to create and distribute this one brochure.

An additional benefit of the development of this brochure and the resulting partnership between community groups like the Water Action Team, academic units and university operational units, is OSU's upcoming EPA RainWorks Challenge participation.  Our RainWorks Challenge team will implement a Low Impact Development bioremediation system for a high impact area on OSU campus that is in severe need of retrofitting.  Seventeen civil engineering students and four horticulture students are involved.  ",**,http://stars.aashe.org/media/secure/114/6/582/3264/Support_letter_OSU_Rainwater_Guide.pdf,True,True,**,True,--,http://fa.oregonstate.edu/sustainability/resources-visitors,True,True,--,--,True,--,True,--,--,True,--,--,--,True,--,--,--,--,--
Pittsburg State University,2016-05-23,2016-05-23 16:57:03,bpeery@pittstate.edu,2.0,Pursuing,Kansas Polymer Research Center,Pittsburg State University is home to the Kansas Polymer Research Center (KPRC). One of the primary functions of the KPRC is to find ways to use bio-based oils to replace petroleum in products.,The KPRC holds 17 patents.,**,http://stars.aashe.org/media/secure/277/6/582/3264/STARS%20Innovation%20Letter.pdf,True,True,**,True,--,--,True,--,True,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Slippery Rock University,2016-05-23,2016-05-23 17:00:06,paul.scanlon@sru.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Texas Rio Grande Valley,2016-05-23,2016-05-23 17:03:32,Marianella.Franklin@utrgv.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Weber State University,2016-05-23,2016-05-23 17:04:58,jenniferbodine@weber.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wilfrid Laurier University,2016-05-23,2016-05-23 17:07:23,cbennett@wlu.ca,2.0,Pursuing,Young City Grower Community Garden,"The objective of the first growing season of the project have been met as 1600sq feet of unused urban land has been successfully transformed into a viable micro-agricultural site. Through our land partnership with Wilfrid Laurier University, participating local youth interns were able to grow a diversity of 12 crops for produce that included tomatoes, cherry tomatoes, peppers, beets, summer squash, beans, carrots, cucumbers, leeks, onions, a variety of greens including kale and lettuce, and a variety of herbs. The market garden site produced over 900 lbs of fresh food that was made available to CSA Market participants from the local WLU faculty and staff and local families. Through the Support of the Ontario Trillium Foundation, the Young City Growers project was provided learning and summer employment opportunities to local students, who gained experience in planning and creating an urban garden and operating a Community Shared Agriculture model market.","The market garden site provided over 15 paid and unpaid internship positions and produced over 900 lbs of fresh food that was made available to CSA Market participants from the local WLU faculty and staff and local families. Through the Support of the Ontario Trillium Foundation, the Young City Growers project was provided learning and summer employment opportunities to local students, who gained experience in planning and creating an urban garden and operating a Community Shared Agriculture model market.",**,http://stars.aashe.org/media/secure/216/6/582/3264/YCG%20Letter.pdf,True,True,**,True,--,http://youngcitygrowers.org/,True,--,--,--,True,--,--,--,--,--,--,--,--,--,--,--,--,--,--
