Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an institution-wide stated preference to purchase computers and/or other ...,"A copy of the electronics purchasing policy, directive, or guidelines","The electronics purchasing policy, directive, or guidelines ","A brief description of steps the institution has taken to ensure that the purchasing policy, ...",Does the institution wish to pursue to pursue Part 2 of this credit (expenditures on EPEAT ...,"Expenditures on EPEAT registered desktop and laptop computers, displays, thin clients, televisions, ...","Expenditures on EPEAT Bronze desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Silver desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Gold desktop and laptop computers, displays, thin clients, televisions, and ...","Total expenditures on desktop and laptop computers, displays, thin clients, televisions, and ...","The website URL where information about the institution's electronics purchasing policy, directive, ...",Public Notes
Bucknell University,2016-05-23,2016-05-23 16:28:57,delmogaz@bucknell.edu,2.0,Pursuing,--,,,,--,**,--,--,--,--,--,--
Florida Gulf Coast University,2016-05-23,2016-05-23 16:32:15,kleone@fgcu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Haverford College,2016-05-23,2016-05-23 16:38:44,ckent@haverford.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/262/6/506/3784/Recommended-Hardware-2014-Jan.pdf,"Our URL with our hardware recommendations (including a requirement for EPEAT silver or better when available is at http://iits.haverford.edu/wp-content/blogs.dir/1/downloads/2014/01/Recommended-Hardware-2014-Jan.pdf
There's also an EPEAT statement at the bottom of http://haverford.edu/doftware-hardware/college-owned-hardware/","Office, lab, classroom and other computers, along with related IT equipment (printers, monitors, projectors, tec.) are purchased through Instructional and Information Technology Services (IITS).

When purchasing this equipment IITS strives to meet both the College’s academic and operational needs and our commitment to sustainability and a healthy environment. This includes purchasing equipment with an eye towards its entire lifecycle from manufacturer , through use, and beyond to recycling. IITS strives to meet our mission through the use of EPEAT registered and verified products earning at least a Silver rating.
",True,**,--,177761.8,299137.97,476899.77,https://www.haverford.edu/iits/),--
Juniata College,2016-05-23,2016-05-23 16:48:02,yelnosr@juniata.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Oregon State University,2016-05-23,2016-05-23 16:53:15,brandon.trelstad@oregonstate.edu,2.0,Pursuing,True,,"The website where the EPEAT policy, directive, or guidelines are posted:
http://pacs.oregonstate.edu/buyorange","The computers offered under our Buy Orange program are from contracts with major companies, HP, Dell and Apple, who have long standing programs for environmental responsibility.  All of the computers under targeted under this program are at a minimum silver level and a majority are gold.  

The figures below represent 12 months of purchases from our largest computer vendor in the Buy Orange program.  ",True,**,139.99,142169.77,6985851.35,8758821.74,http://pacs.oregonstate.edu/buyorange/,"Special thanks to Andrea Desimone at Green Electronics Council for helping with data analysis. 
"
Pittsburg State University,2016-05-23,2016-05-23 16:56:55,bpeery@pittstate.edu,2.0,Pursuing,--,,,,True,**,426.86,6971.23,1474.81,8872.9,http://www.pittstate.edu/office/purchasing/latest-news.dot,--
Slippery Rock University,2016-05-23,2016-05-23 16:59:57,paul.scanlon@sru.edu,2.0,Pursuing,True,,"SRU's IATS department requires that ""All desktops, laptops, and computer monitors provided under IATS at Slippery Rock University are required to have achieved Bronze registration or higher in EPEAT system in the United States/Canada.""","SRU's IATS support services department specifies all computer equipment, which is then purchased by SRU's Purchasing department. Both the Director of IATS and the Director of Purchasing are active members of SRU's Energy Conservation Committee that created the SRU Energy Conservation Policy which also dictates that the most efficient-environmentally friendly office equipment be purchased.",--,**,--,--,--,--,--,--
University of Texas Rio Grande Valley,2016-05-23,2016-05-23 17:03:27,Marianella.Franklin@utrgv.edu,2.0,Pursuing,--,http://stars.aashe.org/media/secure/811/6/506/3784/http___www.utpa.edu_hop_policies__8.2.pdf,"The purpose of this policy is to provide for a uniform and systematic method of purchasing the goods and services required by The University of Texas-Pan American and to define the authority of the Director of Materials Management.

","iShopUTPA is an innovative web based e-procurement system designed to provide an efficient and effective electronic ordering tool. IshopUTPA provides a one stop shop system for ordering goods and services.

iShopUTPA offers a one-stop purchasing shop for ordering goods and services that will provide the detailed visibility that the University  needs to secure the best terms and conditions with suppliers. 

iShopUTPA empowers the university community with the knowledge to make informed procurement decisions with enhanced reporting and tracking capabilities.

This paperless marketplace will enhance our purchasing and processing capabilities, reduce costs and improve productivity.

NOTE:  All desktops and laptops purchased through iShopUTPA must meet EPEAT Gold standard.


http://portal.utpa.edu/utpa_main/dba_home/ishoputpa_home",--,**,--,--,--,883832.52,http://portal.utpa.edu/utpa_main/dba_home/comptroller_home/materials_home/purchasing_home/materials_procedures,--
Weber State University,2016-05-23,2016-05-23 17:04:51,jenniferbodine@weber.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Wilfrid Laurier University,2016-05-23,2016-05-23 17:07:11,cbennett@wlu.ca,2.0,Pursuing,True,http://stars.aashe.org/media/secure/216/6/506/3784/Employee_Computer_Evergreen_Program.pdf,,"The University has standard Dell models for most user's on campus which are EPEAT Gold. Alternatively, users choose to purchase Apple computers which are also all EPEAT Gold. ",True,**,--,--,989690.0,989690.0,http://www.wlu.ca/page.php?grp_id=47&p=20741,"Due to the resale of Apple computers to students and individuals, it is not possible to provide expenditures that the University makes with Apple. The above listed expenditures are for DELL computers only, purchased over the period of May 1, 2012 - April 30, 2013.

"
