Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution have an institution-wide stated intent to support disadvantaged businesses, ...","A copy of the policy, guidelines or directive governing inclusive and local purchasing","The policy, guidelines or directive governing inclusive and local purchasing",Does the institution wish to pursue Part 2 of this credit (inclusive and local expenditures)?,"The percentage of total purchases from disadvantaged businesses, social enterprises and/or local ...",The website URL where information about the institution’s inclusive and local purchasing policies ...,Public Notes
Bucknell University,2016-05-23,2016-05-23 16:29:46,delmogaz@bucknell.edu,2.0,Pursuing,--,,,--,--,--,--
Florida Gulf Coast University,2016-05-23,2016-05-23 16:33:12,kleone@fgcu.edu,2.0,Pursuing,True,,The University is an equal opportunity institution and promotes procurement participation and contract  award with Minority Business Enterprises (MBE). MBEs should have a fair and equal opportunity to compete for dollars spent by the University to procure commodities and contractual services. Competition ensures that prices are competitive and that a broad vendor base is available. The University will use good faith efforts to ensure that MBE vendors are aware of procurement and contract opportunities.,True,3.0,http://www.fgcu.edu/AS/Purchasing/mbe-program.html,Data from fiscal year 2012-13.
Haverford College,2016-05-23,2016-05-23 16:39:32,ckent@haverford.edu,2.0,Pursuing,True,,"T. F. McCall provides liners, and paper products.  McCall is owned and operated by a women.",True,20.0,--,"6% of our overall spending on products is on delivery to a Tier 1 minority partner.
Unwritten policy but something we are working on and we do monitor spending and look for when possible.
Nikki Millas Director of Purchasing contributed to this entry."
Juniata College,2016-05-23,2016-05-23 16:48:58,yelnosr@juniata.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Oregon State University,2016-05-23,2016-05-23 16:54:23,brandon.trelstad@oregonstate.edu,2.0,Pursuing,True,,"Policy
http://fa.oregonstate.edu/files/pacs/resources/equity-contracting-and-purchasing-policy.pdf

Outreach
We actively participate in all regional outreach events with MWESB vendors in an effort to give them training and contacts to increase their awareness of business opportunities with the University.  

We host a Merchant Expo annually and make extra effort to contact MWESB and QRF vendors as part of our outreach.  We also give these vendors a reduced rate for their booth fees.  ",True,7.96,http://fa.oregonstate.edu/pacs-manual/300-purchasing/316-mwesb-qualified-rehabilitation-facilities-and-oregon-commission-blind,--
Pittsburg State University,2016-05-23,2016-05-23 16:57:48,bpeery@pittstate.edu,2.0,Pursuing,True,,"Summary of K.S.A. 75-3321

Any person or officer authorized to purchase materials and supplies for a State agency or Unified School District operating in Kansas shall purchase, from the State Use Catalog, which includes “Products and Services Manufactured and Offered by Blind and Severely Disabled Kansans,” at any time when the listings in that catalog will meet the needs of the agency or school district. ",--,--,http://admin.ks.gov/offices/procurement-and-contracts/state-use-program/,--
Slippery Rock University,2016-05-23,2016-05-23 17:00:39,paul.scanlon@sru.edu,2.0,Pursuing,True,,"The university seeks to do business with underutilized businesses in a number of ways:
1) We attend trade fairs in Pittsburgh, Cranberry and Harrisburg which target these businesses. 
2) We distribute our invitations for bid thru the African American Chamber.
3) We require MWBE solicitation as part of our Construction Bid Process. 
4) Our current Food Service Contractor with which we do over $6 million in business is a Woman Owned Business. See http://www.sru.edu/offices/contracts for additional information on our contracting policies.",--,--,http://www.sru.edu/offices/purchasing,--
University of Texas Rio Grande Valley,2016-05-23,2016-05-23 17:03:51,Marianella.Franklin@utrgv.edu,2.0,Pursuing,True,,"Organization: Mission, Goals, Authority

Issue Date: February 1, 2003

Mission  – The Department of Materials Management strives to provide efficient and responsive procurement and related services to University departments with exceptional customer service and with the highest standards of ethics

Goals – In order to accomplish its mission, the Department of Materials Management pursues the following goals: 

• To provide cost-effective and efficient purchasing services for University departments while ensuring compliance with relevant University, UT System, State, and Federal purchasing regulations; 
• To provide efficient and cost-effective travel services for University departments while ensuring compliance with relevant University, UT System, and State travel regulations; 
• To promote economic prosperity for Historically Underutilized Businesses (HUBs) through the State-mandated HUB Program, including the provision of expertise to potential HUB vendors to assist them in participating in the program; 
• To provide efficient receiving, delivery, and shipping of goods for University departments; 
• To achieve excellence as defined by the Baldrige-based “Excellence in Higher Education”. 


Authority – Authority to obligate institutional funds for purchases of supplies, goods, services, and equipment is delegated to the Director of Materials Management by the President pursuant to authority granted in Part One, Chapter I, Section 9.25, of the Regents’ Rules and Regulations. 

Reference – Handbook of Operating Procedures, Section 8.2.2; 
8.2.8 UTILIZATION OF HISTORICALLY UNDERUTILIZED BUSINESS (HUB) FIRMS ",True,28.0,http://portal.utpa.edu/utpa_main/dba_home/comptroller_home/materials_home/hub_home,--
Weber State University,2016-05-23,2016-05-23 17:05:25,jenniferbodine@weber.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Wilfrid Laurier University,2016-05-23,2016-05-23 17:08:04,cbennett@wlu.ca,2.0,Not Pursuing,--,--,--,--,--,--,--
