Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the the institution employ Life Cycle Cost Analysis (LCCA) as a matter of policy and practice ...,Does the institution employ LCCA as a matter of policy and practice across the operations of the ...,A brief description of the LCCA policy(ies) and practice(s),The website URL where information about the institution’s LCCA policies and practices is available,Public Notes
Bucknell University,2016-05-23,2016-05-23 16:29:53,delmogaz@bucknell.edu,2.0,Pursuing,--,--,,--,--
Florida Gulf Coast University,2016-05-23,2016-05-23 16:33:20,kleone@fgcu.edu,2.0,Not Pursuing,--,--,--,--,--
Haverford College,2016-05-23,2016-05-23 16:39:40,ckent@haverford.edu,2.0,Pursuing,True,True,"Products: Energy use, life cycle cost and first cost are a consideration in the purchase of all energy/consuming products.
Projects go a step further and require the bidder or the design professional (depending on the project size) to include a simple life cycle cost analysis.",--,--
Juniata College,2016-05-23,2016-05-23 16:49:07,yelnosr@juniata.edu,2.0,Not Pursuing,--,--,--,--,--
Oregon State University,2016-05-23,2016-05-23 16:54:30,brandon.trelstad@oregonstate.edu,2.0,Not Pursuing,--,--,--,--,--
Pittsburg State University,2016-05-23,2016-05-23 16:57:58,bpeery@pittstate.edu,2.0,Not Pursuing,--,--,--,--,--
Slippery Rock University,2016-05-23,2016-05-23 17:00:47,paul.scanlon@sru.edu,2.0,Pursuing,True,True,"The Office of Sustainability and SRU's Facilities Planning and Construction Department employ LCCA  on energy/water conservation projects (for example, ROI and Cash Flow Projections were used to evaluate proposed projects on a large Guaranteed Energy Savings Agreement program currently being negotiated with the successful vendor).",--,--
University of Texas Rio Grande Valley,2016-05-23,2016-05-23 17:03:56,Marianella.Franklin@utrgv.edu,2.0,Not Pursuing,--,--,--,--,--
Weber State University,2016-05-23,2016-05-23 17:05:30,jenniferbodine@weber.edu,2.0,Not Pursuing,--,--,--,--,--
Wilfrid Laurier University,2016-05-23,2016-05-23 17:08:13,cbennett@wlu.ca,2.0,Not Pursuing,--,--,--,--,--
