Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total number of vehicles in the institution’s fleet ,Number of vehicles in the institution's fleet that are:,"Gasoline-electric, non-plug-in hybrid vehicles in the institution’s fleet ","Diesel-electric, non-plug-in hybrid vehicles in the institution’s fleet ",Plug-in hybrid vehicles in the institution’s fleet ,100 percent electric vehicles in the institution’s fleet ,Vehicles in the institution's fleet that are fueled with Compressed Natural Gas (CNG),Hydrogen fueled vehicles in the institution’s fleet ,Vehicles in the institution’s fleet that are fueled with B20 or higher biofuel for more than 4 ...,"Vehicles in the institution's fleet fueled with locally produced, low-level (e.g. B5) biofuel for ...",A brief description of the institution’s efforts to support alternative fuel and power technology ...,The website URL where information about the institution's support for alternative fuel and power ...,Public Notes
Bucknell University,2016-05-23,2016-05-23 16:28:58,delmogaz@bucknell.edu,2.0,Pursuing,173.0,**,2.0,--,--,--,--,--,--,--,,--,--
Florida Gulf Coast University,2016-05-23,2016-05-23 16:32:16,kleone@fgcu.edu,2.0,Pursuing,144.0,**,1.0,--,1.0,81.0,--,--,--,--,"100% of our golf cars are electric, our university president drives the plug-in gas/electric hybrid Chevy Volt and our chief of police has a Ford Escape hybrid.",--,"Fleet Breakdown
Golf Carts - 81
Tractors/Heavy Equipment - 5
Plug In Hybrid - 1
Non-plug in Hybrid - 1
Other Vehicles - 56"
Haverford College,2016-05-23,2016-05-23 16:38:45,ckent@haverford.edu,2.0,Pursuing,44.0,**,--,--,--,7.0,--,--,--,--,,--,--
Juniata College,2016-05-23,2016-05-23 16:48:02,yelnosr@juniata.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--
Oregon State University,2016-05-23,2016-05-23 16:53:15,brandon.trelstad@oregonstate.edu,2.0,Pursuing,364.0,**,12.0,--,2.0,34.0,--,--,7.0,10.0,OSU has an extensive fleet of small and offroad electric vehicles. ,--,"The precise number of vehicles fueled with locally produced, low-level (e.g. B5) biofuel for more than 4 months of the year is unknown. This is primarily due to the variability of fuel blends. 

Also, fleet changes are frequent. Figures are therefore estimates and/or averages.  "
Pittsburg State University,2016-05-23,2016-05-23 16:56:55,bpeery@pittstate.edu,2.0,Pursuing,95.0,**,3.0,--,--,6.0,--,--,--,1.0,The University makes every effort to purchase the most sustainable vehicle for fleet purposes giving consideration to budget and use of vehicle.  ,http://www.pittstate.edu/office/president/initiatives/sustainability/sustainability-goal.dot,--
Slippery Rock University,2016-05-23,2016-05-23 16:59:58,paul.scanlon@sru.edu,2.0,Pursuing,107.0,**,--,--,--,8.0,--,--,--,--," Slippery Rock University's facilities and planning department has several Club Car electric utility vehicles in its fleet of maintenance vehicles; the vehicles provide a quiet, smooth ride, emit no pollution, and will help the department deploy a more sustainable maintenance operation.  ",http://www.sru.edu/sustainability,--
University of Texas Rio Grande Valley,2016-05-23,2016-05-23 17:03:27,Marianella.Franklin@utrgv.edu,2.0,Pursuing,116.0,**,--,--,--,2.0,5.0,--,--,--,,--,"UTPA owns 53 vehicles which are capable of utilizing biofuels, however, filling stations are located outside of campus city limits."
Weber State University,2016-05-23,2016-05-23 17:04:52,jenniferbodine@weber.edu,2.0,Pursuing,152.0,**,--,--,1.0,--,12.0,--,--,--,For the past few years WSU has focused on transitioning the shuttle buses over to CNG fueled shuttles. A CNG refueling station was also constructed on campus property three years ago and this station is open to the public. This year WSU purchased its first plug-in hybrid for the fleet. WSU plans to purchase more of these vehicles and potentially all electric vehicles in the near future. WSU's Facilities Management Department has also purchased four electric golf carts for employee use around campus. ,--,--
Wilfrid Laurier University,2016-05-23,2016-05-23 17:07:11,cbennett@wlu.ca,2.0,Pursuing,29.0,**,3.0,2.0,--,--,--,--,--,--,,--,"Information from each vehicle-using department were provided by the following parties:
Special Constables- Harry Oldengarm 
Recruitment- Holly Cox
Food Services- Kelly Ough
Physical Resources- James Emary
Distribution- Chasity Stewart
Facilities- Dan Graham"
