Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution use Low Impact Development (LID) practices as a matter of policy or standard ...,A brief description of the institution’s Low Impact Development (LID) practices,number_strategies,"Has the institution adopted a rainwater/stormwater management policy, plan, or strategies that ...","A brief description of the institution’s rainwater/stormwater management policy, plan, and/or ...",A brief description of any rainwater harvesting employed by the institution,"Rainwater harvested directly and stored/used by the institution, performance year",A brief description of any rainwater filtering systems employed by the institution to treat water ...,A brief description of any living or vegetated roofs on campus,A brief description of any porous (i.e. permeable) paving employed by the institution,A brief description of any downspout disconnection employed by the institution,A brief description of any rain gardens on campus,A brief description of any stormwater retention and/or detention ponds employed by the institution,"A brief description of any bioswales on campus (vegetated, compost or stone)",A brief description of any other rainwater management technologies or strategies employed by the ...,"The website URL where information about the institution’s rainwater management initiatives, plan or ...",Public Notes
Bucknell University,5/23/2016,5/23/2016 16:29:27,delmogaz@bucknell.edu,2,Pursuing,TRUE,"Since 2012 all new construction has included LID stormwater retention as part of the site design and development.  This includes two new fraternity houses, a new academic building, and a series of residence halls.",2,TRUE,"Strategies in use on campus include 3 green roofs, several rain gardens, and a bioswale.",The Environmental Center employs rain barrels for irrigation in its native plants garden.,--,,"Two green roofs are in place on the Dana Engineering building.  One is modular, and one is integrated.  There is a much larger modular green roof on the Academic West Building.  All three roofs are planted with a variety of sedum species, and one of the green roofs on Dana Engineering is instrumented for research.",,,Rain gardens are present at the Environmental Center and Academic West.  Most of these are excavated areas lined with gravel at the bottom and planted with a variety native plants on the sloping sides.,"A series of stormwater retention ponds have been constructed to manage the runoff from the new fraternity houses and residence halls on the South Campus.  These bowl-shaped structures planted with native grasses and perennials form a chain of retention basins which successively retain runoff during storm events, reducing runoff speed and volume to the Susquehanna River.","The South Campus residential area also employs a bioswale as part of its stormwater runoff mitigation strategy.   The bioswale is planted with native perennials and grasses, and runs parallel to the service road to the residence halls.  The bioswale channels stormwater in a series of steps toward the retention ponds mentioned above. ",,--,--
Florida Gulf Coast University,5/23/2016,5/23/2016 16:32:47,kleone@fgcu.edu,2,Pursuing,TRUE,"FGCU abides by SFWMD requirements (http://www.sfwmd.gov/portal/page/portal/sfwmdmain/home%20page) and 
and NPDES National Pollutants Discharge Elimination System permitting and regulation standards. (http://water.epa.gov/polwaste/npdes/)

We have a series of stormwater drains system and pipe systems which returns stormwater to the ground quickly, thereby reducing the opportunity for runoff to collect pollutants before making its way to protected wetlands and conservation areas.  Water that soaks into the ground quickly leads to a healthier overall water supply; it replenishes groundwater aquifers and keeps our nearby waterways clean while reducing flooding and erosion on campus. 
 
Whenever we have construction projects where the management of groundwater or precipitation is an issue, we are required to filter the water before releasing it naturally into the environment.  

FGCU resides within a sub-basin of the Estero River Basin, which represents a significant portion of the Estero Bay Drainage Basin. The entire 800 acre University campus property has been designed with one master stormwater system to accommodate a maximum of 410.20 acres of development. It is comprised of mostly upland and wetland habitats. 

The master-planned campus stormwater system is comprised of an interconnected network of detention and retention ponds that occur in the higher elevation upland areas of the campus. The property run-off, generated by the adjacent upland University development footprint, is conveyed through these linked features. 

Discharged waters exit the site at one of two existing perimeter cypress sloughs (“swamps”) that are located at the east and west sides of the property boundary. Prior to entering either of these sloughs, the treated stormwater is conveyed through a spreader swale that has been specifically designed to mimic natural conditions, thus slowing the rate/speed of the discharged water flow and preventing the potential for erosion or turbidity in the natural slough environment. After flowing through these eastern/western cypress sloughs, the slow-moving water flows converge again at the southern point of the property where they ultimately discharge to the Estero River. 

The plans for the storm water management system for the University campus were approved by the U.S. Army Corp of Engineers Permit No. 199400807 and South Florida Water Management District Permit No. 36-02881-5. ",3,TRUE,"We have retention areas and swales boarding roadways, buildings and parking garages and environmentally sensitive areas.  Surface water management on the campus detains/retains for pretreatment the first 1.5 inches of runoff from hard surfaces rather than the typically required 1.0 inch of runoff.

The FGCU campus site was originally permitted to provide storm water management in four separate development basins. Onsite wetlands were permitted to be a key feature of the stormwater management system within each basin, along with created lakes and dry detention pre-treatment area. Currently, the building sites in Basins 2 and 3 have been predominantly developed with stormwater management infrastructure in place. These two basins (Basin 2= The Academic Core and Basin 3 and the Student 
Housing/Recreation Area) have obtained permits that account for much of the developable land. No additional mitigation will be required for development of the remainder of these basins, provided this development is consistent with the direction provided in the initial conceptual permit. Future development in these areas that varies 
from the term of the initial conceptual permit will require SFWMD stormwater attenuation and mitigation as specified when those permits are issued. 

Basin 4 consists of the development of approximately 48 acres. Stormwater management criteria are included with this permit application including the utilization of dry detention, wet detention, and incorporation of existing wetlands as attenuation features.

The conceptual plans for the FGCU’s proposed stormwater management system were coordinated, reviewed, and approved by South Florida Water Management District (Permit No. 36-02881-5). The established coordinating relationship is expected to continue, based upon the University’s satisfactory compliance with the conditions of the permits, through future development phases.

Plans for the stormwater management system for the FGCU campus have been approved by US Army Corps of Engineers(permit #199400807). ",There is one rain barrel in the Food Forest that is used as a teaching tool for students that will move to other places after they graduate. There are more effective ways to manage rainwater in our region as described above.,--,None,None,"Porous paving is employed in select areas on campus including the solar field and auxiliary parking area, the Great Lawn,  the Plaza, and various walkways around campus",,,Florida Gulf Coast University has detention ponds. Wet detention ponds are storm water control structures providing both retention and treatment of contaminated storm water runoff and are designed to mimic the natural environment.,See above description of swale & detention system on campus.,See above description of the storm water system on campus.,--,--
Haverford College,5/23/2016,5/23/2016 16:39:08,ckent@haverford.edu,2,Pursuing,TRUE,"A variety of techniques are used to manage stormwater. Ongoing construction projects use large socks to help slow rain water running from the site into the nearby stream. The college also uses, vegetated swales, porous paving parking lots, stone swales etc.",3,--,,Use of seven stormwater catch basins that return storm water directly to water table via filtering wells.,15000,"Meadow on west side of pond, storm water enters meadown and slowed allowing plants and micro-organisms exposure to remove pollutants. ","3 green roofs. Stokes, Kim and Tritton Halls.","Haverford College currently has 480 porous parking spaces contained in three areas. South lot holds 277 vehicles, Orchard Lot holds 103 vehicles and Walton Road holds 100 vehicles on a gravel base specifically designed to drain water and provide protection and moisture to mature oaks.",,,Just below the main pond (south end) is a flow controlled dam that utilizes approx 1 acre of wooded land for storm water retention. On the north side of pond is a strom water sedimant pond that is dredged every seven years to maintain capacity. Plus the main pond itself.,,Athletic center captures gray water in an underground tankfor non potable use.,--,--
Juniata College,5/23/2016,5/23/2016 16:48:22,yelnosr@juniata.edu,2,Pursuing,TRUE,Raparian buffer installed,1,TRUE,Raparian buffer provides a 20 year stormwater plan,10000 gallon tank captures rainwater from our primary administrative building,--,,,,,,,,,--,--
Oregon State University,5/23/2016,5/23/2016 16:54:03,brandon.trelstad@oregonstate.edu,2,Pursuing,TRUE,"The City of Corvallis requires that new construction over 2,000 sq. ft. obtain an Erosion Prevention Sediment Control (EPSC) permit, create an EPSC plan and submit to regular inspections.  

For ongoing operations, the City has stringent requirements for water quality and quantity.  Facilities with over 25,000 sq. ft of impervious surface must be constructed so detention rates do not exceed pre-development conditions based on the 2yr through 10yr, 24 hour storm. Projects creating 5,000 square feet or more of pollution generating impervious surface (pavement accessible to motor vehicles) must be designed to remove 70% of Total Suspended Solids for 2/3 of the 2 year, 24 hour storm.
http://www.corvallisoregon.gov/index.aspx?page=328

The City of Corvallis often references the King County, Washington Surface Water Design Manual when specifying design criteria for stormwater system.
",4,TRUE,"OSU requires design teams to consider vegetated swales and other natural mechanisms to deal with stormwater whenever possible.  Several bioswales are installed on campus already, and one large one - the Reser Stadium Bioswale - drains a significant area of OSU's impermeable surfaces.  Street reconstructions include water quality and quantity considerations.  ","Rainwater is collected then organically & mechanically filtered, treated, and stored at Kelley Engineering, in a 16,500 gallon chemical-free cistern system.  This system is used to flush toilets and urinals rather than using potable water. 

OSU's LEED Platinum Energy Center uses rainwater for boiler make up water, reducing both city water consumption and the need for treatment (rainwater also has a more appropriate chemical balance). ",--,Stormwater from the roof of Kearney Hall is filtered and retained by the building landscape before it enters the stormwater system.,A small demonstration vegetated roof exists on campus but no large scale installations to date.,"OSU has pervious paving at multiple locations including several parking lots and People's Park.  

The parking lot uses pervious asphalt, while the Park site is pervious concrete, demonstrating the viability of both technologies.  ",,,Several retention facilities are used on campus to meet the City of Corvallis' stormwater design specifications.  These are not ponds but bioswales that slow water runoff during storm events.,"Bioswales at Reser Stadium and Magruder Hall treat and retain stormwater from nearby roadways and parking lots.  OSU has 11 bioswales and 5 rain gardens in various locations around campus. 

The large swale (approx. 20'W x 150'long) at Reser stadium retains water from a large portion of campus.  ","Numerous detention manholes and filter manholes are present on campus that exceed code requirements.  While they do not let water infiltrate, their sediment reduction properties are excellent when a swale cannot be used due to cost or space constraints.",http://fa.oregonstate.edu/sustainability/operations/water,"In addition to the information below, OSU has a rainwater tour brochure that shows many of the Corvallis campus's rainwater management features.  View the brochure at http://fa.oregonstate.edu/sustainability/resources-visitors. "
Pittsburg State University,5/23/2016,5/23/2016 16:57:17,bpeery@pittstate.edu,2,Pursuing,--,,0,TRUE,"Pittsburg State University participates in the City of Pittsburg Storm Water Initiative. 
http://www.pittks.org/index.aspx?NID=497","PSU built a retention pond next to the new Student Recreation Center and has a University Lake which acts as a retention pond.
A dry creek bed was built next to the Tyler Research Center to assist in managing stormwater. 
A stone-bed bioswale was built between the Weede Athletic building and the Bicknell Family Center for the Arts building.",--,N/A,N/A,"The Bryant Student Health Center, Crimson Commons Dorms and another Dorm and Physical Plant parking lot utilized porous pavement to manage stormwater runoff.",N/A,A stone-bed bioswale was built between the Weede Athletic building and the Bicknell Family Center for the Arts building.,"PSU built a retention pond next to the new Student Recreation Center and has a University Lake which acts as a retention pond.
",A stone-bed bioswale was built between the Weede Athletic building and the Bicknell Family Center for the Arts building.,"A dry creek bed was built next to the Tyler Research Center to assist in managing stormwater. 
The Crimson Commons Dorms used drought tolerant Bermuda Grass and some plants to reduce watering.",--,--
Slippery Rock University,5/23/2016,5/23/2016 17:00:19,paul.scanlon@sru.edu,2,Pursuing,TRUE,"SRU has to follow NPDES permitting requirements during new construction.  All renovations and new building design/construction since April 2011 have been required to meet LEED standards, providing opportunities at the building level to further reduce stormwater runoff and improve outgoing water quality.",3,TRUE,"SRU employs a series of interconnected lakes/holding ponds throughout the entire campus to control storm water runoff. The Campus Sustainable Features Map identifying locations and describing the function of various rainwater management initiatives can be downloaded from the SRU Sustainability web page www.sru.edu/sustainability. 

Bioswales, rain gardens, pervious parking lot paving and a green roof are also used at the Smith Student Center site to retain rainwater and minimize the amount of runoff water and contaminants from the East Parking Lot from being admitted to the storm sewer system. 

Three other green roofs have also been installed on campus – at the Dinger Special Education Building, the Macoskey Center Springhouse outbuilding, and a bus shelter roof near the Strain Behavioral Sciences Building. 

","Rainwater is harvested at the Smith Student Center, where roof rainwater is collected and used to irrigate planting beds east of the building.

Rainwater is also harvested at the Macoskey Center barn and stored in an elevated tank, which is used to irrigate nearby organic community gardening areas. Actual rainwater harvested and stored/used is not metered, however.",--,"The interconnected stormwater retention ponds throughout SRU's campus act as a natural rainwater filtering system. In addition, the West Parking Lot at the Smith Center includes bioswales, pervious pavement parking lot infrastructure, and three depressed bioretention rain gardens to retain and filter stormwater prior to its release into the storm sewer system.","The LEED-Silver Certified Robert Smith Student Center features a green roof, as does the Dinger Special Education building; together, these roofs total approximately 40,000 SF of green roof area.

The spring house and market garden storage facility at the Robert A. Macoskey Center include an additional 300 square feet of vegetated roof.

A small bus shelter at mid-campus was also constructed with 120 square feet of vegetated roof as a student Green Fund Grant project.",The Robert Smith Student Center has porous asphalt paving in the West Parking Lot.,NA,"Bioswales, rain gardens, pervious parking lot paving and a green roof were installed in the  West Parking Lot of the Smith Student Center to retain rainwater and minimize water and contaminants admitted to the storm sewer system. Water runoff from the stormwater bioswale and parking lot is directed to three depressed bioretention/rain gardens to control and filter runoff.",The SRU campus features a series of streams connecting large retention ponds that receive rainwater/stormwater runoff from the elevated wetlands areas of the Branchton Road Audubon Wildlife sanctuary at the North end of campus and extending southwest through the lower campus..,"There is a large vegetated bioswale located between the University Union and the rear of the Aebersold Recreation Center.

Additionally, bioswales are utilized between the steep hill to the north of the  West Parking Lot  and the three rain gardens at the Robert Smith Student Center.",NA,http://www.sru.edu/sustainability,"The Campus Sustainable Features Map identifying locations and describing the function of various rainwater management initiatives can be downloaded from the SRU Sustainability web page www.sru.edu/sustainability. 
"
University of Texas Rio Grande Valley,5/23/2016,5/23/2016 17:03:40,Marianella.Franklin@utrgv.edu,2,Pursuing,TRUE,"A pollution prevention practice that indicate  the construction of a device, or the use of a device, to capture or prevent pollution in storm water runoff. Structural controls and practices may include but are not limited to: wet ponds, bio-retention, infiltration basins,
storm water wetlands, silt fences, earthen dikes, drainage swales, vegetative lined ditches, vegetative filter strips, sediment traps, check dams, subsurface drains, storm drain inlet protection, rock outlet prote ction, reinforced soil retaining systems, gabions, and temporary or permanent sediment basins.
On the other hand , Lakes, bays, ponds, impounding reservoirs, springs, rivers, streams, creeks, estuaries, wetlands, marshes, inlets, canals, the Gulf of Mexico inside the territorial limits of the state (from the mean high water mark (MHWM) out 10.36 miles into the Gulf), and all other bodies of surface water, natural or artificial, inland or coastal, fresh or salt, navigable or nonnavigable, and including the beds and banks of all water-courses and bodies of surface water, that are wholly or partially inside or bordering the state or subject to the jurisdiction of the state; except that waters in treatment systems which are authorized by state or federal law, regulation, or permit, and which are created for the purpose of waste treatment are not considered to be water in the state.",4,TRUE,"Storm water Associated with Construction Activity-Storm water from an area where there is either a large construction activity or a small construction activity.
Storm-water Management Program (SWMP)-A comprehensive program to manage the quality of discharges from the municipal separate storm sewer system

In addition to instruction and research, activities conducted at the UTPA campus, in support of these efforts
include building construction, landscape maintenance, vehicle maintenance, vehicle washing, and chemical and material storage.
Outlines activities associated with the UTPA environment and the potential pollutants that can be released to the stormwater if not managed in the appropriate manner. The Stormwater control methods, referenced in Section 5, will be
implemented in an effort to eliminate the risk of the release of these contaminants to the stormwater, or in the event of an accidental release minimize any potential impact. ",,--,,,,,,,,,--,--
Weber State University,5/23/2016,5/23/2016 17:05:09,jenniferbodine@weber.edu,2,Not Pursuing,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wilfrid Laurier University,5/23/2016,5/23/2016 17:07:40,cbennett@wlu.ca,2,Pursuing,TRUE,"Laurier has created a swale under a building downspout, a 10,000 L below ground water cistern in a low grade area prone to flooding, and a 2350 L above ground water cistern. These provide all of our water for grounds maintenance. We have an area on campus that directs water into a cistern which is used for irrigation. We have also planted native species on hilly areas to stop erosion 
",3,TRUE,"As a part of Laurier's sustainable design guidelines and campus master plan, it is specified that we use plant species to minimize rain water fun off as well as harvesting techniques, such as cisterns.","We have two cisterns (one below ground and one above), totally 13000 gallons of water, which is used for grounds maintenance.",--,,"Laurier has a green roof located on top of the Fred Nichols Campus Centre which provides storm water retention, insulation, cooling, sound adsorption, and creates a habitat for wildlife. It is vegetated with varieties of sedum which are drought tolerant and attract bees and butterflies.
 ",,,Our rain garden directs the water from a downspout on a building to a butterfly garden below. It is located in a community garden on campus.,,"Laurier's community rain and butterfly garden also features a vegetated swale. 
",,http://www.wlu.ca/page.php?grp_id=12304&p=16770,--
