Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution conducted an employee satisfaction and engagement survey or other evaluation ...,"The percentage of employees (staff and faculty) assessed, directly or by representative sample",A brief description of the institution’s methodology for evaluating employee satisfaction and ...,A brief description of the mechanism(s) by which the institution addresses issues raised by the ...,The year the employee satisfaction and engagement evaluation was last administered,The website URL where information about the institution’s employee satisfaction and engagement ...,Public Notes
Bucknell University,2016-05-23,2016-05-23 16:29:32,delmogaz@bucknell.edu,2.0,Pursuing,True,16.0,"Bucknell University participated in the Best Places to Work in Pa program in 2009, 2010, 2011, and 2012. Each year, the BPTW program sent the survey to 350 randomly selected  faculty and staff.  ","BPTW survey resuluts were shared with the University's senior leaders (OMG), division heads, and the University's personnel committees for review and discussion.  These deliberations have resulted in the addition of an employer-sponsored dental program, more transparent presentations of the University's financials, and a more robust wellness program for faculty and staff.  ",2012.0,https://my.bucknell.edu/x55666.html,"Not listed in 2012

Ranked #28  in 2011  
http://www.bestplacestoworkinpa.com/index.php?option=com_content&task=view&id=53

Ranked #39 in 2010  
http://www.bestplacestoworkinpa.com/index.php?option=com_content&task=view&id=52

Ranked #22  in 2009

"
Florida Gulf Coast University,2016-05-23,2016-05-23 16:32:53,kleone@fgcu.edu,2.0,Pursuing,--,--,An employee satisfaction and engagement survey or other evaluation that meets this criteria has not been completed in the last three years. Please see PAE-12 of our STARS 1.0 submission for the most recent data.,,2010.0,--,--
Haverford College,2016-05-23,2016-05-23 16:39:13,ckent@haverford.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Juniata College,2016-05-23,2016-05-23 16:48:31,yelnosr@juniata.edu,2.0,Pursuing,True,53.0,"We engage in the Chronicle of Higher Educations ""Great Colleges to Work For"" methodology.",We review the results at the Presidential Cabinet level and develop plans based on the results.,2013.0,--,We have been recognized on the Honor Roll of the Great Colleges to Work For for 4 of the last 5 years.
Oregon State University,2016-05-23,2016-05-23 16:54:09,brandon.trelstad@oregonstate.edu,2.0,Pursuing,True,38.0,"OSU has begun conducting annual campus climate surveys that include questions about employee satisfaction, employee advancement opportunities and work culture.  While the surveys are not mandatory, the response rate is relatively high.  

These annual surveys are set in motion by OSU leadership and conducted by the Office of Equity and Inclusion.","Findings from the campus climate surveys will be used to inform actions by the Leadership Council for Equity, Inclusion, and Diversity, OSU leadership and Office of Equity and Inclusion to make OSU a more welcoming place and provide a more satisfying work experience for all OSU employees.  Specific response mechanisms are being refined during FY15.  ",2014.0,http://oregonstate.edu/oei/leadership-council,--
Pittsburg State University,2016-05-23,2016-05-23 16:57:25,bpeery@pittstate.edu,2.0,Pursuing,True,55.0,"As a part of the PSU strategic planning initiative, an employee satisfaction survey was administered.",The issues raised in the evaluation will be addressed by the Strategic Planning Committee.,2014.0,--,--
Slippery Rock University,2016-05-23,2016-05-23 17:00:23,paul.scanlon@sru.edu,2.0,Pursuing,True,100.0,"The University participates annually in The Chronicle of Higher Education’s Best Places to Work For employee survey. Data from this survey is used by Human Resources and other groups to develop programs, activities and services that address areas of concern. For the past three years, SRU has been named to the Chronicle’s Best Places to Work listing based upon employee feedback. In addition to the national survey, the University also participates in a regional survey conducted on behalf of the Pittsburgh Post Gazette by a third party research firm. This regional survey also measures employee satisfaction and is used to identify organizations in western Pennsylvania that employees consider “great places to work.”","Data from employee surveys is distributed to the executive cabinet for review and recommendations for change. Executive leadership works with their divisions and the President's commissions to identify actions to address concerns. Upon the arrival of the new president, the data was reviewed, and upon noting a concern among managers that there were communication issues, the president implemented a quarterly meeting with the management team and monthly meetings with the leadership of each of the bargaining units. Data that indicated employees wanted more information regarding budget planning, led to campus wide open forums and the development of a web page for the distribution of information and to provide an opportunity for employee input. HR and the various presidential commissions utilize the data to develop programs to meet specific identified needs through internal training. These might range from wellness programs to skill development  programs.",2015.0,http://www.sru.edu/news/072015a,"The University participates annually in The Chronicle of Higher Education’s Best Places to Work For employee survey. Data from this survey is used by Human Resources and other groups to develop programs, activities and services that address areas of concern. For the past three years, SRU has been named to the Chronicle’s Best Places to Work listing based upon employee feedback. In addition to the national survey, the University also participates in a regional survey conducted on behalf of the Pittsburgh Post Gazette by a third party research firm. This regional survey also measures employee satisfaction and is used to identify organizations in western Pennsylvania that employees consider “great places to work.”"
University of Texas Rio Grande Valley,2016-05-23,2016-05-23 17:03:43,Marianella.Franklin@utrgv.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Weber State University,2016-05-23,2016-05-23 17:05:12,jenniferbodine@weber.edu,2.0,Pursuing,True,100.0,"Every couple of years, Weber State University conducts an employee satisfaction survey. Questions gauge the following and more:

- work stress levels
- satisfaction with compensation and benefits
- work environment (safe, comfortable, etc.)
- level of cooperation within and between departments
- equal treatment regardless of sex, age, ethnicity, etc.

WSU just completed its most recent employee survey. The Institutional Research Department is in the process of analyzing the data. Once complete, the data will be available for public viewing at the website below.
",Results are reviewed by the University President and Vice Presidents. All Vice Presidents are required to come up with a plan for addressing the concerns and submit that report to the University President. ,2014.0,--,--
Wilfrid Laurier University,2016-05-23,2016-05-23 17:07:45,cbennett@wlu.ca,2.0,Not Pursuing,--,--,--,--,--,--,--
